old_name,new_name
ETH-01,ETH-1
ETH01,ETH-1
ETH1,ETH-1
ETH_01,ETH-1
ETH-02,ETH-2
ETH02,ETH-2
ETH2,ETH-2
ETH_02,ETH-2
ETH-03,ETH-3
ETH03,ETH-3
ETH3,ETH-3
ETH_03,ETH-3
ETH-04,ETH-4
ETH04,ETH-4
ETH4,ETH-4
ETH_04,ETH-4
IACA-C1,IAEA-C1
IAEAC1,IAEA-C1
IAEAC2,IAEA-C2
MERCK STD,MERCK
Merck,MERCK
Merck STD,MERCK
Rodolo Dolomite,RODOLO
Rodolo,RODOLO
RODOLO DOLOMITE,RODOLO
Sansa Dolomite,SANSA
Sansa,SANSA
SANSA DOLOMITE,SANSA
TV-03,TV-04
EHT-01,ETH-1
EHT-02,ETH-2
EHT-03,ETH-3
EHT-04,ETH-4
