Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 05, 2021 at 21:37 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 05, 2021 at 22:36 with Stable 1.71.5 on PS019

Data File = Data_13553 ETH-1.txt,         Sample Weight = 477,                      Vial Location = 1,                        Initial Sam Beam = 1.6825e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9154e-08,                Max Ref Beam = 1.0587e-07,                

Analysis undertaken at mass 46.01089
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.73073e-08,,,,,,1.1976e-02,4.2070e-03,4.8894e-05,4.6464e-06,5.9905e-08,
Sam 1,6.68577e-08,1.20331e-02,4.2548e-03,4.9662e-05,4.7544e-06,6.0357e-08,,,,,,            4.7773,           11.3371,           15.6503,           22.7366,           20.2631,            1.8024,            5.3718,           -0.4770,           -0.0645,           -7.1578,
Ref 2,6.63427e-08,,,,,,1.1976e-02,4.2072e-03,4.8899e-05,4.6510e-06,5.8399e-08,,,,,,,,,,,
Sam 2,6.58513e-08,1.20333e-02,4.2549e-03,4.9661e-05,4.7539e-06,6.1053e-08,,,,,,            4.7744,           11.3335,           15.5814,           22.3417,           72.1735,            1.7995,            5.3683,           -0.5384,           -0.4437,           43.3677,
Ref 3,6.53475e-08,,,,,,1.1976e-02,4.2072e-03,4.8900e-05,4.6490e-06,5.5466e-08,,,,,,,,,,,
Sam 3,6.48524e-08,1.20331e-02,4.2548e-03,4.9657e-05,4.7525e-06,5.6854e-08,,,,,,            4.7733,           11.3238,           15.5573,           22.5256,           48.9217,            1.7986,            5.3586,           -0.5515,           -0.2446,           20.7611,
Ref 4,6.43784e-08,,,,,,1.1976e-02,4.2071e-03,4.8892e-05,4.6466e-06,5.2921e-08,,,,,,,,,,,
Sam 4,6.38846e-08,1.20329e-02,4.2547e-03,4.9654e-05,4.7508e-06,5.6143e-08,,,,,,            4.7652,           11.3254,           15.6169,           22.4377,           48.7211,            1.7900,            5.3602,           -0.4861,           -0.3337,           20.5715,
Ref 5,6.34165e-08,,,,,,1.1976e-02,4.2070e-03,4.8888e-05,4.6465e-06,5.4158e-08,,,,,,,,,,,
Sam 5,6.29237e-08,1.20328e-02,4.2547e-03,4.9650e-05,4.7524e-06,5.6335e-08,,,,,,            4.7719,           11.3266,           15.5697,           22.7828,           51.9495,            1.7971,            5.3614,           -0.5406,            0.0013,           23.7036,
Ref 6,6.24740e-08,,,,,,1.1976e-02,4.2070e-03,4.8889e-05,4.6466e-06,5.2940e-08,,,,,,,,,,,
Sam 6,6.19853e-08,1.20327e-02,4.2546e-03,4.9649e-05,4.7506e-06,5.7384e-08,,,,,,            4.7755,           11.3263,           15.5286,           22.4860,           80.1483,            1.8010,            5.3611,           -0.5845,           -0.2882,           51.1419,
Ref 7,6.15572e-08,,,,,,1.1975e-02,4.2069e-03,4.8890e-05,4.6457e-06,5.3316e-08,,,,,,,,,,,
Sam 7,6.10733e-08,1.20326e-02,4.2546e-03,4.9644e-05,4.7495e-06,5.5664e-08,,,,,,            4.7719,           11.3304,           15.4902,           22.2863,           64.8847,            1.7970,            5.3652,           -0.6226,           -0.4917,           36.2838,
Ref 8,6.06574e-08,,,,,,1.1975e-02,4.2069e-03,4.8885e-05,4.6462e-06,5.1214e-08,,,,,,,,,,,
Sam 8,6.01771e-08,1.20325e-02,4.2545e-03,4.9646e-05,4.7467e-06,5.6517e-08,,,,,,            4.7790,           11.3223,           15.6134,           22.1465,           62.8400,            1.8048,            5.3571,           -0.5007,           -0.6124,           34.3026,
Ref 9,5.97744e-08,,,,,,1.1975e-02,4.2069e-03,4.8882e-05,4.6415e-06,5.5166e-08,,,,,,,,,,,
Sam 9,5.92994e-08,1.20325e-02,4.2545e-03,4.9640e-05,4.7460e-06,5.1775e-08,,,,,,            4.7823,           11.3228,           15.4702,           22.5131,          -21.7277,            1.8083,            5.3576,           -0.6455,           -0.2548,          -47.9987,
Ref 10,5.89064e-08,,,,,,1.1975e-02,4.2069e-03,4.8887e-05,4.6415e-06,5.0651e-08,,,,,,,,,,,
Sam 10,5.84316e-08,1.20325e-02,4.2546e-03,4.9641e-05,4.7464e-06,5.0105e-08,,,,,,            4.7726,           11.3271,           15.5167,           22.4318,           19.4790,            1.7978,            5.3619,           -0.5939,           -0.3429,           -7.8968,
Ref 11,5.80576e-08,,,,,,1.1975e-02,4.2069e-03,4.8879e-05,4.6431e-06,4.7622e-08,,,,,,,,,,,
Sam 11,5.75862e-08,1.20324e-02,4.2545e-03,4.9641e-05,4.7452e-06,4.9105e-08,,,,,,            4.7689,           11.3268,           15.4981,           22.2976,           14.5885,            1.7939,            5.3616,           -0.6081,           -0.4735,          -12.6514,
Ref 12,5.72250e-08,,,,,,1.1975e-02,4.2069e-03,4.8887e-05,4.6403e-06,4.9187e-08,,,,,,,,,,,
Sam 12,5.67547e-08,1.20324e-02,4.2545e-03,4.9638e-05,4.7430e-06,4.7767e-08,,,,,,            4.7845,           11.3258,           15.3861,           22.0513,           10.4020,            1.8105,            5.3606,           -0.7334,           -0.7124,          -16.7399,
Ref 13,5.64062e-08,,,,,,1.1975e-02,4.2069e-03,4.8885e-05,4.6410e-06,4.5336e-08,,,,,,,,,,,
Sam 13,5.59428e-08,1.20324e-02,4.2546e-03,4.9639e-05,4.7437e-06,4.3535e-08,,,,,,            4.7856,           11.3288,           15.4625,           22.2569,          -47.4382,            1.8116,            5.3635,           -0.6623,           -0.5171,          -73.0327,
Ref 14,5.56063e-08,,,,,,1.1975e-02,4.2070e-03,4.8881e-05,4.6398e-06,4.6075e-08,,,,,,,,,,,
Sam 14,5.51468e-08,1.20322e-02,4.2546e-03,4.9643e-05,4.7444e-06,4.7165e-08,,,,,,            4.7738,           11.3110,           15.5745,           22.9081,           60.4052,            1.7996,            5.3458,           -0.5226,            0.1547,           31.9615,
Ref 15,5.48207e-08,,,,,,1.1975e-02,4.2070e-03,4.8882e-05,4.6365e-06,4.2860e-08,,,,,,,,,,,
Sam 15,5.43669e-08,1.20323e-02,4.2546e-03,4.9647e-05,4.7402e-06,3.9107e-08,,,,,,            4.7736,           11.3165,           15.5968,           22.2762,          -15.2187,            1.7992,            5.3513,           -0.5058,           -0.4740,          -41.6439,
Ref 16,5.40546e-08,,,,,,1.1975e-02,4.2069e-03,4.8887e-05,4.6374e-06,3.6517e-08,,,,,,,,,,,
Sam 16,5.36001e-08,1.20324e-02,4.2546e-03,4.9636e-05,4.7434e-06,3.7878e-08,,,,,,            4.7801,           11.3275,           15.3386,           22.8325,           34.5765,            1.8058,            5.3623,           -0.7772,            0.0482,            6.7867,
Ref 17,5.33014e-08,,,,,,1.1975e-02,4.2070e-03,4.8886e-05,4.6376e-06,3.6708e-08,,,,,,,,,,,
Sam 17,5.28501e-08,1.20324e-02,4.2546e-03,4.9648e-05,4.7415e-06,3.9281e-08,,,,,,            4.7702,           11.3186,           15.5973,           22.3668,           47.7309,            1.7956,            5.3534,           -0.5040,           -0.3896,           19.6159,
Ref 18,5.25604e-08,,,,,,1.1975e-02,4.2071e-03,4.8886e-05,4.6380e-06,3.8287e-08,,,,,,,,,,,
Sam 18,5.21057e-08,1.20324e-02,4.2547e-03,4.9644e-05,4.7431e-06,3.9325e-08,,,,,,            4.7720,           11.3268,           15.4654,           22.8795,           30.1134,            1.7972,            5.3616,           -0.6435,            0.0955,            2.4534,
Ref 19,5.18334e-08,,,,,,1.1975e-02,4.2070e-03,4.8890e-05,4.6361e-06,3.8061e-08,,,,,,,,,,,
Sam 19,5.13779e-08,1.20325e-02,4.2548e-03,4.9647e-05,4.7429e-06,3.7442e-08,,,,,,            4.7820,           11.3367,           15.5322,           22.7267,          -44.2417,            1.8075,            5.3714,           -0.5977,           -0.0735,          -69.9330,
Ref 20,5.11185e-08,,,,,,1.1975e-02,4.2071e-03,4.8885e-05,4.6390e-06,4.0304e-08,,,,,,,,,,,
Sam 20,5.06583e-08,1.20323e-02,4.2548e-03,4.9646e-05,4.7422e-06,3.8238e-08,,,,,,            4.7699,           11.3190,           15.5531,           22.6621,          -14.7865,            1.7952,            5.3539,           -0.5475,           -0.1018,          -41.2243,
Ref 21,5.04185e-08,,,,,,1.1975e-02,4.2072e-03,4.8887e-05,4.6352e-06,3.7300e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.00797e-08,,,,,,1.1975e-02,4.2071e-03,4.8888e-05,4.6375e-06,3.9426e-08,
Sam 1,4.96081e-08,1.20324e-02,4.2547e-03,4.9652e-05,4.7398e-06,3.1507e-08,,,,,,            4.7750,           11.3188,           15.5411,           22.0506,         -125.6633,            1.8006,            5.3536,           -0.5643,           -0.6991,         -149.1299,
Ref 2,4.93868e-08,,,,,,1.1975e-02,4.2071e-03,4.8896e-05,4.6375e-06,3.2597e-08,,,,,,,,,,,
Sam 2,4.89166e-08,1.20325e-02,4.2548e-03,4.9653e-05,4.7405e-06,3.0012e-08,,,,,,            4.7804,           11.3220,           15.4971,           22.6145,          -40.3613,            1.8063,            5.3568,           -0.6163,           -0.1543,          -66.1286,
Ref 3,4.87173e-08,,,,,,1.1975e-02,4.2072e-03,4.8896e-05,4.6338e-06,2.9932e-08,,,,,,,,,,,
Sam 3,4.82436e-08,1.20325e-02,4.2549e-03,4.9653e-05,4.7414e-06,3.0319e-08,,,,,,            4.7760,           11.3183,           15.5310,           23.0308,           58.4379,            1.8018,            5.3532,           -0.5749,            0.2601,           30.0297,
Ref 4,4.80587e-08,,,,,,1.1975e-02,4.2072e-03,4.8891e-05,4.6356e-06,2.7340e-08,,,,,,,,,,,
Sam 4,4.75818e-08,1.20325e-02,4.2549e-03,4.9656e-05,4.7376e-06,2.5803e-08,,,,,,            4.7818,           11.3193,           15.6170,           22.0593,          -49.6767,            1.8079,            5.3542,           -0.4971,           -0.6917,          -75.1905,
Ref 5,4.74154e-08,,,,,,1.1975e-02,4.2072e-03,4.8894e-05,4.6350e-06,2.6960e-08,,,,,,,,,,,
Sam 5,4.69289e-08,1.20325e-02,4.2549e-03,4.9659e-05,4.7381e-06,2.4904e-08,,,,,,            4.7816,           11.3225,           15.6736,           22.1666,         -114.4973,            1.8075,            5.3573,           -0.4443,           -0.5931,         -138.2759,
Ref 6,4.67777e-08,,,,,,1.1975e-02,4.2073e-03,4.8892e-05,4.6357e-06,2.9304e-08,,,,,,,,,,,
Sam 6,4.62890e-08,1.20325e-02,4.2549e-03,4.9657e-05,4.7370e-06,2.3730e-08,,,,,,            4.7774,           11.3253,           15.6237,           21.9760,         -131.7268,            1.8030,            5.3601,           -0.4918,           -0.7849,         -155.0435,
Ref 7,4.61543e-08,,,,,,1.1975e-02,4.2072e-03,4.8895e-05,4.6346e-06,2.5330e-08,,,,,,,,,,,
Sam 7,4.56618e-08,1.20324e-02,4.2549e-03,4.9653e-05,4.7360e-06,2.6073e-08,,,,,,            4.7719,           11.3291,           15.4551,           21.9004,          -32.1086,            1.7971,            5.3639,           -0.6559,           -0.8663,          -58.1020,
Ref 8,4.55366e-08,,,,,,1.1975e-02,4.2072e-03,4.8900e-05,4.6344e-06,2.8568e-08,,,,,,,,,,,
Sam 8,4.50434e-08,1.20324e-02,4.2550e-03,4.9660e-05,4.7384e-06,2.3382e-08,,,,,,            4.7782,           11.3356,           15.5722,           22.7333,         -110.7640,            1.8034,            5.3703,           -0.5533,           -0.0648,         -134.6617,
Ref 9,4.49357e-08,,,,,,1.1975e-02,4.2073e-03,4.8897e-05,4.6317e-06,2.3991e-08,,,,,,,,,,,
Sam 9,4.44420e-08,1.20325e-02,4.2550e-03,4.9657e-05,4.7342e-06,2.1631e-08,,,,,,            4.7823,           11.3436,           15.5389,           22.2479,           -0.8940,            1.8076,            5.3783,           -0.5981,           -0.5553,          -27.7638,
Ref 10,4.43479e-08,,,,,,1.1975e-02,4.2073e-03,4.8898e-05,4.6306e-06,1.9277e-08,,,,,,,,,,,
Sam 10,4.38505e-08,1.20325e-02,4.2550e-03,4.9658e-05,4.7362e-06,2.0487e-08,,,,,,            4.7747,           11.3251,           15.5340,           22.6564,           79.8040,            1.8001,            5.3599,           -0.5772,           -0.1194,           50.8100,
Ref 11,4.37639e-08,,,,,,1.1975e-02,4.2074e-03,4.8899e-05,4.6320e-06,1.8664e-08,,,,,,,,,,,
Sam 11,4.32682e-08,1.20325e-02,4.2550e-03,4.9657e-05,4.7378e-06,2.0333e-08,,,,,,            4.7794,           11.3388,           15.4463,           22.7987,           83.1800,            1.8047,            5.3736,           -0.6817,           -0.0073,           54.0621,
Ref 12,4.31974e-08,,,,,,1.1975e-02,4.2072e-03,4.8905e-05,4.6323e-06,1.8880e-08,,,,,,,,,,,
Sam 12,4.26992e-08,1.20324e-02,4.2550e-03,4.9655e-05,4.7342e-06,1.7651e-08,,,,,,            4.7780,           11.3382,           15.3980,           21.7572,          -52.8375,            1.8032,            5.3730,           -0.7271,           -1.0245,          -78.2965,
Ref 13,4.26402e-08,,,,,,1.1975e-02,4.2073e-03,4.8900e-05,4.6345e-06,1.8389e-08,,,,,,,,,,,
Sam 13,4.21439e-08,1.20322e-02,4.2549e-03,4.9658e-05,4.7321e-06,1.5830e-08,,,,,,            4.7672,           11.3239,           15.4950,           21.3282,          -77.8560,            1.7922,            5.3588,           -0.6068,           -1.4156,         -102.6073,
Ref 14,4.20957e-08,,,,,,1.1975e-02,4.2073e-03,4.8901e-05,4.6319e-06,1.5929e-08,,,,,,,,,,,
Sam 14,4.15930e-08,1.20322e-02,4.2549e-03,4.9662e-05,4.7366e-06,1.0116e-08,,,,,,            4.7704,           11.3316,           15.4967,           22.8410,         -266.7319,            1.7954,            5.3664,           -0.6158,            0.0482,         -286.4267,
Ref 15,4.15592e-08,,,,,,1.1975e-02,4.2073e-03,4.8907e-05,4.6298e-06,1.1634e-08,,,,,,,,,,,
Sam 15,4.10531e-08,1.20323e-02,4.2549e-03,4.9667e-05,4.7357e-06,1.1447e-08,,,,,,            4.7801,           11.3183,           15.5858,           22.9382,          107.1727,            1.8061,            5.3531,           -0.5251,            0.1696,           77.4520,
Ref 16,4.10275e-08,,,,,,1.1975e-02,4.2072e-03,4.8902e-05,4.6293e-06,9.0262e-09,,,,,,,,,,,
Sam 16,4.05102e-08,1.20322e-02,4.2549e-03,4.9658e-05,4.7344e-06,6.7711e-09,,,,,,            4.7837,           11.3186,           15.4403,           22.6060,         -234.0989,            1.8099,            5.3534,           -0.6723,           -0.1558,         -254.6618,
Ref 17,4.05045e-08,,,,,,1.1975e-02,4.2073e-03,4.8904e-05,4.6302e-06,8.6527e-09,,,,,,,,,,,
Sam 17,3.99791e-08,1.20321e-02,4.2549e-03,4.9657e-05,4.7340e-06,9.0706e-09,,,,,,            4.7709,           11.3098,           15.4547,           22.4960,          119.8285,            1.7966,            5.3446,           -0.6363,           -0.2458,           89.7968,
Ref 18,3.99843e-08,,,,,,1.1975e-02,4.2073e-03,4.8899e-05,4.6294e-06,7.5400e-09,,,,,,,,,,,
Sam 18,3.94554e-08,1.20321e-02,4.2549e-03,4.9661e-05,4.7312e-06,6.8478e-09,,,,,,            4.7739,           11.3109,           15.4922,           22.1052,           81.0262,            1.7998,            5.3458,           -0.6037,           -0.6303,           52.0294,
Ref 19,3.94778e-08,,,,,,1.1975e-02,4.2073e-03,4.8909e-05,4.6284e-06,5.1137e-09,,,,,,,,,,,
Sam 19,3.89463e-08,1.20322e-02,4.2549e-03,4.9661e-05,4.7335e-06,4.7290e-09,,,,,,            4.7815,           11.3230,           15.3699,           22.7574,          377.8643,            1.8075,            5.3578,           -0.7436,           -0.0164,          340.8629,
Ref 20,3.89838e-08,,,,,,1.1975e-02,4.2073e-03,4.8909e-05,4.6280e-06,1.7292e-09,,,,,,,,,,,
Sam 20,3.84447e-08,1.20321e-02,4.2549e-03,4.9661e-05,4.7334e-06,1.4279e-09,,,,,,            4.7666,           11.3162,           15.3760,           22.6564,         -552.9812,            1.7918,            5.3511,           -0.7157,           -0.1018,         -564.9727,
Ref 21,3.84921e-08,,,,,,1.1975e-02,4.2073e-03,4.8908e-05,4.6291e-06,4.6780e-09,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.82502e-08,,,,,,1.1975e-02,4.2072e-03,4.8903e-05,4.6282e-06,-2.0336e-09,
Sam 1,3.77055e-08,1.20320e-02,4.2548e-03,4.9664e-05,4.7336e-06,-7.9197e-10,,,,,,            4.7743,           11.3185,           15.4702,           23.1413,         -521.0590,            1.7999,            5.3533,           -0.6330,            0.3679,         -533.9126,
Ref 2,3.77703e-08,,,,,,1.1975e-02,4.2073e-03,4.8911e-05,4.6248e-06,-1.2687e-09,,,,,,,,,,,
Sam 2,3.72236e-08,1.20320e-02,4.2549e-03,4.9663e-05,4.7304e-06,-7.7346e-10,,,,,,            4.7793,           11.3291,           15.3991,           22.2687,        -1483.2000,            1.8049,            5.3638,           -0.7185,           -0.5062,        -1470.2192,
Ref 3,3.72988e-08,,,,,,1.1975e-02,4.2072e-03,4.8908e-05,4.6299e-06,4.5064e-09,,,,,,,,,,,
Sam 3,3.67494e-08,1.20319e-02,4.2548e-03,4.9667e-05,4.7345e-06,-1.5133e-09,,,,,,            4.7756,           11.3137,           15.5006,           23.0316,        -1661.8229,            1.8015,            5.3485,           -0.5998,            0.2701,        -1644.0654,
Ref 4,3.68352e-08,,,,,,1.1975e-02,4.2072e-03,4.8910e-05,4.6260e-06,3.8889e-11,,,,,,,,,,,
Sam 4,3.62829e-08,1.20318e-02,4.2548e-03,4.9665e-05,4.7251e-06,-1.3555e-09,,,,,,            4.7730,           11.3021,           15.3951,           21.7997,        -1588.5690,            1.7991,            5.3370,           -0.6897,           -0.9115,        -1572.7915,
Ref 5,3.63833e-08,,,,,,1.1975e-02,4.2072e-03,4.8914e-05,4.6225e-06,4.5953e-09,,,,,,,,,,,
Sam 5,3.58259e-08,1.20318e-02,4.2547e-03,4.9657e-05,4.7282e-06,4.8263e-09,,,,,,            4.7811,           11.3025,           15.2998,           22.6013,          679.7765,            1.8077,            5.3374,           -0.7922,           -0.1285,          634.7334,
Ref 6,3.59333e-08,,,,,,1.1975e-02,4.2072e-03,4.8903e-05,4.6249e-06,1.1295e-09,,,,,,,,,,,
Sam 6,3.53745e-08,1.20318e-02,4.2548e-03,4.9664e-05,4.7285e-06,-1.6971e-09,,,,,,            4.7828,           11.3206,           15.5118,           22.3431,         -345.6512,            1.8089,            5.3554,           -0.6029,           -0.4168,         -363.2209,
Ref 7,3.54931e-08,,,,,,1.1975e-02,4.2072e-03,4.8907e-05,4.6254e-06,-6.3630e-09,,,,,,,,,,,
Sam 7,3.49347e-08,1.20318e-02,4.2548e-03,4.9665e-05,4.7275e-06,-8.8293e-09,,,,,,            4.7817,           11.2995,           15.5040,           22.4278,          160.1376,            1.8084,            5.3344,           -0.5889,           -0.2923,          129.0344,
Ref 8,3.50640e-08,,,,,,1.1974e-02,4.2072e-03,4.8908e-05,4.6223e-06,-8.8734e-09,,,,,,,,,,,
Sam 8,3.45034e-08,1.20316e-02,4.2547e-03,4.9661e-05,4.7252e-06,-9.3285e-09,,,,,,            4.7764,           11.2941,           15.3555,           22.2502,           88.3843,            1.8030,            5.3290,           -0.7243,           -0.4551,           59.2221,
Ref 9,3.46384e-08,,,,,,1.1974e-02,4.2071e-03,4.8913e-05,4.6224e-06,-8.2648e-09,,,,,,,,,,,
Sam 9,3.40750e-08,1.20314e-02,4.2546e-03,4.9667e-05,4.7294e-06,-9.9338e-09,,,,,,            4.7771,           11.3102,           15.4063,           23.1207,          196.9315,            1.8032,            5.3451,           -0.6908,            0.3640,          164.8233,
Ref 10,3.42207e-08,,,,,,1.1974e-02,4.2070e-03,4.8915e-05,4.6227e-06,-8.3344e-09,,,,,,,,,,,
Sam 10,3.36532e-08,1.20313e-02,4.2546e-03,4.9671e-05,4.7286e-06,-1.9516e-08,,,,,,            4.7713,           11.3047,           15.5416,           23.2919,          438.6396,            1.7972,            5.3396,           -0.5464,            0.5424,          400.0711,
Ref 11,3.38079e-08,,,,,,1.1974e-02,4.2071e-03,4.8906e-05,4.6192e-06,-1.8861e-08,,,,,,,,,,,
Sam 11,3.32401e-08,1.20314e-02,4.2546e-03,4.9665e-05,4.7224e-06,-2.0464e-08,,,,,,            4.7724,           11.3032,           15.5400,           22.0256,          274.0796,            1.7984,            5.3381,           -0.5476,           -0.6929,          239.9249,
Ref 12,3.34030e-08,,,,,,1.1974e-02,4.2070e-03,4.8904e-05,4.6221e-06,-1.3228e-08,,,,,,,,,,,
Sam 12,3.28326e-08,1.20314e-02,4.2547e-03,4.9661e-05,4.7235e-06,-1.7717e-08,,,,,,            4.7733,           11.3153,           15.4406,           22.0657,          107.8120,            1.7990,            5.3502,           -0.6581,           -0.6776,           78.0882,
Ref 13,3.30014e-08,,,,,,1.1974e-02,4.2071e-03,4.8908e-05,4.6209e-06,-1.8791e-08,,,,,,,,,,,
Sam 13,3.24303e-08,1.20313e-02,4.2546e-03,4.9673e-05,4.7283e-06,-2.6295e-08,,,,,,            4.7719,           11.2911,           15.6496,           23.6266,          165.0379,            1.7983,            5.3260,           -0.4273,            0.8967,          133.8338,
Ref 14,3.26131e-08,,,,,,1.1974e-02,4.2070e-03,4.8907e-05,4.6174e-06,-2.6395e-08,,,,,,,,,,,
Sam 14,3.20378e-08,1.20312e-02,4.2545e-03,4.9670e-05,4.7228e-06,-2.1689e-08,,,,,,            4.7710,           11.2927,           15.5826,           22.0861,         -124.9791,            1.7973,            5.3277,           -0.4940,           -0.6129,         -148.4173,
Ref 15,3.22270e-08,,,,,,1.1974e-02,4.2069e-03,4.8908e-05,4.6241e-06,-2.3160e-08,,,,,,,,,,,
Sam 15,3.16499e-08,1.20311e-02,4.2546e-03,4.9657e-05,4.7230e-06,-3.1955e-08,,,,,,            4.7657,           11.3214,           15.3212,           21.8545,          348.5108,            1.7907,            5.3563,           -0.7738,           -0.8961,          312.3236,
Ref 16,3.18459e-08,,,,,,1.1974e-02,4.2070e-03,4.8907e-05,4.6199e-06,-2.4240e-08,,,,,,,,,,,
Sam 16,3.12687e-08,1.20310e-02,4.2545e-03,4.9665e-05,4.7248e-06,-2.8616e-08,,,,,,            4.7698,           11.2939,           15.5009,           23.0431,          198.1973,            1.7960,            5.3289,           -0.5745,            0.3204,          166.1011,
Ref 17,3.14737e-08,,,,,,1.1974e-02,4.2070e-03,4.8907e-05,4.6170e-06,-2.3521e-08,,,,,,,,,,,
Sam 17,3.08921e-08,1.20312e-02,4.2545e-03,4.9664e-05,4.7205e-06,-2.4247e-08,,,,,,            4.7858,           11.3034,           15.3842,           22.1814,          -40.5459,            1.8127,            5.3383,           -0.7149,           -0.5409,          -66.2798,
Ref 18,3.11031e-08,,,,,,1.1974e-02,4.2070e-03,4.8915e-05,4.6192e-06,-2.7044e-08,,,,,,,,,,,
Sam 18,3.05188e-08,1.20312e-02,4.2546e-03,4.9656e-05,4.7221e-06,-2.4568e-08,,,,,,            4.7877,           11.3262,           15.2423,           22.7049,          -86.4083,            1.8139,            5.3610,           -0.8787,           -0.0742,         -110.9533,
Ref 19,3.07378e-08,,,,,,1.1974e-02,4.2069e-03,4.8905e-05,4.6153e-06,-2.6737e-08,,,,,,,,,,,
Sam 19,3.01513e-08,1.20310e-02,4.2544e-03,4.9652e-05,4.7168e-06,-2.7530e-08,,,,,,            4.7743,           11.3156,           15.3063,           21.7744,           26.3315,            1.8001,            5.3504,           -0.7916,           -0.9628,           -1.2077,
Ref 20,3.03790e-08,,,,,,1.1974e-02,4.2068e-03,4.8901e-05,4.6173e-06,-2.6911e-08,,,,,,,,,,,
Sam 20,2.97900e-08,1.20309e-02,4.2544e-03,4.9660e-05,4.7194e-06,-2.8926e-08,,,,,,            4.7719,           11.3180,           15.4792,           22.2591,          155.7077,            1.7973,            5.3528,           -0.6213,           -0.4936,          124.6947,
Ref 21,3.00264e-08,,,,,,1.1974e-02,4.2068e-03,4.8905e-05,4.6159e-06,-2.3124e-08,,,,,,,,,,,


