Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 06, 2021 at 02:31 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 06, 2021 at 03:30 with Stable 1.71.5 on PS019

Data File = Data_13555 ETH-4.txt,         Sample Weight = 397,                      Vial Location = 3,                        Initial Sam Beam = 1.4142e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7591e-08,                Max Ref Beam = 1.0611e-07,                

Analysis undertaken at mass 46.00677
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.70012e-08,,,,,,1.1974e-02,4.2063e-03,4.8881e-05,4.6418e-06,6.2097e-08,
Sam 1,5.66012e-08,1.18883e-02,4.1840e-03,4.8251e-05,4.5915e-06,5.9747e-08,,,,,,           -7.1775,           -5.3318,          -12.9141,          -10.8374,          -30.8435,          -10.3434,          -11.1903,           -0.3131,           -0.2045,          -13.0665,
Ref 2,5.62337e-08,,,,,,1.1975e-02,4.2066e-03,4.8885e-05,4.6418e-06,6.1193e-08,,,,,,,,,,,
Sam 2,5.57954e-08,1.18885e-02,4.1842e-03,4.8251e-05,4.5925e-06,5.8728e-08,,,,,,           -7.1931,           -5.3381,          -12.9718,          -10.3909,          -28.1931,          -10.3598,          -11.1965,           -0.3492,            0.2594,          -10.3388,
Ref 3,5.54389e-08,,,,,,1.1975e-02,4.2067e-03,4.8887e-05,4.6397e-06,5.9661e-08,,,,,,,,,,,
Sam 3,5.49923e-08,1.18883e-02,4.1842e-03,4.8250e-05,4.5966e-06,6.0776e-08,,,,,,           -7.1996,           -5.3442,          -13.1102,           -9.9093,          -27.3711,          -10.3665,          -11.2026,           -0.4765,            0.7586,           -9.4828,
Ref 4,5.46517e-08,,,,,,1.1974e-02,4.2066e-03,4.8896e-05,4.6455e-06,6.5353e-08,,,,,,,,,,,
Sam 4,5.42091e-08,1.18885e-02,4.1842e-03,4.8256e-05,4.5971e-06,6.5589e-08,,,,,,           -7.1882,           -5.3419,          -13.0441,          -10.6444,            5.9286,          -10.3545,          -11.2003,           -0.4238,            0.0109,           24.4121,
Ref 5,5.38909e-08,,,,,,1.1975e-02,4.2067e-03,4.8892e-05,4.6475e-06,6.5051e-08,,,,,,,,,,,
Sam 5,5.34422e-08,1.18884e-02,4.1842e-03,4.8253e-05,4.5982e-06,6.3108e-08,,,,,,           -7.1959,           -5.3452,          -13.1341,          -10.5496,           -9.5463,          -10.3625,          -11.2036,           -0.5036,            0.1135,            8.6679,
Ref 6,5.31322e-08,,,,,,1.1975e-02,4.2067e-03,4.8899e-05,4.6469e-06,6.2362e-08,,,,,,,,,,,
Sam 6,5.26844e-08,1.18883e-02,4.1842e-03,4.8259e-05,4.5963e-06,6.2261e-08,,,,,,           -7.2044,           -5.3635,          -13.0815,          -10.9637,           -1.2308,          -10.3710,          -11.2218,           -0.4234,           -0.2683,           17.1824,
Ref 7,5.23908e-08,,,,,,1.1975e-02,4.2067e-03,4.8898e-05,4.6476e-06,6.2313e-08,,,,,,,,,,,
Sam 7,5.19448e-08,1.18883e-02,4.1843e-03,4.8266e-05,4.5961e-06,5.9918e-08,,,,,,           -7.2022,           -5.3415,          -12.9062,          -10.8291,          -42.8855,          -10.3694,          -11.1999,           -0.2700,           -0.1766,          -25.2851,
Ref 8,5.16622e-08,,,,,,1.1975e-02,4.2068e-03,4.8896e-05,4.6451e-06,6.2897e-08,,,,,,,,,,,
Sam 8,5.12158e-08,1.18884e-02,4.1843e-03,4.8261e-05,4.5988e-06,6.0303e-08,,,,,,           -7.1950,           -5.3518,          -13.0262,          -10.2473,          -44.5994,          -10.3614,          -11.2101,           -0.3888,            0.4321,          -27.0182,
Ref 9,5.09549e-08,,,,,,1.1975e-02,4.2068e-03,4.8900e-05,4.6478e-06,6.3342e-08,,,,,,,,,,,
Sam 9,5.05111e-08,1.18884e-02,4.1843e-03,4.8266e-05,4.5998e-06,6.2313e-08,,,,,,           -7.1974,           -5.3402,          -13.0249,          -10.0800,          -29.0794,          -10.3643,          -11.1986,           -0.3964,            0.5780,          -11.2325,
Ref 10,5.02530e-08,,,,,,1.1975e-02,4.2067e-03,4.8905e-05,4.6454e-06,6.5027e-08,,,,,,,,,,,
Sam 10,4.98096e-08,1.18884e-02,4.1843e-03,4.8271e-05,4.6003e-06,6.3966e-08,,,,,,           -7.1942,           -5.3529,          -12.9753,           -9.8921,          -24.5150,          -10.3604,          -11.2113,           -0.3370,            0.7934,           -6.5629,
Ref 11,4.95636e-08,,,,,,1.1975e-02,4.2068e-03,4.8907e-05,4.6471e-06,6.6127e-08,,,,,,,,,,,
Sam 11,4.91236e-08,1.18884e-02,4.1844e-03,4.8268e-05,4.5973e-06,6.5270e-08,,,,,,           -7.1966,           -5.3429,          -13.0956,          -10.9927,          -22.0760,          -10.3634,          -11.2013,           -0.4662,           -0.3391,           -4.0961,
Ref 12,4.88937e-08,,,,,,1.1975e-02,4.2069e-03,4.8911e-05,4.6498e-06,6.7369e-08,,,,,,,,,,,
Sam 12,4.84488e-08,1.18885e-02,4.1844e-03,4.8279e-05,4.6003e-06,6.3899e-08,,,,,,           -7.1867,           -5.3453,          -12.9440,          -10.5272,          -75.0666,          -10.3527,          -11.2037,           -0.3205,            0.1361,          -58.0665,
Ref 13,4.82337e-08,,,,,,1.1975e-02,4.2069e-03,4.8913e-05,4.6486e-06,7.0823e-08,,,,,,,,,,,
Sam 13,4.77896e-08,1.18885e-02,4.1844e-03,4.8275e-05,4.6028e-06,6.8185e-08,,,,,,           -7.1955,           -5.3455,          -13.0428,          -10.0291,          -40.2328,          -10.3621,          -11.2039,           -0.4113,            0.6401,          -22.5829,
Ref 14,4.75875e-08,,,,,,1.1975e-02,4.2069e-03,4.8912e-05,4.6503e-06,7.1266e-08,,,,,,,,,,,
Sam 14,4.71448e-08,1.18885e-02,4.1845e-03,4.8277e-05,4.6021e-06,6.7225e-08,,,,,,           -7.1979,           -5.3365,          -13.0390,          -10.4486,          -59.0044,          -10.3649,          -11.1949,           -0.4139,            0.1979,          -41.7142,
Ref 15,4.69480e-08,,,,,,1.1975e-02,4.2069e-03,4.8918e-05,4.6511e-06,7.1616e-08,,,,,,,,,,,
Sam 15,4.65059e-08,1.18884e-02,4.1844e-03,4.8281e-05,4.6030e-06,7.4327e-08,,,,,,           -7.1980,           -5.3453,          -13.0347,          -10.2891,           37.2723,          -10.3648,          -11.2037,           -0.4007,            0.3769,           56.3500,
Ref 16,4.63139e-08,,,,,,1.1974e-02,4.2069e-03,4.8920e-05,4.6505e-06,7.1697e-08,,,,,,,,,,,
Sam 16,4.58781e-08,1.18882e-02,4.1844e-03,4.8282e-05,4.6041e-06,7.0652e-08,,,,,,           -7.1981,           -5.3474,          -13.0205,          -10.3984,          -29.0221,          -10.3648,          -11.2058,           -0.3842,            0.2706,          -11.1595,
Ref 17,4.56988e-08,,,,,,1.1974e-02,4.2069e-03,4.8918e-05,4.6545e-06,7.3844e-08,,,,,,,,,,,
Sam 17,4.52620e-08,1.18883e-02,4.1843e-03,4.8286e-05,4.6030e-06,7.3253e-08,,,,,,           -7.1901,           -5.3539,          -12.9159,          -11.2707,          -40.9532,          -10.3561,          -11.2123,           -0.2800,           -0.5980,          -23.3058,
Ref 18,4.50954e-08,,,,,,1.1974e-02,4.2068e-03,4.8918e-05,4.6564e-06,7.8952e-08,,,,,,,,,,,
Sam 18,4.46547e-08,1.18882e-02,4.1844e-03,4.8287e-05,4.6033e-06,7.7577e-08,,,,,,           -7.1996,           -5.3408,          -12.9348,          -11.3642,           -8.3161,          -10.3666,          -11.1993,           -0.3023,           -0.7187,            9.9159,
Ref 19,4.45021e-08,,,,,,1.1974e-02,4.2069e-03,4.8922e-05,4.6560e-06,7.7493e-08,,,,,,,,,,,
Sam 19,4.40596e-08,1.18882e-02,4.1844e-03,4.8286e-05,4.6037e-06,7.7614e-08,,,,,,           -7.2010,           -5.3433,          -13.0256,          -10.9474,          -31.0038,          -10.3680,          -11.2017,           -0.3904,           -0.2926,          -13.1826,
Ref 20,4.39167e-08,,,,,,1.1974e-02,4.2068e-03,4.8924e-05,4.6532e-06,8.2736e-08,,,,,,,,,,,
Sam 20,4.34745e-08,1.18881e-02,4.1843e-03,4.8288e-05,4.6076e-06,7.8264e-08,,,,,,           -7.2090,           -5.3607,          -13.0861,          -10.2131,          -35.4439,          -10.3759,          -11.2190,           -0.4261,            0.4846,          -17.6622,
Ref 21,4.33488e-08,,,,,,1.1974e-02,4.2069e-03,4.8932e-05,4.6571e-06,7.9522e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.30685e-08,,,,,,1.1974e-02,4.2069e-03,4.8924e-05,4.6571e-06,8.4411e-08,
Sam 1,4.26138e-08,1.18881e-02,4.1844e-03,4.8291e-05,4.6064e-06,8.5039e-08,,,,,,           -7.2088,           -5.3488,          -12.9956,          -11.2547,            7.1436,          -10.3761,          -11.2072,           -0.3464,           -0.5920,           25.6861,
Ref 2,4.25075e-08,,,,,,1.1974e-02,4.2069e-03,4.8931e-05,4.6606e-06,8.4461e-08,,,,,,,,,,,
Sam 2,4.20492e-08,1.18881e-02,4.1844e-03,4.8293e-05,4.6073e-06,8.1197e-08,,,,,,           -7.2105,           -5.3580,          -13.0290,          -11.3432,          -42.4194,          -10.3776,          -11.2163,           -0.3694,           -0.6631,          -24.7699,
Ref 3,4.19607e-08,,,,,,1.1974e-02,4.2069e-03,4.8929e-05,4.6597e-06,8.5131e-08,,,,,,,,,,,
Sam 3,4.14984e-08,1.18883e-02,4.1844e-03,4.8295e-05,4.6108e-06,8.4938e-08,,,,,,           -7.1940,           -5.3405,          -12.9587,          -10.3045,          -25.8116,          -10.3607,          -11.1990,           -0.3325,            0.3518,           -7.9077,
Ref 4,4.14207e-08,,,,,,1.1974e-02,4.2069e-03,4.8928e-05,4.6578e-06,8.9272e-08,,,,,,,,,,,
Sam 4,4.09507e-08,1.18881e-02,4.1844e-03,4.8293e-05,4.6108e-06,8.6834e-08,,,,,,           -7.2041,           -5.3432,          -13.0698,          -10.4199,          -37.4852,          -10.3713,          -11.2016,           -0.4319,            0.2406,          -19.7801,
Ref 5,4.08930e-08,,,,,,1.1974e-02,4.2069e-03,4.8937e-05,4.6609e-06,9.1171e-08,,,,,,,,,,,
Sam 5,4.04161e-08,1.18881e-02,4.1844e-03,4.8296e-05,4.6106e-06,8.6571e-08,,,,,,           -7.1957,           -5.3402,          -13.0759,          -10.5182,          -37.9084,          -10.3624,          -11.1986,           -0.4499,            0.1350,          -20.2259,
Ref 6,4.03664e-08,,,,,,1.1974e-02,4.2069e-03,4.8935e-05,4.6583e-06,8.8777e-08,,,,,,,,,,,
Sam 6,3.98944e-08,1.18880e-02,4.1844e-03,4.8297e-05,4.6119e-06,8.7967e-08,,,,,,           -7.1975,           -5.3552,          -13.0594,          -10.7083,          -43.3690,          -10.3639,          -11.2136,           -0.4164,           -0.0269,          -25.7559,
Ref 7,3.98590e-08,,,,,,1.1974e-02,4.2069e-03,4.8936e-05,4.6653e-06,9.5174e-08,,,,,,,,,,,
Sam 7,3.93768e-08,1.18879e-02,4.1844e-03,4.8300e-05,4.6130e-06,9.6040e-08,,,,,,           -7.2168,           -5.3471,          -13.0131,          -11.0873,           14.2432,          -10.3847,          -11.2055,           -0.3575,           -0.4262,           32.9219,
Ref 8,3.93477e-08,,,,,,1.1974e-02,4.2069e-03,4.8937e-05,4.6640e-06,9.4202e-08,,,,,,,,,,,
Sam 8,3.88677e-08,1.18883e-02,4.1844e-03,4.8305e-05,4.6153e-06,9.8158e-08,,,,,,           -7.1854,           -5.3372,          -12.9461,          -10.4216,           29.7309,          -10.3516,          -11.1956,           -0.3321,            0.2266,           48.6388,
Ref 9,3.88529e-08,,,,,,1.1974e-02,4.2069e-03,4.8940e-05,4.6637e-06,9.6460e-08,,,,,,,,,,,
Sam 9,3.83730e-08,1.18880e-02,4.1844e-03,4.8305e-05,4.6156e-06,8.7503e-08,,,,,,           -7.1961,           -5.3427,          -13.0220,           -9.7914,          -80.8353,          -10.3629,          -11.2012,           -0.3922,            0.8748,          -63.9364,
Ref 10,3.83742e-08,,,,,,1.1974e-02,4.2069e-03,4.8944e-05,4.6588e-06,9.3922e-08,,,,,,,,,,,
Sam 10,3.78865e-08,1.18879e-02,4.1845e-03,4.8313e-05,4.6160e-06,9.0855e-08,,,,,,           -7.1984,           -5.3170,          -12.9260,           -9.9463,          -46.9691,          -10.3661,          -11.1755,           -0.3182,            0.6664,          -29.4947,
Ref 11,3.78911e-08,,,,,,1.1974e-02,4.2068e-03,4.8947e-05,4.6659e-06,9.6761e-08,,,,,,,,,,,
Sam 11,3.74014e-08,1.18879e-02,4.1843e-03,4.8304e-05,4.6145e-06,9.7101e-08,,,,,,           -7.1936,           -5.3358,          -13.1659,          -10.6876,            8.9175,          -10.3604,          -11.1942,           -0.5475,           -0.0451,           27.4495,
Ref 12,3.74209e-08,,,,,,1.1974e-02,4.2068e-03,4.8949e-05,4.6628e-06,9.5717e-08,,,,,,,,,,,
Sam 12,3.69356e-08,1.18877e-02,4.1843e-03,4.8310e-05,4.6176e-06,9.0875e-08,,,,,,           -7.1999,           -5.3540,          -13.0435,          -10.1657,          -29.1785,          -10.3664,          -11.2123,           -0.3990,            0.5191,          -11.3040,
Ref 13,3.69615e-08,,,,,,1.1974e-02,4.2068e-03,4.8948e-05,4.6673e-06,9.1469e-08,,,,,,,,,,,
Sam 13,3.64735e-08,1.18877e-02,4.1843e-03,4.8308e-05,4.6167e-06,8.9403e-08,,,,,,           -7.1993,           -5.3405,          -13.0646,          -10.6675,          -38.0129,          -10.3663,          -11.1989,           -0.4343,           -0.0152,          -20.3277,
Ref 14,3.65124e-08,,,,,,1.1974e-02,4.2067e-03,4.8948e-05,4.6656e-06,9.4421e-08,,,,,,,,,,,
Sam 14,3.60175e-08,1.18876e-02,4.1843e-03,4.8313e-05,4.6155e-06,9.4298e-08,,,,,,           -7.2023,           -5.3316,          -13.0030,          -11.0820,           -8.2307,          -10.3698,          -11.1901,           -0.3776,           -0.4520,            9.9874,
Ref 15,3.60657e-08,,,,,,1.1974e-02,4.2067e-03,4.8950e-05,4.6690e-06,9.5749e-08,,,,,,,,,,,
Sam 15,3.55633e-08,1.18876e-02,4.1842e-03,4.8315e-05,4.6216e-06,9.1651e-08,,,,,,           -7.2072,           -5.3470,          -12.9975,           -9.5088,          -73.6778,          -10.3745,          -11.2054,           -0.3517,            1.1691,          -56.6280,
Ref 16,3.56254e-08,,,,,,1.1974e-02,4.2067e-03,4.8952e-05,4.6629e-06,1.0217e-07,,,,,,,,,,,
Sam 16,3.51230e-08,1.18875e-02,4.1842e-03,4.8312e-05,4.6202e-06,9.9536e-08,,,,,,           -7.2080,           -5.3585,          -13.1115,          -10.0354,          -38.6948,          -10.3750,          -11.2169,           -0.4549,            0.6600,          -20.9781,
Ref 17,3.51940e-08,,,,,,1.1974e-02,4.2067e-03,4.8956e-05,4.6712e-06,1.0493e-07,,,,,,,,,,,
Sam 17,3.46826e-08,1.18876e-02,4.1843e-03,4.8317e-05,4.6218e-06,1.0207e-07,,,,,,           -7.1897,           -5.3332,          -13.0679,          -10.4445,          -30.3782,          -10.3564,          -11.1917,           -0.4548,            0.1955,          -12.5770,
Ref 18,3.47682e-08,,,,,,1.1974e-02,4.2067e-03,4.8958e-05,4.6700e-06,1.0562e-07,,,,,,,,,,,
Sam 18,3.42490e-08,1.18874e-02,4.1842e-03,4.8314e-05,4.6193e-06,1.0189e-07,,,,,,           -7.1920,           -5.3455,          -13.1213,          -10.6377,          -44.6710,          -10.3584,          -11.2039,           -0.4944,            0.0249,          -27.1062,
Ref 19,3.43431e-08,,,,,,1.1974e-02,4.2066e-03,4.8956e-05,4.6679e-06,1.0771e-07,,,,,,,,,,,
Sam 19,3.38213e-08,1.18873e-02,4.1842e-03,4.8318e-05,4.6224e-06,1.0824e-07,,,,,,           -7.2022,           -5.3451,          -13.0449,           -9.8564,            9.9213,          -10.3692,          -11.2034,           -0.4069,            0.8137,           28.5000,
Ref 20,3.39307e-08,,,,,,1.1974e-02,4.2066e-03,4.8959e-05,4.6689e-06,1.0664e-07,,,,,,,,,,,
Sam 20,3.34048e-08,1.18874e-02,4.1842e-03,4.8316e-05,4.6205e-06,1.0908e-07,,,,,,           -7.1947,           -5.3307,          -13.1201,          -10.1947,           -0.4645,          -10.3617,          -11.1892,           -0.5051,            0.4430,           17.8861,
Ref 21,3.35229e-08,,,,,,1.1973e-02,4.2066e-03,4.8959e-05,4.6672e-06,1.1166e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.33230e-08,,,,,,1.1974e-02,4.2067e-03,4.8959e-05,4.6737e-06,1.1318e-07,
Sam 1,3.27892e-08,1.18871e-02,4.1841e-03,4.8323e-05,4.6266e-06,1.1439e-07,,,,,,           -7.2060,           -5.3540,          -13.0424,          -10.3504,           -3.1533,          -10.3730,          -11.2123,           -0.3915,            0.3324,           15.2070,
Ref 2,3.29196e-08,,,,,,1.1973e-02,4.2066e-03,4.8963e-05,4.6763e-06,1.1634e-07,,,,,,,,,,,
Sam 2,3.23859e-08,1.18871e-02,4.1841e-03,4.8322e-05,4.6264e-06,1.1560e-07,,,,,,           -7.2059,           -5.3250,          -13.0764,          -10.6978,           -4.8808,          -10.3739,          -11.1834,           -0.4547,           -0.0771,           13.3894,
Ref 3,3.25305e-08,,,,,,1.1973e-02,4.2065e-03,4.8960e-05,4.6765e-06,1.1598e-07,,,,,,,,,,,
Sam 3,3.19910e-08,1.18871e-02,4.1841e-03,4.8325e-05,4.6286e-06,1.1548e-07,,,,,,           -7.1967,           -5.3433,          -13.0140,          -10.4926,            3.1428,          -10.3634,          -11.2017,           -0.3831,            0.1671,           21.5871,
Ref 4,3.21404e-08,,,,,,1.1973e-02,4.2065e-03,4.8965e-05,4.6789e-06,1.1425e-07,,,,,,,,,,,
Sam 4,3.16003e-08,1.18871e-02,4.1841e-03,4.8328e-05,4.6272e-06,1.1349e-07,,,,,,           -7.2015,           -5.3344,          -13.0235,          -10.9186,          -34.6506,          -10.3689,          -11.1929,           -0.3964,           -0.2813,          -16.9131,
Ref 5,3.17631e-08,,,,,,1.1973e-02,4.2065e-03,4.8967e-05,4.6776e-06,1.2093e-07,,,,,,,,,,,
Sam 5,3.12213e-08,1.18871e-02,4.1840e-03,4.8323e-05,4.6331e-06,1.2115e-07,,,,,,           -7.1939,           -5.3430,          -13.1791,           -9.6251,           -1.1355,          -10.3605,          -11.2015,           -0.5534,            1.0435,           17.2268,
Ref 6,3.13870e-08,,,,,,1.1973e-02,4.2065e-03,4.8970e-05,4.6785e-06,1.2165e-07,,,,,,,,,,,
Sam 6,3.08411e-08,1.18871e-02,4.1841e-03,4.8324e-05,4.6293e-06,1.2358e-07,,,,,,           -7.1924,           -5.3285,          -13.1767,          -10.6609,           -6.1838,          -10.3594,          -11.1870,           -0.5669,           -0.0326,           12.0550,
Ref 7,3.10197e-08,,,,,,1.1973e-02,4.2065e-03,4.8967e-05,4.6799e-06,1.2707e-07,,,,,,,,,,,
Sam 7,3.04720e-08,1.18870e-02,4.1840e-03,4.8325e-05,4.6288e-06,1.2590e-07,,,,,,           -7.2017,           -5.3275,          -13.1343,          -11.2472,          -11.2158,          -10.3693,          -11.1860,           -0.5153,           -0.6273,            6.9386,
Ref 8,3.06536e-08,,,,,,1.1973e-02,4.2064e-03,4.8970e-05,4.6830e-06,1.2759e-07,,,,,,,,,,,
Sam 8,3.01050e-08,1.18869e-02,4.1839e-03,4.8327e-05,4.6317e-06,1.3305e-07,,,,,,           -7.2065,           -5.3500,          -13.1583,          -10.5134,           32.1081,          -10.3736,          -11.2084,           -0.5124,            0.1596,           51.1101,
Ref 9,3.02967e-08,,,,,,1.1973e-02,4.2064e-03,4.8974e-05,4.6788e-06,1.3025e-07,,,,,,,,,,,
Sam 9,2.97477e-08,1.18868e-02,4.1839e-03,4.8337e-05,4.6370e-06,1.2735e-07,,,,,,           -7.2134,           -5.3530,          -12.9912,           -8.8518,          -14.9642,          -10.3809,          -11.2113,           -0.3330,            1.8452,            3.1845,
Ref 10,2.99474e-08,,,,,,1.1973e-02,4.2064e-03,4.8974e-05,4.6779e-06,1.2831e-07,,,,,,,,,,,
Sam 10,2.93952e-08,1.18869e-02,4.1840e-03,4.8337e-05,4.6331e-06,1.3295e-07,,,,,,           -7.1967,           -5.3269,          -12.9944,          -10.0138,           -2.4336,          -10.3640,          -11.1853,           -0.3794,            0.6180,           15.8753,
Ref 11,2.96029e-08,,,,,,1.1973e-02,4.2064e-03,4.8974e-05,4.6820e-06,1.3830e-07,,,,,,,,,,,
Sam 11,2.90489e-08,1.18869e-02,4.1840e-03,4.8338e-05,4.6339e-06,1.3324e-07,,,,,,           -7.1851,           -5.3301,          -13.0112,          -10.0448,          -25.8572,          -10.3516,          -11.1886,           -0.4053,            0.5932,           -7.9841,
Ref 12,2.92648e-08,,,,,,1.1973e-02,4.2063e-03,4.8976e-05,4.6798e-06,1.3523e-07,,,,,,,,,,,
Sam 12,2.87074e-08,1.18868e-02,4.1839e-03,4.8335e-05,4.6356e-06,1.2856e-07,,,,,,           -7.1923,           -5.3305,          -13.1185,           -9.6373,          -33.5935,          -10.3593,          -11.1890,           -0.5061,            1.0059,          -15.8540,
Ref 13,2.89258e-08,,,,,,1.1973e-02,4.2063e-03,4.8980e-05,4.6816e-06,1.3080e-07,,,,,,,,,,,
Sam 13,2.83678e-08,1.18867e-02,4.1839e-03,4.8339e-05,4.6304e-06,1.3191e-07,,,,,,           -7.1995,           -5.3342,          -13.1031,          -10.8216,            3.5503,          -10.3667,          -11.1926,           -0.4794,           -0.1837,           21.9869,
Ref 14,2.85962e-08,,,,,,1.1973e-02,4.2064e-03,4.8983e-05,4.6805e-06,1.3210e-07,,,,,,,,,,,
Sam 14,2.80359e-08,1.18867e-02,4.1838e-03,4.8348e-05,4.6371e-06,1.3815e-07,,,,,,           -7.1971,           -5.3520,          -12.9968,           -9.8486,           32.2817,          -10.3636,          -11.2104,           -0.3565,            0.8357,           51.2805,
Ref 15,2.82689e-08,,,,,,1.1973e-02,4.2063e-03,4.8987e-05,4.6859e-06,1.3557e-07,,,,,,,,,,,
Sam 15,2.77068e-08,1.18866e-02,4.1839e-03,4.8346e-05,4.6386e-06,1.3583e-07,,,,,,           -7.1984,           -5.3185,          -13.1085,          -10.7766,          -46.9716,          -10.3662,          -11.1770,           -0.5015,           -0.1697,          -29.4943,
Ref 16,2.79467e-08,,,,,,1.1973e-02,4.2063e-03,4.8990e-05,4.6925e-06,1.4956e-07,,,,,,,,,,,
Sam 16,2.73860e-08,1.18865e-02,4.1839e-03,4.8359e-05,4.6398e-06,1.4086e-07,,,,,,           -7.2015,           -5.3328,          -12.8841,          -10.9972,          -31.2871,          -10.3689,          -11.1913,           -0.2569,           -0.3639,          -13.4910,
Ref 17,2.76325e-08,,,,,,1.1973e-02,4.2063e-03,4.8990e-05,4.6904e-06,1.4121e-07,,,,,,,,,,,
Sam 17,2.70695e-08,1.18863e-02,4.1838e-03,4.8349e-05,4.6400e-06,1.4204e-07,,,,,,           -7.2114,           -5.3352,          -13.0369,          -10.7336,            2.4192,          -10.3794,          -11.1936,           -0.3989,           -0.0927,           20.8502,
Ref 18,2.73240e-08,,,,,,1.1973e-02,4.2062e-03,4.8986e-05,4.6903e-06,1.4219e-07,,,,,,,,,,,
Sam 18,2.67537e-08,1.18865e-02,4.1838e-03,4.8344e-05,4.6420e-06,1.4278e-07,,,,,,           -7.1919,           -5.3238,          -13.2359,          -10.2744,          -30.2753,          -10.3590,          -11.1823,           -0.6320,            0.3485,          -12.4884,
Ref 19,2.70128e-08,,,,,,1.1973e-02,4.2062e-03,4.8999e-05,4.6901e-06,1.5236e-07,,,,,,,,,,,
Sam 19,2.64437e-08,1.18864e-02,4.1837e-03,4.8355e-05,4.6453e-06,1.5100e-07,,,,,,           -7.1988,           -5.3305,          -13.0918,           -9.8901,          -18.5113,          -10.3662,          -11.1890,           -0.4722,            0.7505,           -0.4879,
Ref 20,2.67122e-08,,,,,,1.1973e-02,4.2061e-03,4.8994e-05,4.6933e-06,1.5535e-07,,,,,,,,,,,
