Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 06, 2021 at 12:17 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 06, 2021 at 13:16 with Stable 1.71.5 on PS019

Data File = Data_13559 BISON_ENAMEL_A.txt,Sample Weight = 8152,                     Vial Location = 7,                        Initial Sam Beam = 2.0090e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.4678e-08,                Max Ref Beam = 1.0598e-07,                

Analysis undertaken at mass 46.00677
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.87665e-08,,,,,,1.1973e-02,4.2059e-03,4.8904e-05,4.6449e-06,6.2444e-08,
Sam 1,7.81847e-08,1.18652e-02,4.2115e-03,4.8495e-05,4.6576e-06,6.4271e-08,,,,,,           -9.0437,            1.3160,           -8.4230,            2.4132,           -9.5657,          -12.5603,           -4.5706,           -0.3902,           -0.2201,           -2.5352,
Ref 2,7.75620e-08,,,,,,1.1974e-02,4.2061e-03,4.8911e-05,4.6478e-06,6.7379e-08,,,,,,,,,,,
Sam 2,7.69292e-08,1.18651e-02,4.2115e-03,4.8498e-05,4.6593e-06,6.7786e-08,,,,,,           -9.0632,            1.2928,           -8.4246,            2.2491,          -11.8300,          -12.5802,           -4.5937,           -0.3488,           -0.3373,           -4.7492,
Ref 3,7.63194e-08,,,,,,1.1974e-02,4.2061e-03,4.8909e-05,4.6498e-06,6.9837e-08,,,,,,,,,,,
Sam 3,7.56727e-08,1.18649e-02,4.2114e-03,4.8499e-05,4.6631e-06,7.0980e-08,,,,,,           -9.0638,            1.2861,           -8.3632,            2.5468,            8.0579,          -12.5807,           -4.6003,           -0.2797,           -0.0272,           15.2952,
Ref 4,7.51002e-08,,,,,,1.1973e-02,4.2059e-03,4.8906e-05,4.6526e-06,7.0997e-08,,,,,,,,,,,
Sam 4,7.44572e-08,1.18648e-02,4.2113e-03,4.8497e-05,4.6645e-06,7.2196e-08,,,,,,           -9.0588,            1.2886,           -8.3276,            2.8192,           -2.7020,          -12.5755,           -4.5978,           -0.2514,            0.2396,            4.4477,
Ref 5,7.39107e-08,,,,,,1.1973e-02,4.2058e-03,4.8903e-05,4.6501e-06,7.3809e-08,,,,,,,,,,,
Sam 5,7.32757e-08,1.18646e-02,4.2112e-03,4.8491e-05,4.6649e-06,7.3919e-08,,,,,,           -9.0567,            1.2964,           -8.4231,            2.9747,           -4.2766,          -12.5734,           -4.5901,           -0.3575,            0.3792,            2.8443,
Ref 6,7.27439e-08,,,,,,1.1973e-02,4.2057e-03,4.8902e-05,4.6521e-06,7.4671e-08,,,,,,,,,,,
Sam 6,7.21175e-08,1.18641e-02,4.2110e-03,4.8496e-05,4.6651e-06,7.5897e-08,,,,,,           -9.0693,            1.2843,           -8.3371,            2.5530,          -15.8673,          -12.5864,           -4.6021,           -0.2459,           -0.0174,           -8.7925,
Ref 7,7.16092e-08,,,,,,1.1973e-02,4.2055e-03,4.8905e-05,4.6544e-06,7.9610e-08,,,,,,,,,,,
Sam 7,7.09849e-08,1.18641e-02,4.2110e-03,4.8489e-05,4.6636e-06,7.9025e-08,,,,,,           -9.0604,            1.2936,           -8.4790,            1.9502,          -18.0635,          -12.5773,           -4.5929,           -0.4073,           -0.6371,          -11.0320,
Ref 8,7.05024e-08,,,,,,1.1973e-02,4.2055e-03,4.8903e-05,4.6546e-06,8.1361e-08,,,,,,,,,,,
Sam 8,6.98872e-08,1.18640e-02,4.2109e-03,4.8492e-05,4.6664e-06,8.2042e-08,,,,,,           -9.0578,            1.2974,           -8.3920,            2.6349,          -19.5746,          -12.5746,           -4.5890,           -0.3262,            0.0382,          -12.5641,
Ref 9,6.94206e-08,,,,,,1.1972e-02,4.2054e-03,4.8901e-05,4.6537e-06,8.6034e-08,,,,,,,,,,,
Sam 9,6.88067e-08,1.18638e-02,4.2108e-03,4.8492e-05,4.6687e-06,8.6451e-08,,,,,,           -9.0627,            1.2945,           -8.3536,            3.0980,          -20.5793,          -12.5798,           -4.5920,           -0.2793,            0.5060,          -13.5650,
Ref 10,6.83488e-08,,,,,,1.1972e-02,4.2053e-03,4.8900e-05,4.6549e-06,9.0536e-08,,,,,,,,,,,
Sam 10,6.77431e-08,1.18637e-02,4.2107e-03,4.8494e-05,4.6668e-06,9.2188e-08,,,,,,           -9.0661,            1.2903,           -8.3002,            2.2581,           -9.0418,          -12.5833,           -4.5961,           -0.2179,           -0.3234,           -1.9330,
Ref 11,6.73155e-08,,,,,,1.1972e-02,4.2053e-03,4.8900e-05,4.6578e-06,9.5560e-08,,,,,,,,,,,
Sam 11,6.67043e-08,1.18634e-02,4.2106e-03,4.8490e-05,4.6694e-06,9.6663e-08,,,,,,           -9.0681,            1.2893,           -8.3489,            2.4146,            5.9800,          -12.5854,           -4.5971,           -0.2639,           -0.1654,           13.2007,
Ref 12,6.62990e-08,,,,,,1.1972e-02,4.2051e-03,4.8897e-05,4.6586e-06,9.6626e-08,,,,,,,,,,,
Sam 12,6.56974e-08,1.18633e-02,4.2105e-03,4.8488e-05,4.6685e-06,9.7043e-08,,,,,,           -9.0579,            1.3021,           -8.3630,            2.0270,          -14.2693,          -12.5749,           -4.5844,           -0.3013,           -0.5774,           -7.2297,
Ref 13,6.52987e-08,,,,,,1.1972e-02,4.2051e-03,4.8896e-05,4.6596e-06,1.0030e-07,,,,,,,,,,,
Sam 13,6.47029e-08,1.18631e-02,4.2104e-03,4.8484e-05,4.6708e-06,9.8910e-08,,,,,,           -9.0611,            1.2868,           -8.4571,            2.5929,          -14.6954,          -12.5778,           -4.5996,           -0.3779,            0.0175,           -7.6258,
Ref 14,6.43216e-08,,,,,,1.1971e-02,4.2049e-03,4.8898e-05,4.6580e-06,1.0047e-07,,,,,,,,,,,
Sam 14,6.37280e-08,1.18628e-02,4.2103e-03,4.8488e-05,4.6722e-06,1.0302e-07,,,,,,           -9.0629,            1.2964,           -8.4107,            2.8149,           -3.7594,          -12.5800,           -4.5901,           -0.3386,            0.2198,            3.3718,
Ref 15,6.33591e-08,,,,,,1.1971e-02,4.2048e-03,4.8900e-05,4.6603e-06,1.0638e-07,,,,,,,,,,,
Sam 15,6.27741e-08,1.18628e-02,4.2103e-03,4.8487e-05,4.6730e-06,1.0417e-07,,,,,,           -9.0550,            1.2927,           -8.4290,            2.7415,          -21.7910,          -12.5716,           -4.5938,           -0.3616,            0.1540,          -14.7900,
Ref 16,6.24203e-08,,,,,,1.1971e-02,4.2048e-03,4.8898e-05,4.6602e-06,1.0661e-07,,,,,,,,,,,
Sam 16,6.18308e-08,1.18626e-02,4.2103e-03,4.8488e-05,4.6741e-06,1.0853e-07,,,,,,           -9.0695,            1.2967,           -8.4138,            2.6950,            5.5461,          -12.5871,           -4.5898,           -0.3351,            0.0996,           12.7505,
Ref 17,6.14963e-08,,,,,,1.1971e-02,4.2048e-03,4.8901e-05,4.6628e-06,1.0927e-07,,,,,,,,,,,
Sam 17,6.09158e-08,1.18625e-02,4.2102e-03,4.8493e-05,4.6781e-06,1.1224e-07,,,,,,           -9.0748,            1.2853,           -8.3803,            3.2326,          -11.1542,          -12.5924,           -4.6011,           -0.2846,            0.6586,           -4.0415,
Ref 18,6.05928e-08,,,,,,1.1971e-02,4.2047e-03,4.8903e-05,4.6632e-06,1.1780e-07,,,,,,,,,,,
Sam 18,6.00185e-08,1.18625e-02,4.2102e-03,4.8490e-05,4.6750e-06,1.1816e-07,,,,,,           -9.0597,            1.2869,           -8.4249,            2.0966,          -15.9809,          -12.5763,           -4.5995,           -0.3469,           -0.4777,           -8.9221,
Ref 19,5.97193e-08,,,,,,1.1971e-02,4.2047e-03,4.8900e-05,4.6673e-06,1.2240e-07,,,,,,,,,,,
Sam 19,5.91438e-08,1.18624e-02,4.2102e-03,4.8488e-05,4.6782e-06,1.2040e-07,,,,,,           -9.0567,            1.2927,           -8.4159,            2.5533,          -23.7822,          -12.5734,           -4.5937,           -0.3467,           -0.0338,          -16.7938,
Ref 20,5.88607e-08,,,,,,1.1971e-02,4.2047e-03,4.8899e-05,4.6652e-06,1.2428e-07,,,,,,,,,,,
Sam 20,5.82731e-08,1.18623e-02,4.2102e-03,4.8495e-05,4.6797e-06,1.2372e-07,,,,,,           -9.0630,            1.2861,           -8.2989,            2.8183,           -9.2939,          -12.5798,           -4.6003,           -0.2157,            0.2437,           -2.1821,
Ref 21,5.80084e-08,,,,,,1.1971e-02,4.2048e-03,4.8903e-05,4.6680e-06,1.2549e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.75973e-08,,,,,,1.1971e-02,4.2048e-03,4.8910e-05,4.6689e-06,1.2673e-07,
Sam 1,5.70038e-08,1.18623e-02,4.2102e-03,4.8501e-05,4.6806e-06,1.2799e-07,,,,,,           -9.0621,            1.3083,           -8.3959,            2.2851,          -16.6821,          -12.5796,           -4.5782,           -0.3362,           -0.3324,           -9.6675,
Ref 2,5.67738e-08,,,,,,1.1971e-02,4.2047e-03,4.8913e-05,4.6710e-06,1.3365e-07,,,,,,,,,,,
Sam 2,5.61719e-08,1.18623e-02,4.2102e-03,4.8501e-05,4.6857e-06,1.3292e-07,,,,,,           -9.0559,            1.2990,           -8.3666,            2.8974,          -13.7074,          -12.5727,           -4.5874,           -0.3041,            0.2968,           -6.6601,
Ref 3,5.59619e-08,,,,,,1.1971e-02,4.2047e-03,4.8908e-05,4.6733e-06,1.3590e-07,,,,,,,,,,,
Sam 3,5.53583e-08,1.18622e-02,4.2102e-03,4.8500e-05,4.6851e-06,1.3714e-07,,,,,,           -9.0651,            1.2940,           -8.4044,            2.4263,           -4.9207,          -12.5823,           -4.5924,           -0.3276,           -0.1631,            2.2092,
Ref 4,5.51674e-08,,,,,,1.1971e-02,4.2047e-03,4.8914e-05,4.6743e-06,1.3977e-07,,,,,,,,,,,
Sam 4,5.45630e-08,1.18621e-02,4.2101e-03,4.8512e-05,4.6888e-06,1.4161e-07,,,,,,           -9.0697,            1.2926,           -8.3322,            3.0430,            6.2858,          -12.5872,           -4.5938,           -0.2486,            0.4549,           13.5039,
Ref 5,5.43878e-08,,,,,,1.1971e-02,4.2047e-03,4.8925e-05,4.6749e-06,1.4169e-07,,,,,,,,,,,
Sam 5,5.37846e-08,1.18622e-02,4.2101e-03,4.8514e-05,4.6883e-06,1.4361e-07,,,,,,           -9.0657,            1.2861,           -8.3931,            2.4350,           -6.1314,          -12.5827,           -4.6003,           -0.3079,           -0.1386,            1.0060,
Ref 6,5.36281e-08,,,,,,1.1971e-02,4.2048e-03,4.8923e-05,4.6789e-06,1.4734e-07,,,,,,,,,,,
Sam 6,5.30134e-08,1.18622e-02,4.2102e-03,4.8516e-05,4.6883e-06,1.4832e-07,,,,,,           -9.0636,            1.2950,           -8.3720,            2.2676,           -5.0210,          -12.5808,           -4.5914,           -0.2975,           -0.3234,            2.1047,
Ref 7,5.28764e-08,,,,,,1.1971e-02,4.2048e-03,4.8929e-05,4.6764e-06,1.5082e-07,,,,,,,,,,,
Sam 7,5.22661e-08,1.18622e-02,4.2102e-03,4.8522e-05,4.6917e-06,1.5002e-07,,,,,,           -9.0590,            1.3013,           -8.3551,            2.6516,          -13.1153,          -12.5761,           -4.5852,           -0.2915,            0.0471,           -6.0648,
Ref 8,5.21398e-08,,,,,,1.1971e-02,4.2047e-03,4.8933e-05,4.6822e-06,1.5323e-07,,,,,,,,,,,
Sam 8,5.15250e-08,1.18622e-02,4.2102e-03,4.8524e-05,4.6938e-06,1.5586e-07,,,,,,           -9.0521,            1.3052,           -8.3990,            2.0494,           -5.0630,          -12.5689,           -4.5813,           -0.3467,           -0.5613,            2.0299,
Ref 9,5.14146e-08,,,,,,1.1971e-02,4.2048e-03,4.8936e-05,4.6862e-06,1.6013e-07,,,,,,,,,,,
Sam 9,5.07994e-08,1.18622e-02,4.2102e-03,4.8528e-05,4.6981e-06,1.5813e-07,,,,,,           -9.0541,            1.2985,           -8.3263,            2.4324,          -22.2583,          -12.5707,           -4.5880,           -0.2649,           -0.1660,          -15.2730,
Ref 10,5.07056e-08,,,,,,1.1971e-02,4.2047e-03,4.8935e-05,4.6871e-06,1.6336e-07,,,,,,,,,,,
Sam 10,5.00946e-08,1.18620e-02,4.2102e-03,4.8525e-05,4.6997e-06,1.6400e-07,,,,,,           -9.0634,            1.2898,           -8.4906,            2.5457,            2.6141,          -12.5804,           -4.5966,           -0.4122,           -0.0356,            9.8045,
Ref 11,5.00101e-08,,,,,,1.1970e-02,4.2047e-03,4.8946e-05,4.6885e-06,1.6380e-07,,,,,,,,,,,
Sam 11,4.93976e-08,1.18622e-02,4.2102e-03,4.8543e-05,4.7003e-06,1.6242e-07,,,,,,           -9.0482,            1.3046,           -8.2434,            2.2490,          -17.9427,          -12.5647,           -4.5819,           -0.1934,           -0.3611,          -10.9447,
Ref 12,4.93286e-08,,,,,,1.1971e-02,4.2048e-03,4.8948e-05,4.6910e-06,1.6699e-07,,,,,,,,,,,
Sam 12,4.87183e-08,1.18620e-02,4.2102e-03,4.8540e-05,4.7043e-06,1.7068e-07,,,,,,           -9.0661,            1.2905,           -8.3614,            2.5299,            3.8650,          -12.5833,           -4.5959,           -0.2798,           -0.0526,           11.0661,
Ref 13,4.86676e-08,,,,,,1.1971e-02,4.2047e-03,4.8951e-05,4.6938e-06,1.7310e-07,,,,,,,,,,,
Sam 13,4.80557e-08,1.18619e-02,4.2102e-03,4.8542e-05,4.7046e-06,1.7537e-07,,,,,,           -9.0671,            1.3012,           -8.3868,            2.6525,            3.2954,          -12.5847,           -4.5853,           -0.3148,            0.0483,           10.4722,
Ref 14,4.80143e-08,,,,,,1.1970e-02,4.2048e-03,4.8954e-05,4.6905e-06,1.7650e-07,,,,,,,,,,,
Sam 14,4.73946e-08,1.18620e-02,4.2102e-03,4.8550e-05,4.7087e-06,1.8003e-07,,,,,,           -9.0480,            1.2950,           -8.3161,            3.1002,            5.3162,          -12.5642,           -4.5915,           -0.2574,            0.5071,           12.4989,
Ref 15,4.73726e-08,,,,,,1.1970e-02,4.2048e-03,4.8960e-05,4.6978e-06,1.8169e-07,,,,,,,,,,,
Sam 15,4.67474e-08,1.18620e-02,4.2103e-03,4.8549e-05,4.7108e-06,1.8496e-07,,,,,,           -9.0544,            1.3056,           -8.3861,            2.2508,            4.5537,          -12.5713,           -4.5809,           -0.3317,           -0.3614,           11.7167,
Ref 16,4.67403e-08,,,,,,1.1970e-02,4.2048e-03,4.8958e-05,4.7027e-06,1.8659e-07,,,,,,,,,,,
Sam 16,4.61127e-08,1.18619e-02,4.2102e-03,4.8552e-05,4.7140e-06,1.8848e-07,,,,,,           -9.0589,            1.2982,           -8.3641,            2.2270,            1.2076,          -12.5759,           -4.5883,           -0.2975,           -0.3702,            8.3665,
Ref 17,4.61180e-08,,,,,,1.1970e-02,4.2048e-03,4.8964e-05,4.7043e-06,1.8993e-07,,,,,,,,,,,
Sam 17,4.54867e-08,1.18619e-02,4.2102e-03,4.8554e-05,4.7159e-06,1.9415e-07,,,,,,           -9.0540,            1.2903,           -8.4207,            2.2115,            9.8450,          -12.5704,           -4.5961,           -0.3520,           -0.3700,           17.0760,
Ref 18,4.55073e-08,,,,,,1.1970e-02,4.2048e-03,4.8968e-05,4.7066e-06,1.9462e-07,,,,,,,,,,,
Sam 18,4.48707e-08,1.18618e-02,4.2102e-03,4.8562e-05,4.7156e-06,1.9478e-07,,,,,,           -9.0580,            1.2944,           -8.3759,            1.9703,          -16.2267,          -12.5748,           -4.5921,           -0.3066,           -0.6186,           -9.1860,
Ref 19,4.49066e-08,,,,,,1.1970e-02,4.2048e-03,4.8976e-05,4.7060e-06,2.0140e-07,,,,,,,,,,,
Sam 19,4.42660e-08,1.18616e-02,4.2102e-03,4.8562e-05,4.7197e-06,2.0312e-07,,,,,,           -9.0706,            1.2956,           -8.4558,            2.1911,           -7.5776,          -12.5882,           -4.5908,           -0.3754,           -0.4009,           -0.4640,
Ref 20,4.43140e-08,,,,,,1.1970e-02,4.2047e-03,4.8976e-05,4.7129e-06,2.0799e-07,,,,,,,,,,,
Sam 20,4.36726e-08,1.18617e-02,4.2102e-03,4.8564e-05,4.7247e-06,2.0873e-07,,,,,,           -9.0683,            1.2923,           -8.4874,            2.6439,          -14.1156,          -12.5856,           -4.5941,           -0.4063,            0.0574,           -7.0448,
Ref 21,4.37349e-08,,,,,,1.1970e-02,4.2048e-03,4.8982e-05,4.7115e-06,2.1551e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.34532e-08,,,,,,1.1970e-02,4.2048e-03,4.8981e-05,4.7149e-06,2.1482e-07,
Sam 1,4.28016e-08,1.18617e-02,4.2101e-03,4.8570e-05,4.7280e-06,2.2001e-07,,,,,,           -9.0574,            1.2827,           -8.4238,            3.1235,            9.6060,          -12.5738,           -4.6037,           -0.3441,            0.5550,           16.8542,
Ref 2,4.28837e-08,,,,,,1.1970e-02,4.2047e-03,4.8985e-05,4.7117e-06,2.2106e-07,,,,,,,,,,,
Sam 2,4.22315e-08,1.18617e-02,4.2102e-03,4.8579e-05,4.7274e-06,2.2713e-07,,,,,,           -9.0632,            1.2974,           -8.2868,            2.5440,           11.2172,          -12.5805,           -4.5891,           -0.2143,           -0.0524,           18.4540,
Ref 3,4.23230e-08,,,,,,1.1970e-02,4.2047e-03,4.8985e-05,4.7192e-06,2.2821e-07,,,,,,,,,,,
Sam 3,4.16691e-08,1.18616e-02,4.2101e-03,4.8584e-05,4.7320e-06,2.3190e-07,,,,,,           -9.0682,            1.2890,           -8.2427,            2.2264,           -0.6258,          -12.5854,           -4.5974,           -0.1565,           -0.3525,            6.5480,
Ref 4,4.17753e-08,,,,,,1.1970e-02,4.2047e-03,4.8990e-05,4.7238e-06,2.3593e-07,,,,,,,,,,,
Sam 4,4.11239e-08,1.18617e-02,4.2102e-03,4.8580e-05,4.7347e-06,2.3645e-07,,,,,,           -9.0535,            1.3087,           -8.4308,            2.3969,           -3.9798,          -12.5705,           -4.5778,           -0.3808,           -0.2218,            3.1154,
Ref 5,4.12426e-08,,,,,,1.1970e-02,4.2046e-03,4.8996e-05,4.7229e-06,2.3889e-07,,,,,,,,,,,
Sam 5,4.05894e-08,1.18615e-02,4.2101e-03,4.8588e-05,4.7362e-06,2.4018e-07,,,,,,           -9.0523,            1.2975,           -8.3871,            2.2646,            6.9699,          -12.5688,           -4.5889,           -0.3270,           -0.3314,           14.1641,
Ref 6,4.07165e-08,,,,,,1.1970e-02,4.2047e-03,4.9002e-05,4.7280e-06,2.3814e-07,,,,,,,,,,,
Sam 6,4.00569e-08,1.18614e-02,4.2101e-03,4.8596e-05,4.7397e-06,2.4573e-07,,,,,,           -9.0559,            1.2838,           -8.3405,            2.1032,           11.2498,          -12.5722,           -4.6026,           -0.2626,           -0.4648,           18.5061,
Ref 7,4.01970e-08,,,,,,1.1970e-02,4.2047e-03,4.9008e-05,4.7316e-06,2.4793e-07,,,,,,,,,,,
Sam 7,3.95365e-08,1.18614e-02,4.2101e-03,4.8596e-05,4.7470e-06,2.4937e-07,,,,,,           -9.0577,            1.2948,           -8.3510,            2.9211,           -3.3406,          -12.5744,           -4.5917,           -0.2823,            0.3289,            3.7911,
Ref 8,3.96890e-08,,,,,,1.1970e-02,4.2047e-03,4.9001e-05,4.7348e-06,2.5251e-07,,,,,,,,,,,
Sam 8,3.90251e-08,1.18614e-02,4.2101e-03,4.8593e-05,4.7479e-06,2.5471e-07,,,,,,           -9.0578,            1.2961,           -8.4004,            2.3007,           -6.2059,          -12.5746,           -4.5904,           -0.3332,           -0.2925,            0.9029,
Ref 9,3.91892e-08,,,,,,1.1970e-02,4.2046e-03,4.9008e-05,4.7391e-06,2.6015e-07,,,,,,,,,,,
Sam 9,3.85208e-08,1.18612e-02,4.2101e-03,4.8603e-05,4.7475e-06,2.6742e-07,,,,,,           -9.0660,            1.2929,           -8.3732,            1.7734,            9.7644,          -12.5833,           -4.5935,           -0.2941,           -0.8121,           17.0028,
Ref 10,3.86891e-08,,,,,,1.1970e-02,4.2046e-03,4.9019e-05,4.7390e-06,2.6958e-07,,,,,,,,,,,
Sam 10,3.80228e-08,1.18612e-02,4.2100e-03,4.8614e-05,4.7540e-06,2.7253e-07,,,,,,           -9.0635,            1.2970,           -8.2720,            2.8375,            3.9123,          -12.5807,           -4.5895,           -0.1988,            0.2411,           11.0979,
Ref 11,3.82067e-08,,,,,,1.1970e-02,4.2046e-03,4.9020e-05,4.7422e-06,2.7338e-07,,,,,,,,,,,
Sam 11,3.75375e-08,1.18612e-02,4.2100e-03,4.8607e-05,4.7549e-06,2.7948e-07,,,,,,           -9.0538,            1.2860,           -8.4811,            2.3474,            8.2308,          -12.5700,           -4.6004,           -0.4089,           -0.2258,           15.4585,
Ref 12,3.77248e-08,,,,,,1.1970e-02,4.2046e-03,4.9026e-05,4.7453e-06,2.8107e-07,,,,,,,,,,,
Sam 12,3.70565e-08,1.18612e-02,4.2100e-03,4.8612e-05,4.7572e-06,2.8809e-07,,,,,,           -9.0570,            1.2911,           -8.3969,            2.2414,            5.3520,          -12.5736,           -4.5953,           -0.3257,           -0.3418,           12.5524,
Ref 13,3.72579e-08,,,,,,1.1970e-02,4.2046e-03,4.9022e-05,4.7479e-06,2.9211e-07,,,,,,,,,,,
Sam 13,3.65871e-08,1.18612e-02,4.2100e-03,4.8618e-05,4.7637e-06,2.9514e-07,,,,,,           -9.0480,            1.2898,           -8.3549,            3.0980,           -2.9758,          -12.5640,           -4.5967,           -0.2913,            0.5153,            4.1580,
Ref 14,3.67954e-08,,,,,,1.1969e-02,4.2045e-03,4.9034e-05,4.7502e-06,2.9997e-07,,,,,,,,,,,
Sam 14,3.61264e-08,1.18610e-02,4.2100e-03,4.8621e-05,4.7646e-06,3.0018e-07,,,,,,           -9.0620,            1.2973,           -8.4038,            2.5794,           -6.9675,          -12.5791,           -4.5892,           -0.3335,           -0.0169,            0.1380,
Ref 15,3.63441e-08,,,,,,1.1969e-02,4.2045e-03,4.9032e-05,4.7546e-06,3.0462e-07,,,,,,,,,,,
Sam 15,3.56757e-08,1.18610e-02,4.2100e-03,4.8631e-05,4.7694e-06,3.0740e-07,,,,,,           -9.0540,            1.3067,           -8.1685,            2.7566,           -2.4170,          -12.5709,           -4.5798,           -0.1138,            0.1410,            4.6939,
Ref 16,3.59054e-08,,,,,,1.1969e-02,4.2044e-03,4.9032e-05,4.7581e-06,3.1172e-07,,,,,,,,,,,
Sam 16,3.52268e-08,1.18609e-02,4.2099e-03,4.8635e-05,4.7725e-06,3.1665e-07,,,,,,           -9.0594,            1.3023,           -8.2264,            3.1964,            1.9803,          -12.5766,           -4.5842,           -0.1622,            0.5885,            9.1371,
Ref 17,3.54635e-08,,,,,,1.1969e-02,4.2044e-03,4.9045e-05,4.7566e-06,3.2038e-07,,,,,,,,,,,
Sam 17,3.47920e-08,1.18609e-02,4.2099e-03,4.8633e-05,4.7793e-06,3.2101e-07,,,,,,           -9.0597,            1.2962,           -8.3883,            4.0309,           -0.5220,          -12.5766,           -4.5902,           -0.3192,            1.4330,            6.6292,
Ref 18,3.50390e-08,,,,,,1.1969e-02,4.2045e-03,4.9045e-05,4.7637e-06,3.2200e-07,,,,,,,,,,,
Sam 18,3.43611e-08,1.18609e-02,4.2098e-03,4.8636e-05,4.7786e-06,3.2515e-07,,,,,,           -9.0435,            1.2778,           -8.2884,            2.9783,           -4.6536,          -12.5588,           -4.6086,           -0.2172,            0.4199,            2.4869,
Ref 19,3.46158e-08,,,,,,1.1969e-02,4.2044e-03,4.9041e-05,4.7651e-06,3.3141e-07,,,,,,,,,,,
Sam 19,3.39338e-08,1.18606e-02,4.2097e-03,4.8641e-05,4.7803e-06,3.3583e-07,,,,,,           -9.0539,            1.2790,           -8.3022,            2.4954,           -0.0013,          -12.5699,           -4.6074,           -0.2215,           -0.0642,            7.1814,
Ref 20,3.41990e-08,,,,,,1.1969e-02,4.2043e-03,4.9055e-05,4.7719e-06,3.4030e-07,,,,,,,,,,,
Sam 20,3.35159e-08,1.18606e-02,4.2097e-03,4.8645e-05,4.7854e-06,3.4204e-07,,,,,,           -9.0588,            1.2929,           -8.2932,            2.8676,           -1.4735,          -12.5756,           -4.5935,           -0.2209,            0.2792,            5.6765,
