Nu Stable Isotope Analysis Program
Data Collected on Saturday, May 08, 2021 at 05:22 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, May 08, 2021 at 06:21 with Stable 1.71.5 on PS019

Data File = Data_13575 BONI_300_A2.txt,   Sample Weight = 452,                      Vial Location = 23,                       Initial Sam Beam = 1.7218e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9843e-08,                Max Ref Beam = 1.0552e-07,                

Analysis undertaken at mass 46.0109
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.84637e-08,,,,,,1.1972e-02,4.2049e-03,4.8882e-05,4.6404e-06,6.1135e-08,
Sam 1,6.79456e-08,1.15195e-02,4.1254e-03,4.6077e-05,4.4720e-06,5.6630e-08,,,,,,          -37.7744,          -18.9317,          -57.3554,          -36.9536,          -67.5752,          -42.4323,          -24.6584,           -0.5597,            0.5726,            8.6408,
Ref 2,6.74805e-08,,,,,,1.1972e-02,4.2050e-03,4.8880e-05,4.6469e-06,6.0327e-08,,,,,,,,,,,
Sam 2,6.69273e-08,1.15195e-02,4.1253e-03,4.6072e-05,4.4726e-06,5.5191e-08,,,,,,          -37.7891,          -18.9525,          -57.4506,          -37.2636,          -95.4498,          -42.4472,          -24.6791,           -0.6240,            0.2931,          -21.4552,
Ref 3,6.64635e-08,,,,,,1.1972e-02,4.2050e-03,4.8880e-05,4.6447e-06,6.1713e-08,,,,,,,,,,,
Sam 3,6.59058e-08,1.15194e-02,4.1253e-03,4.6068e-05,4.4694e-06,5.6328e-08,,,,,,          -37.7892,          -18.9534,          -57.5482,          -37.7042,          -93.0661,          -42.4473,          -24.6799,           -0.7265,           -0.1630,          -18.8748,
Ref 4,6.54610e-08,,,,,,1.1972e-02,4.2050e-03,4.8880e-05,4.6444e-06,6.2510e-08,,,,,,,,,,,
Sam 4,6.49010e-08,1.15194e-02,4.1253e-03,4.6071e-05,4.4714e-06,5.8757e-08,,,,,,          -37.7907,          -18.9541,          -57.3994,          -37.1366,          -48.2338,          -42.4489,          -24.6806,           -0.5665,            0.4281,           29.6277,
Ref 5,6.44784e-08,,,,,,1.1972e-02,4.2049e-03,4.8873e-05,4.6433e-06,6.0947e-08,,,,,,,,,,,
Sam 5,6.39294e-08,1.15192e-02,4.1252e-03,4.6067e-05,4.4696e-06,5.7275e-08,,,,,,          -37.7944,          -18.9591,          -57.3998,          -37.3752,          -63.4594,          -42.4527,          -24.6856,           -0.5578,            0.1905,           13.1712,
Ref 6,6.35179e-08,,,,,,1.1972e-02,4.2049e-03,4.8872e-05,4.6430e-06,6.1368e-08,,,,,,,,,,,
Sam 6,6.29740e-08,1.15191e-02,4.1251e-03,4.6065e-05,4.4707e-06,5.9084e-08,,,,,,          -37.7877,          -18.9602,          -57.4481,          -36.9190,          -50.1368,          -42.4455,          -24.6866,           -0.6153,            0.6666,           27.5783,
Ref 7,6.25778e-08,,,,,,1.1971e-02,4.2048e-03,4.8874e-05,4.6411e-06,6.3050e-08,,,,,,,,,,,
Sam 7,6.20370e-08,1.15191e-02,4.1251e-03,4.6066e-05,4.4679e-06,5.8564e-08,,,,,,          -37.7791,          -18.9415,          -57.4070,          -37.4835,          -62.6078,          -42.4370,          -24.6681,           -0.5996,            0.0420,           14.0394,
Ref 8,6.16562e-08,,,,,,1.1971e-02,4.2048e-03,4.8869e-05,4.6428e-06,6.1893e-08,,,,,,,,,,,
Sam 8,6.11227e-08,1.15189e-02,4.1251e-03,4.6069e-05,4.4703e-06,5.7767e-08,,,,,,          -37.7940,          -18.9547,          -57.3717,          -37.2193,          -70.3656,          -42.4523,          -24.6812,           -0.5330,            0.3435,            5.6906,
Ref 9,6.07584e-08,,,,,,1.1971e-02,4.2048e-03,4.8876e-05,4.6434e-06,6.2389e-08,,,,,,,,,,,
Sam 9,6.02290e-08,1.15189e-02,4.1251e-03,4.6065e-05,4.4698e-06,5.7107e-08,,,,,,          -37.7913,          -18.9468,          -57.5084,          -37.4309,          -87.3900,          -42.4498,          -24.6734,           -0.6887,            0.1076,          -12.7451,
Ref 10,5.98772e-08,,,,,,1.1971e-02,4.2047e-03,4.8876e-05,4.6438e-06,6.2764e-08,,,,,,,,,,,
Sam 10,5.93446e-08,1.15188e-02,4.1251e-03,4.6070e-05,4.4691e-06,6.0465e-08,,,,,,          -37.7885,          -18.9438,          -57.3911,          -37.4410,          -40.3912,          -42.4469,          -24.6704,           -0.5704,            0.0909,           38.0880,
Ref 11,5.90097e-08,,,,,,1.1971e-02,4.2047e-03,4.8873e-05,4.6420e-06,6.3259e-08,,,,,,,,,,,
Sam 11,5.84842e-08,1.15188e-02,4.1251e-03,4.6068e-05,4.4678e-06,5.6141e-08,,,,,,          -37.7799,          -18.9412,          -57.4067,          -37.4618,         -109.2278,          -42.4378,          -24.6678,           -0.5987,            0.0640,          -36.3920,
Ref 12,5.81598e-08,,,,,,1.1971e-02,4.2047e-03,4.8874e-05,4.6415e-06,6.2788e-08,,,,,,,,,,,
Sam 12,5.76377e-08,1.15188e-02,4.1251e-03,4.6070e-05,4.4708e-06,5.8058e-08,,,,,,          -37.7781,          -18.9398,          -57.3613,          -36.7290,          -82.0413,          -42.4359,          -24.6664,           -0.5539,            0.8223,           -6.9876,
Ref 13,5.73272e-08,,,,,,1.1971e-02,4.2047e-03,4.8873e-05,4.6411e-06,6.3712e-08,,,,,,,,,,,
Sam 13,5.68036e-08,1.15187e-02,4.1251e-03,4.6073e-05,4.4683e-06,5.8048e-08,,,,,,          -37.7855,          -18.9365,          -57.3023,          -36.9649,          -76.5226,          -42.4440,          -24.6632,           -0.4867,            0.5707,           -1.0160,
Ref 14,5.65103e-08,,,,,,1.1971e-02,4.2047e-03,4.8875e-05,4.6386e-06,6.1991e-08,,,,,,,,,,,
Sam 14,5.59921e-08,1.15186e-02,4.1251e-03,4.6069e-05,4.4697e-06,5.7810e-08,,,,,,          -37.7903,          -18.9488,          -57.5063,          -36.7599,          -80.1944,          -42.4486,          -24.6754,           -0.6856,            0.8088,           -4.9582,
Ref 15,5.57028e-08,,,,,,1.1971e-02,4.2048e-03,4.8885e-05,4.6419e-06,6.3721e-08,,,,,,,,,,,
Sam 15,5.51945e-08,1.15188e-02,4.1251e-03,4.6070e-05,4.4696e-06,6.0022e-08,,,,,,          -37.7763,          -18.9352,          -57.5235,          -37.3102,          -60.6764,          -42.4342,          -24.6619,           -0.7324,            0.2093,           16.1128,
Ref 16,5.49140e-08,,,,,,1.1971e-02,4.2047e-03,4.8878e-05,4.6437e-06,6.4080e-08,,,,,,,,,,,
Sam 16,5.44050e-08,1.15187e-02,4.1251e-03,4.6075e-05,4.4689e-06,5.9092e-08,,,,,,          -37.7797,          -18.9470,          -57.3710,          -37.2102,          -46.0482,          -42.4374,          -24.6735,           -0.5553,            0.3371,           31.9649,
Ref 17,5.41480e-08,,,,,,1.1971e-02,4.2048e-03,4.8881e-05,4.6396e-06,5.9779e-08,,,,,,,,,,,
Sam 17,5.36372e-08,1.15187e-02,4.1252e-03,4.6076e-05,4.4660e-06,5.4094e-08,,,,,,          -37.7831,          -18.9369,          -57.3464,          -37.7107,          -88.1039,          -42.4413,          -24.6636,           -0.5357,           -0.2034,          -13.5460,
Ref 18,5.33876e-08,,,,,,1.1971e-02,4.2048e-03,4.8877e-05,4.6425e-06,5.8855e-08,,,,,,,,,,,
Sam 18,5.28817e-08,1.15188e-02,4.1252e-03,4.6076e-05,4.4693e-06,5.5479e-08,,,,,,          -37.7791,          -18.9204,          -57.3487,          -37.3318,          -71.4119,          -42.4377,          -24.6471,           -0.5590,            0.1567,            4.4731,
Ref 19,5.26469e-08,,,,,,1.1971e-02,4.2048e-03,4.8881e-05,4.6427e-06,6.0648e-08,,,,,,,,,,,
Sam 19,5.21390e-08,1.15187e-02,4.1252e-03,4.6082e-05,4.4696e-06,5.5243e-08,,,,,,          -37.7830,          -18.9452,          -57.3058,          -37.0928,          -71.1535,          -42.4410,          -24.6718,           -0.4844,            0.4555,            4.8067,
Ref 20,5.19140e-08,,,,,,1.1971e-02,4.2049e-03,4.8885e-05,4.6408e-06,5.8287e-08,,,,,,,,,,,
Sam 20,5.14055e-08,1.15187e-02,4.1252e-03,4.6081e-05,4.4692e-06,5.4560e-08,,,,,,          -37.7781,          -18.9367,          -57.4078,          -36.9893,          -87.4810,          -42.4360,          -24.6633,           -0.6064,            0.5456,          -12.8781,
Ref 21,5.11980e-08,,,,,,1.1971e-02,4.2048e-03,4.8890e-05,4.6408e-06,6.1316e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.08531e-08,,,,,,1.1971e-02,4.2049e-03,4.8889e-05,4.6434e-06,6.0276e-08,
Sam 1,5.03358e-08,1.15188e-02,4.1253e-03,4.6081e-05,4.4686e-06,5.4039e-08,,,,,,          -37.7727,          -18.9462,          -57.4034,          -37.3485,          -85.9605,          -42.4300,          -24.6728,           -0.5980,            0.1919,          -11.2204,
Ref 2,5.01537e-08,,,,,,1.1971e-02,4.2049e-03,4.8886e-05,4.6404e-06,5.7951e-08,,,,,,,,,,,
Sam 2,4.96315e-08,1.15186e-02,4.1252e-03,4.6082e-05,4.4688e-06,4.8854e-08,,,,,,          -37.7825,          -18.9400,          -57.3962,          -37.2343,         -159.5519,          -42.4406,          -24.6666,           -0.5860,            0.2979,          -90.8303,
Ref 3,4.94676e-08,,,,,,1.1971e-02,4.2049e-03,4.8890e-05,4.6428e-06,5.8310e-08,,,,,,,,,,,
Sam 3,4.89414e-08,1.15188e-02,4.1253e-03,4.6080e-05,4.4688e-06,5.3449e-08,,,,,,          -37.7787,          -18.9183,          -57.4974,          -37.5243,          -75.1685,          -42.4373,          -24.6450,           -0.7192,           -0.0477,            0.4047,
Ref 4,4.87988e-08,,,,,,1.1971e-02,4.2049e-03,4.8893e-05,4.6433e-06,5.7270e-08,,,,,,,,,,,
Sam 4,4.82684e-08,1.15188e-02,4.1253e-03,4.6084e-05,4.4707e-06,4.8449e-08,,,,,,          -37.7732,          -18.9219,          -57.4459,          -37.2764,         -128.1563,          -42.4313,          -24.6486,           -0.6668,            0.2172,          -56.9116,
Ref 5,4.81376e-08,,,,,,1.1971e-02,4.2049e-03,4.8893e-05,4.6444e-06,5.3847e-08,,,,,,,,,,,
Sam 5,4.76023e-08,1.15186e-02,4.1253e-03,4.6084e-05,4.4683e-06,5.1500e-08,,,,,,          -37.7889,          -18.9084,          -57.5018,          -37.6603,          -81.6721,          -42.4486,          -24.6351,           -0.7228,           -0.2092,           -6.6388,
Ref 6,4.74924e-08,,,,,,1.1971e-02,4.2048e-03,4.8898e-05,4.6420e-06,5.8344e-08,,,,,,,,,,,
Sam 6,4.69564e-08,1.15186e-02,4.1253e-03,4.6090e-05,4.4681e-06,5.1954e-08,,,,,,          -37.7786,          -18.9316,          -57.3701,          -37.2725,          -64.4393,          -42.4368,          -24.6582,           -0.5709,            0.2410,           12.0375,
Ref 7,4.68538e-08,,,,,,1.1971e-02,4.2049e-03,4.8891e-05,4.6402e-06,5.2682e-08,,,,,,,,,,,
Sam 7,4.63132e-08,1.15186e-02,4.1253e-03,4.6091e-05,4.4707e-06,5.0004e-08,,,,,,          -37.7785,          -18.9281,          -57.3439,          -36.9989,          -74.0753,          -42.4368,          -24.6548,           -0.5467,            0.5182,            1.6068,
Ref 8,4.62287e-08,,,,,,1.1971e-02,4.2048e-03,4.8898e-05,4.6447e-06,5.5344e-08,,,,,,,,,,,
Sam 8,4.56841e-08,1.15186e-02,4.1253e-03,4.6099e-05,4.4699e-06,4.7283e-08,,,,,,          -37.7778,          -18.9201,          -57.2567,          -37.6075,         -137.8217,          -42.4363,          -24.6468,           -0.4632,           -0.1304,          -67.3654,
Ref 9,4.56120e-08,,,,,,1.1971e-02,4.2049e-03,4.8899e-05,4.6445e-06,5.4332e-08,,,,,,,,,,,
Sam 9,4.50695e-08,1.15184e-02,4.1253e-03,4.6091e-05,4.4695e-06,5.1098e-08,,,,,,          -37.7898,          -18.9369,          -57.3962,          -37.8604,          -53.1948,          -42.4485,          -24.6635,           -0.5813,           -0.3591,           24.2247,
Ref 10,4.50101e-08,,,,,,1.1971e-02,4.2049e-03,4.8896e-05,4.6462e-06,5.3600e-08,,,,,,,,,,,
Sam 10,4.44647e-08,1.15185e-02,4.1253e-03,4.6096e-05,4.4707e-06,5.3116e-08,,,,,,          -37.7831,          -18.9393,          -57.2800,          -37.5319,          -46.0357,          -42.4413,          -24.6659,           -0.4629,           -0.0128,           31.9664,
Ref 11,4.44179e-08,,,,,,1.1971e-02,4.2049e-03,4.8897e-05,4.6437e-06,5.7785e-08,,,,,,,,,,,
Sam 11,4.38720e-08,1.15186e-02,4.1253e-03,4.6095e-05,4.4689e-06,5.2305e-08,,,,,,          -37.7824,          -18.9243,          -57.3446,          -37.5051,          -68.4207,          -42.4411,          -24.6510,           -0.5472,           -0.0154,            7.7202,
Ref 12,4.38353e-08,,,,,,1.1971e-02,4.2049e-03,4.8901e-05,4.6423e-06,5.4486e-08,,,,,,,,,,,
Sam 12,4.32889e-08,1.15185e-02,4.1253e-03,4.6094e-05,4.4716e-06,4.7954e-08,,,,,,          -37.7809,          -18.9271,          -57.4504,          -37.0458,         -127.1747,          -42.4394,          -24.6538,           -0.6581,            0.4675,          -55.8319,
Ref 13,4.32665e-08,,,,,,1.1971e-02,4.2049e-03,4.8907e-05,4.6449e-06,5.5401e-08,,,,,,,,,,,
Sam 13,4.27204e-08,1.15184e-02,4.1253e-03,4.6098e-05,4.4737e-06,4.7508e-08,,,,,,          -37.7853,          -18.9207,          -57.4343,          -36.8553,         -101.7846,          -42.4443,          -24.6474,           -0.6427,            0.6524,          -28.3743,
Ref 14,4.27142e-08,,,,,,1.1971e-02,4.2048e-03,4.8908e-05,4.6449e-06,5.0349e-08,,,,,,,,,,,
Sam 14,4.21611e-08,1.15185e-02,4.1253e-03,4.6092e-05,4.4728e-06,4.6708e-08,,,,,,          -37.7745,          -18.9283,          -57.5303,          -37.2843,          -77.2812,          -42.4325,          -24.6550,           -0.7486,            0.2220,           -1.8653,
Ref 15,4.21672e-08,,,,,,1.1971e-02,4.2049e-03,4.8903e-05,4.6471e-06,5.0896e-08,,,,,,,,,,,
Sam 15,4.16083e-08,1.15184e-02,4.1253e-03,4.6097e-05,4.4740e-06,4.7522e-08,,,,,,          -37.7759,          -18.9286,          -57.4138,          -36.6985,          -86.6243,          -42.4340,          -24.6553,           -0.6232,            0.8314,          -11.9697,
Ref 16,4.16252e-08,,,,,,1.1971e-02,4.2049e-03,4.8906e-05,4.6418e-06,5.3178e-08,,,,,,,,,,,
Sam 16,4.10607e-08,1.15183e-02,4.1253e-03,4.6093e-05,4.4709e-06,4.3048e-08,,,,,,          -37.7807,          -18.9298,          -57.5330,          -37.1779,         -155.1353,          -42.4391,          -24.6564,           -0.7432,            0.3357,          -86.0730,
Ref 17,4.10991e-08,,,,,,1.1971e-02,4.2049e-03,4.8907e-05,4.6452e-06,4.8698e-08,,,,,,,,,,,
Sam 17,4.05231e-08,1.15182e-02,4.1253e-03,4.6100e-05,4.4696e-06,4.3950e-08,,,,,,          -37.7845,          -18.9227,          -57.3849,          -37.3446,         -112.7912,          -42.4434,          -24.6494,           -0.5892,            0.1480,          -40.2774,
Ref 18,4.05735e-08,,,,,,1.1970e-02,4.2049e-03,4.8906e-05,4.6406e-06,5.0387e-08,,,,,,,,,,,
Sam 18,3.99943e-08,1.15185e-02,4.1253e-03,4.6100e-05,4.4704e-06,4.4173e-08,,,,,,          -37.7581,          -18.9296,          -57.4198,          -37.1197,         -162.6677,          -42.4150,          -24.6564,           -0.6475,            0.3958,          -94.2440,
Ref 19,4.00533e-08,,,,,,1.1971e-02,4.2049e-03,4.8910e-05,4.6449e-06,5.5153e-08,,,,,,,,,,,
Sam 19,3.94692e-08,1.15184e-02,4.1253e-03,4.6104e-05,4.4719e-06,4.3461e-08,,,,,,          -37.7704,          -18.9230,          -57.3343,          -37.1004,         -213.3100,          -42.4284,          -24.6497,           -0.5504,            0.4023,         -149.0241,
Ref 20,3.95449e-08,,,,,,1.1971e-02,4.2049e-03,4.8906e-05,4.6435e-06,5.5338e-08,,,,,,,,,,,
Sam 20,3.89580e-08,1.15184e-02,4.1253e-03,4.6106e-05,4.4714e-06,4.3099e-08,,,,,,          -37.7752,          -18.9163,          -57.2719,          -37.1562,         -167.8583,          -42.4337,          -24.6430,           -0.4858,            0.3307,          -99.8659,
Ref 21,3.90431e-08,,,,,,1.1971e-02,4.2048e-03,4.8907e-05,4.6444e-06,4.8203e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.87976e-08,,,,,,1.1971e-02,4.2049e-03,4.8915e-05,4.6431e-06,4.6942e-08,
Sam 1,3.82047e-08,1.15182e-02,4.1252e-03,4.6101e-05,4.4704e-06,4.6116e-08,,,,,,          -37.7858,          -18.9295,          -57.5126,          -37.2610,          -28.2186,          -42.4445,          -24.6561,           -0.7165,            0.2487,           51.2226,
Ref 2,3.83116e-08,,,,,,1.1970e-02,4.2048e-03,4.8914e-05,4.6438e-06,4.7976e-08,,,,,,,,,,,
Sam 2,3.77177e-08,1.15182e-02,4.1253e-03,4.6102e-05,4.4672e-06,4.2089e-08,,,,,,          -37.7747,          -18.9104,          -57.4378,          -37.9610,         -131.6295,          -42.4334,          -24.6371,           -0.6682,           -0.5175,          -60.6887,
Ref 3,3.78340e-08,,,,,,1.1970e-02,4.2048e-03,4.8908e-05,4.6433e-06,4.8969e-08,,,,,,,,,,,
Sam 3,3.72365e-08,1.15181e-02,4.1253e-03,4.6102e-05,4.4696e-06,4.2537e-08,,,,,,          -37.7813,          -18.9088,          -57.4810,          -37.3143,         -152.1354,          -42.4404,          -24.6356,           -0.7085,            0.1512,          -82.8659,
Ref 4,3.73666e-08,,,,,,1.1970e-02,4.2048e-03,4.8919e-05,4.6424e-06,5.1386e-08,,,,,,,,,,,
Sam 4,3.67663e-08,1.15181e-02,4.1253e-03,4.6107e-05,4.4717e-06,3.8154e-08,,,,,,          -37.7759,          -18.9134,          -57.4092,          -36.8990,         -219.9315,          -42.4346,          -24.6401,           -0.6335,            0.5919,         -156.1977,
Ref 5,3.69021e-08,,,,,,1.1970e-02,4.2047e-03,4.8911e-05,4.6437e-06,4.6407e-08,,,,,,,,,,,
Sam 5,3.63007e-08,1.15180e-02,4.1253e-03,4.6098e-05,4.4703e-06,3.9023e-08,,,,,,          -37.7829,          -18.9064,          -57.5484,          -37.2044,         -143.8053,          -42.4422,          -24.6332,           -0.7807,            0.2604,          -73.8582,
Ref 6,3.64481e-08,,,,,,1.1970e-02,4.2048e-03,4.8915e-05,4.6423e-06,4.4738e-08,,,,,,,,,,,
Sam 6,3.58384e-08,1.15180e-02,4.1252e-03,4.6103e-05,4.4696e-06,3.6029e-08,,,,,,          -37.7904,          -18.9261,          -57.4584,          -37.3662,         -212.8578,          -42.4495,          -24.6528,           -0.6574,            0.1326,         -148.5107,
Ref 7,3.59967e-08,,,,,,1.1970e-02,4.2048e-03,4.8912e-05,4.6439e-06,4.6819e-08,,,,,,,,,,,
Sam 7,3.53896e-08,1.15180e-02,4.1252e-03,4.6100e-05,4.4672e-06,4.1013e-08,,,,,,          -37.7827,          -18.9175,          -57.4598,          -38.0263,         -104.7400,          -42.4416,          -24.6443,           -0.6758,           -0.5708,          -31.5803,
Ref 8,3.55542e-08,,,,,,1.1970e-02,4.2047e-03,4.8908e-05,4.6436e-06,4.4791e-08,,,,,,,,,,,
Sam 8,3.49425e-08,1.15179e-02,4.1252e-03,4.6103e-05,4.4665e-06,3.5080e-08,,,,,,          -37.7863,          -18.9135,          -57.4065,          -38.1695,         -172.5315,          -42.4456,          -24.6403,           -0.6193,           -0.7277,         -104.9147,
Ref 9,3.51213e-08,,,,,,1.1970e-02,4.2048e-03,4.8914e-05,4.6439e-06,3.9967e-08,,,,,,,,,,,
Sam 9,3.45066e-08,1.15178e-02,4.1252e-03,4.6106e-05,4.4708e-06,3.0963e-08,,,,,,          -37.7811,          -18.9095,          -57.3645,          -37.0846,         -195.5433,          -42.4402,          -24.6363,           -0.5845,            0.3913,         -129.8188,
Ref 10,3.46965e-08,,,,,,1.1970e-02,4.2046e-03,4.8911e-05,4.6420e-06,3.6993e-08,,,,,,,,,,,
Sam 10,3.40786e-08,1.15178e-02,4.1252e-03,4.6103e-05,4.4669e-06,3.4159e-08,,,,,,          -37.7783,          -18.8965,          -57.3436,          -37.6855,          -80.0347,          -42.4377,          -24.6234,           -0.5783,           -0.2595,           -4.9030,
Ref 11,3.42711e-08,,,,,,1.1970e-02,4.2047e-03,4.8905e-05,4.6416e-06,3.7270e-08,,,,,,,,,,,
Sam 11,3.36576e-08,1.15178e-02,4.1251e-03,4.6102e-05,4.4674e-06,3.2493e-08,,,,,,          -37.7815,          -18.9120,          -57.3630,          -37.4558,         -155.3531,          -42.4406,          -24.6387,           -0.5799,            0.0106,          -86.3404,
Ref 12,3.38633e-08,,,,,,1.1970e-02,4.2047e-03,4.8910e-05,4.6409e-06,3.9683e-08,,,,,,,,,,,
Sam 12,3.32419e-08,1.15177e-02,4.1251e-03,4.6106e-05,4.4682e-06,2.8300e-08,,,,,,          -37.7833,          -18.9279,          -57.4046,          -37.6359,         -303.7456,          -42.4419,          -24.6545,           -0.6063,           -0.1441,         -246.8311,
Ref 13,3.34549e-08,,,,,,1.1970e-02,4.2046e-03,4.8918e-05,4.6450e-06,4.1621e-08,,,,,,,,,,,
Sam 13,3.28338e-08,1.15177e-02,4.1251e-03,4.6104e-05,4.4683e-06,3.3139e-08,,,,,,          -37.7787,          -18.9073,          -57.4671,          -38.1654,         -106.9130,          -42.4377,          -24.6341,           -0.6981,           -0.7362,          -33.9549,
Ref 14,3.30568e-08,,,,,,1.1970e-02,4.2046e-03,4.8912e-05,4.6461e-06,3.2537e-08,,,,,,,,,,,
Sam 14,3.24288e-08,1.15177e-02,4.1251e-03,4.6108e-05,4.4732e-06,2.8320e-08,,,,,,          -37.7823,          -18.9161,          -57.3811,          -37.1103,         -224.9326,          -42.4412,          -24.6428,           -0.5942,            0.3780,         -161.5969,
Ref 15,3.26621e-08,,,,,,1.1970e-02,4.2046e-03,4.8917e-05,4.6450e-06,4.0589e-08,,,,,,,,,,,
Sam 15,3.20341e-08,1.15177e-02,4.1250e-03,4.6104e-05,4.4713e-06,3.5864e-08,,,,,,          -37.7783,          -18.9237,          -57.4608,          -37.1168,         -116.5815,          -42.4367,          -24.6504,           -0.6753,            0.3867,          -44.3822,
Ref 16,3.22748e-08,,,,,,1.1970e-02,4.2046e-03,4.8913e-05,4.6424e-06,4.0605e-08,,,,,,,,,,,
Sam 16,3.16431e-08,1.15177e-02,4.1251e-03,4.6107e-05,4.4694e-06,3.0877e-08,,,,,,          -37.7712,          -18.8907,          -57.3273,          -37.7742,         -151.2955,          -42.4303,          -24.6176,           -0.5745,           -0.3635,          -82.0010,
Ref 17,3.18908e-08,,,,,,1.1970e-02,4.2046e-03,4.8910e-05,4.6474e-06,3.2106e-08,,,,,,,,,,,
Sam 17,3.12597e-08,1.15177e-02,4.1250e-03,4.6112e-05,4.4716e-06,2.5776e-08,,,,,,          -37.7680,          -18.9054,          -57.2199,          -37.2972,         -185.3555,          -42.4264,          -24.6322,           -0.4493,            0.1619,         -118.8188,
Ref 18,3.15128e-08,,,,,,1.1970e-02,4.2045e-03,4.8912e-05,4.6423e-06,3.1169e-08,,,,,,,,,,,
Sam 18,3.08796e-08,1.15176e-02,4.1250e-03,4.6097e-05,4.4711e-06,2.7795e-08,,,,,,          -37.7728,          -18.9018,          -57.5371,          -36.8961,         -129.5270,          -42.4316,          -24.6286,           -0.7841,            0.5714,          -58.4326,
Ref 19,3.11456e-08,,,,,,1.1970e-02,4.2045e-03,4.8911e-05,4.6424e-06,3.2702e-08,,,,,,,,,,,
Sam 19,3.05086e-08,1.15175e-02,4.1250e-03,4.6110e-05,4.4667e-06,2.8339e-08,,,,,,          -37.7806,          -18.9105,          -57.2348,          -37.1443,          -19.7721,          -42.4397,          -24.6372,           -0.4464,            0.3312,           60.3132,
Ref 20,3.07805e-08,,,,,,1.1970e-02,4.2045e-03,4.8908e-05,4.6356e-06,2.5073e-08,,,,,,,,,,,
