Nu Stable Isotope Analysis Program
Data Collected on Sunday, May 09, 2021 at 13:49 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, May 09, 2021 at 14:48 with Stable 1.71.5 on PS019

Data File = Data_13588 ETH-2.txt,         Sample Weight = 422,                      Vial Location = 36,                       Initial Sam Beam = 1.4230e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7166e-08,                Max Ref Beam = 1.0598e-07,                

Analysis undertaken at mass 46.00677
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.74616e-08,,,,,,1.1969e-02,4.2037e-03,4.8856e-05,4.6404e-06,6.0492e-08,
Sam 1,5.70928e-08,1.18843e-02,4.1820e-03,4.8226e-05,4.5913e-06,5.9279e-08,,,,,,           -7.0903,           -5.2041,          -12.9687,          -10.7078,          -29.6766,          -10.2551,          -11.0634,           -0.5851,           -0.3301,          -12.2201,
Ref 2,5.66869e-08,,,,,,1.1969e-02,4.2040e-03,4.8863e-05,4.6415e-06,6.1700e-08,,,,,,,,,,,
Sam 2,5.62802e-08,1.18845e-02,4.1822e-03,4.8233e-05,4.5916e-06,6.2753e-08,,,,,,           -7.1066,           -5.2089,          -12.9049,          -10.5022,           14.2026,          -10.2722,          -11.0681,           -0.4990,           -0.1129,           32.4763,
Ref 3,5.58828e-08,,,,,,1.1970e-02,4.2041e-03,4.8864e-05,4.6391e-06,6.2051e-08,,,,,,,,,,,
Sam 3,5.54771e-08,1.18847e-02,4.1822e-03,4.8236e-05,4.5919e-06,6.1924e-08,,,,,,           -7.0973,           -5.2120,          -12.8733,          -10.3156,          -22.1811,          -10.2622,          -11.0712,           -0.4736,            0.0820,           -4.5668,
Ref 4,5.50950e-08,,,,,,1.1970e-02,4.2041e-03,4.8865e-05,4.6403e-06,6.4626e-08,,,,,,,,,,,
Sam 4,5.46935e-08,1.18845e-02,4.1822e-03,4.8231e-05,4.5911e-06,6.1000e-08,,,,,,           -7.1030,           -5.2209,          -13.0067,          -10.3643,          -54.7921,          -10.2680,          -11.0801,           -0.5939,            0.0508,          -37.7422,
Ref 5,5.43247e-08,,,,,,1.1970e-02,4.2041e-03,4.8868e-05,4.6380e-06,6.4446e-08,,,,,,,,,,,
Sam 5,5.39205e-08,1.18847e-02,4.1822e-03,4.8230e-05,4.5935e-06,6.3394e-08,,,,,,           -7.0965,           -5.2114,          -13.0695,           -9.6903,           -5.3071,          -10.2614,          -11.0706,           -0.6737,            0.7126,           12.6090,
Ref 6,5.35639e-08,,,,,,1.1970e-02,4.2042e-03,4.8870e-05,4.6389e-06,6.3008e-08,,,,,,,,,,,
Sam 6,5.31655e-08,1.18847e-02,4.1823e-03,4.8236e-05,4.5946e-06,6.3746e-08,,,,,,           -7.0988,           -5.1981,          -13.0165,           -9.6138,           -9.8513,          -10.2643,          -11.0574,           -0.6307,            0.7632,            7.9591,
Ref 7,5.28221e-08,,,,,,1.1970e-02,4.2042e-03,4.8875e-05,4.6394e-06,6.5771e-08,,,,,,,,,,,
Sam 7,5.24242e-08,1.18847e-02,4.1823e-03,4.8245e-05,4.5921e-06,6.2549e-08,,,,,,           -7.0977,           -5.2006,          -12.8604,          -10.4184,          -29.6533,          -10.2631,          -11.0599,           -0.4713,           -0.0448,          -12.1954,
Ref 8,5.20905e-08,,,,,,1.1970e-02,4.2042e-03,4.8872e-05,4.6415e-06,6.3132e-08,,,,,,,,,,,
Sam 8,5.16890e-08,1.18848e-02,4.1824e-03,4.8241e-05,4.5891e-06,5.9225e-08,,,,,,           -7.0961,           -5.2094,          -12.9691,          -11.1779,          -28.8026,          -10.2611,          -11.0686,           -0.5743,           -0.7947,          -11.3139,
Ref 9,5.13624e-08,,,,,,1.1970e-02,4.2043e-03,4.8877e-05,4.6405e-06,5.8801e-08,,,,,,,,,,,
Sam 9,5.09648e-08,1.18847e-02,4.1823e-03,4.8241e-05,4.5914e-06,5.4843e-08,,,,,,           -7.1082,           -5.2200,          -12.9878,          -10.7702,          -64.4823,          -10.2735,          -11.0792,           -0.5703,           -0.3612,          -47.6036,
Ref 10,5.06624e-08,,,,,,1.1970e-02,4.2043e-03,4.8874e-05,4.6422e-06,5.8442e-08,,,,,,,,,,,
Sam 10,5.02662e-08,1.18847e-02,4.1823e-03,4.8240e-05,4.5928e-06,5.7327e-08,,,,,,           -7.1037,           -5.2193,          -13.0711,          -10.6139,            1.5400,          -10.2688,          -11.0785,           -0.6599,           -0.2047,           19.6033,
Ref 11,4.99716e-08,,,,,,1.1970e-02,4.2043e-03,4.8883e-05,4.6419e-06,5.6019e-08,,,,,,,,,,,
Sam 11,4.95692e-08,1.18848e-02,4.1824e-03,4.8234e-05,4.5919e-06,5.5842e-08,,,,,,           -7.1049,           -5.2175,          -13.2550,          -10.7310,           -2.8988,          -10.2701,          -11.0768,           -0.8467,           -0.3266,           15.0822,
Ref 12,4.92880e-08,,,,,,1.1970e-02,4.2044e-03,4.8881e-05,4.6414e-06,5.5990e-08,,,,,,,,,,,
Sam 12,4.88964e-08,1.18848e-02,4.1824e-03,4.8244e-05,4.5921e-06,5.4548e-08,,,,,,           -7.1036,           -5.2234,          -13.0238,          -10.7891,          -28.4665,          -10.2685,          -11.0826,           -0.6081,           -0.3735,          -10.9363,
Ref 13,4.86222e-08,,,,,,1.1970e-02,4.2044e-03,4.8880e-05,4.6430e-06,5.6304e-08,,,,,,,,,,,
Sam 13,4.82266e-08,1.18848e-02,4.1824e-03,4.8246e-05,4.5940e-06,5.4816e-08,,,,,,           -7.1036,           -5.2330,          -12.9013,          -10.3846,          -31.9904,          -10.2682,          -11.0922,           -0.4745,            0.0546,          -14.5050,
Ref 14,4.79632e-08,,,,,,1.1970e-02,4.2043e-03,4.8873e-05,4.6415e-06,5.6955e-08,,,,,,,,,,,
Sam 14,4.75715e-08,1.18848e-02,4.1824e-03,4.8245e-05,4.5928e-06,5.1763e-08,,,,,,           -7.0999,           -5.2082,          -13.0163,          -10.8508,          -71.4170,          -10.2652,          -11.0675,           -0.6193,           -0.4664,          -54.6939,
Ref 15,4.73202e-08,,,,,,1.1970e-02,4.2043e-03,4.8889e-05,4.6448e-06,5.4517e-08,,,,,,,,,,,
Sam 15,4.69298e-08,1.18847e-02,4.1824e-03,4.8244e-05,4.5931e-06,5.2139e-08,,,,,,           -7.0990,           -5.2178,          -13.1416,          -11.2394,          -29.2057,          -10.2639,          -11.0770,           -0.7377,           -0.8398,          -11.7047,
Ref 16,4.66913e-08,,,,,,1.1970e-02,4.2043e-03,4.8884e-05,4.6458e-06,5.2888e-08,,,,,,,,,,,
Sam 16,4.63004e-08,1.18847e-02,4.1825e-03,4.8250e-05,4.5950e-06,5.0411e-08,,,,,,           -7.0963,           -5.2055,          -12.9723,          -10.8974,          -53.2445,          -10.2614,          -11.0648,           -0.5813,           -0.5189,          -36.2031,
Ref 17,4.60703e-08,,,,,,1.1970e-02,4.2043e-03,4.8885e-05,4.6455e-06,5.3609e-08,,,,,,,,,,,
Sam 17,4.56839e-08,1.18846e-02,4.1824e-03,4.8248e-05,4.5940e-06,4.9921e-08,,,,,,           -7.0989,           -5.2111,          -13.0033,          -10.9906,          -61.7364,          -10.2640,          -11.0703,           -0.6044,           -0.6018,          -44.8346,
Ref 18,4.54643e-08,,,,,,1.1970e-02,4.2044e-03,4.8882e-05,4.6446e-06,5.2798e-08,,,,,,,,,,,
Sam 18,4.50773e-08,1.18845e-02,4.1824e-03,4.8251e-05,4.5919e-06,5.0450e-08,,,,,,           -7.1072,           -5.2130,          -12.9277,          -11.2934,          -28.1179,          -10.2727,          -11.0722,           -0.5174,           -0.9041,          -10.5980,
Ref 19,4.48665e-08,,,,,,1.1970e-02,4.2043e-03,4.8885e-05,4.6440e-06,5.1010e-08,,,,,,,,,,,
Sam 19,4.44705e-08,1.18846e-02,4.1824e-03,4.8253e-05,4.5944e-06,4.6068e-08,,,,,,           -7.1036,           -5.2078,          -12.9650,          -10.7768,          -94.0923,          -10.2691,          -11.0671,           -0.5639,           -0.3924,          -77.7746,
Ref 20,4.42751e-08,,,,,,1.1970e-02,4.2044e-03,4.8890e-05,4.6450e-06,5.0694e-08,,,,,,,,,,,
Sam 20,4.38754e-08,1.18846e-02,4.1824e-03,4.8257e-05,4.5959e-06,4.7211e-08,,,,,,           -7.1094,           -5.2265,          -12.9575,          -10.5650,          -75.5143,          -10.2746,          -11.0856,           -0.5320,           -0.1409,          -58.8214,
Ref 21,4.36984e-08,,,,,,1.1970e-02,4.2044e-03,4.8892e-05,4.6451e-06,5.1445e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.34208e-08,,,,,,1.1969e-02,4.2043e-03,4.8889e-05,4.6453e-06,4.9220e-08,
Sam 1,4.30098e-08,1.18845e-02,4.1825e-03,4.8252e-05,4.5941e-06,4.2993e-08,,,,,,           -7.0977,           -5.2038,          -13.0577,          -11.0535,          -58.8662,          -10.2630,          -11.0631,           -0.6679,           -0.6800,          -41.9276,
Ref 2,4.28508e-08,,,,,,1.1969e-02,4.2043e-03,4.8891e-05,4.6457e-06,4.2097e-08,,,,,,,,,,,
Sam 2,4.24340e-08,1.18845e-02,4.1824e-03,4.8247e-05,4.5963e-06,4.2873e-08,,,,,,           -7.0983,           -5.2190,          -13.1535,          -10.4426,           -1.0272,          -10.2631,          -11.0783,           -0.7492,           -0.0322,           16.9835,
Ref 3,4.22967e-08,,,,,,1.1969e-02,4.2043e-03,4.8890e-05,4.6440e-06,4.3747e-08,,,,,,,,,,,
Sam 3,4.18754e-08,1.18846e-02,4.1825e-03,4.8251e-05,4.5972e-06,4.3334e-08,,,,,,           -7.0960,           -5.2004,          -13.1119,          -10.1826,          -10.9494,          -10.2612,          -11.0597,           -0.7279,            0.1932,            6.8427,
Ref 4,4.17532e-08,,,,,,1.1970e-02,4.2044e-03,4.8895e-05,4.6449e-06,4.3880e-08,,,,,,,,,,,
Sam 4,4.13267e-08,1.18843e-02,4.1824e-03,4.8255e-05,4.5920e-06,4.3762e-08,,,,,,           -7.1162,           -5.2058,          -13.1036,          -11.1083,          -43.2630,          -10.2826,          -11.0650,           -0.6932,           -0.7315,          -26.0206,
Ref 5,4.12179e-08,,,,,,1.1969e-02,4.2043e-03,4.8897e-05,4.6423e-06,4.7625e-08,,,,,,,,,,,
Sam 5,4.07819e-08,1.18845e-02,4.1825e-03,4.8250e-05,4.5912e-06,4.2272e-08,,,,,,           -7.0956,           -5.2001,          -13.2275,          -10.5280,          -94.1934,          -10.2608,          -11.0595,           -0.8457,           -0.1564,          -77.8995,
Ref 6,4.06866e-08,,,,,,1.1969e-02,4.2043e-03,4.8896e-05,4.6377e-06,4.5698e-08,,,,,,,,,,,
Sam 6,4.02528e-08,1.18844e-02,4.1824e-03,4.8261e-05,4.5925e-06,4.4369e-08,,,,,,           -7.1022,           -5.2074,          -13.0166,          -10.2436,          -35.8083,          -10.2676,          -11.0666,           -0.6182,            0.1455,          -18.4433,
Ref 7,4.01734e-08,,,,,,1.1970e-02,4.2044e-03,4.8900e-05,4.6423e-06,4.6340e-08,,,,,,,,,,,
Sam 7,3.97336e-08,1.18842e-02,4.1824e-03,4.8260e-05,4.5893e-06,4.0458e-08,,,,,,           -7.1205,           -5.2194,          -13.0667,          -11.2587,          -78.0996,          -10.2866,          -11.0786,           -0.6380,           -0.8561,          -61.4554,
Ref 8,3.96637e-08,,,,,,1.1969e-02,4.2044e-03,4.8898e-05,4.6408e-06,4.1399e-08,,,,,,,,,,,
Sam 8,3.92167e-08,1.18843e-02,4.1824e-03,4.8258e-05,4.5930e-06,3.8625e-08,,,,,,           -7.1082,           -5.2045,          -13.0835,          -10.5220,          -68.7908,          -10.2741,          -11.0637,           -0.6825,           -0.1416,          -52.0191,
Ref 9,3.91640e-08,,,,,,1.1969e-02,4.2043e-03,4.8897e-05,4.6429e-06,4.1558e-08,,,,,,,,,,,
Sam 9,3.87163e-08,1.18843e-02,4.1824e-03,4.8258e-05,4.5932e-06,4.0597e-08,,,,,,           -7.1003,           -5.2007,          -13.0981,          -10.1986,          -42.1552,          -10.2658,          -11.0600,           -0.7093,            0.1774,          -24.9194,
Ref 10,3.86752e-08,,,,,,1.1969e-02,4.2043e-03,4.8901e-05,4.6381e-06,4.3220e-08,,,,,,,,,,,
Sam 10,3.82212e-08,1.18843e-02,4.1823e-03,4.8262e-05,4.5914e-06,3.8929e-08,,,,,,           -7.0937,           -5.2178,          -12.9439,          -10.1515,          -50.0157,          -10.2582,          -11.0770,           -0.5429,            0.2596,          -32.8952,
Ref 11,3.81898e-08,,,,,,1.1969e-02,4.2042e-03,4.8889e-05,4.6388e-06,3.8708e-08,,,,,,,,,,,
Sam 11,3.77360e-08,1.18842e-02,4.1824e-03,4.8265e-05,4.5946e-06,3.4781e-08,,,,,,           -7.0945,           -5.1961,          -12.9451,           -9.5726,          -75.8471,          -10.2598,          -11.0555,           -0.5648,            0.8009,          -59.2317,
Ref 12,3.77155e-08,,,,,,1.1969e-02,4.2042e-03,4.8906e-05,4.6393e-06,3.6549e-08,,,,,,,,,,,
Sam 12,3.72604e-08,1.18842e-02,4.1823e-03,4.8267e-05,4.5938e-06,3.7864e-08,,,,,,           -7.0990,           -5.2132,          -13.0755,          -10.2658,           -7.9161,          -10.2640,          -11.0724,           -0.6753,            0.1347,            9.9595,
Ref 13,3.72507e-08,,,,,,1.1969e-02,4.2042e-03,4.8907e-05,4.6436e-06,3.9804e-08,,,,,,,,,,,
Sam 13,3.67953e-08,1.18842e-02,4.1824e-03,4.8264e-05,4.5934e-06,3.4650e-08,,,,,,           -7.0933,           -5.2041,          -13.0803,          -10.7403,          -72.4372,          -10.2582,          -11.0634,           -0.6951,           -0.3629,          -55.7468,
Ref 14,3.67962e-08,,,,,,1.1969e-02,4.2043e-03,4.8901e-05,4.6430e-06,3.4877e-08,,,,,,,,,,,
Sam 14,3.63350e-08,1.18840e-02,4.1823e-03,4.8267e-05,4.5924e-06,3.2953e-08,,,,,,           -7.1048,           -5.2160,          -12.9511,          -10.7441,           11.7789,          -10.2701,          -11.0752,           -0.5406,           -0.3430,           30.0213,
Ref 15,3.63507e-08,,,,,,1.1969e-02,4.2042e-03,4.8900e-05,4.6416e-06,3.0233e-08,,,,,,,,,,,
Sam 15,3.58819e-08,1.18840e-02,4.1823e-03,4.8265e-05,4.5915e-06,2.4673e-08,,,,,,           -7.0917,           -5.1913,          -12.9624,          -10.2356,         -172.5643,          -10.2570,          -11.0507,           -0.5900,            0.1212,         -157.6983,
Ref 16,3.59043e-08,,,,,,1.1969e-02,4.2041e-03,4.8897e-05,4.6363e-06,2.9399e-08,,,,,,,,,,,
Sam 16,3.54247e-08,1.18839e-02,4.1823e-03,4.8257e-05,4.5907e-06,2.7495e-08,,,,,,           -7.0958,           -5.2075,          -13.1695,          -10.3450,          -39.4868,          -10.2608,          -11.0668,           -0.7794,            0.0433,          -22.1944,
Ref 17,3.54642e-08,,,,,,1.1969e-02,4.2042e-03,4.8905e-05,4.6411e-06,2.7842e-08,,,,,,,,,,,
Sam 17,3.49799e-08,1.18838e-02,4.1822e-03,4.8266e-05,4.5925e-06,2.6802e-08,,,,,,           -7.1032,           -5.2175,          -13.0291,          -10.0427,            0.0669,          -10.2684,          -11.0767,           -0.6197,            0.3689,           18.0996,
Ref 18,3.50339e-08,,,,,,1.1969e-02,4.2041e-03,4.8900e-05,4.6371e-06,2.5745e-08,,,,,,,,,,,
Sam 18,3.45414e-08,1.18838e-02,4.1822e-03,4.8265e-05,4.5871e-06,1.9951e-08,,,,,,           -7.1000,           -5.2148,          -12.9812,           -9.4911,         -153.5382,          -10.2650,          -11.0740,           -0.5772,            0.9208,         -138.2827,
Ref 19,3.46093e-08,,,,,,1.1969e-02,4.2041e-03,4.8899e-05,4.6249e-06,2.1369e-08,,,,,,,,,,,
Sam 19,3.41117e-08,1.18837e-02,4.1822e-03,4.8259e-05,4.5869e-06,2.5387e-08,,,,,,           -7.0977,           -5.1944,          -13.1283,           -8.7054,           17.2681,          -10.2633,          -11.0537,           -0.7488,            1.6736,           35.5575,
Ref 20,3.41901e-08,,,,,,1.1969e-02,4.2041e-03,4.8903e-05,4.6295e-06,2.8587e-08,,,,,,,,,,,
Sam 20,3.36843e-08,1.18836e-02,4.1822e-03,4.8263e-05,4.5805e-06,2.7530e-08,,,,,,           -7.1023,           -5.1981,          -13.0354,          -10.7390,          -39.2395,          -10.2680,          -11.0574,           -0.6463,           -0.3738,          -21.9540,
Ref 21,3.37736e-08,,,,,,1.1969e-02,4.2041e-03,4.8897e-05,4.6311e-06,2.8723e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.35737e-08,,,,,,1.1969e-02,4.2041e-03,4.8902e-05,4.6328e-06,2.6289e-08,
Sam 1,3.30622e-08,1.18836e-02,4.1822e-03,4.8260e-05,4.5861e-06,2.5879e-08,,,,,,           -7.1087,           -5.2004,          -13.1217,           -9.6846,           -1.3770,          -10.2748,          -11.0597,           -0.7247,            0.6964,           16.6013,
Ref 2,3.31701e-08,,,,,,1.1969e-02,4.2041e-03,4.8901e-05,4.6291e-06,2.5536e-08,,,,,,,,,,,
Sam 2,3.26546e-08,1.18836e-02,4.1822e-03,4.8262e-05,4.5802e-06,2.6624e-08,,,,,,           -7.0982,           -5.2042,          -13.0659,          -10.8066,           94.2841,          -10.2635,          -11.0635,           -0.6753,           -0.4297,          113.9803,
Ref 3,3.27774e-08,,,,,,1.1969e-02,4.2041e-03,4.8902e-05,4.6314e-06,2.3109e-08,,,,,,,,,,,
Sam 3,3.22576e-08,1.18836e-02,4.1821e-03,4.8261e-05,4.5824e-06,2.5261e-08,,,,,,           -7.0985,           -5.2241,          -13.1533,          -10.5240,          -36.1480,          -10.2631,          -11.0833,           -0.7439,           -0.1042,          -18.7604,
Ref 4,3.23872e-08,,,,,,1.1969e-02,4.2040e-03,4.8906e-05,4.6310e-06,2.9345e-08,,,,,,,,,,,
Sam 4,3.18608e-08,1.18834e-02,4.1821e-03,4.8267e-05,4.5805e-06,2.3162e-08,,,,,,           -7.1119,           -5.2076,          -13.0541,          -10.5687,         -174.6483,          -10.2780,          -11.0669,           -0.6457,           -0.1825,         -159.7744,
Ref 5,3.19995e-08,,,,,,1.1968e-02,4.2040e-03,4.8904e-05,4.6279e-06,2.6767e-08,,,,,,,,,,,
Sam 5,3.14723e-08,1.18833e-02,4.1821e-03,4.8264e-05,4.5811e-06,2.3278e-08,,,,,,           -7.1094,           -5.2014,          -12.9943,          -10.6546,         -128.1939,          -10.2755,          -11.0607,           -0.5940,           -0.2818,         -112.4962,
Ref 6,3.16219e-08,,,,,,1.1968e-02,4.2039e-03,4.8894e-05,4.6330e-06,2.6634e-08,,,,,,,,,,,
Sam 6,3.10913e-08,1.18835e-02,4.1820e-03,4.8267e-05,4.5819e-06,2.4955e-08,,,,,,           -7.0854,           -5.2041,          -12.8770,          -10.4081,         -135.9936,          -10.2499,          -11.0634,           -0.4974,           -0.0273,         -120.4542,
Ref 7,3.12485e-08,,,,,,1.1968e-02,4.2039e-03,4.8898e-05,4.6271e-06,3.1158e-08,,,,,,,,,,,
Sam 7,3.07174e-08,1.18832e-02,4.1820e-03,4.8257e-05,4.5823e-06,2.2901e-08,,,,,,           -7.1021,           -5.2004,          -13.0645,           -9.5666,         -242.6164,          -10.2677,          -11.0597,           -0.6736,            0.8155,         -228.9865,
Ref 8,3.08876e-08,,,,,,1.1968e-02,4.2038e-03,4.8893e-05,4.6260e-06,2.9305e-08,,,,,,,,,,,
Sam 8,3.03477e-08,1.18833e-02,4.1820e-03,4.8265e-05,4.5788e-06,2.1872e-08,,,,,,           -7.0992,           -5.1989,          -12.9543,          -10.7152,         -211.8208,          -10.2648,          -11.0582,           -0.5665,           -0.3481,         -197.6414,
Ref 9,3.05281e-08,,,,,,1.1968e-02,4.2039e-03,4.8904e-05,4.6307e-06,2.6177e-08,,,,,,,,,,,
Sam 9,2.99847e-08,1.18832e-02,4.1820e-03,4.8261e-05,4.5813e-06,1.7634e-08,,,,,,           -7.1036,           -5.2052,          -13.0727,          -10.4866,         -288.0471,          -10.2691,          -11.0645,           -0.6757,           -0.1043,         -275.2265,
Ref 10,3.01721e-08,,,,,,1.1968e-02,4.2039e-03,4.8897e-05,4.6290e-06,2.3344e-08,,,,,,,,,,,
Sam 10,2.96245e-08,1.18832e-02,4.1820e-03,4.8259e-05,4.5787e-06,2.6196e-08,,,,,,           -7.0992,           -5.1919,          -13.1100,          -10.6662,          138.1978,          -10.2650,          -11.0512,           -0.7311,           -0.3127,          158.6573,
Ref 11,2.98220e-08,,,,,,1.1968e-02,4.2038e-03,4.8902e-05,4.6272e-06,2.2683e-08,,,,,,,,,,,
Sam 11,2.92768e-08,1.18831e-02,4.1819e-03,4.8263e-05,4.5810e-06,1.9746e-08,,,,,,           -7.1028,           -5.2014,          -12.9928,           -9.9179,         -156.6194,          -10.2684,          -11.0607,           -0.5993,            0.4627,         -141.4396,
Ref 12,2.94816e-08,,,,,,1.1968e-02,4.2038e-03,4.8896e-05,4.6267e-06,2.4152e-08,,,,,,,,,,,
Sam 12,2.89291e-08,1.18830e-02,4.1819e-03,4.8267e-05,4.5781e-06,1.7703e-08,,,,,,           -7.1031,           -5.1906,          -12.8264,          -10.7018,         -203.8054,          -10.2691,          -11.0500,           -0.4412,           -0.3512,         -189.4919,
Ref 13,2.91393e-08,,,,,,1.1968e-02,4.2037e-03,4.8893e-05,4.6286e-06,2.0294e-08,,,,,,,,,,,
Sam 13,2.85853e-08,1.18830e-02,4.1819e-03,4.8265e-05,4.5808e-06,1.8303e-08,,,,,,           -7.0971,           -5.1971,          -12.9297,          -10.4417,          -60.8070,          -10.2625,          -11.0565,           -0.5456,           -0.0753,          -43.9168,
Ref 14,2.88032e-08,,,,,,1.1968e-02,4.2038e-03,4.8901e-05,4.6296e-06,1.8674e-08,,,,,,,,,,,
Sam 14,2.82476e-08,1.18831e-02,4.1819e-03,4.8272e-05,4.5810e-06,1.0135e-08,,,,,,           -7.0858,           -5.1999,          -12.8413,          -10.3335,         -461.5447,          -10.2504,          -11.0593,           -0.4651,            0.0397,         -451.8644,
Ref 15,2.84743e-08,,,,,,1.1968e-02,4.2037e-03,4.8899e-05,4.6279e-06,1.8971e-08,,,,,,,,,,,
Sam 15,2.79186e-08,1.18830e-02,4.1819e-03,4.8262e-05,4.5763e-06,2.1008e-08,,,,,,           -7.0913,           -5.1975,          -13.0681,          -10.8191,           27.5893,          -10.2564,          -11.0569,           -0.6912,           -0.4558,           46.0636,
Ref 16,2.81514e-08,,,,,,1.1968e-02,4.2037e-03,4.8904e-05,4.6248e-06,2.1933e-08,,,,,,,,,,,
Sam 16,2.75922e-08,1.18828e-02,4.1818e-03,4.8260e-05,4.5787e-06,1.6331e-08,,,,,,           -7.1052,           -5.1968,          -13.1466,           -9.9813,         -152.1886,          -10.2712,          -11.0561,           -0.7570,            0.3894,         -136.9346,
Ref 17,2.78344e-08,,,,,,1.1968e-02,4.2037e-03,4.8901e-05,4.6250e-06,1.6562e-08,,,,,,,,,,,
Sam 17,2.72685e-08,1.18829e-02,4.1817e-03,4.8263e-05,4.5791e-06,1.6079e-08,,,,,,           -7.1001,           -5.2299,          -12.9953,           -9.7241,          -25.5554,          -10.2646,          -11.0891,           -0.5765,            0.7158,           -7.9637,
Ref 18,2.75199e-08,,,,,,1.1968e-02,4.2037e-03,4.8895e-05,4.6231e-06,1.6439e-08,,,,,,,,,,,
Sam 18,2.69545e-08,1.18827e-02,4.1818e-03,4.8265e-05,4.5764e-06,1.4475e-08,,,,,,           -7.1149,           -5.1957,          -12.9133,          -10.1604,            6.0075,          -10.2815,          -11.0550,           -0.5119,            0.2061,           24.1159,
Ref 19,2.72107e-08,,,,,,1.1968e-02,4.2037e-03,4.8899e-05,4.6236e-06,1.2315e-08,,,,,,,,,,,
Sam 19,2.66389e-08,1.18828e-02,4.1819e-03,4.8266e-05,4.5764e-06,4.4774e-09,,,,,,           -7.0933,           -5.1855,          -12.9924,          -10.3154,         -628.2630,          -10.2589,          -11.0449,           -0.6244,            0.0289,         -621.5873,
Ref 20,2.69038e-08,,,,,,1.1968e-02,4.2036e-03,4.8904e-05,4.6247e-06,1.1771e-08,,,,,,,,,,,
