Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 11, 2021 at 01:24 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 11, 2021 at 02:23 with Stable 1.71.5 on PS019

Data File = Data_13598 ETH-2.txt,         Sample Weight = 488,                      Vial Location = 46,                       Initial Sam Beam = 1.8508e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5144e-08,                Max Ref Beam = 1.0587e-07,                

Analysis undertaken at mass 46.00884
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.28779e-08,,,,,,1.1971e-02,4.2047e-03,4.8881e-05,4.6389e-06,6.1362e-08,
Sam 1,7.22874e-08,1.18861e-02,4.1829e-03,4.8242e-05,4.5955e-06,6.1698e-08,,,,,,           -7.1098,           -5.2180,          -13.0721,          -10.0503,           -8.9777,          -10.2753,          -11.0772,           -0.6560,            0.3622,            8.8999,
Ref 2,7.17949e-08,,,,,,1.1971e-02,4.2049e-03,4.8881e-05,4.6454e-06,6.3165e-08,,,,,,,,,,,
Sam 2,7.11580e-08,1.18862e-02,4.1829e-03,4.8241e-05,4.5940e-06,6.2695e-08,,,,,,           -7.1181,           -5.2153,          -13.1256,          -10.4702,          -23.1700,          -10.2843,          -11.0745,           -0.7041,           -0.0676,           -5.5448,
Ref 3,7.06756e-08,,,,,,1.1971e-02,4.2048e-03,4.8883e-05,4.6397e-06,6.5215e-08,,,,,,,,,,,
Sam 3,7.00461e-08,1.18859e-02,4.1827e-03,4.8239e-05,4.5932e-06,6.2689e-08,,,,,,           -7.1213,           -5.2321,          -13.1061,          -10.6056,          -19.6893,          -10.2870,          -11.0912,           -0.6645,           -0.1706,           -1.9649,
Ref 4,6.95858e-08,,,,,,1.1971e-02,4.2046e-03,4.8876e-05,4.6453e-06,6.2662e-08,,,,,,,,,,,
Sam 4,6.89640e-08,1.18858e-02,4.1826e-03,4.8237e-05,4.5942e-06,6.2166e-08,,,,,,           -7.1099,           -5.2279,          -13.0261,          -10.7235,          -22.7666,          -10.2751,          -11.0870,           -0.5995,           -0.2982,           -5.1181,
Ref 5,6.85106e-08,,,,,,1.1971e-02,4.2046e-03,4.8872e-05,4.6426e-06,6.4582e-08,,,,,,,,,,,
Sam 5,6.79018e-08,1.18856e-02,4.1825e-03,4.8234e-05,4.5938e-06,6.3834e-08,,,,,,           -7.1154,           -5.2286,          -13.0476,          -10.5839,          -16.7906,          -10.2809,          -11.0877,           -0.6149,           -0.1557,            0.9731,
Ref 6,6.74638e-08,,,,,,1.1971e-02,4.2045e-03,4.8872e-05,4.6432e-06,6.5272e-08,,,,,,,,,,,
Sam 6,6.68587e-08,1.18854e-02,4.1824e-03,4.8230e-05,4.5951e-06,6.3469e-08,,,,,,           -7.1268,           -5.2308,          -13.1415,          -10.2309,          -23.4766,          -10.2929,          -11.0899,           -0.6959,            0.2055,           -5.8172,
Ref 7,6.64351e-08,,,,,,1.1971e-02,4.2044e-03,4.8873e-05,4.6421e-06,6.4713e-08,,,,,,,,,,,
Sam 7,6.58390e-08,1.18852e-02,4.1824e-03,4.8229e-05,4.5916e-06,6.4148e-08,,,,,,           -7.1215,           -5.2255,          -13.1129,          -10.8559,          -14.0485,          -10.2875,          -11.0846,           -0.6777,           -0.4368,            3.7651,
Ref 8,6.54323e-08,,,,,,1.1970e-02,4.2043e-03,4.8867e-05,4.6418e-06,6.5415e-08,,,,,,,,,,,
Sam 8,6.48514e-08,1.18852e-02,4.1823e-03,4.8227e-05,4.5941e-06,6.4576e-08,,,,,,           -7.1131,           -5.2222,          -13.0809,          -10.3335,           -2.1585,          -10.2787,          -11.0814,           -0.6572,            0.0845,           15.8544,
Ref 9,6.44492e-08,,,,,,1.1970e-02,4.2043e-03,4.8867e-05,4.6422e-06,6.4005e-08,,,,,,,,,,,
Sam 9,6.38748e-08,1.18850e-02,4.1822e-03,4.8225e-05,4.5937e-06,6.1378e-08,,,,,,           -7.1150,           -5.2327,          -13.1190,          -10.5498,          -58.3318,          -10.2804,          -11.0918,           -0.6835,           -0.1130,          -41.3112,
Ref 10,6.34890e-08,,,,,,1.1970e-02,4.2042e-03,4.8865e-05,4.6431e-06,6.6373e-08,,,,,,,,,,,
Sam 10,6.29153e-08,1.18848e-02,4.1821e-03,4.8222e-05,4.5937e-06,6.7316e-08,,,,,,           -7.1203,           -5.2307,          -13.1462,          -10.4755,            7.5485,          -10.2860,          -11.0898,           -0.7076,           -0.0420,           25.7614,
Ref 11,6.25502e-08,,,,,,1.1970e-02,4.2041e-03,4.8863e-05,4.6415e-06,6.7257e-08,,,,,,,,,,,
Sam 11,6.19858e-08,1.18847e-02,4.1821e-03,4.8222e-05,4.5925e-06,6.7578e-08,,,,,,           -7.1151,           -5.2255,          -13.1502,          -10.7359,            1.9595,          -10.2807,          -11.0846,           -0.7221,           -0.3156,           20.0553,
Ref 12,6.16219e-08,,,,,,1.1970e-02,4.2041e-03,4.8865e-05,4.6433e-06,6.7638e-08,,,,,,,,,,,
Sam 12,6.10654e-08,1.18847e-02,4.1821e-03,4.8224e-05,4.5923e-06,6.8287e-08,,,,,,           -7.1120,           -5.2279,          -13.1380,          -10.7455,           -4.5631,          -10.2773,          -11.0871,           -0.7106,           -0.3203,           13.4165,
Ref 13,6.07230e-08,,,,,,1.1970e-02,4.2040e-03,4.8866e-05,4.6411e-06,6.9576e-08,,,,,,,,,,,
Sam 13,6.01711e-08,1.18846e-02,4.1821e-03,4.8223e-05,4.5924e-06,6.7545e-08,,,,,,           -7.1195,           -5.2256,          -13.0969,          -10.5575,          -43.9791,          -10.2854,          -11.0847,           -0.6636,           -0.1351,          -26.7082,
Ref 14,5.98442e-08,,,,,,1.1970e-02,4.2041e-03,4.8861e-05,4.6417e-06,7.1745e-08,,,,,,,,,,,
Sam 14,5.92967e-08,1.18846e-02,4.1821e-03,4.8218e-05,4.5920e-06,6.8972e-08,,,,,,           -7.1156,           -5.2281,          -13.1356,          -10.4590,          -15.1583,          -10.2811,          -11.0873,           -0.7042,           -0.0304,            2.6342,
Ref 15,5.89763e-08,,,,,,1.1970e-02,4.2040e-03,4.8859e-05,4.6393e-06,6.8298e-08,,,,,,,,,,,
Sam 15,5.84339e-08,1.18846e-02,4.1821e-03,4.8227e-05,4.5929e-06,6.8240e-08,,,,,,           -7.1180,           -5.2242,          -12.9726,          -10.0431,            1.0692,          -10.2838,          -11.0834,           -0.5405,            0.3820,           19.1495,
Ref 16,5.81213e-08,,,,,,1.1970e-02,4.2040e-03,4.8863e-05,4.6397e-06,6.8035e-08,,,,,,,,,,,
Sam 16,5.75885e-08,1.18845e-02,4.1821e-03,4.8222e-05,4.5947e-06,6.5457e-08,,,,,,           -7.1220,           -5.2143,          -13.2011,           -9.8054,          -42.4701,          -10.2884,          -11.0735,           -0.7776,            0.6022,          -25.1910,
Ref 17,5.72935e-08,,,,,,1.1970e-02,4.2040e-03,4.8872e-05,4.6407e-06,6.8690e-08,,,,,,,,,,,
Sam 17,5.67628e-08,1.18844e-02,4.1821e-03,4.8218e-05,4.5927e-06,6.6365e-08,,,,,,           -7.1214,           -5.2148,          -13.3490,          -10.2795,          -56.4519,          -10.2877,          -11.0740,           -0.9276,            0.1241,          -39.4248,
Ref 18,5.64765e-08,,,,,,1.1970e-02,4.2040e-03,4.8869e-05,4.6401e-06,7.2005e-08,,,,,,,,,,,
Sam 18,5.59506e-08,1.18843e-02,4.1821e-03,4.8226e-05,4.5911e-06,6.9585e-08,,,,,,           -7.1247,           -5.2160,          -13.1268,          -10.9095,          -45.6910,          -10.2912,          -11.0752,           -0.6979,           -0.5100,          -28.4639,
Ref 19,5.56700e-08,,,,,,1.1970e-02,4.2040e-03,4.8866e-05,4.6434e-06,7.3842e-08,,,,,,,,,,,
Sam 19,5.51451e-08,1.18844e-02,4.1821e-03,4.8226e-05,4.5944e-06,7.0867e-08,,,,,,           -7.1307,           -5.2187,          -13.1166,          -10.3516,          -16.7390,          -10.2975,          -11.0778,           -0.6786,            0.0590,            1.0223,
Ref 20,5.48804e-08,,,,,,1.1970e-02,4.2040e-03,4.8867e-05,4.6414e-06,7.0280e-08,,,,,,,,,,,
Sam 20,5.43562e-08,1.18845e-02,4.1821e-03,4.8224e-05,4.5932e-06,6.8975e-08,,,,,,           -7.1182,           -5.2221,          -13.2667,          -10.5605,          -11.3969,          -10.2841,          -11.0812,           -0.8403,           -0.1453,            6.4542,
Ref 21,5.41102e-08,,,,,,1.1970e-02,4.2041e-03,4.8877e-05,4.6431e-06,6.9252e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.37344e-08,,,,,,1.1970e-02,4.2041e-03,4.8872e-05,4.6419e-06,6.9776e-08,
Sam 1,5.31957e-08,1.18845e-02,4.1822e-03,4.8234e-05,4.5948e-06,6.7578e-08,,,,,,           -7.1204,           -5.2184,          -13.0388,          -10.2112,          -30.4135,          -10.2865,          -11.0776,           -0.6109,            0.2004,          -12.9106,
Ref 2,5.29745e-08,,,,,,1.1970e-02,4.2042e-03,4.8870e-05,4.6425e-06,6.9619e-08,,,,,,,,,,,
Sam 2,5.24349e-08,1.18844e-02,4.1822e-03,4.8231e-05,4.5941e-06,6.9885e-08,,,,,,           -7.1188,           -5.2258,          -13.1201,          -10.7122,          -12.3914,          -10.2847,          -11.0850,           -0.6874,           -0.2909,            5.4500,
Ref 3,5.22358e-08,,,,,,1.1970e-02,4.2041e-03,4.8874e-05,4.6453e-06,7.1922e-08,,,,,,,,,,,
Sam 3,5.16952e-08,1.18844e-02,4.1822e-03,4.8236e-05,4.5937e-06,6.9056e-08,,,,,,           -7.1182,           -5.2239,          -13.0784,          -10.9195,          -53.4939,          -10.2841,          -11.0830,           -0.6477,           -0.5044,          -36.3993,
Ref 4,5.15109e-08,,,,,,1.1970e-02,4.2042e-03,4.8875e-05,4.6436e-06,7.4010e-08,,,,,,,,,,,
Sam 4,5.09693e-08,1.18844e-02,4.1822e-03,4.8237e-05,4.5967e-06,7.3277e-08,,,,,,           -7.1152,           -5.2235,          -13.0895,          -10.1464,          -22.3094,          -10.2809,          -11.0827,           -0.6625,            0.2762,           -4.6556,
Ref 5,5.07994e-08,,,,,,1.1970e-02,4.2041e-03,4.8878e-05,4.6442e-06,7.5902e-08,,,,,,,,,,,
Sam 5,5.02537e-08,1.18844e-02,4.1822e-03,4.8237e-05,4.5959e-06,7.0396e-08,,,,,,           -7.1164,           -5.2162,          -13.1154,          -10.4957,          -59.7235,          -10.2824,          -11.0754,           -0.6947,           -0.0915,          -42.7579,
Ref 6,5.01086e-08,,,,,,1.1970e-02,4.2041e-03,4.8879e-05,4.6451e-06,7.3819e-08,,,,,,,,,,,
Sam 6,4.95575e-08,1.18844e-02,4.1822e-03,4.8240e-05,4.5968e-06,7.1107e-08,,,,,,           -7.1123,           -5.2214,          -13.0759,          -10.3413,          -34.1731,          -10.2779,          -11.0806,           -0.6538,            0.0749,          -16.7406,
Ref 7,4.94203e-08,,,,,,1.1970e-02,4.2042e-03,4.8879e-05,4.6445e-06,7.3425e-08,,,,,,,,,,,
Sam 7,4.88699e-08,1.18844e-02,4.1822e-03,4.8241e-05,4.5949e-06,7.4409e-08,,,,,,           -7.1194,           -5.2233,          -13.0842,          -10.7444,            8.2453,          -10.2854,          -11.0825,           -0.6529,           -0.3285,           26.4550,
Ref 8,4.87497e-08,,,,,,1.1970e-02,4.2041e-03,4.8883e-05,4.6452e-06,7.4182e-08,,,,,,,,,,,
Sam 8,4.81962e-08,1.18843e-02,4.1822e-03,4.8243e-05,4.5968e-06,7.1813e-08,,,,,,           -7.1167,           -5.2190,          -13.1670,           -9.9700,          -15.4312,          -10.2827,          -11.0781,           -0.7439,            0.4453,            2.3394,
Ref 9,4.80945e-08,,,,,,1.1969e-02,4.2042e-03,4.8890e-05,4.6409e-06,7.1679e-08,,,,,,,,,,,
Sam 9,4.75414e-08,1.18844e-02,4.1822e-03,4.8245e-05,4.5945e-06,6.9319e-08,,,,,,           -7.1156,           -5.2278,          -13.1095,          -10.5704,          -40.2780,          -10.2812,          -11.0870,           -0.6780,           -0.1435,          -22.9398,
Ref 10,4.74440e-08,,,,,,1.1970e-02,4.2042e-03,4.8881e-05,4.6462e-06,7.2786e-08,,,,,,,,,,,
Sam 10,4.68905e-08,1.18843e-02,4.1822e-03,4.8249e-05,4.5962e-06,7.5201e-08,,,,,,           -7.1233,           -5.2338,          -12.9896,          -10.8029,           -8.1838,          -10.2891,          -11.0929,           -0.5428,           -0.3667,            9.7542,
Ref 11,4.68052e-08,,,,,,1.1970e-02,4.2042e-03,4.8888e-05,4.6467e-06,7.8899e-08,,,,,,,,,,,
Sam 11,4.62498e-08,1.18843e-02,4.1823e-03,4.8252e-05,4.5982e-06,7.4522e-08,,,,,,           -7.1214,           -5.2256,          -13.0397,          -10.2906,          -38.2344,          -10.2874,          -11.0847,           -0.6036,            0.1346,          -20.8577,
Ref 12,4.61824e-08,,,,,,1.1969e-02,4.2042e-03,4.8891e-05,4.6453e-06,7.6052e-08,,,,,,,,,,,
Sam 12,4.56301e-08,1.18842e-02,4.1822e-03,4.8253e-05,4.5981e-06,7.0934e-08,,,,,,           -7.1209,           -5.2338,          -13.0184,          -10.5228,          -60.7132,          -10.2866,          -11.0929,           -0.5744,           -0.0836,          -43.7275,
Ref 13,4.55729e-08,,,,,,1.1969e-02,4.2042e-03,4.8887e-05,4.6487e-06,7.4978e-08,,,,,,,,,,,
Sam 13,4.50182e-08,1.18843e-02,4.1822e-03,4.8252e-05,4.5964e-06,7.0639e-08,,,,,,           -7.1102,           -5.2184,          -13.0678,          -11.2455,          -69.9084,          -10.2758,          -11.0776,           -0.6508,           -0.8447,          -53.1286,
Ref 14,4.49736e-08,,,,,,1.1969e-02,4.2041e-03,4.8895e-05,4.6486e-06,7.6931e-08,,,,,,,,,,,
Sam 14,4.44160e-08,1.18841e-02,4.1822e-03,4.8253e-05,4.5990e-06,7.4125e-08,,,,,,           -7.1275,           -5.2226,          -13.1347,          -10.8637,          -23.1335,          -10.2940,          -11.0818,           -0.6964,           -0.4505,           -5.4832,
Ref 15,4.43840e-08,,,,,,1.1969e-02,4.2042e-03,4.8895e-05,4.6504e-06,7.4815e-08,,,,,,,,,,,
Sam 15,4.38194e-08,1.18841e-02,4.1823e-03,4.8253e-05,4.6009e-06,7.0800e-08,,,,,,           -7.1215,           -5.2084,          -13.2111,          -10.5632,          -46.4245,          -10.2881,          -11.0676,           -0.7940,           -0.1754,          -29.2285,
Ref 16,4.38055e-08,,,,,,1.1969e-02,4.2041e-03,4.8903e-05,4.6496e-06,7.3672e-08,,,,,,,,,,,
Sam 16,4.32349e-08,1.18842e-02,4.1823e-03,4.8257e-05,4.6002e-06,6.7576e-08,,,,,,           -7.1128,           -5.2083,          -13.1642,          -10.3133,          -71.7363,          -10.2789,          -11.0675,           -0.7557,            0.0769,          -55.0058,
Ref 17,4.32382e-08,,,,,,1.1969e-02,4.2042e-03,4.8899e-05,4.6466e-06,7.1913e-08,,,,,,,,,,,
Sam 17,4.26571e-08,1.18841e-02,4.1822e-03,4.8261e-05,4.5992e-06,6.9036e-08,,,,,,           -7.1107,           -5.2157,          -12.9965,          -10.4595,          -50.3867,          -10.2763,          -11.0749,           -0.5808,           -0.0559,          -33.2594,
Ref 18,4.26745e-08,,,,,,1.1969e-02,4.2041e-03,4.8893e-05,4.6490e-06,7.3496e-08,,,,,,,,,,,
Sam 18,4.20929e-08,1.18840e-02,4.1822e-03,4.8256e-05,4.6002e-06,6.8513e-08,,,,,,           -7.1133,           -5.2232,          -13.1140,          -10.3893,          -48.2114,          -10.2789,          -11.0824,           -0.6896,            0.0301,          -31.0279,
Ref 19,4.21253e-08,,,,,,1.1969e-02,4.2042e-03,4.8901e-05,4.6480e-06,7.0451e-08,,,,,,,,,,,
Sam 19,4.15352e-08,1.18840e-02,4.1822e-03,4.8266e-05,4.6008e-06,6.4680e-08,,,,,,           -7.1175,           -5.2250,          -13.0380,          -10.6749,          -83.8628,          -10.2833,          -11.0842,           -0.6065,           -0.2549,          -67.3154,
Ref 20,4.15769e-08,,,,,,1.1969e-02,4.2042e-03,4.8907e-05,4.6530e-06,7.0752e-08,,,,,,,,,,,
Sam 20,4.09899e-08,1.18839e-02,4.1822e-03,4.8260e-05,4.6019e-06,6.8568e-08,,,,,,           -7.1315,           -5.2283,          -13.2666,          -10.9261,          -32.9695,          -10.2981,          -11.0874,           -0.8202,           -0.5021,          -15.4817,
Ref 21,4.10466e-08,,,,,,1.1969e-02,4.2042e-03,4.8911e-05,4.6524e-06,7.1061e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.07920e-08,,,,,,1.1969e-02,4.2043e-03,4.8911e-05,4.6503e-06,7.0483e-08,
Sam 1,4.01993e-08,1.18842e-02,4.1824e-03,4.8271e-05,4.6036e-06,6.9930e-08,,,,,,           -7.1094,           -5.2158,          -13.0300,          -10.5967,          -37.8068,          -10.2750,          -11.0750,           -0.6159,           -0.1945,          -20.4539,
Ref 2,4.02748e-08,,,,,,1.1969e-02,4.2043e-03,4.8905e-05,4.6554e-06,7.4900e-08,,,,,,,,,,,
Sam 2,3.96756e-08,1.18841e-02,4.1823e-03,4.8270e-05,4.6039e-06,7.1479e-08,,,,,,           -7.1173,           -5.2341,          -13.0656,          -10.5723,          -57.2380,          -10.2827,          -11.0932,           -0.6257,           -0.1329,          -40.1926,
Ref 3,3.97727e-08,,,,,,1.1969e-02,4.2043e-03,4.8914e-05,4.6507e-06,7.6750e-08,,,,,,,,,,,
Sam 3,3.91722e-08,1.18841e-02,4.1824e-03,4.8272e-05,4.6021e-06,7.2708e-08,,,,,,           -7.1224,           -5.2258,          -13.0256,          -10.7202,          -62.4884,          -10.2885,          -11.0850,           -0.5880,           -0.2990,          -45.5482,
Ref 4,3.92627e-08,,,,,,1.1969e-02,4.2044e-03,4.8905e-05,4.6532e-06,7.8370e-08,,,,,,,,,,,
Sam 4,3.86661e-08,1.18842e-02,4.1824e-03,4.8278e-05,4.6048e-06,7.3780e-08,,,,,,           -7.1199,           -5.2262,          -12.9363,          -10.2818,          -43.9886,          -10.2857,          -11.0853,           -0.4999,            0.1447,          -26.7162,
Ref 5,3.87712e-08,,,,,,1.1969e-02,4.2044e-03,4.8915e-05,4.6520e-06,7.5965e-08,,,,,,,,,,,
Sam 5,3.81460e-08,1.18837e-02,4.1822e-03,4.8276e-05,4.6035e-06,7.7650e-08,,,,,,           -7.1410,           -5.2489,          -13.0606,          -10.4429,          -13.5006,          -10.3074,          -11.1078,           -0.5815,            0.0275,            4.3904,
Ref 6,3.82629e-08,,,,,,1.1969e-02,4.2041e-03,4.8914e-05,4.6521e-06,8.1498e-08,,,,,,,,,,,
Sam 6,3.76559e-08,1.18838e-02,4.1822e-03,4.8270e-05,4.6052e-06,7.9597e-08,,,,,,           -7.1155,           -5.2003,          -13.1651,          -10.3983,          -30.4798,          -10.2820,          -11.0596,           -0.7617,           -0.0251,          -13.0185,
Ref 7,3.77874e-08,,,,,,1.1969e-02,4.2041e-03,4.8913e-05,4.6552e-06,8.2708e-08,,,,,,,,,,,
Sam 7,3.71792e-08,1.18837e-02,4.1822e-03,4.8269e-05,4.6038e-06,8.0179e-08,,,,,,           -7.1242,           -5.2291,          -13.1551,          -10.6350,          -25.9902,          -10.2902,          -11.0882,           -0.7142,           -0.2065,           -8.3824,
Ref 8,3.73211e-08,,,,,,1.1969e-02,4.2042e-03,4.8911e-05,4.6514e-06,8.1925e-08,,,,,,,,,,,
Sam 8,3.67090e-08,1.18839e-02,4.1822e-03,4.8270e-05,4.6056e-06,7.7047e-08,,,,,,           -7.1003,           -5.2128,          -13.1518,           -9.9407,          -70.5560,          -10.2654,          -11.0721,           -0.7516,            0.4625,          -53.8084,
Ref 9,3.68554e-08,,,,,,1.1969e-02,4.2041e-03,4.8914e-05,4.6524e-06,8.3877e-08,,,,,,,,,,,
Sam 9,3.62477e-08,1.18838e-02,4.1822e-03,4.8276e-05,4.6064e-06,8.0000e-08,,,,,,           -7.1119,           -5.2148,          -13.0212,          -10.1791,          -44.4804,          -10.2777,          -11.0740,           -0.6055,            0.2255,          -27.2472,
Ref 10,3.64028e-08,,,,,,1.1969e-02,4.2041e-03,4.8912e-05,4.6551e-06,8.3569e-08,,,,,,,,,,,
Sam 10,3.57902e-08,1.18838e-02,4.1822e-03,4.8272e-05,4.6072e-06,8.2172e-08,,,,,,           -7.1085,           -5.2102,          -13.1098,          -10.6114,          -21.9458,          -10.2742,          -11.0694,           -0.7032,           -0.2205,           -4.3188,
Ref 11,3.59543e-08,,,,,,1.1969e-02,4.2041e-03,4.8915e-05,4.6581e-06,8.4468e-08,,,,,,,,,,,
Sam 11,3.53416e-08,1.18835e-02,4.1822e-03,4.8276e-05,4.6052e-06,8.1520e-08,,,,,,           -7.1311,           -5.2107,          -13.0947,          -10.9670,          -42.9270,          -10.2982,          -11.0699,           -0.6640,           -0.5788,          -25.6535,
Ref 12,3.55133e-08,,,,,,1.1969e-02,4.2041e-03,4.8919e-05,4.6544e-06,8.5894e-08,,,,,,,,,,,
Sam 12,3.48979e-08,1.18837e-02,4.1822e-03,4.8279e-05,4.6082e-06,8.3228e-08,,,,,,           -7.1062,           -5.2074,          -13.0762,          -10.2003,          -25.3084,          -10.2719,          -11.0666,           -0.6743,            0.1893,           -7.7499,
Ref 13,3.50813e-08,,,,,,1.1969e-02,4.2041e-03,4.8918e-05,4.6570e-06,8.4877e-08,,,,,,,,,,,
Sam 13,3.44622e-08,1.18834e-02,4.1821e-03,4.8278e-05,4.6094e-06,8.5800e-08,,,,,,           -7.1226,           -5.2375,          -13.0552,           -9.9640,           -8.7952,          -10.2883,          -11.0966,           -0.6063,            0.4887,            9.1386,
Ref 14,3.46519e-08,,,,,,1.1969e-02,4.2041e-03,4.8916e-05,4.6547e-06,8.8267e-08,,,,,,,,,,,
Sam 14,3.40316e-08,1.18835e-02,4.1821e-03,4.8270e-05,4.6094e-06,8.1532e-08,,,,,,           -7.1187,           -5.2121,          -13.2556,          -10.3801,          -76.2985,          -10.2850,          -11.0713,           -0.8384,            0.0170,          -59.6373,
Ref 15,3.42330e-08,,,,,,1.1969e-02,4.2040e-03,4.8921e-05,4.6609e-06,8.8266e-08,,,,,,,,,,,
Sam 15,3.36151e-08,1.18834e-02,4.1821e-03,4.8276e-05,4.6108e-06,8.6915e-08,,,,,,           -7.1192,           -5.2146,          -13.1525,          -10.1467,           29.9944,          -10.2855,          -11.0738,           -0.7309,            0.2579,           48.5786,
Ref 16,3.38271e-08,,,,,,1.1968e-02,4.2040e-03,4.8917e-05,4.6552e-06,8.0455e-08,,,,,,,,,,,
Sam 16,3.32015e-08,1.18832e-02,4.1820e-03,4.8280e-05,4.6112e-06,8.1728e-08,,,,,,           -7.1246,           -5.2306,          -13.0608,           -9.5291,           10.9069,          -10.2906,          -11.0898,           -0.6167,            0.9143,           29.1853,
Ref 17,3.34172e-08,,,,,,1.1969e-02,4.2040e-03,4.8920e-05,4.6561e-06,8.1243e-08,,,,,,,,,,,
Sam 17,3.27916e-08,1.18831e-02,4.1820e-03,4.8274e-05,4.6103e-06,8.2401e-08,,,,,,           -7.1408,           -5.2379,          -13.2330,          -10.1179,           -1.2507,          -10.3076,          -11.0970,           -0.7670,            0.3339,           16.8401,
Ref 18,3.30158e-08,,,,,,1.1969e-02,4.2039e-03,4.8922e-05,4.6589e-06,8.3780e-08,,,,,,,,,,,
Sam 18,3.23885e-08,1.18832e-02,4.1820e-03,4.8283e-05,4.6104e-06,8.0782e-08,,,,,,           -7.1285,           -5.2125,          -13.0971,          -10.2129,          -31.8694,          -10.2954,          -11.0717,           -0.6673,            0.1869,          -14.3956,
Ref 19,3.26242e-08,,,,,,1.1968e-02,4.2038e-03,4.8926e-05,4.6570e-06,8.3098e-08,,,,,,,,,,,
Sam 19,3.19955e-08,1.18831e-02,4.1819e-03,4.8279e-05,4.6094e-06,8.1148e-08,,,,,,           -7.1223,           -5.2208,          -13.1329,          -10.6740,          -57.9322,          -10.2885,          -11.0800,           -0.7018,           -0.2624,          -40.9194,
Ref 20,3.22431e-08,,,,,,1.1968e-02,4.2039e-03,4.8918e-05,4.6612e-06,8.9215e-08,,,,,,,,,,,
