Nu Stable Isotope Analysis Program
Data Collected on Monday, May 17, 2021 at 18:17 with Stable 1.71.5 on PS019,Reanalyzed on Monday, May 17, 2021 at 19:16 with Stable 1.71.5 on PS019

Data File = Data_13651 ETH-04.txt,        Sample Weight = 529,                      Vial Location = 4,                        Initial Sam Beam = 2.0383e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.7403e-08,                Max Ref Beam = 1.0603e-07,                

Analysis undertaken at mass 46.0109
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.54561e-08,,,,,,1.1970e-02,4.2049e-03,4.8917e-05,4.6423e-06,6.8956e-08,
Sam 1,1.82130e-08,1.18827e-02,4.1822e-03,4.8314e-05,4.6133e-06,7.6521e-08,,,,,,           -7.3184,           -5.4140,          -12.4210,           -6.8694,          130.7672,          -10.4905,          -11.2718,            0.4139,            3.9722,          151.8694,
Ref 2,3.47357e-08,,,,,,1.1970e-02,4.2050e-03,4.8926e-05,4.6482e-06,6.6361e-08,,,,,,,,,,,
Sam 2,1.78709e-08,1.18827e-02,4.1821e-03,4.8317e-05,4.6063e-06,6.8931e-08,,,,,,           -7.3164,           -5.4413,          -12.4539,           -8.3399,           35.2997,          -10.4875,          -11.2990,            0.4056,            2.5406,           54.6750,
Ref 3,3.40258e-08,,,,,,1.1970e-02,4.2050e-03,4.8926e-05,4.6418e-06,6.6805e-08,,,,,,,,,,,
Sam 3,1.75351e-08,1.18827e-02,4.1822e-03,4.8320e-05,4.6203e-06,8.6394e-08,,,,,,           -7.3139,           -5.4100,          -12.3532,           -5.2703,          254.5440,          -10.4859,          -11.2678,            0.4739,            5.5805,          277.9396,
Ref 4,3.33252e-08,,,,,,1.1970e-02,4.2049e-03,4.8922e-05,4.6478e-06,7.0967e-08,,,,,,,,,,,
Sam 4,1.72050e-08,1.18825e-02,4.1821e-03,4.8314e-05,4.6164e-06,9.2042e-08,,,,,,           -7.3246,           -5.4291,          -12.5060,           -6.4548,          270.8391,          -10.4966,          -11.2868,            0.3491,            4.4217,          294.6023,
Ref 5,3.26419e-08,,,,,,1.1970e-02,4.2049e-03,4.8930e-05,4.6448e-06,7.3916e-08,,,,,,,,,,,
Sam 5,1.68852e-08,1.18824e-02,4.1820e-03,4.8320e-05,4.6203e-06,7.8896e-08,,,,,,           -7.3180,           -5.4347,          -12.4051,           -5.4034,          120.4233,          -10.4894,          -11.2924,            0.4502,            5.4960,          141.3787,
Ref 6,3.19756e-08,,,,,,1.1970e-02,4.2048e-03,4.8924e-05,4.6461e-06,6.6844e-08,,,,,,,,,,,
Sam 6,1.65712e-08,1.18821e-02,4.1819e-03,4.8321e-05,4.6185e-06,7.5211e-08,,,,,,           -7.3304,           -5.4507,          -12.4145,           -6.2337,          137.7786,          -10.5020,          -11.3083,            0.4694,            4.6890,          159.1108,
Ref 7,3.13338e-08,,,,,,1.1970e-02,4.2048e-03,4.8934e-05,4.6488e-06,6.5348e-08,,,,,,,,,,,
Sam 7,1.62671e-08,1.18820e-02,4.1817e-03,4.8329e-05,4.6191e-06,7.5056e-08,,,,,,           -7.3412,           -5.4816,          -12.3335,           -6.4888,          133.7635,          -10.5124,          -11.3391,            0.5932,            4.4935,          155.1042,
Ref 8,3.07049e-08,,,,,,1.1970e-02,4.2048e-03,4.8931e-05,4.6498e-06,6.7071e-08,,,,,,,,,,,
Sam 8,1.59698e-08,1.18818e-02,4.1817e-03,4.8333e-05,4.6122e-06,7.5547e-08,,,,,,           -7.3507,           -5.4717,          -12.3079,           -8.4291,           90.4216,          -10.5229,          -11.3292,            0.6192,            2.5117,          110.9361,
Ref 9,3.00973e-08,,,,,,1.1970e-02,4.2047e-03,4.8939e-05,4.6530e-06,7.1538e-08,,,,,,,,,,,
Sam 9,1.56787e-08,1.18816e-02,4.1816e-03,4.8324e-05,4.6255e-06,7.9698e-08,,,,,,           -7.3630,           -5.4811,          -12.5287,           -4.9430,           92.3645,          -10.5357,          -11.3385,            0.4176,            6.0554,          112.9511,
Ref 10,2.95009e-08,,,,,,1.1970e-02,4.2046e-03,4.8936e-05,4.6439e-06,7.4409e-08,,,,,,,,,,,
Sam 10,1.53958e-08,1.18817e-02,4.1816e-03,4.8332e-05,4.6109e-06,7.0419e-08,,,,,,           -7.3507,           -5.4758,          -12.3124,           -7.8176,          -49.6136,          -10.5227,          -11.3333,            0.6187,            3.1383,          -31.7256,
Ref 11,2.89208e-08,,,,,,1.1970e-02,4.2046e-03,4.8932e-05,4.6507e-06,7.3775e-08,,,,,,,,,,,
Sam 11,1.51194e-08,1.18814e-02,4.1815e-03,4.8328e-05,4.6243e-06,7.6117e-08,,,,,,           -7.3610,           -5.4960,          -12.4615,           -5.2995,           57.9461,          -10.5330,          -11.3533,            0.4982,            5.7250,           77.9133,
Ref 12,2.83583e-08,,,,,,1.1969e-02,4.2045e-03,4.8943e-05,4.6471e-06,7.0086e-08,,,,,,,,,,,
Sam 12,1.48463e-08,1.18813e-02,4.1814e-03,4.8327e-05,4.6187e-06,7.8011e-08,,,,,,           -7.3596,           -5.4954,          -12.5056,           -5.9713,           52.1215,          -10.5316,          -11.3527,            0.4516,            5.0445,           71.9759,
Ref 13,2.78060e-08,,,,,,1.1969e-02,4.2045e-03,4.8935e-05,4.6458e-06,7.8288e-08,,,,,,,,,,,
Sam 13,1.45820e-08,1.18813e-02,4.1814e-03,4.8328e-05,4.6133e-06,1.0107e-07,,,,,,           -7.3642,           -5.5046,          -12.4474,           -7.5613,          267.5427,          -10.5361,          -11.3618,            0.5244,            3.4554,          291.4919,
Ref 14,2.72716e-08,,,,,,1.1969e-02,4.2045e-03,4.8940e-05,4.6510e-06,8.1212e-08,,,,,,,,,,,
Sam 14,1.43209e-08,1.18811e-02,4.1812e-03,4.8331e-05,4.6197e-06,9.5870e-08,,,,,,           -7.3793,           -5.5509,          -12.4839,           -6.1164,          172.8067,          -10.5506,          -11.4079,            0.5490,            5.0100,          195.0948,
Ref 15,2.67421e-08,,,,,,1.1969e-02,4.2046e-03,4.8945e-05,4.6451e-06,8.2286e-08,,,,,,,,,,,
Sam 15,1.40640e-08,1.18811e-02,4.1812e-03,4.8316e-05,4.6215e-06,1.0964e-07,,,,,,           -7.3719,           -5.5545,          -12.8563,           -6.0377,          339.6592,          -10.5426,          -11.4115,            0.1676,            5.0969,          365.1171,
Ref 16,2.62346e-08,,,,,,1.1969e-02,4.2045e-03,4.8946e-05,4.6541e-06,8.1383e-08,,,,,,,,,,,
Sam 16,1.38191e-08,1.18810e-02,4.1813e-03,4.8328e-05,4.6125e-06,1.0732e-07,,,,,,           -7.3710,           -5.5075,          -12.5948,           -9.1871,          331.4044,          -10.5432,          -11.3647,            0.3850,            1.8175,          356.5778,
Ref 17,2.57429e-08,,,,,,1.1969e-02,4.2044e-03,4.8942e-05,4.6566e-06,7.9818e-08,,,,,,,,,,,
Sam 17,1.35756e-08,1.18810e-02,4.1811e-03,4.8328e-05,4.6263e-06,9.7458e-08,,,,,,           -7.3606,           -5.5219,          -12.6422,           -5.8855,          187.9093,          -10.5317,          -11.3791,            0.3406,            5.1849,          210.3909,
Ref 18,2.52546e-08,,,,,,1.1969e-02,4.2044e-03,4.8951e-05,4.6508e-06,8.4307e-08,,,,,,,,,,,
Sam 18,1.33342e-08,1.18808e-02,4.1810e-03,4.8351e-05,4.6167e-06,1.0420e-07,,,,,,           -7.3651,           -5.5486,          -12.2600,           -7.6267,          245.2912,          -10.5355,          -11.4057,            0.7589,            3.4782,          268.9317,
Ref 19,2.47718e-08,,,,,,1.1969e-02,4.2043e-03,4.8950e-05,4.6536e-06,8.3027e-08,,,,,,,,,,,
Sam 19,1.31005e-08,1.18807e-02,4.1810e-03,4.8337e-05,4.6207e-06,1.0095e-07,,,,,,           -7.3656,           -5.5432,          -12.5360,           -7.0244,          205.2414,          -10.5363,          -11.4002,            0.4743,            4.0762,          228.1091,
Ref 20,2.43123e-08,,,,,,1.1969e-02,4.2043e-03,4.8951e-05,4.6532e-06,8.4508e-08,,,,,,,,,,,
Sam 20,1.28732e-08,1.18804e-02,4.1809e-03,4.8328e-05,4.6282e-06,1.0691e-07,,,,,,           -7.3882,           -5.5498,          -12.7194,           -6.3377,          237.9866,          -10.5601,          -11.4068,            0.3186,            4.7840,          261.5227,
Ref 21,2.38586e-08,,,,,,1.1969e-02,4.2042e-03,4.8951e-05,4.6623e-06,8.8251e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.36457e-08,,,,,,1.1969e-02,4.2044e-03,4.8953e-05,4.6579e-06,9.4536e-08,
Sam 1,1.25412e-08,1.18805e-02,4.1808e-03,4.8326e-05,4.6210e-06,1.3629e-07,,,,,,           -7.3838,           -5.5866,          -12.8103,           -8.0253,          349.2872,          -10.5541,          -11.4434,            0.2583,            3.1517,          375.0327,
Ref 2,2.32039e-08,,,,,,1.1969e-02,4.2041e-03,4.8952e-05,4.6589e-06,1.0761e-07,,,,,,,,,,,
Sam 2,1.23175e-08,1.18800e-02,4.1807e-03,4.8329e-05,4.6147e-06,1.4768e-07,,,,,,           -7.4017,           -5.5676,          -12.7184,           -9.3672,          368.7287,          -10.5738,          -11.4244,            0.3512,            1.7564,          394.8194,
Ref 3,2.27718e-08,,,,,,1.1969e-02,4.2040e-03,4.8950e-05,4.6577e-06,1.0819e-07,,,,,,,,,,,
Sam 3,1.21026e-08,1.18803e-02,4.1806e-03,4.8348e-05,4.6310e-06,1.5144e-07,,,,,,           -7.3729,           -5.5690,          -12.3260,           -6.1024,          383.5108,          -10.5431,          -11.4259,            0.7203,            5.0607,          409.8438,
Ref 4,2.23554e-08,,,,,,1.1969e-02,4.2041e-03,4.8953e-05,4.6613e-06,1.1076e-07,,,,,,,,,,,
Sam 4,1.18950e-08,1.18802e-02,4.1806e-03,4.8355e-05,4.6244e-06,1.5300e-07,,,,,,           -7.3719,           -5.5785,          -12.2684,           -7.7098,          385.6987,          -10.5418,          -11.4354,            0.7871,            3.4545,          412.0984,
Ref 5,2.19498e-08,,,,,,1.1968e-02,4.2040e-03,4.8959e-05,4.6593e-06,1.1007e-07,,,,,,,,,,,
Sam 5,1.16904e-08,1.18800e-02,4.1806e-03,4.8336e-05,4.6059e-06,1.5478e-07,,,,,,           -7.3800,           -5.5671,          -12.7155,          -11.9233,          399.8269,          -10.5507,          -11.4241,            0.3312,           -0.8292,          426.4761,
Ref 6,2.15500e-08,,,,,,1.1968e-02,4.2040e-03,4.8957e-05,4.6637e-06,1.1108e-07,,,,,,,,,,,
Sam 6,1.14898e-08,1.18797e-02,4.1805e-03,4.8346e-05,4.6354e-06,1.5071e-07,,,,,,           -7.3949,           -5.5750,          -12.5464,           -5.5013,          333.4689,          -10.5663,          -11.4318,            0.5258,            5.6806,          358.8976,
Ref 7,2.11624e-08,,,,,,1.1968e-02,4.2039e-03,4.8964e-05,4.6583e-06,1.1500e-07,,,,,,,,,,,
Sam 7,1.12941e-08,1.18796e-02,4.1805e-03,4.8343e-05,4.6179e-06,1.6846e-07,,,,,,           -7.3916,           -5.5562,          -12.5734,           -9.3335,          469.6532,          -10.5634,          -11.4131,            0.4763,            1.7675,          497.6177,
Ref 8,2.07877e-08,,,,,,1.1968e-02,4.2038e-03,4.8953e-05,4.6646e-06,1.1424e-07,,,,,,,,,,,
Sam 8,1.11024e-08,1.18797e-02,4.1802e-03,4.8342e-05,4.6380e-06,1.7153e-07,,,,,,           -7.3743,           -5.5987,          -12.4948,           -5.3296,          454.2921,          -10.5436,          -11.4555,            0.5802,            5.9023,          482.0617,
Ref 9,2.04160e-08,,,,,,1.1968e-02,4.2037e-03,4.8954e-05,4.6611e-06,1.2172e-07,,,,,,,,,,,
Sam 9,1.09141e-08,1.18796e-02,4.1803e-03,4.8342e-05,4.6262e-06,1.6439e-07,,,,,,           -7.3822,           -5.5707,          -12.5675,           -7.3350,          389.9210,          -10.5530,          -11.4276,            0.4869,            3.8178,          416.3950,
Ref 10,2.00514e-08,,,,,,1.1968e-02,4.2037e-03,4.8960e-05,4.6596e-06,1.1477e-07,,,,,,,,,,,
Sam 10,1.07344e-08,1.18795e-02,4.1802e-03,4.8338e-05,4.6329e-06,1.7912e-07,,,,,,           -7.3886,           -5.5866,          -12.7681,           -6.2369,          498.4915,          -10.5592,          -11.4434,            0.3061,            4.9603,          527.0919,
Ref 11,1.97068e-08,,,,,,1.1968e-02,4.2037e-03,4.8967e-05,4.6645e-06,1.2438e-07,,,,,,,,,,,
Sam 11,1.05550e-08,1.18794e-02,4.1802e-03,4.8355e-05,4.6393e-06,1.7629e-07,,,,,,           -7.3908,           -5.5739,          -12.4171,           -5.9500,          339.2850,          -10.5620,          -11.4307,            0.6513,            5.2246,          364.8155,
Ref 12,1.93613e-08,,,,,,1.1968e-02,4.2036e-03,4.8959e-05,4.6698e-06,1.3901e-07,,,,,,,,,,,
Sam 12,1.03783e-08,1.18795e-02,4.1801e-03,4.8344e-05,4.6350e-06,2.0455e-07,,,,,,           -7.3791,           -5.5862,          -12.7171,           -6.8130,          518.2011,          -10.5491,          -11.4431,            0.3475,            4.3770,          547.1607,
Ref 13,1.90223e-08,,,,,,1.1968e-02,4.2036e-03,4.8974e-05,4.6637e-06,1.3038e-07,,,,,,,,,,,
Sam 13,1.02053e-08,1.18793e-02,4.1801e-03,4.8341e-05,4.6420e-06,1.7891e-07,,,,,,           -7.3931,           -5.5795,          -12.8669,           -5.1418,          396.7420,          -10.5643,          -11.4363,            0.2036,            6.0533,          423.3872,
Ref 14,1.86925e-08,,,,,,1.1968e-02,4.2035e-03,4.8968e-05,4.6684e-06,1.2577e-07,,,,,,,,,,,
Sam 14,1.00361e-08,1.18790e-02,4.1801e-03,4.8356e-05,4.6343e-06,1.8243e-07,,,,,,           -7.3983,           -5.5730,          -12.5909,           -7.4094,          421.9344,          -10.5701,          -11.4298,            0.4823,            3.7471,          449.0496,
Ref 15,1.83675e-08,,,,,,1.1967e-02,4.2036e-03,4.8977e-05,4.6693e-06,1.3087e-07,,,,,,,,,,,
Sam 15,9.86865e-09,1.18789e-02,4.1798e-03,4.8339e-05,4.6471e-06,1.7623e-07,,,,,,           -7.3959,           -5.6428,          -12.9810,           -5.2193,          340.3628,          -10.5650,          -11.4994,            0.1535,            6.1031,          366.1077,
Ref 16,1.80485e-08,,,,,,1.1967e-02,4.2034e-03,4.8973e-05,4.6737e-06,1.3210e-07,,,,,,,,,,,
Sam 16,9.70499e-09,1.18787e-02,4.1798e-03,4.8362e-05,4.6480e-06,1.9853e-07,,,,,,           -7.3982,           -5.6038,          -12.4879,           -6.1131,          413.6511,          -10.5688,          -11.4605,            0.6169,            5.1202,          440.6959,
Ref 17,1.77394e-08,,,,,,1.1967e-02,4.2033e-03,4.8975e-05,4.6794e-06,1.4892e-07,,,,,,,,,,,
Sam 17,9.54335e-09,1.18787e-02,4.1798e-03,4.8353e-05,4.6489e-06,2.1705e-07,,,,,,           -7.3902,           -5.5947,          -12.6846,           -6.7203,          440.8417,          -10.5606,          -11.4515,            0.4004,            4.4879,          468.3677,
Ref 18,1.74380e-08,,,,,,1.1967e-02,4.2034e-03,4.8974e-05,4.6813e-06,1.5239e-07,,,,,,,,,,,
Sam 18,9.38557e-09,1.18785e-02,4.1797e-03,4.8359e-05,4.6549e-06,2.2430e-07,,,,,,           -7.4075,           -5.6269,          -12.6348,           -4.3560,          497.3825,          -10.5779,          -11.4835,            0.5006,            6.9440,          526.1141,
Ref 19,1.71384e-08,,,,,,1.1967e-02,4.2033e-03,4.8981e-05,4.6691e-06,1.4715e-07,,,,,,,,,,,
Sam 19,9.22898e-09,1.18786e-02,4.1797e-03,4.8365e-05,4.6524e-06,2.3072e-07,,,,,,           -7.4055,           -5.6051,          -12.5744,           -3.6899,          503.9611,          -10.5766,          -11.4618,            0.5383,            7.5735,          532.7496,
Ref 20,1.68448e-08,,,,,,1.1967e-02,4.2032e-03,4.8980e-05,4.6700e-06,1.5977e-07,,,,,,,,,,,
Sam 20,9.07590e-09,1.18787e-02,4.1797e-03,4.8378e-05,4.6602e-06,2.3343e-07,,,,,,           -7.3826,           -5.5733,          -12.3003,           -2.5983,          413.6415,          -10.5533,          -11.4302,            0.7607,            8.6129,          440.5753,
Ref 21,1.65580e-08,,,,,,1.1967e-02,4.2031e-03,4.8980e-05,4.6746e-06,1.7057e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.64221e-08,,,,,,1.1967e-02,4.2032e-03,4.8984e-05,4.6791e-06,1.7497e-07,
Sam 1,8.85400e-09,1.18784e-02,4.1797e-03,4.8383e-05,4.6637e-06,2.6879e-07,,,,,,           -7.4041,           -5.5843,          -12.2532,           -3.4238,          521.7235,          -10.5758,          -11.4411,            0.8416,            7.8005,          550.7859,
Ref 2,1.61431e-08,,,,,,1.1967e-02,4.2031e-03,4.8982e-05,4.6804e-06,1.7833e-07,,,,,,,,,,,
Sam 2,8.70981e-09,1.18781e-02,4.1794e-03,4.8381e-05,4.6567e-06,2.7923e-07,,,,,,           -7.4055,           -5.6240,          -12.2426,           -5.4526,          548.0872,          -10.5759,          -11.4806,            0.8931,            5.8291,          577.7793,
Ref 3,1.58730e-08,,,,,,1.1967e-02,4.2030e-03,4.8980e-05,4.6841e-06,1.8245e-07,,,,,,,,,,,
Sam 3,8.56855e-09,1.18780e-02,4.1793e-03,4.8381e-05,4.6536e-06,2.9986e-07,,,,,,           -7.4077,           -5.6342,          -12.1778,           -7.0103,          621.8641,          -10.5779,          -11.4907,            0.9712,            4.2743,          653.0083,
Ref 4,1.56068e-08,,,,,,1.1967e-02,4.2029e-03,4.8974e-05,4.6889e-06,1.8736e-07,,,,,,,,,,,
Sam 4,8.42786e-09,1.18783e-02,4.1793e-03,4.8389e-05,4.6715e-06,2.9101e-07,,,,,,           -7.3835,           -5.6036,          -11.9185,           -3.4532,          555.9842,          -10.5533,          -11.4603,            1.1785,            7.8098,          585.7264,
Ref 5,1.53501e-08,,,,,,1.1967e-02,4.2028e-03,4.8971e-05,4.6865e-06,1.8669e-07,,,,,,,,,,,
Sam 5,8.29241e-09,1.18780e-02,4.1794e-03,4.8385e-05,4.6755e-06,2.8337e-07,,,,,,           -7.3932,           -5.5871,          -12.1458,           -2.7964,          548.6707,          -10.5641,          -11.4439,            0.9418,            8.4405,          578.2378,
Ref 6,1.50965e-08,,,,,,1.1966e-02,4.2029e-03,4.8990e-05,4.6908e-06,1.7920e-07,,,,,,,,,,,
Sam 6,8.15817e-09,1.18781e-02,4.1793e-03,4.8377e-05,4.6780e-06,2.9627e-07,,,,,,           -7.3863,           -5.6005,          -12.4847,           -2.2469,          566.7702,          -10.5563,          -11.4573,            0.6046,            9.0234,          596.7135,
Ref 7,1.48466e-08,,,,,,1.1967e-02,4.2027e-03,4.8988e-05,4.6862e-06,1.9916e-07,,,,,,,,,,,
Sam 7,8.02719e-09,1.18778e-02,4.1793e-03,4.8391e-05,4.6752e-06,3.0449e-07,,,,,,           -7.4090,           -5.5737,          -12.1487,           -1.5269,          495.1091,          -10.5814,          -11.4305,            0.9421,            9.6972,          523.6393,
Ref 8,1.46036e-08,,,,,,1.1966e-02,4.2027e-03,4.8984e-05,4.6783e-06,2.0823e-07,,,,,,,,,,,
Sam 8,7.89844e-09,1.18779e-02,4.1791e-03,4.8382e-05,4.6843e-06,3.1348e-07,,,,,,           -7.3888,           -5.6102,          -12.3335,           -0.5641,          508.7253,          -10.5586,          -11.4669,            0.7700,           10.7450,          537.5930,
Ref 9,1.43648e-08,,,,,,1.1966e-02,4.2026e-03,4.8987e-05,4.6957e-06,2.0732e-07,,,,,,,,,,,
Sam 9,7.77152e-09,1.18777e-02,4.1790e-03,4.8414e-05,4.6821e-06,3.4576e-07,,,,,,           -7.3945,           -5.6037,          -11.7415,           -2.8425,          632.5959,          -10.5650,          -11.4604,            1.3693,            8.4275,          663.8223,
Ref 10,1.41305e-08,,,,,,1.1966e-02,4.2026e-03,4.8992e-05,4.6952e-06,2.1632e-07,,,,,,,,,,,
Sam 10,7.64735e-09,1.18773e-02,4.1790e-03,4.8407e-05,4.6802e-06,3.3676e-07,,,,,,           -7.4126,           -5.5977,          -12.0168,           -2.5467,          509.5303,          -10.5843,          -11.4544,            1.1032,            8.7145,          538.4144,
Ref 11,1.39028e-08,,,,,,1.1966e-02,4.2025e-03,4.9000e-05,4.6891e-06,2.2997e-07,,,,,,,,,,,
Sam 11,7.52690e-09,1.18775e-02,4.1790e-03,4.8416e-05,4.6799e-06,3.7013e-07,,,,,,           -7.3814,           -5.5803,          -11.9085,           -3.6494,          602.6117,          -10.5518,          -11.4372,            1.1634,            7.5643,          633.1664,
Ref 12,1.36772e-08,,,,,,1.1966e-02,4.2025e-03,4.8999e-05,4.7052e-06,2.3196e-07,,,,,,,,,,,
Sam 12,7.40778e-09,1.18774e-02,4.1789e-03,4.8411e-05,4.7035e-06,3.6083e-07,,,,,,           -7.3896,           -5.6163,          -12.1147,            0.2039,          549.6057,          -10.5592,          -11.4729,            0.9985,           11.5340,          579.2758,
Ref 13,1.34601e-08,,,,,,1.1966e-02,4.2025e-03,4.9012e-05,4.6999e-06,2.3376e-07,,,,,,,,,,,
Sam 13,7.29029e-09,1.18774e-02,4.1787e-03,4.8423e-05,4.7008e-06,3.8781e-07,,,,,,           -7.3865,           -5.6486,          -11.9604,            0.2415,          640.5800,          -10.5549,          -11.5051,            1.1837,           11.6379,          672.0935,
Ref 14,1.32435e-08,,,,,,1.1966e-02,4.2024e-03,4.9006e-05,4.6994e-06,2.3905e-07,,,,,,,,,,,
Sam 14,7.17617e-09,1.18774e-02,4.1788e-03,4.8425e-05,4.7063e-06,3.8555e-07,,,,,,           -7.3779,           -5.6142,          -11.9317,            1.4398,          555.3606,          -10.5469,          -11.4709,            1.1697,           12.7797,          585.1145,
Ref 15,1.30326e-08,,,,,,1.1966e-02,4.2023e-03,4.9014e-05,4.6997e-06,2.5686e-07,,,,,,,,,,,
Sam 15,7.06260e-09,1.18772e-02,4.1787e-03,4.8443e-05,4.7017e-06,4.1874e-07,,,,,,           -7.3853,           -5.6027,          -11.7484,           -0.3825,          646.0317,          -10.5552,          -11.4594,            1.3517,           10.9134,          677.4953,
Ref 16,1.28236e-08,,,,,,1.1966e-02,4.2022e-03,4.9024e-05,4.7073e-06,2.5189e-07,,,,,,,,,,,
Sam 16,6.95066e-09,1.18768e-02,4.1787e-03,4.8441e-05,4.7030e-06,4.3336e-07,,,,,,           -7.4177,           -5.6050,          -11.7949,           -1.1331,          684.2043,          -10.5896,          -11.4616,            1.3406,           10.1590,          716.4649,
Ref 17,1.26211e-08,,,,,,1.1965e-02,4.2022e-03,4.9015e-05,4.7093e-06,2.6281e-07,,,,,,,,,,,
Sam 17,6.84104e-09,1.18769e-02,4.1786e-03,4.8426e-05,4.7249e-06,4.3818e-07,,,,,,           -7.3952,           -5.6127,          -12.0110,            3.4102,          659.8181,          -10.5653,          -11.4694,            1.1058,           14.7694,          691.5965,
Ref 18,1.24228e-08,,,,,,1.1965e-02,4.2021e-03,4.9015e-05,4.7084e-06,2.6520e-07,,,,,,,,,,,
Sam 18,6.73343e-09,1.18769e-02,4.1785e-03,4.8438e-05,4.6926e-06,4.5374e-07,,,,,,           -7.3808,           -5.6225,          -11.7392,           -4.2080,          663.8128,          -10.5497,          -11.4791,            1.3761,            7.0848,          695.6746,
Ref 19,1.22267e-08,,,,,,1.1965e-02,4.2021e-03,4.9012e-05,4.7164e-06,2.8034e-07,,,,,,,,,,,
Sam 19,6.62763e-09,1.18766e-02,4.1784e-03,4.8456e-05,4.7123e-06,4.6962e-07,,,,,,           -7.4017,           -5.6230,          -11.5685,           -1.6222,          683.5078,          -10.5719,          -11.4796,            1.5713,            9.7010,          715.7869,
Ref 20,1.20341e-08,,,,,,1.1965e-02,4.2020e-03,4.9035e-05,4.7236e-06,2.7754e-07,,,,,,,,,,,
Sam 20,6.52485e-09,1.18769e-02,4.1786e-03,4.8466e-05,4.7282e-06,4.7353e-07,,,,,,           -7.3768,           -5.5688,          -11.5433,            1.4745,          636.0768,          -10.5473,          -11.4257,            1.5171,           12.7223,          667.2231,
Ref 21,1.18492e-08,,,,,,1.1965e-02,4.2020e-03,4.9029e-05,4.7189e-06,3.0151e-07,,,,,,,,,,,


