Nu Stable Isotope Analysis Program
Data Collected on Monday, May 17, 2021 at 22:24 with Stable 1.71.5 on PS019,Reanalyzed on Monday, May 17, 2021 at 23:23 with Stable 1.71.5 on PS019

Data File = Data_13654 30-RJS-5159.1B.txt,Sample Weight = 530,                      Vial Location = 7,                        Initial Sam Beam = 1.9038e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5735e-08,                Max Ref Beam = 1.0544e-07,                

Analysis undertaken at mass 46.00883
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.47458e-08,,,,,,1.1973e-02,4.2062e-03,4.8902e-05,4.6428e-06,6.0458e-08,
Sam 1,7.41222e-08,1.20524e-02,4.2708e-03,4.9961e-05,4.7842e-06,6.1905e-08,,,,,,            6.5846,           15.3347,           21.6276,           30.2873,           20.0668,            3.5882,            9.3461,           -0.3434,           -0.5987,          -16.9025,
Ref 2,7.36183e-08,,,,,,1.1974e-02,4.2064e-03,4.8905e-05,4.6444e-06,6.0920e-08,,,,,,,,,,,
Sam 2,7.29302e-08,1.20524e-02,4.2708e-03,4.9958e-05,4.7857e-06,6.4356e-08,,,,,,            6.5654,           15.3171,           21.5564,           30.3475,           74.0135,            3.5683,            9.3286,           -0.3764,           -0.5057,           35.1453,
Ref 3,7.24530e-08,,,,,,1.1974e-02,4.2063e-03,4.8902e-05,4.6452e-06,5.8906e-08,,,,,,,,,,,
Sam 3,7.17605e-08,1.20524e-02,4.2707e-03,4.9959e-05,4.7870e-06,6.1177e-08,,,,,,            6.5780,           15.3382,           21.6201,           30.5015,            4.4062,            3.5810,            9.3496,           -0.3475,           -0.3979,          -31.9954,
Ref 4,7.13187e-08,,,,,,1.1973e-02,4.2062e-03,4.8902e-05,4.6454e-06,6.2942e-08,,,,,,,,,,,
Sam 4,7.06241e-08,1.20521e-02,4.2706e-03,4.9953e-05,4.7868e-06,6.4637e-08,,,,,,            6.5731,           15.3269,           21.4684,           30.4991,           16.0106,            3.5762,            9.3384,           -0.4800,           -0.3780,          -20.7851,
Ref 5,7.02038e-08,,,,,,1.1973e-02,4.2061e-03,4.8904e-05,4.6448e-06,6.4306e-08,,,,,,,,,,,
Sam 5,6.95074e-08,1.20519e-02,4.2704e-03,4.9955e-05,4.7869e-06,6.4907e-08,,,,,,            6.5688,           15.3157,           21.5569,           30.6298,           11.6841,            3.5720,            9.3272,           -0.3781,           -0.2290,          -24.9293,
Ref 6,6.91252e-08,,,,,,1.1973e-02,4.2060e-03,4.8898e-05,4.6445e-06,6.4006e-08,,,,,,,,,,,
Sam 6,6.84274e-08,1.20518e-02,4.2704e-03,4.9952e-05,4.7879e-06,6.5024e-08,,,,,,            6.5754,           15.3227,           21.5098,           30.7815,           -5.8468,            3.5788,            9.3341,           -0.4377,           -0.0956,          -41.8453,
Ref 7,6.80667e-08,,,,,,1.1973e-02,4.2059e-03,4.8902e-05,4.6453e-06,6.6829e-08,,,,,,,,,,,
Sam 7,6.73668e-08,1.20516e-02,4.2703e-03,4.9949e-05,4.7854e-06,6.8867e-08,,,,,,            6.5822,           15.3366,           21.4382,           30.0556,           12.7955,            3.5856,            9.3480,           -0.5282,           -0.8272,          -23.9114,
Ref 8,6.70235e-08,,,,,,1.1973e-02,4.2057e-03,4.8900e-05,4.6464e-06,6.9182e-08,,,,,,,,,,,
Sam 8,6.63286e-08,1.20513e-02,4.2701e-03,4.9946e-05,4.7877e-06,6.7392e-08,,,,,,            6.5709,           15.3170,           21.4273,           30.4004,          -14.8676,            3.5742,            9.3285,           -0.5082,           -0.4541,          -50.5244,
Ref 9,6.60061e-08,,,,,,1.1973e-02,4.2057e-03,4.8896e-05,4.6466e-06,6.7623e-08,,,,,,,,,,,
Sam 9,6.53076e-08,1.20512e-02,4.2701e-03,4.9942e-05,4.7869e-06,6.9343e-08,,,,,,            6.5777,           15.3287,           21.4576,           30.0217,           23.5228,            3.5810,            9.3402,           -0.4969,           -0.8446,          -13.5531,
Ref 10,6.50131e-08,,,,,,1.1972e-02,4.2056e-03,4.8891e-05,4.6481e-06,6.7878e-08,,,,,,,,,,,
Sam 10,6.43115e-08,1.20510e-02,4.2700e-03,4.9943e-05,4.7855e-06,6.9147e-08,,,,,,            6.5817,           15.3263,           21.5000,           29.6276,           11.7853,            3.5854,            9.3377,           -0.4572,           -1.2221,          -24.8650,
Ref 11,6.40424e-08,,,,,,1.1972e-02,4.2054e-03,4.8892e-05,4.6475e-06,6.8812e-08,,,,,,,,,,,
Sam 11,6.33399e-08,1.20508e-02,4.2698e-03,4.9945e-05,4.7881e-06,7.0891e-08,,,,,,            6.5793,           15.3189,           21.5674,           30.4298,            3.4807,            3.5831,            9.3304,           -0.3816,           -0.4294,          -32.8526,
Ref 12,6.30807e-08,,,,,,1.1972e-02,4.2054e-03,4.8888e-05,4.6459e-06,7.2506e-08,,,,,,,,,,,
Sam 12,6.23874e-08,1.20506e-02,4.2698e-03,4.9947e-05,4.7881e-06,6.9456e-08,,,,,,            6.5731,           15.3153,           21.6415,           30.4228,            0.4406,            3.5766,            9.3268,           -0.2992,           -0.4291,          -35.7694,
Ref 13,6.21508e-08,,,,,,1.1972e-02,4.2054e-03,4.8890e-05,4.6475e-06,6.6300e-08,,,,,,,,,,,
Sam 13,6.14530e-08,1.20507e-02,4.2698e-03,4.9946e-05,4.7888e-06,6.7579e-08,,,,,,            6.5833,           15.3251,           21.5822,           30.6676,           11.4488,            3.5871,            9.3365,           -0.3771,           -0.2109,          -25.1886,
Ref 14,6.12391e-08,,,,,,1.1972e-02,4.2053e-03,4.8892e-05,4.6450e-06,6.7337e-08,,,,,,,,,,,
Sam 14,6.05429e-08,1.20503e-02,4.2697e-03,4.9946e-05,4.7869e-06,7.0607e-08,,,,,,            6.5632,           15.3177,           21.5802,           30.2628,           36.8173,            3.5660,            9.3292,           -0.3513,           -0.5890,           -0.7036,
Ref 15,6.03398e-08,,,,,,1.1972e-02,4.2053e-03,4.8889e-05,4.6475e-06,6.8874e-08,,,,,,,,,,,
Sam 15,5.96458e-08,1.20505e-02,4.2697e-03,4.9944e-05,4.7855e-06,7.2868e-08,,,,,,            6.5824,           15.3381,           21.5272,           29.8868,           36.9531,            3.5858,            9.3495,           -0.4428,           -0.9940,           -0.6326,
Ref 16,5.94539e-08,,,,,,1.1972e-02,4.2052e-03,4.8894e-05,4.6457e-06,7.1689e-08,,,,,,,,,,,
Sam 16,5.87597e-08,1.20503e-02,4.2697e-03,4.9943e-05,4.7873e-06,6.8675e-08,,,,,,            6.5713,           15.3214,           21.5357,           30.2705,          -30.8637,            3.5744,            9.3329,           -0.4069,           -0.5890,          -65.9500,
Ref 17,5.85920e-08,,,,,,1.1972e-02,4.2053e-03,4.8886e-05,4.6476e-06,7.0022e-08,,,,,,,,,,,
Sam 17,5.79004e-08,1.20503e-02,4.2697e-03,4.9941e-05,4.7872e-06,6.9249e-08,,,,,,            6.5702,           15.3185,           21.4801,           30.3756,          -39.1078,            3.5735,            9.3301,           -0.4574,           -0.4813,          -73.8894,
Ref 18,5.77517e-08,,,,,,1.1972e-02,4.2053e-03,4.8896e-05,4.6446e-06,7.4143e-08,,,,,,,,,,,
Sam 18,5.70623e-08,1.20503e-02,4.2696e-03,4.9942e-05,4.7869e-06,7.0514e-08,,,,,,            6.5687,           15.3117,           21.3959,           30.4328,          -25.2263,            3.5721,            9.3232,           -0.5316,           -0.4123,          -60.4964,
Ref 19,5.69250e-08,,,,,,1.1972e-02,4.2052e-03,4.8896e-05,4.6464e-06,7.0508e-08,,,,,,,,,,,
Sam 19,5.62402e-08,1.20504e-02,4.2697e-03,4.9949e-05,4.7903e-06,7.0009e-08,,,,,,            6.5785,           15.3294,           21.5958,           31.0388,          -16.2493,            3.5818,            9.3408,           -0.3631,            0.1408,          -51.8865,
Ref 20,5.61146e-08,,,,,,1.1972e-02,4.2052e-03,4.8891e-05,4.6458e-06,7.1832e-08,,,,,,,,,,,
Sam 20,5.54230e-08,1.20503e-02,4.2697e-03,4.9947e-05,4.7879e-06,7.3564e-08,,,,,,            6.5778,           15.3403,           21.5992,           30.4153,           15.2164,            3.5808,            9.3517,           -0.3698,           -0.4856,          -21.5808,
Ref 21,5.53173e-08,,,,,,1.1972e-02,4.2052e-03,4.8891e-05,4.6473e-06,7.3100e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.49362e-08,,,,,,1.1971e-02,4.2051e-03,4.8896e-05,4.6463e-06,7.2208e-08,
Sam 1,5.42267e-08,1.20501e-02,4.2696e-03,4.9947e-05,4.7900e-06,7.3462e-08,,,,,,            6.5803,           15.3258,           21.5089,           30.8711,            1.0030,            3.5839,            9.3373,           -0.4465,           -0.0149,          -35.2543,
Ref 2,5.41548e-08,,,,,,1.1971e-02,4.2051e-03,4.8895e-05,4.6468e-06,7.4587e-08,,,,,,,,,,,
Sam 2,5.34512e-08,1.20501e-02,4.2696e-03,4.9954e-05,4.7895e-06,7.3595e-08,,,,,,            6.5853,           15.3280,           21.6553,           30.4883,           -8.9973,            3.5891,            9.3395,           -0.3105,           -0.3906,          -44.9016,
Ref 3,5.34039e-08,,,,,,1.1971e-02,4.2052e-03,4.8896e-05,4.6488e-06,7.3935e-08,,,,,,,,,,,
Sam 3,5.26878e-08,1.20502e-02,4.2697e-03,4.9954e-05,4.7902e-06,7.4220e-08,,,,,,            6.5788,           15.3316,           21.5929,           30.5725,            4.1189,            3.5822,            9.3431,           -0.3685,           -0.3159,          -32.2607,
Ref 4,5.26573e-08,,,,,,1.1971e-02,4.2053e-03,4.8901e-05,4.6473e-06,7.3896e-08,,,,,,,,,,,
Sam 4,5.19383e-08,1.20501e-02,4.2697e-03,4.9954e-05,4.7905e-06,7.3070e-08,,,,,,            6.5755,           15.3211,           21.4994,           30.2794,          -18.5581,            3.5789,            9.3326,           -0.4463,           -0.5796,          -54.0935,
Ref 5,5.19239e-08,,,,,,1.1971e-02,4.2053e-03,4.8904e-05,4.6522e-06,7.5016e-08,,,,,,,,,,,
Sam 5,5.11997e-08,1.20501e-02,4.2697e-03,4.9959e-05,4.7908e-06,7.4247e-08,,,,,,            6.5708,           15.3243,           21.5831,           30.1490,          -26.9259,            3.5739,            9.3358,           -0.3628,           -0.7124,          -62.1596,
Ref 6,5.12054e-08,,,,,,1.1971e-02,4.2053e-03,4.8903e-05,4.6489e-06,7.7605e-08,,,,,,,,,,,
Sam 6,5.04865e-08,1.20502e-02,4.2697e-03,4.9960e-05,4.7909e-06,7.7838e-08,,,,,,            6.5822,           15.3151,           21.5553,           30.3466,           23.2495,            3.5863,            9.3266,           -0.3927,           -0.5027,          -13.7952,
Ref 7,5.05027e-08,,,,,,1.1971e-02,4.2053e-03,4.8909e-05,4.6508e-06,7.4514e-08,,,,,,,,,,,
Sam 7,4.97791e-08,1.20502e-02,4.2697e-03,4.9958e-05,4.7927e-06,7.8226e-08,,,,,,            6.5876,           15.3305,           21.4628,           30.5423,            9.1037,            3.5915,            9.3419,           -0.5037,           -0.3431,          -27.4635,
Ref 8,4.98118e-08,,,,,,1.1971e-02,4.2053e-03,4.8907e-05,4.6506e-06,8.0569e-08,,,,,,,,,,,
Sam 8,4.90851e-08,1.20501e-02,4.2698e-03,4.9968e-05,4.7925e-06,7.7988e-08,,,,,,            6.5822,           15.3324,           21.6023,           30.3979,          -15.5177,            3.5857,            9.3438,           -0.3635,           -0.4869,          -51.1907,
Ref 9,4.91376e-08,,,,,,1.1971e-02,4.2053e-03,4.8915e-05,4.6517e-06,7.7847e-08,,,,,,,,,,,
Sam 9,4.84063e-08,1.20501e-02,4.2698e-03,4.9967e-05,4.7920e-06,8.1597e-08,,,,,,            6.5847,           15.3296,           21.5395,           29.9170,           33.5866,            3.5885,            9.3411,           -0.4249,           -0.9479,           -3.8631,
Ref 10,4.84691e-08,,,,,,1.1971e-02,4.2053e-03,4.8912e-05,4.6540e-06,8.0060e-08,,,,,,,,,,,
Sam 10,4.77410e-08,1.20501e-02,4.2698e-03,4.9969e-05,4.7943e-06,8.2450e-08,,,,,,            6.5789,           15.3283,           21.5650,           30.1839,           24.4089,            3.5823,            9.3398,           -0.3926,           -0.6864,          -12.6996,
Ref 11,4.78194e-08,,,,,,1.1971e-02,4.2054e-03,4.8916e-05,4.6537e-06,8.0916e-08,,,,,,,,,,,
Sam 11,4.70892e-08,1.20501e-02,4.2698e-03,4.9966e-05,4.7920e-06,7.8844e-08,,,,,,            6.5755,           15.3156,           21.4240,           29.6793,           -6.7653,            3.5792,            9.3271,           -0.5148,           -1.1508,          -42.7175,
Ref 12,4.71725e-08,,,,,,1.1971e-02,4.2053e-03,4.8920e-05,4.6540e-06,7.7826e-08,,,,,,,,,,,
Sam 12,4.64442e-08,1.20500e-02,4.2698e-03,4.9970e-05,4.7942e-06,7.8742e-08,,,,,,            6.5735,           15.3200,           21.4798,           29.9291,          -19.4456,            3.5769,            9.3316,           -0.4625,           -0.9174,          -54.9450,
Ref 13,4.65459e-08,,,,,,1.1971e-02,4.2053e-03,4.8918e-05,4.6557e-06,8.2815e-08,,,,,,,,,,,
Sam 13,4.58169e-08,1.20500e-02,4.2697e-03,4.9970e-05,4.7952e-06,8.4722e-08,,,,,,            6.5832,           15.3278,           21.5299,           29.8605,            9.6261,            3.5869,            9.3393,           -0.4309,           -0.9991,          -26.9503,
Ref 14,4.59294e-08,,,,,,1.1971e-02,4.2053e-03,4.8917e-05,4.6566e-06,8.5028e-08,,,,,,,,,,,
Sam 14,4.51981e-08,1.20500e-02,4.2698e-03,4.9966e-05,4.7945e-06,8.2495e-08,,,,,,            6.5865,           15.3419,           21.3823,           29.9729,          -12.3667,            3.5900,            9.3532,           -0.5924,           -0.9178,          -48.1757,
Ref 15,4.53226e-08,,,,,,1.1971e-02,4.2053e-03,4.8923e-05,4.6534e-06,8.2008e-08,,,,,,,,,,,
Sam 15,4.45895e-08,1.20500e-02,4.2697e-03,4.9975e-05,4.7985e-06,8.4868e-08,,,,,,            6.5763,           15.3082,           21.5319,           30.9004,            5.6058,            3.5803,            9.3197,           -0.4029,            0.0483,          -30.7811,
Ref 16,4.47229e-08,,,,,,1.1971e-02,4.2054e-03,4.8919e-05,4.6560e-06,8.6814e-08,,,,,,,,,,,
Sam 16,4.39896e-08,1.20498e-02,4.2697e-03,4.9982e-05,4.7951e-06,8.1445e-08,,,,,,            6.5704,           15.3064,           21.6502,           30.0405,          -56.2697,            3.5740,            9.3180,           -0.2793,           -0.7824,          -90.4088,
Ref 17,4.41363e-08,,,,,,1.1971e-02,4.2053e-03,4.8926e-05,4.6544e-06,8.5780e-08,,,,,,,,,,,
Sam 17,4.33933e-08,1.20498e-02,4.2697e-03,4.9978e-05,4.7951e-06,8.8420e-08,,,,,,            6.5772,           15.3086,           21.4665,           30.0993,           42.4087,            3.5812,            9.3202,           -0.4683,           -0.7298,            4.6882,
Ref 18,4.35628e-08,,,,,,1.1971e-02,4.2054e-03,4.8929e-05,4.6555e-06,8.3852e-08,,,,,,,,,,,
Sam 18,4.28186e-08,1.20498e-02,4.2697e-03,4.9980e-05,4.7991e-06,8.8500e-08,,,,,,            6.5773,           15.3150,           21.4986,           30.8195,           49.1688,            3.5811,            9.3265,           -0.4431,           -0.0437,           11.1912,
Ref 19,4.29971e-08,,,,,,1.1971e-02,4.2053e-03,4.8928e-05,4.6558e-06,8.4859e-08,,,,,,,,,,,
Sam 19,4.22447e-08,1.20498e-02,4.2697e-03,4.9977e-05,4.7955e-06,8.7052e-08,,,,,,            6.5769,           15.3234,           21.4154,           29.9048,            6.2886,            3.5804,            9.3349,           -0.5322,           -0.9475,          -30.1522,
Ref 20,4.24371e-08,,,,,,1.1971e-02,4.2053e-03,4.8930e-05,4.6566e-06,8.8179e-08,,,,,,,,,,,
Sam 20,4.16889e-08,1.20499e-02,4.2697e-03,4.9983e-05,4.8001e-06,8.5086e-08,,,,,,            6.5824,           15.3055,           21.4794,           30.6738,          -35.4522,            3.5869,            9.3171,           -0.4579,           -0.1664,          -70.3547,
Ref 21,4.18849e-08,,,,,,1.1971e-02,4.2054e-03,4.8933e-05,4.6579e-06,8.8248e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.16191e-08,,,,,,1.1971e-02,4.2053e-03,4.8929e-05,4.6560e-06,8.9443e-08,
Sam 1,4.08646e-08,1.20497e-02,4.2697e-03,4.9982e-05,4.7980e-06,8.7603e-08,,,,,,            6.5742,           15.3094,           21.4671,           30.1915,           -7.6025,            3.5780,            9.3210,           -0.4654,           -0.6419,          -43.5117,
Ref 2,4.10808e-08,,,,,,1.1971e-02,4.2054e-03,4.8935e-05,4.6588e-06,8.7090e-08,,,,,,,,,,,
Sam 2,4.03255e-08,1.20497e-02,4.2697e-03,4.9984e-05,4.7969e-06,8.6437e-08,,,,,,            6.5708,           15.3064,           21.4075,           29.6775,          -17.5899,            3.5745,            9.3180,           -0.5173,           -1.1345,          -53.1288,
Ref 3,4.05538e-08,,,,,,1.1971e-02,4.2052e-03,4.8937e-05,4.6585e-06,8.8892e-08,,,,,,,,,,,
Sam 3,3.98004e-08,1.20497e-02,4.2697e-03,4.9988e-05,4.8010e-06,9.0134e-08,,,,,,            6.5698,           15.3117,           21.4502,           30.4607,           19.7472,            3.5733,            9.3233,           -0.4797,           -0.3853,          -17.1515,
Ref 4,4.00363e-08,,,,,,1.1971e-02,4.2054e-03,4.8941e-05,4.6597e-06,8.7879e-08,,,,,,,,,,,
Sam 4,3.92824e-08,1.20496e-02,4.2697e-03,4.9988e-05,4.8019e-06,8.6716e-08,,,,,,            6.5716,           15.3190,           21.4831,           30.7152,           15.0776,            3.5749,            9.3306,           -0.4564,           -0.1528,          -21.6677,
Ref 5,3.95248e-08,,,,,,1.1971e-02,4.2053e-03,4.8932e-05,4.6579e-06,8.2945e-08,,,,,,,,,,,
Sam 5,3.87704e-08,1.20495e-02,4.2697e-03,4.9989e-05,4.8035e-06,8.6994e-08,,,,,,            6.5685,           15.2983,           21.5855,           30.8709,           24.3012,            3.5723,            9.3099,           -0.3328,            0.0392,          -12.7351,
Ref 6,3.90246e-08,,,,,,1.1971e-02,4.2053e-03,4.8934e-05,4.6613e-06,8.6940e-08,,,,,,,,,,,
Sam 6,3.82708e-08,1.20496e-02,4.2696e-03,4.9986e-05,4.8013e-06,8.3499e-08,,,,,,            6.5682,           15.2838,           21.4348,           30.0345,          -33.2792,            3.5725,            9.2955,           -0.4660,           -0.7437,          -68.2071,
Ref 7,3.85306e-08,,,,,,1.1971e-02,4.2053e-03,4.8940e-05,4.6612e-06,8.5800e-08,,,,,,,,,,,
Sam 7,3.77775e-08,1.20495e-02,4.2696e-03,4.9988e-05,4.8016e-06,8.1248e-08,,,,,,            6.5627,           15.3021,           21.4071,           30.0513,          -26.4133,            3.5660,            9.3137,           -0.5052,           -0.7635,          -61.6172,
Ref 8,3.80500e-08,,,,,,1.1971e-02,4.2053e-03,4.8942e-05,4.6618e-06,8.1075e-08,,,,,,,,,,,
Sam 8,3.72972e-08,1.20495e-02,4.2696e-03,4.9992e-05,4.8018e-06,8.0928e-08,,,,,,            6.5753,           15.2838,           21.4278,           30.0032,           14.8176,            3.5801,            9.2955,           -0.4802,           -0.7742,          -21.8555,
Ref 9,3.75779e-08,,,,,,1.1971e-02,4.2053e-03,4.8944e-05,4.6620e-06,7.8401e-08,,,,,,,,,,,
Sam 9,3.68214e-08,1.20494e-02,4.2696e-03,4.9996e-05,4.8004e-06,7.9026e-08,,,,,,            6.5780,           15.3046,           21.4604,           29.8826,          -14.8614,            3.5822,            9.3161,           -0.4710,           -0.9320,          -50.5028,
Ref 10,3.71126e-08,,,,,,1.1971e-02,4.2052e-03,4.8947e-05,4.6602e-06,8.2058e-08,,,,,,,,,,,
Sam 10,3.63520e-08,1.20494e-02,4.2696e-03,4.9995e-05,4.7986e-06,7.8644e-08,,,,,,            6.5795,           15.3084,           21.4829,           29.9569,          -20.7159,            3.5836,            9.3199,           -0.4542,           -0.8675,          -56.1538,
Ref 11,3.66528e-08,,,,,,1.1971e-02,4.2052e-03,4.8940e-05,4.6578e-06,7.8536e-08,,,,,,,,,,,
Sam 11,3.58956e-08,1.20493e-02,4.2696e-03,5.0001e-05,4.8051e-06,7.9973e-08,,,,,,            6.5769,           15.3135,           21.5763,           31.1095,           -4.4659,            3.5807,            9.3250,           -0.3652,            0.2406,          -40.4988,
Ref 12,3.62003e-08,,,,,,1.1971e-02,4.2051e-03,4.8949e-05,4.6625e-06,8.2150e-08,,,,,,,,,,,
Sam 12,3.54412e-08,1.20491e-02,4.2695e-03,4.9994e-05,4.8044e-06,8.7714e-08,,,,,,            6.5659,           15.2989,           21.3389,           30.7364,           28.9663,            3.5695,            9.3105,           -0.5721,           -0.0925,           -8.2371,
Ref 13,3.57599e-08,,,,,,1.1971e-02,4.2051e-03,4.8949e-05,4.6598e-06,8.8377e-08,,,,,,,,,,,
Sam 13,3.49995e-08,1.20489e-02,4.2694e-03,4.9999e-05,4.8080e-06,8.7115e-08,,,,,,            6.5595,           15.2902,           21.3827,           31.4649,           11.2797,            3.5630,            9.3018,           -0.5142,            0.6314,          -25.2612,
Ref 14,3.53212e-08,,,,,,1.1970e-02,4.2051e-03,4.8955e-05,4.6629e-06,8.3881e-08,,,,,,,,,,,
Sam 14,3.45640e-08,1.20489e-02,4.2694e-03,5.0000e-05,4.8011e-06,8.5041e-08,,,,,,            6.5655,           15.2870,           21.3266,           29.5259,           -0.1150,            3.5695,            9.2987,           -0.5723,           -1.2435,          -36.2444,
Ref 15,3.48962e-08,,,,,,1.1970e-02,4.2051e-03,4.8958e-05,4.6640e-06,8.6234e-08,,,,,,,,,,,
Sam 15,3.41344e-08,1.20490e-02,4.2694e-03,5.0002e-05,4.8070e-06,9.0071e-08,,,,,,            6.5739,           15.2906,           21.4074,           30.7982,           19.7850,            3.5783,            9.3022,           -0.5052,           -0.0162,          -17.0790,
Ref 16,3.44701e-08,,,,,,1.1970e-02,4.2051e-03,4.8951e-05,4.6627e-06,9.0439e-08,,,,,,,,,,,
Sam 16,3.37058e-08,1.20490e-02,4.2694e-03,4.9998e-05,4.8047e-06,9.0792e-08,,,,,,            6.5804,           15.2920,           21.4238,           30.3665,          -27.8871,            3.5852,            9.3036,           -0.4972,           -0.4378,          -63.0369,
Ref 17,3.40522e-08,,,,,,1.1970e-02,4.2051e-03,4.8947e-05,4.6634e-06,9.6390e-08,,,,,,,,,,,
Sam 17,3.32877e-08,1.20488e-02,4.2694e-03,4.9999e-05,4.8062e-06,8.9553e-08,,,,,,            6.5685,           15.3028,           21.4949,           30.3361,          -40.2358,            3.5722,            9.3144,           -0.4260,           -0.4886,          -74.9468,
Ref 18,3.36427e-08,,,,,,1.1970e-02,4.2050e-03,4.8947e-05,4.6660e-06,9.0186e-08,,,,,,,,,,,
Sam 18,3.28744e-08,1.20487e-02,4.2693e-03,4.9998e-05,4.8065e-06,9.2686e-08,,,,,,            6.5666,           15.2993,           21.3815,           30.3553,           39.7162,            3.5703,            9.3109,           -0.5316,           -0.4631,            2.1224,
Ref 19,3.32371e-08,,,,,,1.1970e-02,4.2050e-03,4.8956e-05,4.6638e-06,8.8091e-08,,,,,,,,,,,
Sam 19,3.24716e-08,1.20487e-02,4.2693e-03,5.0010e-05,4.8082e-06,9.0730e-08,,,,,,            6.5657,           15.2840,           21.5517,           30.6189,           18.1992,            3.5698,            9.2957,           -0.3492,           -0.1773,          -18.5864,
Ref 20,3.28397e-08,,,,,,1.1970e-02,4.2050e-03,4.8953e-05,4.6670e-06,9.0137e-08,,,,,,,,,,,
Sam 20,3.20719e-08,1.20487e-02,4.2693e-03,5.0001e-05,4.8056e-06,8.8114e-08,,,,,,            6.5664,           15.2891,           21.4217,           30.0577,          -12.5716,            3.5704,            9.3007,           -0.4821,           -0.7316,          -48.2557,
Ref 21,3.24493e-08,,,,,,1.1970e-02,4.2050e-03,4.8951e-05,4.6639e-06,8.8323e-08,,,,,,,,,,,


