Nu Stable Isotope Analysis Program
Data Collected on Monday, May 17, 2021 at 23:46 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 18, 2021 at 00:45 with Stable 1.71.5 on PS019

Data File = Data_13655 30-RJS-5159.1C.txt,Sample Weight = 461,                      Vial Location = 8,                        Initial Sam Beam = 1.0832e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.5048e-08,                Max Ref Beam = 1.0585e-07,                

Analysis undertaken at mass 46.00883
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.32058e-08,,,,,,1.1969e-02,4.2045e-03,4.8923e-05,4.6433e-06,5.6834e-08,
Sam 1,9.82090e-09,1.20459e-02,4.2669e-03,5.0029e-05,4.8078e-06,6.2598e-08,,,,,,            6.4039,           14.8464,           22.5989,           35.2251,           69.8395,            3.4127,            8.8605,            1.2661,            5.1577,           32.2394,
Ref 2,3.25455e-08,,,,,,1.1969e-02,4.2045e-03,4.8923e-05,4.6451e-06,6.0223e-08,,,,,,,,,,,
Sam 2,9.66046e-09,1.20460e-02,4.2667e-03,5.0018e-05,4.8012e-06,7.2300e-08,,,,,,            6.4138,           14.8021,           22.3983,           33.6903,          195.0191,            3.4248,            8.8165,            1.1024,            3.7550,          153.1062,
Ref 3,3.18885e-08,,,,,,1.1969e-02,4.2045e-03,4.8922e-05,4.6444e-06,6.0785e-08,,,,,,,,,,,
Sam 3,9.50186e-09,1.20460e-02,4.2667e-03,5.0010e-05,4.8088e-06,7.3940e-08,,,,,,            6.4318,           14.7902,           22.1890,           35.4974,          150.7613,            3.4444,            8.8046,            0.8906,            5.5333,          110.4052,
Ref 4,3.12490e-08,,,,,,1.1969e-02,4.2044e-03,4.8927e-05,4.6435e-06,6.7791e-08,,,,,,,,,,,
Sam 4,9.34548e-09,1.20458e-02,4.2666e-03,5.0021e-05,4.8165e-06,7.8028e-08,,,,,,            6.4282,           14.8044,           22.3303,           36.6013,          118.4974,            3.4400,            8.8187,            1.0189,            6.5772,           79.2473,
Ref 5,3.06249e-08,,,,,,1.1969e-02,4.2044e-03,4.8931e-05,4.6495e-06,7.1771e-08,,,,,,,,,,,
Sam 5,9.19241e-09,1.20456e-02,4.2664e-03,5.0028e-05,4.8121e-06,9.3955e-08,,,,,,            6.4218,           14.7598,           22.4340,           35.0184,          333.0399,            3.4347,            8.7743,            1.1703,            5.1285,          286.3810,
Ref 6,3.00150e-08,,,,,,1.1969e-02,4.2044e-03,4.8931e-05,4.6492e-06,6.9166e-08,,,,,,,,,,,
Sam 6,9.04182e-09,1.20454e-02,4.2664e-03,5.0019e-05,4.8101e-06,9.3503e-08,,,,,,            6.4049,           14.7504,           22.2548,           34.4125,          350.9105,            3.4171,            8.7651,            1.0212,            4.5587,          303.6728,
Ref 7,2.94202e-08,,,,,,1.1969e-02,4.2043e-03,4.8930e-05,4.6510e-06,6.9264e-08,,,,,,,,,,,
Sam 7,8.89558e-09,1.20455e-02,4.2665e-03,5.0008e-05,4.8227e-06,1.0489e-07,,,,,,            6.4159,           14.7992,           22.0114,           36.9769,          454.2778,            3.4270,            8.8136,            0.7244,            6.9523,          403.2769,
Ref 8,2.88469e-08,,,,,,1.1969e-02,4.2043e-03,4.8931e-05,4.6505e-06,7.5042e-08,,,,,,,,,,,
Sam 8,8.75073e-09,1.20453e-02,4.2664e-03,5.0017e-05,4.8144e-06,1.0695e-07,,,,,,            6.4154,           14.7736,           22.1235,           35.6066,          414.3980,            3.4275,            8.7881,            0.8594,            5.6722,          364.8639,
Ref 9,2.82802e-08,,,,,,1.1968e-02,4.2042e-03,4.8937e-05,4.6472e-06,7.6204e-08,,,,,,,,,,,
Sam 9,8.61009e-09,1.20452e-02,4.2662e-03,5.0015e-05,4.8165e-06,1.1991e-07,,,,,,            6.4116,           14.7615,           21.8982,           36.1333,          580.5933,            3.4238,            8.7761,            0.6544,            6.2077,          525.2806,
Ref 10,2.77302e-08,,,,,,1.1968e-02,4.2041e-03,4.8950e-05,4.6499e-06,7.5523e-08,,,,,,,,,,,
Sam 10,8.47133e-09,1.20450e-02,4.2662e-03,5.0018e-05,4.8278e-06,1.1789e-07,,,,,,            6.4012,           14.7505,           21.8512,           37.9916,          520.1643,            3.4131,            8.7651,            0.6298,            8.0343,          467.0140,
Ref 11,2.72003e-08,,,,,,1.1968e-02,4.2042e-03,4.8947e-05,4.6522e-06,7.9617e-08,,,,,,,,,,,
Sam 11,8.33745e-09,1.20450e-02,4.2660e-03,5.0034e-05,4.8222e-06,1.3203e-07,,,,,,            6.4125,           14.7082,           22.2967,           36.5472,          650.6723,            3.4266,            8.7230,            1.0955,            6.7154,          593.0703,
Ref 12,2.66823e-08,,,,,,1.1968e-02,4.2042e-03,4.8938e-05,4.6522e-06,8.0359e-08,,,,,,,,,,,
Sam 12,8.20301e-09,1.20446e-02,4.2658e-03,5.0020e-05,4.8187e-06,1.2543e-07,,,,,,            6.3922,           14.6779,           22.0947,           36.0976,          495.1601,            3.4060,            8.6929,            0.9479,            6.3390,          443.1007,
Ref 13,2.61666e-08,,,,,,1.1968e-02,4.2041e-03,4.8939e-05,4.6495e-06,8.7492e-08,,,,,,,,,,,
Sam 13,8.07270e-09,1.20445e-02,4.2659e-03,5.0020e-05,4.8194e-06,1.5018e-07,,,,,,            6.3914,           14.6998,           22.0801,           36.2136,          730.7805,            3.4045,            8.7147,            0.9131,            6.4082,          670.4475,
Ref 14,2.56700e-08,,,,,,1.1968e-02,4.2041e-03,4.8940e-05,4.6525e-06,8.6036e-08,,,,,,,,,,,
Sam 14,7.94382e-09,1.20447e-02,4.2658e-03,5.0004e-05,4.8204e-06,1.5275e-07,,,,,,            6.4105,           14.6858,           21.7509,           36.1220,          728.1096,            3.4253,            8.7007,            0.5848,            6.3470,          667.8813,
Ref 15,2.51870e-08,,,,,,1.1968e-02,4.2041e-03,4.8939e-05,4.6522e-06,9.0795e-08,,,,,,,,,,,
Sam 15,7.81784e-09,1.20443e-02,4.2657e-03,5.0034e-05,4.8217e-06,1.5983e-07,,,,,,            6.3797,           14.6806,           22.2469,           35.4258,          766.7061,            3.3927,            8.6956,            1.1071,            5.6811,          705.2053,
Ref 16,2.47119e-08,,,,,,1.1968e-02,4.2039e-03,4.8951e-05,4.6613e-06,9.0138e-08,,,,,,,,,,,
Sam 16,7.69548e-09,1.20444e-02,4.2656e-03,5.0033e-05,4.8240e-06,1.4911e-07,,,,,,            6.3922,           14.6911,           22.1486,           35.7106,          606.1254,            3.4056,            8.7060,            0.9879,            5.9369,          550.1628,
Ref 17,2.42480e-08,,,,,,1.1968e-02,4.2038e-03,4.8946e-05,4.6539e-06,9.5587e-08,,,,,,,,,,,
Sam 17,7.57187e-09,1.20441e-02,4.2656e-03,5.0029e-05,4.8384e-06,1.6049e-07,,,,,,            6.3880,           14.6986,           22.0058,           38.9026,          663.8646,            3.4008,            8.7136,            0.8450,            9.0221,          605.8737,
Ref 18,2.38010e-08,,,,,,1.1968e-02,4.2039e-03,4.8957e-05,4.6606e-06,9.7344e-08,,,,,,,,,,,
Sam 18,7.45297e-09,1.20445e-02,4.2655e-03,5.0044e-05,4.8293e-06,1.8728e-07,,,,,,            6.4208,           14.6801,           22.2750,           36.4509,          978.1666,            3.4364,            8.6951,            1.0929,            6.6777,          909.2234,
Ref 19,2.33598e-08,,,,,,1.1968e-02,4.2037e-03,4.8950e-05,4.6584e-06,9.1957e-08,,,,,,,,,,,
Sam 19,7.33613e-09,1.20439e-02,4.2655e-03,5.0043e-05,4.8476e-06,1.8393e-07,,,,,,            6.3703,           14.6861,           22.2520,           40.3962,          970.9340,            3.3824,            8.7011,            1.1164,           10.4977,          902.3224,
Ref 20,2.29280e-08,,,,,,1.1968e-02,4.2038e-03,4.8958e-05,4.6604e-06,9.4711e-08,,,,,,,,,,,
Sam 20,7.22147e-09,1.20437e-02,4.2655e-03,5.0036e-05,4.8324e-06,1.8601e-07,,,,,,            6.3617,           14.6753,           22.0891,           37.1831,          877.0070,            3.3736,            8.6904,            0.9762,            7.3983,          811.7195,
Ref 21,2.25107e-08,,,,,,1.1968e-02,4.2037e-03,4.8952e-05,4.6579e-06,1.0357e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.23150e-08,,,,,,1.1968e-02,4.2039e-03,4.8945e-05,4.6593e-06,9.6936e-08,
Sam 1,7.05376e-09,1.20439e-02,4.2654e-03,5.0038e-05,4.8443e-06,2.0336e-07,,,,,,            6.3745,           14.6686,           22.3055,           39.7489,         1041.6860,            3.3875,            8.6837,            1.1814,            9.9038,          970.6694,
Ref 2,2.19004e-08,,,,,,1.1967e-02,4.2037e-03,4.8948e-05,4.6588e-06,1.0232e-07,,,,,,,,,,,
Sam 2,6.94146e-09,1.20438e-02,4.2652e-03,5.0025e-05,4.8371e-06,2.3017e-07,,,,,,            6.3916,           14.6474,           21.9151,           37.5821,         1203.2902,            3.4065,            8.6626,            0.8022,            7.8413,         1126.7014,
Ref 3,2.15033e-08,,,,,,1.1967e-02,4.2036e-03,4.8956e-05,4.6651e-06,1.0665e-07,,,,,,,,,,,
Sam 3,6.83357e-09,1.20437e-02,4.2651e-03,5.0045e-05,4.8370e-06,2.0282e-07,,,,,,            6.3871,           14.6467,           22.2954,           37.1130,          912.7537,            3.4016,            8.6619,            1.1800,            7.3871,          846.2758,
Ref 4,2.11142e-08,,,,,,1.1967e-02,4.2035e-03,4.8950e-05,4.6628e-06,1.0541e-07,,,,,,,,,,,
Sam 4,6.72561e-09,1.20436e-02,4.2650e-03,5.0041e-05,4.8549e-06,2.1445e-07,,,,,,            6.3857,           14.6215,           22.1346,           40.8118,          980.5146,            3.4010,            8.6368,            1.0485,           11.0302,          911.7779,
Ref 5,2.07372e-08,,,,,,1.1967e-02,4.2035e-03,4.8963e-05,4.6663e-06,1.1120e-07,,,,,,,,,,,
Sam 5,6.62096e-09,1.20433e-02,4.2649e-03,5.0058e-05,4.8512e-06,2.2365e-07,,,,,,            6.3692,           14.6296,           22.4136,           39.6427,         1011.1432,            3.3832,            8.6449,            1.3307,            9.8784,          941.3468,
Ref 6,2.03629e-08,,,,,,1.1967e-02,4.2034e-03,4.8957e-05,4.6662e-06,1.1121e-07,,,,,,,,,,,
Sam 6,6.51823e-09,1.20431e-02,4.2650e-03,5.0063e-05,4.8642e-06,2.2262e-07,,,,,,            6.3560,           14.6673,           22.4946,           41.8501,         1008.0030,            3.3678,            8.6825,            1.3869,           11.9473,          938.2008,
Ref 7,2.00046e-08,,,,,,1.1967e-02,4.2033e-03,4.8965e-05,4.6715e-06,1.1052e-07,,,,,,,,,,,
Sam 7,6.41738e-09,1.20431e-02,4.2648e-03,5.0059e-05,4.8661e-06,2.1781e-07,,,,,,            6.3650,           14.6277,           22.4555,           41.8967,          951.7203,            3.3788,            8.6430,            1.3779,           12.0717,          884.0015,
Ref 8,1.96532e-08,,,,,,1.1967e-02,4.2034e-03,4.8954e-05,4.6694e-06,1.1270e-07,,,,,,,,,,,
Sam 8,6.31827e-09,1.20430e-02,4.2648e-03,5.0064e-05,4.8366e-06,2.2610e-07,,,,,,            6.3786,           14.6213,           22.6261,           35.3935,          961.1622,            3.3935,            8.6366,            1.5371,            5.7673,          893.1119,
Ref 9,1.93100e-08,,,,,,1.1967e-02,4.2033e-03,4.8959e-05,4.6732e-06,1.1792e-07,,,,,,,,,,,
Sam 9,6.22372e-09,1.20427e-02,4.2646e-03,5.0067e-05,4.8655e-06,2.5910e-07,,,,,,            6.3584,           14.6040,           22.6897,           41.2051,         1133.8738,            3.3726,            8.6195,            1.6370,           11.4470,         1059.9434,
Ref 10,1.89753e-08,,,,,,1.1967e-02,4.2032e-03,4.8955e-05,4.6727e-06,1.2498e-07,,,,,,,,,,,
Sam 10,6.12966e-09,1.20428e-02,4.2647e-03,5.0066e-05,4.8788e-06,2.7013e-07,,,,,,            6.3703,           14.6332,           22.7206,           43.2667,         1128.5541,            3.3842,            8.6484,            1.6267,           13.3914,         1054.6663,
Ref 11,1.86422e-08,,,,,,1.1966e-02,4.2032e-03,4.8952e-05,4.6803e-06,1.2887e-07,,,,,,,,,,,
Sam 11,6.03483e-09,1.20427e-02,4.2645e-03,5.0084e-05,4.8664e-06,2.7038e-07,,,,,,            6.3704,           14.5840,           23.0708,           41.5795,         1136.5355,            3.3861,            8.5995,            2.0174,           11.8507,         1062.5671,
Ref 12,1.83191e-08,,,,,,1.1967e-02,4.2031e-03,4.8957e-05,4.6639e-06,1.2419e-07,,,,,,,,,,,
Sam 12,5.94271e-09,1.20425e-02,4.2646e-03,5.0054e-05,4.8802e-06,2.6497e-07,,,,,,            6.3593,           14.6237,           22.2753,           45.3598,         1089.6531,            3.3729,            8.6390,            1.2110,           15.4436,         1017.1761,
Ref 13,1.80047e-08,,,,,,1.1966e-02,4.2031e-03,4.8970e-05,4.6731e-06,1.2946e-07,,,,,,,,,,,
Sam 13,5.85392e-09,1.20427e-02,4.2645e-03,5.0069e-05,4.8688e-06,2.6291e-07,,,,,,            6.3732,           14.6086,           22.5334,           41.2028,          988.9507,            3.3883,            8.6240,            1.4642,           11.4356,          919.9943,
Ref 14,1.76986e-08,,,,,,1.1966e-02,4.2031e-03,4.8962e-05,4.6792e-06,1.3496e-07,,,,,,,,,,,
Sam 14,5.76571e-09,1.20429e-02,4.2645e-03,5.0073e-05,4.8533e-06,3.2849e-07,,,,,,            6.3956,           14.6119,           22.6604,           37.1860,         1420.4266,            3.4119,            8.6272,            1.5625,            7.5272,         1336.4410,
Ref 15,1.73969e-08,,,,,,1.1966e-02,4.2030e-03,4.8965e-05,4.6793e-06,1.3649e-07,,,,,,,,,,,
Sam 15,5.67805e-09,1.20427e-02,4.2642e-03,5.0079e-05,4.8956e-06,2.9036e-07,,,,,,            6.3849,           14.5509,           22.7132,           46.4229,         1174.3086,            3.4026,            8.5666,            1.6844,           16.6221,         1099.1348,
Ref 16,1.71018e-08,,,,,,1.1966e-02,4.2030e-03,4.8968e-05,4.6774e-06,1.3054e-07,,,,,,,,,,,
Sam 16,5.59215e-09,1.20424e-02,4.2642e-03,5.0095e-05,4.8782e-06,3.1199e-07,,,,,,            6.3599,           14.5679,           23.0533,           42.8173,         1253.9944,            3.3755,            8.5836,            2.0266,           13.0852,         1176.0511,
Ref 17,1.68121e-08,,,,,,1.1966e-02,4.2030e-03,4.8964e-05,4.6784e-06,1.4643e-07,,,,,,,,,,,
Sam 17,5.50709e-09,1.20427e-02,4.2642e-03,5.0118e-05,4.8996e-06,2.9262e-07,,,,,,            6.4028,           14.5859,           23.5241,           47.0530,         1047.9398,            3.4205,            8.6013,            2.4263,           17.1641,          976.9637,
Ref 18,1.65282e-08,,,,,,1.1966e-02,4.2029e-03,4.8968e-05,4.6805e-06,1.3928e-07,,,,,,,,,,,
Sam 18,5.42297e-09,1.20423e-02,4.2641e-03,5.0106e-05,4.9040e-06,2.8235e-07,,,,,,            6.3743,           14.5818,           23.1436,           47.1004,          981.4983,            3.3903,            8.5973,            2.0868,           17.2184,          912.8977,
Ref 19,1.62469e-08,,,,,,1.1966e-02,4.2028e-03,4.8977e-05,4.6864e-06,1.4576e-07,,,,,,,,,,,
Sam 19,5.34040e-09,1.20423e-02,4.2640e-03,5.0114e-05,4.8845e-06,3.3795e-07,,,,,,            6.3882,           14.5689,           23.2740,           42.7258,         1242.1314,            3.4055,            8.5844,            2.2129,           12.9944,         1164.5298,
Ref 20,1.59720e-08,,,,,,1.1966e-02,4.2027e-03,4.8972e-05,4.6823e-06,1.5577e-07,,,,,,,,,,,
Sam 20,5.25960e-09,1.20422e-02,4.2641e-03,5.0107e-05,4.9111e-06,3.5728e-07,,,,,,            6.3837,           14.6106,           23.1862,           48.0125,         1302.6632,            3.3993,            8.6259,            2.0909,           18.0467,         1222.7975,
Ref 21,1.57099e-08,,,,,,1.1966e-02,4.2027e-03,4.8972e-05,4.6899e-06,1.5454e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.55843e-08,,,,,,1.1966e-02,4.2027e-03,4.8986e-05,4.6917e-06,1.6186e-07,
Sam 1,5.14162e-09,1.20420e-02,4.2639e-03,5.0116e-05,4.9139e-06,3.5265e-07,,,,,,            6.3678,           14.5951,           23.0254,           47.5191,         1161.9398,            3.3830,            8.6106,            1.9648,           17.5984,         1087.0524,
Ref 2,1.53197e-08,,,,,,1.1966e-02,4.2025e-03,4.8990e-05,4.6903e-06,1.6439e-07,,,,,,,,,,,
Sam 2,5.06489e-09,1.20418e-02,4.2638e-03,5.0130e-05,4.9322e-06,3.6353e-07,,,,,,            6.3711,           14.5746,           23.3517,           50.7786,         1191.8735,            3.3872,            8.5902,            2.3009,           20.8062,         1116.0261,
Ref 3,1.50666e-08,,,,,,1.1965e-02,4.2025e-03,4.8982e-05,4.6974e-06,1.6734e-07,,,,,,,,,,,
Sam 3,4.98954e-09,1.20420e-02,4.2637e-03,5.0121e-05,4.8921e-06,4.1339e-07,,,,,,            6.3865,           14.5685,           23.2685,           41.8541,         1350.4878,            3.4037,            8.5841,            2.2096,           12.1483,         1269.1416,
Ref 4,1.48168e-08,,,,,,1.1966e-02,4.2025e-03,4.8980e-05,4.6938e-06,1.8455e-07,,,,,,,,,,,
Sam 4,4.91495e-09,1.20417e-02,4.2638e-03,5.0127e-05,4.9288e-06,4.1999e-07,,,,,,            6.3675,           14.6031,           23.3712,           49.7995,         1271.7807,            3.3824,            8.6185,            2.2960,           19.7977,         1193.0554,
Ref 5,1.45734e-08,,,,,,1.1965e-02,4.2024e-03,4.8985e-05,4.6962e-06,1.8520e-07,,,,,,,,,,,
Sam 5,4.84067e-09,1.20418e-02,4.2637e-03,5.0134e-05,4.9382e-06,4.4546e-07,,,,,,            6.3883,           14.6025,           23.4083,           51.3376,         1305.3532,            3.4045,            8.6179,            2.3117,           21.2930,         1225.4182,
Ref 6,1.43344e-08,,,,,,1.1965e-02,4.2024e-03,4.8989e-05,4.6979e-06,2.0139e-07,,,,,,,,,,,
Sam 6,4.76828e-09,1.20416e-02,4.2637e-03,5.0149e-05,4.9182e-06,4.6790e-07,,,,,,            6.3830,           14.5853,           23.6876,           46.4776,         1382.4107,            3.3994,            8.6008,            2.6073,           16.6063,         1299.8933,
Ref 7,1.41034e-08,,,,,,1.1965e-02,4.2023e-03,4.8988e-05,4.7016e-06,1.9132e-07,,,,,,,,,,,
Sam 7,4.69750e-09,1.20412e-02,4.2635e-03,5.0134e-05,4.9401e-06,4.7997e-07,,,,,,            6.3545,           14.5622,           23.3303,           50.8068,         1456.4629,            3.3699,            8.5779,            2.3090,           20.8584,         1371.5581,
Ref 8,1.38749e-08,,,,,,1.1965e-02,4.2023e-03,4.8994e-05,4.7010e-06,1.9953e-07,,,,,,,,,,,
Sam 8,4.62796e-09,1.20412e-02,4.2634e-03,5.0145e-05,4.9323e-06,4.7501e-07,,,,,,            6.3505,           14.5502,           23.4581,           49.0686,         1363.2613,            3.3661,            8.5659,            2.4500,           19.1939,         1281.6407,
Ref 9,1.36492e-08,,,,,,1.1965e-02,4.2023e-03,4.8997e-05,4.7022e-06,2.0250e-07,,,,,,,,,,,
Sam 9,4.55895e-09,1.20413e-02,4.2634e-03,5.0194e-05,4.9774e-06,4.6918e-07,,,,,,            6.3766,           14.5668,           24.5682,           57.4815,         1298.0352,            3.3932,            8.5824,            3.4944,           27.3336,         1218.5350,
Ref 10,1.34313e-08,,,,,,1.1965e-02,4.2021e-03,4.8984e-05,4.7116e-06,2.0586e-07,,,,,,,,,,,
Sam 10,4.49276e-09,1.20416e-02,4.2634e-03,5.0190e-05,4.9729e-06,5.1211e-07,,,,,,            6.4106,           14.5926,           24.4488,           55.5233,         1437.3222,            3.4286,            8.6080,            3.3174,           25.3791,         1352.8010,
Ref 11,1.32156e-08,,,,,,1.1965e-02,4.2021e-03,4.8999e-05,4.7110e-06,2.1443e-07,,,,,,,,,,,
Sam 11,4.42684e-09,1.20414e-02,4.2632e-03,5.0186e-05,4.9364e-06,5.3323e-07,,,,,,            6.3988,           14.5419,           24.1426,           48.7830,         1456.0301,            3.4178,            8.5575,            3.0790,           18.9331,         1371.1228,
Ref 12,1.30048e-08,,,,,,1.1965e-02,4.2020e-03,4.9006e-05,4.7026e-06,2.1983e-07,,,,,,,,,,,
Sam 12,4.36145e-09,1.20411e-02,4.2633e-03,5.0174e-05,4.9615e-06,5.4184e-07,,,,,,            6.3871,           14.5865,           23.9011,           54.3260,         1416.1504,            3.4037,            8.6019,            2.8111,           24.2283,         1332.4491,
Ref 13,1.27970e-08,,,,,,1.1965e-02,4.2019e-03,4.8999e-05,4.7091e-06,2.2875e-07,,,,,,,,,,,
Sam 13,4.29789e-09,1.20413e-02,4.2632e-03,5.0208e-05,5.0075e-06,5.7561e-07,,,,,,            6.4005,           14.5716,           24.6692,           62.5739,         1445.5177,            3.4185,            8.5871,            3.5641,           32.2711,         1360.8338,
Ref 14,1.25956e-08,,,,,,1.1965e-02,4.2020e-03,4.8999e-05,4.7163e-06,2.4210e-07,,,,,,,,,,,
Sam 14,4.23456e-09,1.20409e-02,4.2632e-03,5.0225e-05,5.0126e-06,6.2923e-07,,,,,,            6.3666,           14.5830,           24.8648,           61.7083,         1641.8398,            3.3820,            8.5986,            3.7794,           31.4069,         1550.3921,
Ref 15,1.23987e-08,,,,,,1.1965e-02,4.2018e-03,4.9014e-05,4.7263e-06,2.3420e-07,,,,,,,,,,,
Sam 15,4.17248e-09,1.20408e-02,4.2631e-03,5.0217e-05,4.9766e-06,6.0701e-07,,,,,,            6.3754,           14.5702,           24.3933,           53.3516,         1491.1691,            3.3919,            8.5858,            3.3209,           23.3146,         1404.9744,
Ref 16,1.22032e-08,,,,,,1.1964e-02,4.2019e-03,4.9028e-05,4.7227e-06,2.5328e-07,,,,,,,,,,,
Sam 16,4.11252e-09,1.20407e-02,4.2629e-03,5.0249e-05,5.0046e-06,6.3651e-07,,,,,,            6.3733,           14.5277,           24.9967,           60.3128,         1543.1189,            3.3910,            8.5435,            3.9555,           30.1635,         1455.3345,
Ref 17,1.20141e-08,,,,,,1.1964e-02,4.2018e-03,4.9019e-05,4.7170e-06,2.4725e-07,,,,,,,,,,,
Sam 17,4.05270e-09,1.20409e-02,4.2630e-03,5.0247e-05,4.9909e-06,6.1895e-07,,,,,,            6.3939,           14.5792,           25.0260,           57.6261,         1449.1900,            3.4112,            8.5946,            3.9129,           27.4491,         1364.3606,
Ref 18,1.18276e-08,,,,,,1.1964e-02,4.2017e-03,4.9022e-05,4.7209e-06,2.5827e-07,,,,,,,,,,,
Sam 18,3.99314e-09,1.20406e-02,4.2629e-03,5.0251e-05,5.0175e-06,6.5420e-07,,,,,,            6.3887,           14.5804,           25.1742,           61.5266,         1502.6634,            3.4057,            8.5958,            4.0623,           31.2358,         1415.9895,
Ref 19,1.16432e-08,,,,,,1.1964e-02,4.2016e-03,4.9013e-05,4.7324e-06,2.6458e-07,,,,,,,,,,,
Sam 19,3.93439e-09,1.20407e-02,4.2627e-03,5.0265e-05,5.0175e-06,6.7392e-07,,,,,,            6.3998,           14.5322,           25.3454,           61.3637,         1508.1787,            3.4192,            8.5479,            4.2654,           31.1756,         1421.5116,
Ref 20,1.14612e-08,,,,,,1.1964e-02,4.2017e-03,4.9032e-05,4.7222e-06,2.7286e-07,,,,,,,,,,,
Sam 20,3.87731e-09,1.20404e-02,4.2628e-03,5.0274e-05,5.0086e-06,6.8638e-07,,,,,,            6.3703,           14.5690,           25.3811,           59.7987,         1527.8804,            3.3865,            8.5845,            4.2949,           29.5804,         1440.4344,
Ref 21,1.12849e-08,,,,,,1.1964e-02,4.2015e-03,4.9026e-05,4.7297e-06,2.7017e-07,,,,,,,,,,,


