Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 18, 2021 at 04:00 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 18, 2021 at 04:59 with Stable 1.71.5 on PS019

Data File = Data_13658 30-RJS-5159.1D.txt,Sample Weight = 635,                      Vial Location = 11,                       Initial Sam Beam = 4.1431e-08,            ColdFinger Status = CF,                   Min Ref Beam = 4.2441e-08,                Max Ref Beam = 1.0579e-07,                

Analysis undertaken at mass 46.00883
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.01145e-08,,,,,,1.1971e-02,4.2054e-03,4.8918e-05,4.6385e-06,6.0124e-08,
Sam 1,3.59690e-08,1.20520e-02,4.2724e-03,5.0029e-05,4.7920e-06,5.9537e-08,,,,,,            6.7329,           15.9101,           22.6215,           32.7147,           43.1245,            3.7262,            9.9184,           -0.0805,            0.6214,            4.0425,
Ref 2,3.92651e-08,,,,,,1.1972e-02,4.2056e-03,4.8926e-05,4.6419e-06,5.3961e-08,,,,,,,,,,,
Sam 2,3.51635e-08,1.20521e-02,4.2725e-03,5.0033e-05,4.7893e-06,5.5403e-08,,,,,,            6.7271,           15.8967,           22.5964,           31.7840,           11.2574,            3.7205,            9.9051,           -0.0861,           -0.2539,          -26.5994,
Ref 3,3.84236e-08,,,,,,1.1972e-02,4.2056e-03,4.8929e-05,4.6417e-06,5.5631e-08,,,,,,,,,,,
Sam 3,3.43721e-08,1.20521e-02,4.2724e-03,5.0027e-05,4.7918e-06,5.8781e-08,,,,,,            6.7304,           15.8940,           22.3668,           32.3563,           58.5246,            3.7241,            9.9024,           -0.3113,            0.3060,           18.9001,
Ref 4,3.75993e-08,,,,,,1.1971e-02,4.2055e-03,4.8936e-05,4.6416e-06,5.5429e-08,,,,,,,,,,,
Sam 4,3.36025e-08,1.20520e-02,4.2724e-03,5.0032e-05,4.7915e-06,5.5380e-08,,,,,,            6.7312,           15.9139,           22.4329,           32.1708,            8.6948,            3.7243,            9.9222,           -0.2668,            0.0870,          -29.1027,
Ref 5,3.67984e-08,,,,,,1.1971e-02,4.2055e-03,4.8932e-05,4.6428e-06,5.4366e-08,,,,,,,,,,,
Sam 5,3.28582e-08,1.20519e-02,4.2723e-03,5.0027e-05,4.7894e-06,5.0796e-08,,,,,,            6.7283,           15.8905,           22.3272,           31.5409,          -32.5335,            3.7221,            9.8989,           -0.3446,           -0.4774,          -68.7411,
Ref 6,3.60199e-08,,,,,,1.1971e-02,4.2055e-03,4.8937e-05,4.6432e-06,5.0601e-08,,,,,,,,,,,
Sam 6,3.21314e-08,1.20518e-02,4.2723e-03,5.0032e-05,4.7912e-06,5.2779e-08,,,,,,            6.7245,           15.8895,           22.3939,           32.4381,           30.3052,            3.7180,            9.8980,           -0.2746,            0.3940,           -8.2483,
Ref 7,3.52624e-08,,,,,,1.1971e-02,4.2055e-03,4.8935e-05,4.6381e-06,5.1866e-08,,,,,,,,,,,
Sam 7,3.14289e-08,1.20517e-02,4.2723e-03,5.0023e-05,4.7911e-06,5.4995e-08,,,,,,            6.7370,           15.8873,           22.2157,           32.6835,           73.2534,            3.7314,            9.8957,           -0.4594,            0.6361,           33.0836,
Ref 8,3.45275e-08,,,,,,1.1971e-02,4.2054e-03,4.8936e-05,4.6410e-06,5.0603e-08,,,,,,,,,,,
Sam 8,3.07477e-08,1.20516e-02,4.2722e-03,5.0024e-05,4.7875e-06,4.9351e-08,,,,,,            6.7266,           15.8880,           22.2564,           31.3855,          -29.2102,            3.7202,            9.8964,           -0.4095,           -0.6228,          -65.5358,
Ref 9,3.38141e-08,,,,,,1.1971e-02,4.2054e-03,4.8935e-05,4.6426e-06,5.1073e-08,,,,,,,,,,,
Sam 9,3.00862e-08,1.20515e-02,4.2722e-03,5.0037e-05,4.7933e-06,5.1678e-08,,,,,,            6.7264,           15.8866,           22.5108,           33.4495,          -10.2371,            3.7201,            9.8951,           -0.1593,            1.3797,          -47.2699,
Ref 10,3.31191e-08,,,,,,1.1971e-02,4.2054e-03,4.8936e-05,4.6336e-06,5.3376e-08,,,,,,,,,,,
Sam 10,2.94432e-08,1.20514e-02,4.2721e-03,5.0027e-05,4.7879e-06,5.1003e-08,,,,,,            6.7245,           15.8664,           22.3009,           33.1447,          -48.4103,            3.7188,            9.8749,           -0.3431,            1.1243,          -83.9772,
Ref 11,3.24414e-08,,,,,,1.1971e-02,4.2054e-03,4.8935e-05,4.6350e-06,5.3824e-08,,,,,,,,,,,
Sam 11,2.88154e-08,1.20511e-02,4.2721e-03,5.0026e-05,4.7843e-06,4.8738e-08,,,,,,            6.7123,           15.8725,           22.3323,           32.1772,          -68.1560,            3.7056,            9.8810,           -0.3057,            0.1748,         -102.9837,
Ref 12,3.17846e-08,,,,,,1.1971e-02,4.2054e-03,4.8932e-05,4.6353e-06,5.0750e-08,,,,,,,,,,,
Sam 12,2.82083e-08,1.20512e-02,4.2720e-03,5.0036e-05,4.7854e-06,4.7061e-08,,,,,,            6.7352,           15.8677,           22.5723,           31.7214,          -34.4121,            3.7302,            9.8762,           -0.0898,           -0.2576,          -70.5150,
Ref 13,3.11472e-08,,,,,,1.1970e-02,4.2052e-03,4.8930e-05,4.6413e-06,4.6685e-08,,,,,,,,,,,
Sam 13,2.76188e-08,1.20510e-02,4.2719e-03,5.0032e-05,4.7883e-06,4.3216e-08,,,,,,            6.7217,           15.8513,           22.5000,           32.3316,          -16.0028,            3.7163,            9.8599,           -0.1308,            0.3661,          -52.7504,
Ref 14,3.05229e-08,,,,,,1.1971e-02,4.2053e-03,4.8931e-05,4.6353e-06,4.1096e-08,,,,,,,,,,,
Sam 14,2.70419e-08,1.20511e-02,4.2720e-03,5.0028e-05,4.7913e-06,4.2459e-08,,,,,,            6.7176,           15.8636,           22.4847,           33.3636,           56.1600,            3.7115,            9.8722,           -0.1535,            1.3418,           16.6975,
Ref 15,2.99165e-08,,,,,,1.1971e-02,4.2053e-03,4.8926e-05,4.6378e-06,3.9288e-08,,,,,,,,,,,
Sam 15,2.64840e-08,1.20508e-02,4.2718e-03,5.0028e-05,4.7817e-06,4.3164e-08,,,,,,            6.7083,           15.8393,           22.5037,           31.0302,           79.6805,            3.7025,            9.8480,           -0.1020,           -0.8715,           39.3983,
Ref 16,2.93254e-08,,,,,,1.1970e-02,4.2052e-03,4.8929e-05,4.6378e-06,4.0683e-08,,,,,,,,,,,
Sam 16,2.59356e-08,1.20509e-02,4.2718e-03,5.0027e-05,4.7806e-06,3.8644e-08,,,,,,            6.7216,           15.8545,           22.3718,           30.9873,          -61.6565,            3.7161,            9.8631,           -0.2592,           -0.9429,          -96.7047,
Ref 17,2.87477e-08,,,,,,1.1971e-02,4.2051e-03,4.8936e-05,4.6360e-06,4.1693e-08,,,,,,,,,,,
Sam 17,2.54063e-08,1.20506e-02,4.2717e-03,5.0027e-05,4.7849e-06,3.0278e-08,,,,,,            6.6990,           15.8419,           22.3191,           32.1369,         -238.0807,            3.6925,            9.8506,           -0.2754,            0.1959,         -266.5037,
Ref 18,2.81821e-08,,,,,,1.1970e-02,4.2051e-03,4.8935e-05,4.6358e-06,3.7746e-08,,,,,,,,,,,
Sam 18,2.48855e-08,1.20506e-02,4.2717e-03,5.0026e-05,4.7793e-06,3.4929e-08,,,,,,            6.7107,           15.8461,           22.3211,           31.1703,          -37.4845,            3.7048,            9.8548,           -0.2895,           -0.7490,          -73.4098,
Ref 19,2.76366e-08,,,,,,1.1970e-02,4.2051e-03,4.8934e-05,4.6338e-06,3.4803e-08,,,,,,,,,,,
Sam 19,2.43811e-08,1.20506e-02,4.2717e-03,5.0016e-05,4.7819e-06,2.8346e-08,,,,,,            6.7233,           15.8391,           22.1354,           31.9440,         -162.0698,            3.7184,            9.8478,           -0.4771,            0.0145,         -193.3447,
Ref 20,2.71034e-08,,,,,,1.1970e-02,4.2050e-03,4.8933e-05,4.6339e-06,3.2836e-08,,,,,,,,,,,
Sam 20,2.38869e-08,1.20503e-02,4.2716e-03,5.0021e-05,4.7835e-06,2.6455e-08,,,,,,            6.7188,           15.8403,           22.2092,           32.1533,         -175.1997,            3.7136,            9.8490,           -0.4016,            0.2148,         -205.9826,
Ref 21,2.65832e-08,,,,,,1.1970e-02,4.2049e-03,4.8935e-05,4.6352e-06,3.1299e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.63347e-08,,,,,,1.1970e-02,4.2049e-03,4.8926e-05,4.6292e-06,2.7724e-08,
Sam 1,2.31695e-08,1.20501e-02,4.2715e-03,5.0010e-05,4.7787e-06,2.1802e-08,,,,,,            6.7028,           15.8350,           22.0789,           32.0683,         -201.5635,            3.6968,            9.8438,           -0.5075,            0.1429,         -231.3417,
Ref 2,2.58306e-08,,,,,,1.1970e-02,4.2049e-03,4.8934e-05,4.6312e-06,2.6881e-08,,,,,,,,,,,
Sam 2,2.27002e-08,1.20499e-02,4.2714e-03,5.0024e-05,4.7764e-06,1.9244e-08,,,,,,            6.6987,           15.8336,           22.3820,           31.5872,         -181.7896,            3.6925,            9.8423,           -0.2055,           -0.3204,         -212.2996,
Ref 3,2.53363e-08,,,,,,1.1970e-02,4.2048e-03,4.8924e-05,4.6292e-06,2.0093e-08,,,,,,,,,,,
Sam 3,2.22455e-08,1.20499e-02,4.2713e-03,5.0015e-05,4.7799e-06,1.0426e-08,,,,,,            6.7047,           15.8149,           22.2205,           32.6919,         -464.0016,            3.6995,            9.8237,           -0.3515,            0.7869,         -483.9726,
Ref 4,2.48582e-08,,,,,,1.1970e-02,4.2048e-03,4.8932e-05,4.6281e-06,1.8796e-08,,,,,,,,,,,
Sam 4,2.18053e-08,1.20498e-02,4.2713e-03,5.0013e-05,4.7692e-06,1.0308e-08,,,,,,            6.6992,           15.8101,           22.2044,           30.4286,         -392.5769,            3.6938,            9.8190,           -0.3571,           -1.3971,         -415.2005,
Ref 5,2.43916e-08,,,,,,1.1970e-02,4.2048e-03,4.8922e-05,4.6287e-06,1.5109e-08,,,,,,,,,,,
Sam 5,2.13748e-08,1.20497e-02,4.2712e-03,5.0010e-05,4.7636e-06,9.3779e-09,,,,,,            6.6994,           15.8048,           22.2141,           29.3214,         -363.6570,            3.6941,            9.8136,           -0.3425,           -2.4595,         -387.3515,
Ref 6,2.39363e-08,,,,,,1.1969e-02,4.2047e-03,4.8925e-05,4.6271e-06,1.4358e-08,,,,,,,,,,,
Sam 6,2.09539e-08,1.20496e-02,4.2711e-03,5.0011e-05,4.7715e-06,6.7074e-09,,,,,,            6.7081,           15.8079,           22.1667,           31.9517,         -326.6476,            3.7034,            9.8167,           -0.4009,            0.0834,         -351.7301,
Ref 7,2.34909e-08,,,,,,1.1969e-02,4.2046e-03,4.8928e-05,4.6203e-06,5.4808e-09,,,,,,,,,,,
Sam 7,2.05421e-08,1.20495e-02,4.2710e-03,5.0010e-05,4.7674e-06,3.8999e-09,,,,,,            6.7028,           15.7962,           22.1501,           31.8193,         -302.2716,            3.6981,            9.8051,           -0.4003,           -0.0219,         -328.2432,
Ref 8,2.30564e-08,,,,,,1.1969e-02,4.2045e-03,4.8924e-05,4.6204e-06,5.7001e-09,,,,,,,,,,,
Sam 8,2.01439e-08,1.20495e-02,4.2710e-03,5.0012e-05,4.7648e-06,-4.3851e-09,,,,,,            6.7121,           15.8218,           22.1983,           30.9160,        -1543.3593,            3.7072,            9.8305,           -0.3875,           -0.9476,        -1523.1012,
Ref 9,2.26310e-08,,,,,,1.1969e-02,4.2045e-03,4.8928e-05,4.6233e-06,1.0485e-08,,,,,,,,,,,
Sam 9,1.97537e-08,1.20492e-02,4.2709e-03,5.0006e-05,4.7614e-06,-2.5075e-09,,,,,,            6.6897,           15.7906,           22.1679,           30.4735,        -1248.6729,            3.6843,            9.7995,           -0.3640,           -1.3151,        -1239.4213,
Ref 10,2.22166e-08,,,,,,1.1969e-02,4.2045e-03,4.8915e-05,4.6178e-06,9.6748e-09,,,,,,,,,,,
Sam 10,1.93712e-08,1.20492e-02,4.2709e-03,5.0007e-05,4.7638e-06,1.1151e-08,,,,,,            6.6975,           15.8049,           22.2737,           32.1799,          245.7410,            3.6921,            9.8138,           -0.2824,            0.3105,          199.3567,
Ref 11,2.18119e-08,,,,,,1.1969e-02,4.2044e-03,4.8919e-05,4.6127e-06,8.2144e-09,,,,,,,,,,,
Sam 11,1.90027e-08,1.20492e-02,4.2709e-03,5.0013e-05,4.7643e-06,-6.9165e-09,,,,,,            6.7003,           15.8030,           22.2716,           32.0858,        -2336.6267,            3.6952,            9.8118,           -0.2855,            0.2231,        -2286.8574,
Ref 12,2.14176e-08,,,,,,1.1969e-02,4.2044e-03,4.8927e-05,4.6198e-06,2.0789e-09,,,,,,,,,,,
Sam 12,1.86410e-08,1.20491e-02,4.2708e-03,5.0016e-05,4.7626e-06,-9.4773e-09,,,,,,            6.7002,           15.7834,           22.2306,           31.2246,        -7032.0549,            3.6958,            9.7924,           -0.3066,           -0.5731,        -6807.6747,
Ref 13,2.10343e-08,,,,,,1.1969e-02,4.2044e-03,4.8929e-05,4.6170e-06,1.0542e-09,,,,,,,,,,,
Sam 13,1.82905e-08,1.20488e-02,4.2706e-03,5.0005e-05,4.7628e-06,-8.3686e-09,,,,,,            6.6900,           15.7746,           22.0931,           31.1481,         9163.1865,            3.6852,            9.7836,           -0.4220,           -0.6298,         8785.4124,
Ref 14,2.06589e-08,,,,,,1.1969e-02,4.2042e-03,4.8918e-05,4.6209e-06,-2.7352e-09,,,,,,,,,,,
Sam 14,1.79436e-08,1.20489e-02,4.2707e-03,5.0008e-05,4.7552e-06,-2.0838e-08,,,,,,            6.7017,           15.8132,           22.3005,           30.3716,         3820.3783,            3.6964,            9.8221,           -0.2686,           -1.4584,         3640.7965,
Ref 15,2.02920e-08,,,,,,1.1969e-02,4.2042e-03,4.8915e-05,4.6091e-06,-5.9392e-09,,,,,,,,,,,
Sam 15,1.76072e-08,1.20487e-02,4.2705e-03,4.9997e-05,4.7588e-06,-2.8192e-08,,,,,,            6.6938,           15.7696,           22.0572,           32.6985,         1980.3539,            3.6895,            9.7786,           -0.4562,            0.8827,         1869.5885,
Ref 16,1.99337e-08,,,,,,1.1969e-02,4.2042e-03,4.8921e-05,4.6072e-06,-1.3043e-08,,,,,,,,,,,
Sam 16,1.72759e-08,1.20486e-02,4.2704e-03,4.9996e-05,4.7556e-06,-2.0515e-08,,,,,,            6.7002,           15.7777,           22.0855,           32.3851,          505.2063,            3.6960,            9.7868,           -0.4429,            0.5628,          449.2328,
Ref 17,1.95839e-08,,,,,,1.1968e-02,4.2040e-03,4.8911e-05,4.6057e-06,-1.4226e-08,,,,,,,,,,,
Sam 17,1.69530e-08,1.20484e-02,4.2704e-03,4.9990e-05,4.7522e-06,-2.8743e-08,,,,,,            6.6953,           15.7810,           22.0946,           31.3695,          444.9220,            3.6907,            9.7900,           -0.4322,           -0.4278,          391.1888,
Ref 18,1.92405e-08,,,,,,1.1968e-02,4.2040e-03,4.8908e-05,4.6096e-06,-2.5660e-08,,,,,,,,,,,
Sam 18,1.66341e-08,1.20484e-02,4.2704e-03,4.9984e-05,4.7501e-06,-4.4354e-08,,,,,,            6.6905,           15.7873,           22.0303,           31.1168,          620.6422,            3.6853,            9.7963,           -0.4963,           -0.6852,          560.3631,
Ref 19,1.89034e-08,,,,,,1.1968e-02,4.2040e-03,4.8905e-05,4.6038e-06,-2.9107e-08,,,,,,,,,,,
Sam 19,1.63269e-08,1.20484e-02,4.2703e-03,4.9987e-05,4.7427e-06,-3.7336e-08,,,,,,            6.6973,           15.7853,           22.1711,           30.8450,          720.9519,            3.6926,            9.7943,           -0.3637,           -0.9448,          656.9362,
Ref 20,1.85740e-08,,,,,,1.1968e-02,4.2039e-03,4.8900e-05,4.5977e-06,-1.4152e-08,,,,,,,,,,,
Sam 20,1.60246e-08,1.20482e-02,4.2702e-03,4.9972e-05,4.7327e-06,-3.4269e-08,,,,,,            6.6924,           15.7568,           21.8837,           28.7410,          794.8766,            3.6884,            9.7659,           -0.6120,           -2.9278,          728.2154,
Ref 21,1.82518e-08,,,,,,1.1968e-02,4.2039e-03,4.8904e-05,4.6033e-06,-2.4120e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.80973e-08,,,,,,1.1968e-02,4.2040e-03,4.8902e-05,4.6053e-06,-2.7488e-08,
Sam 1,1.55838e-08,1.20481e-02,4.2701e-03,4.9985e-05,4.7337e-06,-5.7154e-08,,,,,,            6.6919,           15.7449,           22.2462,           28.9891,          646.1573,            3.6883,            9.7541,           -0.2455,           -2.6640,          585.0568,
Ref 2,1.77794e-08,,,,,,1.1968e-02,4.2039e-03,4.8891e-05,4.5952e-06,-4.2080e-08,,,,,,,,,,,
Sam 2,1.52990e-08,1.20480e-02,4.2700e-03,4.9967e-05,4.7318e-06,-5.1743e-08,,,,,,            6.6926,           15.7430,           21.9391,           29.5919,          390.2154,            3.6891,            9.7522,           -0.5447,           -2.0760,          338.6190,
Ref 3,1.74751e-08,,,,,,1.1968e-02,4.2038e-03,4.8897e-05,4.5964e-06,-3.2273e-08,,,,,,,,,,,
Sam 3,1.50198e-08,1.20478e-02,4.2700e-03,4.9968e-05,4.7348e-06,-5.5585e-08,,,,,,            6.6787,           15.7595,           22.0234,           30.0877,          545.5140,            3.6738,            9.7686,           -0.4640,           -1.6278,          488.1280,
Ref 4,1.71784e-08,,,,,,1.1968e-02,4.2037e-03,4.8885e-05,4.5966e-06,-3.9722e-08,,,,,,,,,,,
Sam 4,1.47497e-08,1.20477e-02,4.2699e-03,4.9959e-05,4.7328e-06,-6.0786e-08,,,,,,            6.6731,           15.7462,           22.0382,           30.5328,          498.6637,            3.6683,            9.7554,           -0.4310,           -1.1703,          443.0629,
Ref 5,1.68871e-08,,,,,,1.1968e-02,4.2037e-03,4.8878e-05,4.5884e-06,-4.1413e-08,,,,,,,,,,,
Sam 5,1.44818e-08,1.20478e-02,4.2699e-03,4.9972e-05,4.7281e-06,-7.6110e-08,,,,,,            6.6878,           15.7342,           22.2017,           30.8543,          612.7893,            3.6842,            9.7435,           -0.2744,           -0.8352,          552.9664,
Ref 6,1.66013e-08,,,,,,1.1968e-02,4.2037e-03,4.8894e-05,4.5847e-06,-5.3069e-08,,,,,,,,,,,
Sam 6,1.42223e-08,1.20476e-02,4.2698e-03,4.9961e-05,4.7274e-06,-8.4703e-08,,,,,,            6.6802,           15.7498,           22.0470,           30.6491,          541.0480,            3.6757,            9.7590,           -0.4330,           -1.0647,          483.8533,
Ref 7,1.63219e-08,,,,,,1.1968e-02,4.2035e-03,4.8872e-05,4.5889e-06,-5.6892e-08,,,,,,,,,,,
Sam 7,1.39672e-08,1.20475e-02,4.2697e-03,4.9945e-05,4.7151e-06,-8.0834e-08,,,,,,            6.6725,           15.7260,           21.8976,           28.9921,          285.1146,            3.6683,            9.7353,           -0.5482,           -2.6240,          237.4859,
Ref 8,1.60464e-08,,,,,,1.1968e-02,4.2036e-03,4.8877e-05,4.5755e-06,-6.9012e-08,,,,,,,,,,,
Sam 8,1.37182e-08,1.20475e-02,4.2697e-03,4.9955e-05,4.7006e-06,-9.0083e-08,,,,,,            6.6936,           15.7401,           21.7222,           27.5694,          296.3088,            3.6903,            9.7493,           -0.7551,           -4.0306,          248.2033,
Ref 9,1.57784e-08,,,,,,1.1967e-02,4.2034e-03,4.8909e-05,4.5734e-06,-6.9980e-08,,,,,,,,,,,
Sam 9,1.34727e-08,1.20473e-02,4.2696e-03,4.9954e-05,4.7120e-06,-9.7499e-08,,,,,,            6.6851,           15.7255,           21.6956,           29.9851,          281.4556,            3.6817,            9.7348,           -0.7583,           -1.6606,          233.9471,
Ref 10,1.55147e-08,,,,,,1.1967e-02,4.2035e-03,4.8877e-05,4.5763e-06,-8.2292e-08,,,,,,,,,,,
Sam 10,1.32385e-08,1.20471e-02,4.2695e-03,4.9940e-05,4.7034e-06,-1.1261e-07,,,,,,            6.6668,           15.7063,           21.8626,           29.5488,          377.8628,            3.6629,            9.7157,           -0.5576,           -2.0457,          326.8553,
Ref 11,1.52608e-08,,,,,,1.1967e-02,4.2033e-03,4.8865e-05,4.5604e-06,-8.1153e-08,,,,,,,,,,,
Sam 11,1.30053e-08,1.20472e-02,4.2694e-03,4.9927e-05,4.6984e-06,-1.2560e-07,,,,,,            6.6834,           15.7239,           21.7084,           29.5301,          415.0160,            3.6799,            9.7332,           -0.7424,           -2.0984,          362.5627,
Ref 12,1.50074e-08,,,,,,1.1967e-02,4.2033e-03,4.8867e-05,4.5670e-06,-9.6500e-08,,,,,,,,,,,
Sam 12,1.27757e-08,1.20471e-02,4.2693e-03,4.9919e-05,4.6969e-06,-1.1695e-07,,,,,,            6.6787,           15.7103,           21.6587,           28.5770,          191.9609,            3.6754,            9.7197,           -0.7731,           -2.9955,          147.8120,
Ref 13,1.47637e-08,,,,,,1.1967e-02,4.2033e-03,4.8853e-05,4.5657e-06,-9.9765e-08,,,,,,,,,,,
Sam 13,1.25532e-08,1.20468e-02,4.2692e-03,4.9919e-05,4.6913e-06,-1.2216e-07,,,,,,            6.6561,           15.6899,           21.8075,           27.5277,          190.7731,            3.6520,            9.6995,           -0.5847,           -3.9727,          146.7409,
Ref 14,1.45223e-08,,,,,,1.1967e-02,4.2033e-03,4.8853e-05,4.5655e-06,-1.0546e-07,,,,,,,,,,,
Sam 14,1.23355e-08,1.20467e-02,4.2692e-03,4.9910e-05,4.6847e-06,-1.4167e-07,,,,,,            6.6576,           15.7044,           21.4927,           27.5796,          266.8254,            3.6532,            9.7138,           -0.9081,           -3.9506,          219.9448,
Ref 15,1.42867e-08,,,,,,1.1967e-02,4.2031e-03,4.8867e-05,4.5524e-06,-1.1830e-07,,,,,,,,,,,
Sam 15,1.21196e-08,1.20469e-02,4.2692e-03,4.9905e-05,4.6802e-06,-1.4962e-07,,,,,,            6.6782,           15.7286,           21.4059,           28.4759,          223.8877,            3.6743,            9.7379,           -1.0375,           -3.1294,          178.5151,
Ref 16,1.40543e-08,,,,,,1.1967e-02,4.2031e-03,4.8851e-05,4.5488e-06,-1.2626e-07,,,,,,,,,,,
Sam 16,1.19092e-08,1.20467e-02,4.2690e-03,4.9902e-05,4.6778e-06,-1.6130e-07,,,,,,            6.6600,           15.6996,           21.5881,           28.6093,          250.8727,            3.6559,            9.7090,           -0.8126,           -2.9432,          204.5907,
Ref 17,1.38245e-08,,,,,,1.1967e-02,4.2030e-03,4.8844e-05,4.5465e-06,-1.3169e-07,,,,,,,,,,,
Sam 17,1.17018e-08,1.20467e-02,4.2691e-03,4.9896e-05,4.6796e-06,-1.7515e-07,,,,,,            6.6762,           15.7159,           21.5368,           29.3484,          285.4831,            3.6726,            9.7253,           -0.8952,           -2.2588,          237.8599,
Ref 18,1.36017e-08,,,,,,1.1967e-02,4.2030e-03,4.8844e-05,4.5458e-06,-1.4089e-07,,,,,,,,,,,
Sam 18,1.14994e-08,1.20467e-02,4.2689e-03,4.9889e-05,4.6665e-06,-1.7996e-07,,,,,,            6.6900,           15.6962,           21.4322,           26.5292,          285.0398,            3.6879,            9.7056,           -0.9925,           -4.9527,          237.4624,
Ref 19,1.33850e-08,,,,,,1.1967e-02,4.2029e-03,4.8842e-05,4.5461e-06,-1.3918e-07,,,,,,,,,,,
Sam 19,1.13019e-08,1.20462e-02,4.2688e-03,4.9892e-05,4.6542e-06,-1.8635e-07,,,,,,            6.6473,           15.6877,           21.5417,           24.5700,          279.0180,            3.6428,            9.6973,           -0.8335,           -6.8354,          231.7393,
Ref 20,1.31706e-08,,,,,,1.1967e-02,4.2028e-03,4.8839e-05,4.5391e-06,-1.5232e-07,,,,,,,,,,,
Sam 20,1.11089e-08,1.20463e-02,4.2688e-03,4.9878e-05,4.6516e-06,-2.0607e-07,,,,,,            6.6605,           15.7113,           21.4779,           25.8600,          355.5770,            3.6560,            9.7207,           -0.9323,           -5.6310,          305.3905,
Ref 21,1.29597e-08,,,,,,1.1967e-02,4.2028e-03,4.8820e-05,4.5295e-06,-1.5171e-07,,,,,,,,,,,


