Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 18, 2021 at 05:22 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 18, 2021 at 06:21 with Stable 1.71.5 on PS019

Data File = Data_13659 30-RJS-5159.1E.txt,Sample Weight = 450,                      Vial Location = 12,                       Initial Sam Beam = 1.4861e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2005e-08,                Max Ref Beam = 1.0554e-07,                

Analysis undertaken at mass 46.01296
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.97216e-08,,,,,,1.1972e-02,4.2053e-03,4.8876e-05,4.6363e-06,6.2667e-08,
Sam 1,5.93040e-08,1.20519e-02,4.2733e-03,4.9975e-05,4.7852e-06,6.0657e-08,,,,,,            6.6600,           16.1276,           22.3754,           31.9591,          -25.8436,            3.6411,           10.1350,           -0.4571,           -0.5386,          -62.6641,
Ref 2,5.88996e-08,,,,,,1.1972e-02,4.2057e-03,4.8887e-05,4.6378e-06,6.1860e-08,,,,,,,,,,,
Sam 2,5.84419e-08,1.20520e-02,4.2734e-03,4.9978e-05,4.7882e-06,6.2335e-08,,,,,,            6.6419,           16.0888,           22.3161,           32.6048,           16.1258,            3.6232,           10.0964,           -0.4589,            0.1632,          -22.1890,
Ref 3,5.80531e-08,,,,,,1.1973e-02,4.2057e-03,4.8887e-05,4.6361e-06,6.0824e-08,,,,,,,,,,,
Sam 3,5.75925e-08,1.20520e-02,4.2735e-03,4.9981e-05,4.7841e-06,6.0547e-08,,,,,,            6.6406,           16.1135,           22.3889,           31.7630,           28.7485,            3.6210,           10.1211,           -0.4104,           -0.7010,          -10.0884,
Ref 4,5.72166e-08,,,,,,1.1972e-02,4.2057e-03,4.8886e-05,4.6376e-06,5.6857e-08,,,,,,,,,,,
Sam 4,5.67496e-08,1.20520e-02,4.2735e-03,4.9981e-05,4.7841e-06,5.7338e-08,,,,,,            6.6393,           16.0974,           22.3483,           31.6222,           15.1758,            3.6201,           10.1050,           -0.4331,           -0.8055,          -23.1167,
Ref 5,5.63934e-08,,,,,,1.1973e-02,4.2058e-03,4.8892e-05,4.6374e-06,5.6098e-08,,,,,,,,,,,
Sam 5,5.59240e-08,1.20521e-02,4.2736e-03,4.9983e-05,4.7880e-06,5.8110e-08,,,,,,            6.6442,           16.1145,           22.3064,           32.5841,           48.1322,            3.6248,           10.1220,           -0.4957,            0.0925,            8.5579,
Ref 6,5.55809e-08,,,,,,1.1973e-02,4.2057e-03,4.8893e-05,4.6364e-06,5.4776e-08,,,,,,,,,,,
Sam 6,5.51176e-08,1.20520e-02,4.2735e-03,4.9980e-05,4.7850e-06,5.8390e-08,,,,,,            6.6397,           16.1027,           22.2364,           31.9564,           14.0596,            3.6204,           10.1103,           -0.5481,           -0.4923,          -24.2013,
Ref 7,5.47943e-08,,,,,,1.1973e-02,4.2058e-03,4.8892e-05,4.6372e-06,6.0425e-08,,,,,,,,,,,
Sam 7,5.43315e-08,1.20522e-02,4.2735e-03,4.9983e-05,4.7855e-06,5.5933e-08,,,,,,            6.6519,           16.0999,           22.2741,           32.0752,          -41.5319,            3.6335,           10.1074,           -0.5210,           -0.3716,          -77.7021,
Ref 8,5.40254e-08,,,,,,1.1973e-02,4.2058e-03,4.8894e-05,4.6364e-06,5.6260e-08,,,,,,,,,,,
Sam 8,5.35659e-08,1.20522e-02,4.2736e-03,4.9985e-05,4.7841e-06,5.4476e-08,,,,,,            6.6490,           16.1083,           22.2934,           31.9739,          -29.2518,            3.6301,           10.1158,           -0.5072,           -0.4863,          -65.8978,
Ref 9,5.32802e-08,,,,,,1.1973e-02,4.2058e-03,4.8895e-05,4.6354e-06,5.5973e-08,,,,,,,,,,,
Sam 9,5.28157e-08,1.20521e-02,4.2736e-03,4.9989e-05,4.7862e-06,5.3493e-08,,,,,,            6.6432,           16.1079,           22.3651,           32.6164,          -36.4633,            3.6239,           10.1154,           -0.4309,            0.1367,          -72.8307,
Ref 10,5.25355e-08,,,,,,1.1972e-02,4.2059e-03,4.8896e-05,4.6345e-06,5.5055e-08,,,,,,,,,,,
Sam 10,5.20740e-08,1.20521e-02,4.2736e-03,4.9987e-05,4.7861e-06,5.1322e-08,,,,,,            6.6441,           16.0974,           22.3126,           32.3550,          -57.8473,            3.6253,           10.1050,           -0.4730,           -0.0958,          -93.3900,
Ref 11,5.18049e-08,,,,,,1.1973e-02,4.2059e-03,4.8897e-05,4.6377e-06,5.3884e-08,,,,,,,,,,,
Sam 11,5.13477e-08,1.20522e-02,4.2736e-03,4.9988e-05,4.7867e-06,5.3002e-08,,,,,,            6.6508,           16.0973,           22.2392,           32.4179,          -10.2586,            3.6324,           10.1048,           -0.5515,           -0.0346,          -47.6031,
Ref 12,5.10958e-08,,,,,,1.1973e-02,4.2060e-03,4.8903e-05,4.6351e-06,5.3215e-08,,,,,,,,,,,
Sam 12,5.06358e-08,1.20521e-02,4.2736e-03,4.9987e-05,4.7866e-06,5.0364e-08,,,,,,            6.6422,           16.0883,           22.1953,           32.8221,          -57.3964,            3.6236,           10.0960,           -0.5770,            0.3744,          -92.9384,
Ref 13,5.03938e-08,,,,,,1.1972e-02,4.2059e-03,4.8900e-05,4.6339e-06,5.3651e-08,,,,,,,,,,,
Sam 13,4.99280e-08,1.20521e-02,4.2737e-03,4.9994e-05,4.7846e-06,5.1340e-08,,,,,,            6.6450,           16.0994,           22.4467,           31.9612,          -67.5494,            3.6262,           10.1070,           -0.3448,           -0.4812,         -102.7304,
Ref 14,4.96962e-08,,,,,,1.1973e-02,4.2060e-03,4.8894e-05,4.6389e-06,5.6487e-08,,,,,,,,,,,
Sam 14,4.92368e-08,1.20521e-02,4.2736e-03,4.9989e-05,4.7832e-06,5.0939e-08,,,,,,            6.6491,           16.0892,           22.2669,           31.0527,          -64.9793,            3.6309,           10.0968,           -0.5149,           -1.3410,         -100.2434,
Ref 15,4.90284e-08,,,,,,1.1972e-02,4.2060e-03,4.8908e-05,4.6394e-06,5.2442e-08,,,,,,,,,,,
Sam 15,4.85652e-08,1.20521e-02,4.2737e-03,4.9993e-05,4.7885e-06,5.0351e-08,,,,,,            6.6447,           16.0917,           22.2203,           32.3219,           -5.6126,            3.6261,           10.0993,           -0.5584,           -0.1166,          -43.1160,
Ref 16,4.83619e-08,,,,,,1.1973e-02,4.2060e-03,4.8905e-05,4.6378e-06,4.8802e-08,,,,,,,,,,,
Sam 16,4.79036e-08,1.20520e-02,4.2737e-03,4.9990e-05,4.7884e-06,4.7455e-08,,,,,,            6.6427,           16.0967,           22.1830,           32.4428,          -20.2840,            3.6238,           10.1043,           -0.5976,           -0.0094,          -57.2411,
Ref 17,4.77132e-08,,,,,,1.1972e-02,4.2060e-03,4.8906e-05,4.6381e-06,4.8068e-08,,,,,,,,,,,
Sam 17,4.72521e-08,1.20519e-02,4.2737e-03,4.9993e-05,4.7856e-06,4.6372e-08,,,,,,            6.6421,           16.1033,           22.2266,           31.5829,          -52.6293,            3.6229,           10.1108,           -0.5607,           -0.8552,          -88.3773,
Ref 18,4.70705e-08,,,,,,1.1972e-02,4.2060e-03,4.8907e-05,4.6401e-06,4.9841e-08,,,,,,,,,,,
Sam 18,4.66087e-08,1.20519e-02,4.2736e-03,4.9999e-05,4.7840e-06,4.9894e-08,,,,,,            6.6414,           16.0711,           22.3253,           30.9333,           -1.7854,            3.6233,           10.0789,           -0.4324,           -1.4211,          -39.3915,
Ref 19,4.64420e-08,,,,,,1.1972e-02,4.2060e-03,4.8908e-05,4.6408e-06,5.0127e-08,,,,,,,,,,,
Sam 19,4.59792e-08,1.20521e-02,4.2737e-03,4.9999e-05,4.7855e-06,5.0129e-08,,,,,,            6.6574,           16.0891,           22.2980,           31.7580,           32.5134,            3.6397,           10.0967,           -0.4928,           -0.6576,           -6.4361,
Ref 20,4.58253e-08,,,,,,1.1972e-02,4.2061e-03,4.8908e-05,4.6356e-06,4.6954e-08,,,,,,,,,,,
Sam 20,4.53567e-08,1.20520e-02,4.2737e-03,5.0006e-05,4.7855e-06,5.0648e-08,,,,,,            6.6497,           16.0785,           22.4382,           31.9418,           75.9464,            3.6319,           10.0862,           -0.3377,           -0.4589,           35.3879,
Ref 21,4.52211e-08,,,,,,1.1972e-02,4.2060e-03,4.8909e-05,4.6393e-06,4.7194e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.49239e-08,,,,,,1.1972e-02,4.2059e-03,4.8915e-05,4.6404e-06,4.7343e-08,
Sam 1,4.44377e-08,1.20519e-02,4.2737e-03,5.0005e-05,4.7890e-06,4.9301e-08,,,,,,            6.6452,           16.0960,           22.3050,           32.2068,           36.2932,            3.6265,           10.1036,           -0.4802,           -0.2366,           -2.7995,
Ref 2,4.43280e-08,,,,,,1.1972e-02,4.2060e-03,4.8913e-05,4.6386e-06,4.7810e-08,,,,,,,,,,,
Sam 2,4.38394e-08,1.20518e-02,4.2737e-03,5.0003e-05,4.7840e-06,4.8563e-08,,,,,,            6.6456,           16.0803,           22.2401,           31.1619,           29.8607,            3.6275,           10.0880,           -0.5289,           -1.2178,           -8.9596,
Ref 3,4.37469e-08,,,,,,1.1972e-02,4.2060e-03,4.8917e-05,4.6402e-06,4.6491e-08,,,,,,,,,,,
Sam 3,4.32486e-08,1.20517e-02,4.2736e-03,5.0002e-05,4.7866e-06,4.7386e-08,,,,,,            6.6375,           16.0809,           22.2491,           31.9986,           14.1088,            3.6188,           10.0886,           -0.5123,           -0.4085,          -24.1105,
Ref 4,4.31709e-08,,,,,,1.1972e-02,4.2060e-03,4.8911e-05,4.6360e-06,4.6966e-08,,,,,,,,,,,
Sam 4,4.26729e-08,1.20518e-02,4.2737e-03,5.0006e-05,4.7858e-06,4.8361e-08,,,,,,            6.6428,           16.1063,           22.3602,           31.6225,           15.6324,            3.6236,           10.1139,           -0.4338,           -0.8229,          -22.6980,
Ref 5,4.26116e-08,,,,,,1.1972e-02,4.2059e-03,4.8914e-05,4.6422e-06,4.8275e-08,,,,,,,,,,,
Sam 5,4.21058e-08,1.20517e-02,4.2736e-03,5.0007e-05,4.7884e-06,4.7955e-08,,,,,,            6.6386,           16.0924,           22.3447,           31.9047,           37.3074,            3.6196,           10.1001,           -0.4313,           -0.5222,           -1.8097,
Ref 6,4.20535e-08,,,,,,1.1972e-02,4.2059e-03,4.8914e-05,4.6386e-06,4.4158e-08,,,,,,,,,,,
Sam 6,4.15492e-08,1.20517e-02,4.2736e-03,5.0010e-05,4.7862e-06,4.7642e-08,,,,,,            6.6389,           16.0901,           22.4159,           31.9267,          -13.2699,            3.6200,           10.0977,           -0.3596,           -0.4962,          -50.4757,
Ref 7,4.15125e-08,,,,,,1.1972e-02,4.2060e-03,4.8914e-05,4.6376e-06,5.2461e-08,,,,,,,,,,,
Sam 7,4.09998e-08,1.20518e-02,4.2737e-03,5.0009e-05,4.7802e-06,4.8974e-08,,,,,,            6.6390,           16.0976,           22.3108,           31.1133,          -17.3530,            3.6199,           10.1052,           -0.4698,           -1.2988,          -54.4187,
Ref 8,4.09801e-08,,,,,,1.1972e-02,4.2060e-03,4.8920e-05,4.6343e-06,4.7182e-08,,,,,,,,,,,
Sam 8,4.04654e-08,1.20518e-02,4.2737e-03,5.0005e-05,4.7860e-06,4.5170e-08,,,,,,            6.6438,           16.0835,           22.1440,           32.2182,          -72.4972,            3.6254,           10.0912,           -0.6241,           -0.2009,         -107.4629,
Ref 9,4.04575e-08,,,,,,1.1972e-02,4.2061e-03,4.8923e-05,4.6389e-06,5.0240e-08,,,,,,,,,,,
Sam 9,3.99393e-08,1.20516e-02,4.2736e-03,5.0006e-05,4.7855e-06,4.7225e-08,,,,,,            6.6413,           16.0667,           22.2147,           31.6538,          -33.4909,            3.6234,           10.0745,           -0.5362,           -0.7147,          -69.8946,
Ref 10,3.99444e-08,,,,,,1.1972e-02,4.2060e-03,4.8916e-05,4.6384e-06,4.7465e-08,,,,,,,,,,,
Sam 10,3.94188e-08,1.20516e-02,4.2736e-03,5.0013e-05,4.7861e-06,4.2083e-08,,,,,,            6.6414,           16.0805,           22.3502,           32.1511,          -70.4351,            3.6230,           10.0882,           -0.4172,           -0.2601,         -105.4711,
Ref 11,3.94350e-08,,,,,,1.1972e-02,4.2060e-03,4.8923e-05,4.6356e-06,4.3050e-08,,,,,,,,,,,
Sam 11,3.89103e-08,1.20515e-02,4.2736e-03,5.0006e-05,4.7866e-06,4.4724e-08,,,,,,            6.6380,           16.0830,           22.1769,           32.5000,            8.9761,            3.6192,           10.0907,           -0.5854,            0.0730,          -29.0542,
Ref 12,3.89350e-08,,,,,,1.1972e-02,4.2059e-03,4.8919e-05,4.6362e-06,4.5619e-08,,,,,,,,,,,
Sam 12,3.84121e-08,1.20515e-02,4.2736e-03,5.0013e-05,4.7861e-06,4.2567e-08,,,,,,            6.6453,           16.0953,           22.3075,           31.6666,          -51.9471,            3.6266,           10.1029,           -0.4772,           -0.7584,          -87.7098,
Ref 13,3.84505e-08,,,,,,1.1972e-02,4.2059e-03,4.8924e-05,4.6423e-06,4.4170e-08,,,,,,,,,,,
Sam 13,3.79239e-08,1.20515e-02,4.2736e-03,5.0007e-05,4.7851e-06,3.9230e-08,,,,,,            6.6491,           16.0963,           22.2380,           31.3712,          -85.4193,            3.6306,           10.1039,           -0.5500,           -1.0464,         -119.9246,
Ref 14,3.79802e-08,,,,,,1.1972e-02,4.2059e-03,4.8915e-05,4.6368e-06,4.1601e-08,,,,,,,,,,,
Sam 14,3.74425e-08,1.20513e-02,4.2736e-03,5.0012e-05,4.7895e-06,4.3693e-08,,,,,,            6.6438,           16.0947,           22.4688,           32.8239,           25.7476,            3.6251,           10.1023,           -0.3174,            0.3637,          -12.9434,
Ref 15,3.75065e-08,,,,,,1.1972e-02,4.2059e-03,4.8912e-05,4.6377e-06,4.3604e-08,,,,,,,,,,,
Sam 15,3.69667e-08,1.20513e-02,4.2735e-03,5.0009e-05,4.7837e-06,3.7541e-08,,,,,,            6.6474,           16.0893,           22.2796,           31.6522,          -53.3908,            3.6291,           10.0970,           -0.5009,           -0.7607,          -89.0907,
Ref 16,3.70472e-08,,,,,,1.1972e-02,4.2058e-03,4.8926e-05,4.6362e-06,3.5664e-08,,,,,,,,,,,
Sam 16,3.64994e-08,1.20513e-02,4.2735e-03,5.0010e-05,4.7838e-06,3.4637e-08,,,,,,            6.6474,           16.0929,           22.1998,           31.4701,          -57.8935,            3.6289,           10.1005,           -0.5823,           -0.9439,          -93.4296,
Ref 17,3.65939e-08,,,,,,1.1972e-02,4.2059e-03,4.8921e-05,4.6396e-06,3.7880e-08,,,,,,,,,,,
Sam 17,3.60373e-08,1.20512e-02,4.2735e-03,5.0017e-05,4.7867e-06,3.4867e-08,,,,,,            6.6443,           16.0813,           22.3631,           31.7190,          -76.7724,            3.6260,           10.0889,           -0.4083,           -0.6800,         -111.5736,
Ref 18,3.61448e-08,,,,,,1.1972e-02,4.2059e-03,4.8924e-05,4.6394e-06,3.7653e-08,,,,,,,,,,,
Sam 18,3.55798e-08,1.20512e-02,4.2735e-03,5.0009e-05,4.7880e-06,3.5155e-08,,,,,,            6.6425,           16.0709,           22.2076,           32.1321,          -55.9489,            3.6244,           10.0787,           -0.5483,           -0.2596,          -91.5152,
Ref 19,3.57009e-08,,,,,,1.1972e-02,4.2059e-03,4.8921e-05,4.6385e-06,3.6819e-08,,,,,,,,,,,
Sam 19,3.51317e-08,1.20511e-02,4.2735e-03,5.0008e-05,4.7867e-06,3.3425e-08,,,,,,            6.6390,           16.0765,           22.1999,           31.6459,         -103.8096,            3.6206,           10.0842,           -0.5577,           -0.7414,         -137.5787,
Ref 20,3.52656e-08,,,,,,1.1972e-02,4.2059e-03,4.8923e-05,4.6412e-06,3.7780e-08,,,,,,,,,,,
Sam 20,3.46898e-08,1.20511e-02,4.2735e-03,5.0014e-05,4.7872e-06,3.3222e-08,,,,,,            6.6408,           16.0760,           22.2772,           32.1524,         -124.5267,            3.6225,           10.0837,           -0.4836,           -0.2499,         -157.5161,
Ref 21,3.48328e-08,,,,,,1.1972e-02,4.2058e-03,4.8925e-05,4.6349e-06,3.8116e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.46220e-08,,,,,,1.1972e-02,4.2058e-03,4.8922e-05,4.6375e-06,3.5389e-08,
Sam 1,3.40391e-08,1.20511e-02,4.2735e-03,5.0014e-05,4.7882e-06,2.8152e-08,,,,,,            6.6450,           16.0950,           22.3212,           32.5144,         -131.4511,            3.6263,           10.1026,           -0.4631,            0.0634,         -164.2139,
Ref 2,3.42059e-08,,,,,,1.1972e-02,4.2058e-03,4.8923e-05,4.6374e-06,2.9400e-08,,,,,,,,,,,
Sam 2,3.36190e-08,1.20508e-02,4.2734e-03,5.0016e-05,4.7903e-06,2.6318e-08,,,,,,            6.6251,           16.0592,           22.2624,           32.8623,          -98.7948,            3.6063,           10.0670,           -0.4656,            0.4707,         -132.7112,
Ref 3,3.37924e-08,,,,,,1.1972e-02,4.2058e-03,4.8931e-05,4.6385e-06,2.9003e-08,,,,,,,,,,,
Sam 3,3.32025e-08,1.20509e-02,4.2733e-03,5.0012e-05,4.7849e-06,3.1150e-08,,,,,,            6.6344,           16.0656,           22.1064,           31.3992,           -5.0736,            3.6161,           10.0733,           -0.6339,           -0.9589,          -42.5385,
Ref 4,3.33835e-08,,,,,,1.1971e-02,4.2057e-03,4.8930e-05,4.6400e-06,3.3643e-08,,,,,,,,,,,
Sam 4,3.27928e-08,1.20509e-02,4.2733e-03,5.0014e-05,4.7842e-06,2.9157e-08,,,,,,            6.6394,           16.0775,           22.2427,           30.9655,          -87.5510,            3.6210,           10.0852,           -0.5173,           -1.4024,         -121.9349,
Ref 5,3.29845e-08,,,,,,1.1971e-02,4.2057e-03,4.8922e-05,4.6411e-06,3.0245e-08,,,,,,,,,,,
Sam 5,3.23864e-08,1.20508e-02,4.2733e-03,5.0013e-05,4.7888e-06,2.4078e-08,,,,,,            6.6334,           16.0751,           22.2780,           31.9415,         -220.9991,            3.6146,           10.0828,           -0.4742,           -0.4524,         -250.3459,
Ref 6,3.25902e-08,,,,,,1.1971e-02,4.2057e-03,4.8924e-05,4.6402e-06,3.1582e-08,,,,,,,,,,,
Sam 6,3.19913e-08,1.20508e-02,4.2734e-03,5.0017e-05,4.7855e-06,2.8327e-08,,,,,,            6.6409,           16.0839,           22.2450,           31.5952,          -94.5890,            3.6224,           10.0915,           -0.5227,           -0.8050,         -128.7198,
Ref 7,3.22042e-08,,,,,,1.1971e-02,4.2057e-03,4.8934e-05,4.6376e-06,3.0989e-08,,,,,,,,,,,
Sam 7,3.15976e-08,1.20507e-02,4.2733e-03,5.0023e-05,4.7895e-06,3.0089e-08,,,,,,            6.6409,           16.0741,           22.3335,           32.4375,           46.0089,            3.6226,           10.0818,           -0.4268,            0.0299,            6.5969,
Ref 8,3.18165e-08,,,,,,1.1971e-02,4.2057e-03,4.8926e-05,4.6404e-06,2.6516e-08,,,,,,,,,,,
Sam 8,3.12130e-08,1.20507e-02,4.2733e-03,5.0021e-05,4.7924e-06,2.7012e-08,,,,,,            6.6411,           16.0806,           22.2663,           33.0787,          -44.4069,            3.6227,           10.0883,           -0.4990,            0.6383,          -80.4238,
Ref 9,3.14432e-08,,,,,,1.1971e-02,4.2056e-03,4.8936e-05,4.6375e-06,3.0038e-08,,,,,,,,,,,
Sam 9,3.08336e-08,1.20506e-02,4.2732e-03,5.0020e-05,4.7873e-06,2.9188e-08,,,,,,            6.6519,           16.0744,           22.1903,           32.2768,          -62.0977,            3.6344,           10.0821,           -0.5784,           -0.1263,          -97.4474,
Ref 10,3.10717e-08,,,,,,1.1971e-02,4.2056e-03,4.8932e-05,4.6377e-06,3.2216e-08,,,,,,,,,,,
Sam 10,3.04623e-08,1.20505e-02,4.2731e-03,5.0017e-05,4.7873e-06,3.0160e-08,,,,,,            6.6434,           16.0585,           22.1116,           32.0394,           11.0047,            3.6259,           10.0663,           -0.6312,           -0.3250,          -27.0616,
Ref 11,3.07094e-08,,,,,,1.1971e-02,4.2056e-03,4.8937e-05,4.6397e-06,2.7420e-08,,,,,,,,,,,
Sam 11,3.00941e-08,1.20506e-02,4.2732e-03,5.0013e-05,4.7900e-06,2.4581e-08,,,,,,            6.6503,           16.0725,           22.0204,           32.3509,          -80.3364,            3.6327,           10.0802,           -0.7410,           -0.0508,         -114.9939,
Ref 12,3.03505e-08,,,,,,1.1971e-02,4.2056e-03,4.8933e-05,4.6401e-06,2.6029e-08,,,,,,,,,,,
Sam 12,2.97331e-08,1.20505e-02,4.2731e-03,5.0024e-05,4.7878e-06,1.8156e-08,,,,,,            6.6556,           16.0660,           22.3015,           32.4358,         -265.6973,            3.6386,           10.0737,           -0.4652,            0.0443,         -293.3643,
Ref 13,2.99995e-08,,,,,,1.1971e-02,4.2056e-03,4.8933e-05,4.6347e-06,2.3407e-08,,,,,,,,,,,
Sam 13,2.93826e-08,1.20505e-02,4.2732e-03,5.0018e-05,4.7876e-06,1.8647e-08,,,,,,            6.6412,           16.0778,           22.2072,           32.3765,         -103.6591,            3.6229,           10.0855,           -0.5542,           -0.0364,         -137.4382,
Ref 14,2.96537e-08,,,,,,1.1971e-02,4.2056e-03,4.8931e-05,4.6401e-06,1.8169e-08,,,,,,,,,,,
Sam 14,2.90339e-08,1.20504e-02,4.2731e-03,5.0022e-05,4.7847e-06,2.2270e-08,,,,,,            6.6337,           16.0579,           22.2802,           31.3885,           34.9125,            3.6156,           10.0658,           -0.4559,           -0.9544,           -4.0426,
Ref 15,2.93113e-08,,,,,,1.1971e-02,4.2055e-03,4.8932e-05,4.6381e-06,2.4909e-08,,,,,,,,,,,
Sam 15,2.86857e-08,1.20504e-02,4.2730e-03,5.0019e-05,4.7909e-06,2.6449e-08,,,,,,            6.6438,           16.0513,           22.2452,           32.7903,           16.8455,            3.6266,           10.0591,           -0.4940,            0.4166,          -21.4275,
Ref 16,2.89784e-08,,,,,,1.1971e-02,4.2055e-03,4.8929e-05,4.6395e-06,2.7126e-08,,,,,,,,,,,
Sam 16,2.83473e-08,1.20505e-02,4.2731e-03,5.0025e-05,4.7875e-06,2.8481e-08,,,,,,            6.6499,           16.0782,           22.3694,           32.3171,          -13.0185,            3.6321,           10.0859,           -0.4048,           -0.0947,          -50.2229,
Ref 17,2.86450e-08,,,,,,1.1971e-02,4.2055e-03,4.8932e-05,4.6358e-06,3.0607e-08,,,,,,,,,,,
Sam 17,2.80132e-08,1.20502e-02,4.2731e-03,5.0020e-05,4.7845e-06,2.8424e-08,,,,,,            6.6255,           16.0651,           22.2962,           32.1718,           53.6631,            3.6065,           10.0729,           -0.4387,           -0.2097,           13.9970,
Ref 18,2.83134e-08,,,,,,1.1971e-02,4.2055e-03,4.8926e-05,4.6349e-06,2.3304e-08,,,,,,,,,,,
Sam 18,2.76836e-08,1.20502e-02,4.2731e-03,5.0025e-05,4.7873e-06,2.1845e-08,,,,,,            6.6313,           16.0663,           22.3837,           32.4001,          -75.5514,            3.6127,           10.0740,           -0.3602,            0.0092,         -110.3605,
Ref 19,2.79936e-08,,,,,,1.1971e-02,4.2055e-03,4.8933e-05,4.6392e-06,2.3960e-08,,,,,,,,,,,
Sam 19,2.73547e-08,1.20501e-02,4.2730e-03,5.0019e-05,4.7900e-06,2.4886e-08,,,,,,            6.6395,           16.0510,           22.1650,           31.6736,          -34.7445,            3.6220,           10.0589,           -0.5678,           -0.6646,          -71.0710,
Ref 20,2.76726e-08,,,,,,1.1971e-02,4.2055e-03,4.8936e-05,4.6467e-06,2.7624e-08,,,,,,,,,,,
Sam 20,2.70326e-08,1.20503e-02,4.2730e-03,5.0028e-05,4.7919e-06,1.7933e-08,,,,,,            6.6520,           16.0490,           22.3846,           32.2074,         -233.9088,            3.6354,           10.0568,           -0.3639,           -0.1434,         -262.7465,
Ref 21,2.73597e-08,,,,,,1.1971e-02,4.2054e-03,4.8928e-05,4.6380e-06,1.9143e-08,,,,,,,,,,,


