Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 18, 2021 at 23:56 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 19, 2021 at 00:55 with Stable 1.71.5 on PS019

Data File = Data_13672 ETH-01.txt,        Sample Weight = 412,                      Vial Location = 25,                       Initial Sam Beam = 1.3909e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0121e-08,                Max Ref Beam = 1.0594e-07,                

Analysis undertaken at mass 46.0047
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.63893e-08,,,,,,1.1966e-02,4.2025e-03,4.8867e-05,4.6324e-06,6.2720e-08,
Sam 1,5.60060e-08,1.20251e-02,4.2512e-03,4.9638e-05,4.7403e-06,5.9698e-08,,,,,,            4.8592,           11.5409,           15.6471,           22.7675,          -43.8401,            1.8826,            5.5744,           -0.7622,           -0.4372,          -69.9875,
Ref 2,5.56265e-08,,,,,,1.1967e-02,4.2029e-03,4.8879e-05,4.6371e-06,6.2147e-08,,,,,,,,,,,
Sam 2,5.52012e-08,1.20254e-02,4.2513e-03,4.9642e-05,4.7403e-06,6.1952e-08,,,,,,            4.8484,           11.5049,           15.6033,           22.2993,           10.8530,            1.8723,            5.5386,           -0.7593,           -0.8237,          -16.7099,
Ref 3,5.48392e-08,,,,,,1.1967e-02,4.2030e-03,4.8880e-05,4.6367e-06,6.0414e-08,,,,,,,,,,,
Sam 3,5.44036e-08,1.20255e-02,4.2514e-03,4.9646e-05,4.7433e-06,6.1904e-08,,,,,,            4.8560,           11.5192,           15.6385,           22.9934,            8.7801,            1.8800,            5.5528,           -0.7464,           -0.1736,          -18.7616,
Ref 4,5.40698e-08,,,,,,1.1967e-02,4.2030e-03,4.8884e-05,4.6367e-06,6.2329e-08,,,,,,,,,,,
Sam 4,5.36285e-08,1.20255e-02,4.2515e-03,4.9651e-05,4.7416e-06,6.3162e-08,,,,,,            4.8503,           11.5257,           15.6809,           22.5230,           23.5824,            1.8736,            5.5594,           -0.7051,           -0.6463,           -4.3701,
Ref 5,5.33229e-08,,,,,,1.1968e-02,4.2031e-03,4.8885e-05,4.6375e-06,6.1076e-08,,,,,,,,,,,
Sam 5,5.28643e-08,1.20256e-02,4.2515e-03,4.9653e-05,4.7430e-06,6.0479e-08,,,,,,            4.8562,           11.5209,           15.6946,           22.7019,          -23.4952,            1.8801,            5.5545,           -0.6930,           -0.4618,          -50.1591,
Ref 6,5.25807e-08,,,,,,1.1967e-02,4.2031e-03,4.8886e-05,4.6378e-06,6.2805e-08,,,,,,,,,,,
Sam 6,5.21214e-08,1.20256e-02,4.2515e-03,4.9654e-05,4.7430e-06,6.4432e-08,,,,,,            4.8561,           11.5144,           15.6471,           22.6041,           23.6603,            1.8803,            5.5481,           -0.7334,           -0.5446,           -4.2785,
Ref 7,5.18586e-08,,,,,,1.1968e-02,4.2031e-03,4.8893e-05,4.6385e-06,6.3083e-08,,,,,,,,,,,
Sam 7,5.13891e-08,1.20256e-02,4.2515e-03,4.9659e-05,4.7451e-06,6.3040e-08,,,,,,            4.8478,           11.5047,           15.6776,           22.9232,           -6.4572,            1.8717,            5.5385,           -0.6855,           -0.2137,          -33.5474,
Ref 8,5.11436e-08,,,,,,1.1968e-02,4.2032e-03,4.8892e-05,4.6392e-06,6.3822e-08,,,,,,,,,,,
Sam 8,5.06657e-08,1.20256e-02,4.2516e-03,4.9658e-05,4.7469e-06,6.3132e-08,,,,,,            4.8482,           11.5156,           15.6732,           23.0148,          -11.9488,            1.8718,            5.5493,           -0.7007,           -0.1456,          -38.9099,
Ref 9,5.04407e-08,,,,,,1.1967e-02,4.2032e-03,4.8892e-05,4.6411e-06,6.3970e-08,,,,,,,,,,,
Sam 9,4.99581e-08,1.20255e-02,4.2516e-03,4.9658e-05,4.7447e-06,6.5712e-08,,,,,,            4.8504,           11.5120,           15.6384,           22.3014,           31.5368,            1.8743,            5.5458,           -0.7338,           -0.8359,            3.3936,
Ref 10,4.97493e-08,,,,,,1.1967e-02,4.2031e-03,4.8895e-05,4.6412e-06,6.3432e-08,,,,,,,,,,,
Sam 10,4.92667e-08,1.20254e-02,4.2515e-03,4.9659e-05,4.7451e-06,6.6808e-08,,,,,,            4.8437,           11.5026,           15.6266,           22.2884,           38.3319,            1.8674,            5.5364,           -0.7293,           -0.8299,           10.0290,
Ref 11,4.90733e-08,,,,,,1.1968e-02,4.2032e-03,4.8895e-05,4.6421e-06,6.5264e-08,,,,,,,,,,,
Sam 11,4.85823e-08,1.20255e-02,4.2516e-03,4.9666e-05,4.7450e-06,6.4728e-08,,,,,,            4.8512,           11.5045,           15.7474,           21.9615,           -0.0462,            1.8753,            5.5383,           -0.6200,           -1.1532,          -27.3142,
Ref 12,4.84071e-08,,,,,,1.1967e-02,4.2032e-03,4.8896e-05,4.6440e-06,6.4190e-08,,,,,,,,,,,
Sam 12,4.79166e-08,1.20253e-02,4.2515e-03,4.9661e-05,4.7471e-06,6.0571e-08,,,,,,            4.8371,           11.4958,           15.6352,           22.2842,          -57.3712,            1.8606,            5.5297,           -0.7075,           -0.8206,          -83.0468,
Ref 13,4.77635e-08,,,,,,1.1967e-02,4.2032e-03,4.8897e-05,4.6433e-06,6.4325e-08,,,,,,,,,,,
Sam 13,4.72643e-08,1.20253e-02,4.2515e-03,4.9669e-05,4.7473e-06,6.3639e-08,,,,,,            4.8384,           11.4961,           15.7437,           22.5657,            3.0440,            1.8620,            5.5299,           -0.6023,           -0.5459,          -24.2791,
Ref 14,4.71260e-08,,,,,,1.1967e-02,4.2032e-03,4.8901e-05,4.6418e-06,6.2554e-08,,,,,,,,,,,
Sam 14,4.66252e-08,1.20253e-02,4.2515e-03,4.9665e-05,4.7470e-06,6.7238e-08,,,,,,            4.8375,           11.4998,           15.6584,           22.6034,           62.7132,            1.8610,            5.5337,           -0.6891,           -0.5166,           33.7580,
Ref 15,4.64953e-08,,,,,,1.1967e-02,4.2032e-03,4.8897e-05,4.6423e-06,6.3995e-08,,,,,,,,,,,
Sam 15,4.59859e-08,1.20254e-02,4.2516e-03,4.9663e-05,4.7471e-06,6.3541e-08,,,,,,            4.8525,           11.5140,           15.6675,           22.5588,          -45.9570,            1.8764,            5.5477,           -0.7093,           -0.5882,          -71.9915,
Ref 16,4.58783e-08,,,,,,1.1967e-02,4.2032e-03,4.8897e-05,4.6426e-06,6.9244e-08,,,,,,,,,,,
Sam 16,4.53766e-08,1.20255e-02,4.2516e-03,4.9667e-05,4.7485e-06,6.9277e-08,,,,,,            4.8566,           11.5102,           15.6630,           22.5737,           23.0723,            1.8809,            5.5439,           -0.7141,           -0.5661,           -4.8428,
Ref 17,4.52814e-08,,,,,,1.1967e-02,4.2032e-03,4.8905e-05,4.6447e-06,6.6165e-08,,,,,,,,,,,
Sam 17,4.47659e-08,1.20254e-02,4.2516e-03,4.9672e-05,4.7511e-06,6.8173e-08,,,,,,            4.8466,           11.5122,           15.6984,           23.1642,            1.0762,            1.8702,            5.5459,           -0.6710,            0.0071,          -26.2323,
Ref 18,4.46801e-08,,,,,,1.1967e-02,4.2032e-03,4.8902e-05,4.6424e-06,7.0061e-08,,,,,,,,,,,
Sam 18,4.41719e-08,1.20253e-02,4.2515e-03,4.9669e-05,4.7502e-06,6.9312e-08,,,,,,            4.8460,           11.4902,           15.6189,           23.0720,           -2.9866,            1.8704,            5.5241,           -0.7274,           -0.0396,          -30.1423,
Ref 19,4.40995e-08,,,,,,1.1967e-02,4.2032e-03,4.8907e-05,4.6438e-06,6.8972e-08,,,,,,,,,,,
Sam 19,4.35802e-08,1.20253e-02,4.2515e-03,4.9671e-05,4.7511e-06,6.6852e-08,,,,,,            4.8570,           11.5005,           15.6276,           23.1032,          -13.3215,            1.8816,            5.5343,           -0.7399,           -0.0294,          -40.2260,
Ref 20,4.35202e-08,,,,,,1.1967e-02,4.2032e-03,4.8906e-05,4.6439e-06,6.6521e-08,,,,,,,,,,,
Sam 20,4.29990e-08,1.20252e-02,4.2516e-03,4.9671e-05,4.7520e-06,6.7922e-08,,,,,,            4.8480,           11.5144,           15.5897,           22.8358,           -2.9437,            1.8716,            5.5481,           -0.7815,           -0.3181,          -30.1480,
Ref 21,4.29544e-08,,,,,,1.1967e-02,4.2032e-03,4.8911e-05,4.6479e-06,6.9745e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.26793e-08,,,,,,1.1967e-02,4.2031e-03,4.8907e-05,4.6450e-06,6.8787e-08,
Sam 1,4.21428e-08,1.20253e-02,4.2515e-03,4.9681e-05,4.7517e-06,6.6989e-08,,,,,,            4.8560,           11.5039,           15.7893,           22.8616,          -17.9755,            1.8805,            5.5376,           -0.5830,           -0.2721,          -44.7583,
Ref 2,4.21255e-08,,,,,,1.1967e-02,4.2032e-03,4.8911e-05,4.6459e-06,6.7637e-08,,,,,,,,,,,
Sam 2,4.15844e-08,1.20252e-02,4.2515e-03,4.9680e-05,4.7514e-06,6.6663e-08,,,,,,            4.8453,           11.4943,           15.6960,           22.8076,           -0.5151,            1.8694,            5.5282,           -0.6547,           -0.3061,          -27.7450,
Ref 3,4.15848e-08,,,,,,1.1967e-02,4.2031e-03,4.8914e-05,4.6451e-06,6.5747e-08,,,,,,,,,,,
Sam 3,4.10349e-08,1.20251e-02,4.2515e-03,4.9676e-05,4.7521e-06,6.4724e-08,,,,,,            4.8375,           11.4969,           15.6343,           22.8397,           -0.9751,            1.8611,            5.5307,           -0.7099,           -0.2798,          -28.1894,
Ref 4,4.10507e-08,,,,,,1.1967e-02,4.2032e-03,4.8909e-05,4.6470e-06,6.3815e-08,,,,,,,,,,,
Sam 4,4.04964e-08,1.20252e-02,4.2515e-03,4.9676e-05,4.7510e-06,6.3840e-08,,,,,,            4.8475,           11.5052,           15.6087,           22.4490,          -20.5514,            1.8714,            5.5390,           -0.7534,           -0.6780,          -47.2579,
Ref 5,4.05301e-08,,,,,,1.1967e-02,4.2032e-03,4.8916e-05,4.6464e-06,6.6562e-08,,,,,,,,,,,
Sam 5,3.99685e-08,1.20250e-02,4.2514e-03,4.9676e-05,4.7511e-06,6.4889e-08,,,,,,            4.8432,           11.4858,           15.5565,           22.4730,           -0.4113,            1.8675,            5.5197,           -0.7815,           -0.6164,          -27.6259,
Ref 6,4.00186e-08,,,,,,1.1967e-02,4.2032e-03,4.8914e-05,4.6470e-06,6.3249e-08,,,,,,,,,,,
Sam 6,3.94505e-08,1.20249e-02,4.2515e-03,4.9684e-05,4.7483e-06,6.2827e-08,,,,,,            4.8334,           11.5055,           15.7098,           21.7300,          -24.3447,            1.8564,            5.5393,           -0.6398,           -1.3814,          -50.9342,
Ref 7,3.95107e-08,,,,,,1.1967e-02,4.2032e-03,4.8918e-05,4.6477e-06,6.5555e-08,,,,,,,,,,,
Sam 7,3.89388e-08,1.20250e-02,4.2514e-03,4.9680e-05,4.7550e-06,6.7046e-08,,,,,,            4.8376,           11.4884,           15.6004,           23.1872,           -3.2781,            1.8614,            5.5223,           -0.7350,            0.0767,          -30.4136,
Ref 8,3.90130e-08,,,,,,1.1967e-02,4.2031e-03,4.8915e-05,4.6467e-06,6.8999e-08,,,,,,,,,,,
Sam 8,3.84355e-08,1.20251e-02,4.2515e-03,4.9691e-05,4.7529e-06,6.7142e-08,,,,,,            4.8580,           11.5037,           15.8475,           22.7154,          -31.4916,            1.8826,            5.5374,           -0.5277,           -0.4146,          -57.9074,
Ref 9,3.85221e-08,,,,,,1.1967e-02,4.2031e-03,4.8917e-05,4.6480e-06,6.9656e-08,,,,,,,,,,,
Sam 9,3.79435e-08,1.20248e-02,4.2513e-03,4.9682e-05,4.7488e-06,6.6769e-08,,,,,,            4.8497,           11.4900,           15.6355,           21.6189,          -27.1053,            1.8743,            5.5238,           -0.7144,           -1.4594,          -53.6073,
Ref 10,3.80438e-08,,,,,,1.1967e-02,4.2030e-03,4.8917e-05,4.6485e-06,6.7589e-08,,,,,,,,,,,
Sam 10,3.74627e-08,1.20247e-02,4.2514e-03,4.9685e-05,4.7531e-06,6.7115e-08,,,,,,            4.8462,           11.4973,           15.6584,           22.6516,           -6.1904,            1.8703,            5.5311,           -0.6955,           -0.4644,          -33.2721,
Ref 11,3.75747e-08,,,,,,1.1967e-02,4.2031e-03,4.8922e-05,4.6472e-06,6.7476e-08,,,,,,,,,,,
Sam 11,3.69873e-08,1.20246e-02,4.2513e-03,4.9691e-05,4.7547e-06,6.4801e-08,,,,,,            4.8509,           11.4737,           15.7054,           22.6675,          -10.6365,            1.8761,            5.5076,           -0.6312,           -0.4023,          -37.5579,
Ref 12,3.71064e-08,,,,,,1.1966e-02,4.2030e-03,4.8924e-05,4.6515e-06,6.3495e-08,,,,,,,,,,,
Sam 12,3.65196e-08,1.20245e-02,4.2513e-03,4.9686e-05,4.7544e-06,6.4270e-08,,,,,,            4.8485,           11.4988,           15.5527,           22.3194,          -20.6024,            1.8727,            5.5326,           -0.8033,           -0.7921,          -47.2966,
Ref 13,3.66519e-08,,,,,,1.1967e-02,4.2030e-03,4.8927e-05,4.6498e-06,6.7775e-08,,,,,,,,,,,
Sam 13,3.60599e-08,1.20247e-02,4.2513e-03,4.9677e-05,4.7555e-06,6.8422e-08,,,,,,            4.8541,           11.5061,           15.3954,           22.8013,           12.2065,            1.8784,            5.5398,           -0.9709,           -0.3355,          -15.4017,
Ref 14,3.62028e-08,,,,,,1.1967e-02,4.2029e-03,4.8921e-05,4.6492e-06,6.7416e-08,,,,,,,,,,,
Sam 14,3.56096e-08,1.20246e-02,4.2512e-03,4.9681e-05,4.7575e-06,6.4265e-08,,,,,,            4.8455,           11.4922,           15.5960,           23.2031,          -48.7246,            1.8697,            5.5260,           -0.7512,            0.0847,          -74.6374,
Ref 15,3.57628e-08,,,,,,1.1967e-02,4.2030e-03,4.8915e-05,4.6501e-06,6.7700e-08,,,,,,,,,,,
Sam 15,3.51623e-08,1.20246e-02,4.2513e-03,4.9676e-05,4.7547e-06,6.3608e-08,,,,,,            4.8580,           11.5188,           15.4809,           22.4978,          -71.5711,            1.8821,            5.5525,           -0.9031,           -0.6572,          -96.9203,
Ref 16,3.53306e-08,,,,,,1.1966e-02,4.2029e-03,4.8921e-05,4.6501e-06,6.9333e-08,,,,,,,,,,,
Sam 16,3.47239e-08,1.20246e-02,4.2513e-03,4.9684e-05,4.7578e-06,6.9865e-08,,,,,,            4.8614,           11.5076,           15.6136,           23.2307,           -2.2319,            1.8861,            5.5413,           -0.7651,            0.0813,          -29.4565,
Ref 17,3.49044e-08,,,,,,1.1966e-02,4.2029e-03,4.8920e-05,4.6494e-06,7.0718e-08,,,,,,,,,,,
Sam 17,3.42899e-08,1.20245e-02,4.2513e-03,4.9684e-05,4.7510e-06,6.9539e-08,,,,,,            4.8434,           11.5031,           15.6425,           22.0196,          -21.1754,            1.8671,            5.5369,           -0.7139,           -1.0935,          -47.8567,
Ref 18,3.44809e-08,,,,,,1.1967e-02,4.2030e-03,4.8919e-05,4.6479e-06,7.1373e-08,,,,,,,,,,,
Sam 18,3.38629e-08,1.20245e-02,4.2513e-03,4.9691e-05,4.7566e-06,6.4914e-08,,,,,,            4.8412,           11.4933,           15.6913,           23.4672,         -114.1255,            1.8651,            5.5272,           -0.6540,            0.3406,         -138.2548,
Ref 19,3.40590e-08,,,,,,1.1966e-02,4.2030e-03,4.8928e-05,4.6471e-06,7.5203e-08,,,,,,,,,,,
Sam 19,3.34387e-08,1.20244e-02,4.2512e-03,4.9687e-05,4.7578e-06,7.3090e-08,,,,,,            4.8445,           11.4817,           15.4710,           23.2398,          -13.6103,            1.8690,            5.5156,           -0.8629,            0.1413,          -40.4591,
Ref 20,3.36505e-08,,,,,,1.1966e-02,4.2029e-03,4.8932e-05,4.6523e-06,7.2981e-08,,,,,,,,,,,
Sam 20,3.30230e-08,1.20243e-02,4.2512e-03,4.9690e-05,4.7519e-06,7.2261e-08,,,,,,            4.8493,           11.4966,           15.5075,           21.3945,          -32.7437,            1.8736,            5.5304,           -0.8465,           -1.6917,          -59.1037,
Ref 21,3.32440e-08,,,,,,1.1966e-02,4.2029e-03,4.8929e-05,4.6524e-06,7.6455e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.30468e-08,,,,,,1.1966e-02,4.2027e-03,4.8932e-05,4.6513e-06,7.6191e-08,
Sam 1,3.24147e-08,1.20241e-02,4.2510e-03,4.9690e-05,4.7592e-06,7.4963e-08,,,,,,            4.8430,           11.4825,           15.5259,           22.9572,          -10.3750,            1.8674,            5.5164,           -0.8082,           -0.1365,          -37.3119,
Ref 2,3.26512e-08,,,,,,1.1966e-02,4.2029e-03,4.8929e-05,4.6535e-06,7.5302e-08,,,,,,,,,,,
Sam 2,3.20179e-08,1.20240e-02,4.2510e-03,4.9685e-05,4.7586e-06,7.2390e-08,,,,,,            4.8487,           11.4749,           15.4650,           22.3224,          -24.9915,            1.8737,            5.5088,           -0.8665,           -0.7419,          -51.5221,
Ref 3,3.22649e-08,,,,,,1.1966e-02,4.2028e-03,4.8927e-05,4.6560e-06,7.3177e-08,,,,,,,,,,,
Sam 3,3.16290e-08,1.20240e-02,4.2511e-03,4.9697e-05,4.7560e-06,7.4609e-08,,,,,,            4.8384,           11.4944,           15.8076,           21.7406,            0.2752,            1.8621,            5.5282,           -0.5378,           -1.3490,          -26.9692,
Ref 4,3.18831e-08,,,,,,1.1966e-02,4.2028e-03,4.8919e-05,4.6536e-06,7.6017e-08,,,,,,,,,,,
Sam 4,3.12456e-08,1.20240e-02,4.2510e-03,4.9695e-05,4.7574e-06,7.6652e-08,,,,,,            4.8324,           11.4867,           15.8092,           22.7462,            4.3919,            1.8559,            5.5206,           -0.5227,           -0.3511,          -22.9439,
Ref 5,3.15129e-08,,,,,,1.1966e-02,4.2027e-03,4.8925e-05,4.6496e-06,7.6620e-08,,,,,,,,,,,
Sam 5,3.08659e-08,1.20239e-02,4.2510e-03,4.9692e-05,4.7586e-06,7.6940e-08,,,,,,            4.8325,           11.4747,           15.6487,           22.9627,           23.9651,            1.8564,            5.5086,           -0.6690,           -0.1156,           -3.8802,
Ref 6,3.11390e-08,,,,,,1.1966e-02,4.2027e-03,4.8928e-05,4.6540e-06,7.3641e-08,,,,,,,,,,,
Sam 6,3.04925e-08,1.20239e-02,4.2510e-03,4.9700e-05,4.7582e-06,7.7964e-08,,,,,,            4.8439,           11.4896,           15.7093,           22.4660,           31.1997,            1.8681,            5.5235,           -0.6355,           -0.6306,            3.1164,
Ref 7,3.07744e-08,,,,,,1.1966e-02,4.2027e-03,4.8936e-05,4.6534e-06,7.7593e-08,,,,,,,,,,,
Sam 7,3.01275e-08,1.20240e-02,4.2510e-03,4.9698e-05,4.7642e-06,7.5965e-08,,,,,,            4.8530,           11.4937,           15.5934,           23.4187,          -16.5836,            1.8777,            5.5275,           -0.7629,            0.2924,          -43.3824,
Ref 8,3.04141e-08,,,,,,1.1966e-02,4.2027e-03,4.8933e-05,4.6571e-06,7.6895e-08,,,,,,,,,,,
Sam 8,2.97664e-08,1.20238e-02,4.2509e-03,4.9693e-05,4.7606e-06,7.6010e-08,,,,,,            4.8429,           11.4724,           15.5708,           22.4240,           -4.7601,            1.8676,            5.5064,           -0.7541,           -0.6377,          -31.8307,
Ref 9,3.00620e-08,,,,,,1.1966e-02,4.2026e-03,4.8928e-05,4.6554e-06,7.5845e-08,,,,,,,,,,,
Sam 9,2.94138e-08,1.20237e-02,4.2509e-03,4.9696e-05,4.7604e-06,7.4216e-08,,,,,,            4.8450,           11.4941,           15.6263,           22.3179,          -22.3288,            1.8691,            5.5279,           -0.7227,           -0.7842,          -48.9637,
Ref 10,2.97180e-08,,,,,,1.1966e-02,4.2026e-03,4.8934e-05,4.6576e-06,7.5977e-08,,,,,,,,,,,
Sam 10,2.90640e-08,1.20237e-02,4.2508e-03,4.9702e-05,4.7586e-06,7.2174e-08,,,,,,            4.8498,           11.4861,           15.7991,           21.3179,          -78.6527,            1.8745,            5.5200,           -0.5499,           -1.7460,         -103.7438,
Ref 11,2.93757e-08,,,,,,1.1966e-02,4.2025e-03,4.8923e-05,4.6610e-06,8.0721e-08,,,,,,,,,,,
Sam 11,2.87216e-08,1.20236e-02,4.2508e-03,4.9694e-05,4.7674e-06,7.5201e-08,,,,,,            4.8545,           11.4826,           15.6201,           22.6865,          -65.4583,            1.8797,            5.5164,           -0.7274,           -0.4012,          -90.9070,
Ref 12,2.90383e-08,,,,,,1.1965e-02,4.2026e-03,4.8936e-05,4.6623e-06,8.0212e-08,,,,,,,,,,,
Sam 12,2.83808e-08,1.20234e-02,4.2508e-03,4.9703e-05,4.7616e-06,7.8870e-08,,,,,,            4.8401,           11.4930,           15.7646,           21.6421,            2.1313,            1.8639,            5.5268,           -0.5805,           -1.4426,          -25.1628,
Ref 13,2.87052e-08,,,,,,1.1966e-02,4.2025e-03,4.8927e-05,4.6591e-06,7.7175e-08,,,,,,,,,,,
Sam 13,2.80479e-08,1.20233e-02,4.2508e-03,4.9700e-05,4.7663e-06,7.6733e-08,,,,,,            4.8272,           11.4913,           15.6571,           23.4073,          -12.5427,            1.8503,            5.5252,           -0.6715,            0.2860,          -39.4210,
Ref 14,2.83806e-08,,,,,,1.1965e-02,4.2025e-03,4.8941e-05,4.6555e-06,7.8247e-08,,,,,,,,,,,
Sam 14,2.77210e-08,1.20232e-02,4.2508e-03,4.9692e-05,4.7658e-06,8.3973e-08,,,,,,            4.8361,           11.4995,           15.4102,           23.1470,           56.8456,            1.8594,            5.5333,           -0.9314,            0.0155,           28.0527,
Ref 15,2.80569e-08,,,,,,1.1965e-02,4.2024e-03,4.8935e-05,4.6604e-06,8.0679e-08,,,,,,,,,,,
Sam 15,2.73958e-08,1.20231e-02,4.2507e-03,4.9695e-05,4.7642e-06,8.2489e-08,,,,,,            4.8312,           11.4952,           15.5017,           22.4167,          -30.6268,            1.8544,            5.5291,           -0.8324,           -0.6900,          -57.0240,
Ref 16,2.77400e-08,,,,,,1.1965e-02,4.2024e-03,4.8939e-05,4.6590e-06,8.9562e-08,,,,,,,,,,,
Sam 16,2.70750e-08,1.20231e-02,4.2507e-03,4.9704e-05,4.7692e-06,8.2192e-08,,,,,,            4.8376,           11.4810,           15.5522,           23.3450,          -77.1101,            1.8617,            5.5149,           -0.7754,            0.2456,         -102.2227,
Ref 17,2.74228e-08,,,,,,1.1965e-02,4.2025e-03,4.8947e-05,4.6619e-06,8.8550e-08,,,,,,,,,,,
Sam 17,2.67599e-08,1.20230e-02,4.2506e-03,4.9702e-05,4.7700e-06,8.5478e-08,,,,,,            4.8325,           11.4764,           15.5415,           22.9220,          -32.4873,            1.8565,            5.5104,           -0.7762,           -0.1588,          -58.8006,
Ref 18,2.71130e-08,,,,,,1.1965e-02,4.2023e-03,4.8936e-05,4.6644e-06,8.8144e-08,,,,,,,,,,,
Sam 18,2.64472e-08,1.20229e-02,4.2506e-03,4.9697e-05,4.7690e-06,8.8653e-08,,,,,,            4.8311,           11.4899,           15.5119,           22.4147,          -13.2200,            1.8545,            5.5238,           -0.8170,           -0.6813,          -40.0812,
Ref 19,2.68098e-08,,,,,,1.1965e-02,4.2023e-03,4.8940e-05,4.6645e-06,9.1556e-08,,,,,,,,,,,
Sam 19,2.61419e-08,1.20229e-02,4.2506e-03,4.9694e-05,4.7708e-06,8.9236e-08,,,,,,            4.8407,           11.4936,           15.4421,           22.7251,          -33.9601,            1.8646,            5.5274,           -0.8991,           -0.3852,          -60.2729,
Ref 20,2.65112e-08,,,,,,1.1965e-02,4.2023e-03,4.8937e-05,4.6651e-06,9.3200e-08,,,,,,,,,,,
Sam 20,2.58377e-08,1.20229e-02,4.2506e-03,4.9707e-05,4.7699e-06,9.6024e-08,,,,,,            4.8430,           11.4863,           15.7238,           22.1457,           18.1909,            1.8673,            5.5202,           -0.6172,           -0.9372,           -9.5309,
Ref 21,2.62123e-08,,,,,,1.1965e-02,4.2023e-03,4.8938e-05,4.6680e-06,9.5430e-08,,,,,,,,,,,


