Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 19, 2021 at 01:18 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 19, 2021 at 02:17 with Stable 1.71.5 on PS019

Data File = Data_13673 23-RJS-5281.9.txt, Sample Weight = 431,                      Vial Location = 26,                       Initial Sam Beam = 1.0672e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9467e-08,                Max Ref Beam = 1.0558e-07,                

Analysis undertaken at mass 46.0047
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.41808e-08,,,,,,1.1966e-02,4.2028e-03,4.8895e-05,4.6405e-06,6.3325e-08,
Sam 1,4.39114e-08,1.20251e-02,4.2669e-03,4.9857e-05,4.7790e-06,6.4536e-08,,,,,,            4.8743,           15.2060,           19.5442,           29.7308,            9.8467,            1.7724,            9.2217,           -0.5076,           -0.8852,          -24.7478,
Ref 2,4.36337e-08,,,,,,1.1967e-02,4.2032e-03,4.8907e-05,4.6417e-06,6.4495e-08,,,,,,,,,,,
Sam 2,4.33328e-08,1.20253e-02,4.2670e-03,4.9862e-05,4.7853e-06,6.4720e-08,,,,,,            4.8574,           15.1892,           19.4762,           30.6718,          -11.2399,            1.7550,            9.2051,           -0.5406,            0.0608,          -45.0640,
Ref 3,4.30714e-08,,,,,,1.1967e-02,4.2032e-03,4.8911e-05,4.6441e-06,6.6429e-08,,,,,,,,,,,
Sam 3,4.27563e-08,1.20253e-02,4.2670e-03,4.9870e-05,4.7839e-06,6.6325e-08,,,,,,            4.8579,           15.1899,           19.6160,           30.4213,           10.3550,            1.7555,            9.2058,           -0.4049,           -0.1835,          -24.2096,
Ref 4,4.25205e-08,,,,,,1.1967e-02,4.2032e-03,4.8910e-05,4.6412e-06,6.4851e-08,,,,,,,,,,,
Sam 4,4.21924e-08,1.20254e-02,4.2670e-03,4.9872e-05,4.7802e-06,6.3558e-08,,,,,,            4.8695,           15.1913,           19.6554,           29.4834,          -12.1678,            1.7678,            9.2072,           -0.3794,           -1.0965,          -45.9763,
Ref 5,4.19715e-08,,,,,,1.1967e-02,4.2031e-03,4.8912e-05,4.6454e-06,6.3825e-08,,,,,,,,,,,
Sam 5,4.16363e-08,1.20252e-02,4.2670e-03,4.9867e-05,4.7874e-06,6.3806e-08,,,,,,            4.8588,           15.1938,           19.5208,           30.5720,           -2.9508,            1.7564,            9.2097,           -0.5029,           -0.0451,          -37.0684,
Ref 6,4.14299e-08,,,,,,1.1967e-02,4.2032e-03,4.8914e-05,4.6454e-06,6.4167e-08,,,,,,,,,,,
Sam 6,4.10910e-08,1.20251e-02,4.2670e-03,4.9866e-05,4.7859e-06,6.6485e-08,,,,,,            4.8566,           15.1826,           19.4198,           30.0258,            6.1714,            1.7543,            9.1986,           -0.5888,           -0.5530,          -28.2351,
Ref 7,4.09047e-08,,,,,,1.1967e-02,4.2031e-03,4.8918e-05,4.6474e-06,6.8011e-08,,,,,,,,,,,
Sam 7,4.05523e-08,1.20251e-02,4.2670e-03,4.9876e-05,4.7845e-06,6.6283e-08,,,,,,            4.8625,           15.1898,           19.6882,           29.7931,           -6.2843,            1.7604,            9.2057,           -0.3388,           -0.7930,          -40.2843,
Ref 8,4.03819e-08,,,,,,1.1967e-02,4.2031e-03,4.8908e-05,4.6446e-06,6.5376e-08,,,,,,,,,,,
Sam 8,4.00231e-08,1.20250e-02,4.2669e-03,4.9871e-05,4.7895e-06,6.7320e-08,,,,,,            4.8583,           15.1856,           19.6125,           30.8367,            9.7617,            1.7561,            9.2015,           -0.4045,            0.2280,          -24.7749,
Ref 9,3.98662e-08,,,,,,1.1967e-02,4.2031e-03,4.8914e-05,4.6478e-06,6.7980e-08,,,,,,,,,,,
Sam 9,3.95033e-08,1.20250e-02,4.2669e-03,4.9875e-05,4.7913e-06,7.0927e-08,,,,,,            4.8670,           15.1931,           19.6233,           30.9111,           30.7319,            1.7651,            9.2090,           -0.4101,            0.2853,           -4.5457,
Ref 10,3.93622e-08,,,,,,1.1967e-02,4.2031e-03,4.8917e-05,4.6474e-06,6.9655e-08,,,,,,,,,,,
Sam 10,3.89901e-08,1.20250e-02,4.2669e-03,4.9879e-05,4.7881e-06,6.9989e-08,,,,,,            4.8701,           15.1953,           19.6152,           29.9766,            7.1848,            1.7683,            9.2112,           -0.4233,           -0.6257,          -27.2941,
Ref 11,3.88644e-08,,,,,,1.1967e-02,4.2030e-03,4.8922e-05,4.6500e-06,6.9323e-08,,,,,,,,,,,
Sam 11,3.84929e-08,1.20248e-02,4.2669e-03,4.9876e-05,4.7905e-06,6.7985e-08,,,,,,            4.8516,           15.1947,           19.4951,           30.2212,            5.5531,            1.7486,            9.2106,           -0.5215,           -0.3873,          -28.8499,
Ref 12,3.83799e-08,,,,,,1.1967e-02,4.2031e-03,4.8922e-05,4.6499e-06,6.5875e-08,,,,,,,,,,,
Sam 12,3.80024e-08,1.20248e-02,4.2668e-03,4.9882e-05,4.7931e-06,7.0731e-08,,,,,,            4.8510,           15.1756,           19.6444,           30.3346,           16.5853,            1.7487,            9.1915,           -0.3561,           -0.2395,          -18.1581,
Ref 13,3.79038e-08,,,,,,1.1967e-02,4.2030e-03,4.8919e-05,4.6541e-06,7.3325e-08,,,,,,,,,,,
Sam 13,3.75252e-08,1.20249e-02,4.2669e-03,4.9880e-05,4.7918e-06,7.3503e-08,,,,,,            4.8594,           15.1889,           19.6547,           29.5529,           12.6788,            1.7572,            9.2049,           -0.3676,           -1.0243,          -21.9652,
Ref 14,3.74379e-08,,,,,,1.1967e-02,4.2030e-03,4.8918e-05,4.6545e-06,7.1831e-08,,,,,,,,,,,
Sam 14,3.70510e-08,1.20246e-02,4.2668e-03,4.9875e-05,4.7883e-06,7.0708e-08,,,,,,            4.8442,           15.1719,           19.5303,           28.7958,          -42.5047,            1.7415,            9.1879,           -0.4573,           -1.7254,          -75.2153,
Ref 15,3.69771e-08,,,,,,1.1967e-02,4.2030e-03,4.8922e-05,4.6540e-06,7.5888e-08,,,,,,,,,,,
Sam 15,3.65834e-08,1.20247e-02,4.2668e-03,4.9881e-05,4.7917e-06,7.4139e-08,,,,,,            4.8621,           15.1950,           19.5413,           29.8124,          -27.3174,            1.7598,            9.2108,           -0.4872,           -0.7843,          -60.6066,
Ref 16,3.65230e-08,,,,,,1.1966e-02,4.2029e-03,4.8927e-05,4.6519e-06,7.6558e-08,,,,,,,,,,,
Sam 16,3.61303e-08,1.20246e-02,4.2668e-03,4.9881e-05,4.7924e-06,7.9117e-08,,,,,,            4.8607,           15.1915,           19.5010,           29.7249,           36.4873,            1.7584,            9.2074,           -0.5220,           -0.8625,            1.0225,
Ref 17,3.60737e-08,,,,,,1.1966e-02,4.2029e-03,4.8927e-05,4.6562e-06,7.6103e-08,,,,,,,,,,,
Sam 17,3.56777e-08,1.20244e-02,4.2667e-03,4.9880e-05,4.7928e-06,7.8542e-08,,,,,,            4.8513,           15.1830,           19.5334,           29.2766,           16.8192,            1.7487,            9.1990,           -0.4724,           -1.2807,          -17.9466,
Ref 18,3.56343e-08,,,,,,1.1966e-02,4.2029e-03,4.8922e-05,4.6568e-06,7.8397e-08,,,,,,,,,,,
Sam 18,3.52339e-08,1.20244e-02,4.2667e-03,4.9891e-05,4.7959e-06,7.7811e-08,,,,,,            4.8537,           15.1931,           19.6993,           30.0505,          -18.0017,            1.7509,            9.2090,           -0.3219,           -0.5496,          -51.5978,
Ref 19,3.52056e-08,,,,,,1.1966e-02,4.2029e-03,4.8933e-05,4.6550e-06,8.0088e-08,,,,,,,,,,,
Sam 19,3.47984e-08,1.20244e-02,4.2666e-03,4.9884e-05,4.7924e-06,8.4309e-08,,,,,,            4.8549,           15.1651,           19.5456,           29.5242,           48.8573,            1.7532,            9.1811,           -0.4468,           -1.0052,           13.0272,
Ref 20,3.47772e-08,,,,,,1.1966e-02,4.2028e-03,4.8923e-05,4.6548e-06,8.0679e-08,,,,,,,,,,,
Sam 20,3.43663e-08,1.20242e-02,4.2666e-03,4.9880e-05,4.7973e-06,8.1461e-08,,,,,,            4.8400,           15.1688,           19.5062,           30.6012,            1.0553,            1.7372,            9.1849,           -0.4736,            0.0325,          -33.1334,
Ref 21,3.43576e-08,,,,,,1.1966e-02,4.2029e-03,4.8928e-05,4.6548e-06,8.2080e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.41587e-08,,,,,,1.1966e-02,4.2028e-03,4.8925e-05,4.6578e-06,8.0365e-08,
Sam 1,3.37308e-08,1.20242e-02,4.2666e-03,4.9884e-05,4.7956e-06,7.6857e-08,,,,,,            4.8591,           15.1905,           19.5934,           29.6708,          -25.2222,            1.7568,            9.2064,           -0.4288,           -0.9130,          -58.5721,
Ref 2,3.37470e-08,,,,,,1.1966e-02,4.2027e-03,4.8925e-05,4.6570e-06,7.7308e-08,,,,,,,,,,,
Sam 2,3.33155e-08,1.20241e-02,4.2665e-03,4.9881e-05,4.7957e-06,7.5368e-08,,,,,,            4.8593,           15.1700,           19.5266,           29.8572,           -4.6601,            1.7577,            9.1859,           -0.4746,           -0.6917,          -38.6754,
Ref 3,3.33433e-08,,,,,,1.1966e-02,4.2028e-03,4.8926e-05,4.6563e-06,7.4114e-08,,,,,,,,,,,
Sam 3,3.29016e-08,1.20240e-02,4.2665e-03,4.9878e-05,4.7994e-06,7.5571e-08,,,,,,            4.8514,           15.1801,           19.5069,           30.6769,           26.1079,            1.7489,            9.1961,           -0.4956,            0.0837,           -8.9700,
Ref 4,3.29420e-08,,,,,,1.1966e-02,4.2027e-03,4.8920e-05,4.6568e-06,7.3177e-08,,,,,,,,,,,
Sam 4,3.24959e-08,1.20240e-02,4.2665e-03,4.9881e-05,4.7976e-06,7.2344e-08,,,,,,            4.8587,           15.1773,           19.6281,           30.5828,          -18.2528,            1.7568,            9.1933,           -0.3816,           -0.0020,          -51.8165,
Ref 5,3.25499e-08,,,,,,1.1966e-02,4.2027e-03,4.8921e-05,4.6537e-06,7.4207e-08,,,,,,,,,,,
Sam 5,3.20965e-08,1.20239e-02,4.2664e-03,4.9883e-05,4.7996e-06,7.1712e-08,,,,,,            4.8507,           15.1633,           19.5995,           31.2990,          -27.0927,            1.7488,            9.1793,           -0.3878,            0.7205,          -60.3207,
Ref 6,3.21602e-08,,,,,,1.1966e-02,4.2027e-03,4.8929e-05,4.6542e-06,7.3204e-08,,,,,,,,,,,
Sam 6,3.17018e-08,1.20240e-02,4.2665e-03,4.9887e-05,4.7948e-06,7.1978e-08,,,,,,            4.8561,           15.1684,           19.6283,           30.0892,            1.1144,            1.7544,            9.1844,           -0.3701,           -0.4635,          -33.0920,
Ref 7,3.17818e-08,,,,,,1.1966e-02,4.2027e-03,4.8924e-05,4.6552e-06,7.0577e-08,,,,,,,,,,,
Sam 7,3.13182e-08,1.20239e-02,4.2664e-03,4.9886e-05,4.7907e-06,7.1267e-08,,,,,,            4.8633,           15.1685,           19.6075,           29.3915,           41.3694,            1.7620,            9.1845,           -0.3979,           -1.1406,            5.7798,
Ref 8,3.14104e-08,,,,,,1.1966e-02,4.2026e-03,4.8929e-05,4.6527e-06,6.6270e-08,,,,,,,,,,,
Sam 8,3.09418e-08,1.20237e-02,4.2664e-03,4.9884e-05,4.7939e-06,6.5846e-08,,,,,,            4.8563,           15.1725,           19.5514,           30.5118,           17.5050,            1.7544,            9.1885,           -0.4497,           -0.0615,          -17.2695,
Ref 9,3.10453e-08,,,,,,1.1966e-02,4.2027e-03,4.8926e-05,4.6512e-06,6.3139e-08,,,,,,,,,,,
Sam 9,3.05721e-08,1.20238e-02,4.2664e-03,4.9883e-05,4.7925e-06,6.6409e-08,,,,,,            4.8606,           15.1733,           19.5788,           30.5211,           60.0563,            1.7590,            9.1893,           -0.4281,           -0.0541,           23.8212,
Ref 10,3.06827e-08,,,,,,1.1966e-02,4.2026e-03,4.8925e-05,4.6500e-06,6.2148e-08,,,,,,,,,,,
Sam 10,3.02045e-08,1.20236e-02,4.2664e-03,4.9882e-05,4.7939e-06,6.1540e-08,,,,,,            4.8538,           15.1769,           19.6187,           30.4079,            8.4918,            1.7516,            9.1929,           -0.3855,           -0.1710,          -25.9804,
Ref 11,3.03242e-08,,,,,,1.1966e-02,4.2026e-03,4.8920e-05,4.6550e-06,5.9881e-08,,,,,,,,,,,
Sam 11,2.98461e-08,1.20237e-02,4.2663e-03,4.9878e-05,4.7918e-06,5.7941e-08,,,,,,            4.8561,           15.1585,           19.5732,           30.2999,           45.4452,            1.7546,            9.1746,           -0.4145,           -0.2396,            9.7434,
Ref 12,2.99772e-08,,,,,,1.1966e-02,4.2026e-03,4.8922e-05,4.6467e-06,5.0911e-08,,,,,,,,,,,
Sam 12,2.94923e-08,1.20237e-02,4.2663e-03,4.9878e-05,4.7868e-06,4.7038e-08,,,,,,            4.8633,           15.1701,           19.5383,           30.0963,           -3.0266,            1.7619,            9.1861,           -0.4674,           -0.4600,          -37.1021,
Ref 13,2.96323e-08,,,,,,1.1965e-02,4.2025e-03,4.8923e-05,4.6471e-06,4.3406e-08,,,,,,,,,,,
Sam 13,2.91449e-08,1.20235e-02,4.2663e-03,4.9876e-05,4.7890e-06,4.3770e-08,,,,,,            4.8603,           15.1687,           19.5325,           30.1823,           30.0477,            1.7588,            9.1847,           -0.4686,           -0.3737,           -5.1523,
Ref 14,2.92940e-08,,,,,,1.1965e-02,4.2026e-03,4.8919e-05,4.6502e-06,4.1569e-08,,,,,,,,,,,
Sam 14,2.88022e-08,1.20235e-02,4.2663e-03,4.9872e-05,4.7852e-06,3.8498e-08,,,,,,            4.8608,           15.1687,           19.4986,           29.8648,          -23.8002,            1.7593,            9.1847,           -0.5023,           -0.6818,          -57.1605,
Ref 15,2.89617e-08,,,,,,1.1965e-02,4.2025e-03,4.8917e-05,4.6427e-06,3.7280e-08,,,,,,,,,,,
Sam 15,2.84634e-08,1.20234e-02,4.2663e-03,4.9869e-05,4.7847e-06,3.2844e-08,,,,,,            4.8567,           15.1803,           19.4804,           30.6059,          -33.1810,            1.7545,            9.1963,           -0.5272,            0.0145,          -66.2377,
Ref 16,2.86341e-08,,,,,,1.1965e-02,4.2025e-03,4.8916e-05,4.6426e-06,3.0625e-08,,,,,,,,,,,
Sam 16,2.81296e-08,1.20234e-02,4.2662e-03,4.9873e-05,4.7837e-06,2.4766e-08,,,,,,            4.8568,           15.1669,           19.5760,           30.9444,         -131.1565,            1.7551,            9.1829,           -0.4206,            0.3693,         -160.8415,
Ref 17,2.83136e-08,,,,,,1.1965e-02,4.2025e-03,4.8915e-05,4.6375e-06,2.6361e-08,,,,,,,,,,,
Sam 17,2.77993e-08,1.20234e-02,4.2661e-03,4.9871e-05,4.7790e-06,2.4430e-08,,,,,,            4.8573,           15.1442,           19.5347,           30.3667,          -64.5714,            1.7564,            9.1604,           -0.4397,           -0.1466,          -96.4922,
Ref 18,2.79943e-08,,,,,,1.1965e-02,4.2025e-03,4.8916e-05,4.6388e-06,2.5869e-08,,,,,,,,,,,
Sam 18,2.74734e-08,1.20234e-02,4.2662e-03,4.9870e-05,4.7780e-06,2.1635e-08,,,,,,            4.8501,           15.1637,           19.5149,           30.4078,         -162.7039,            1.7481,            9.1798,           -0.4706,           -0.1451,         -191.3004,
Ref 19,2.76729e-08,,,,,,1.1965e-02,4.2024e-03,4.8914e-05,4.6351e-06,2.5808e-08,,,,,,,,,,,
Sam 19,2.71504e-08,1.20235e-02,4.2662e-03,4.9864e-05,4.7736e-06,1.8388e-08,,,,,,            4.8705,           15.1685,           19.4716,           30.3399,         -153.1145,            1.7697,            9.1845,           -0.5387,           -0.2205,         -182.0638,
Ref 20,2.73639e-08,,,,,,1.1965e-02,4.2024e-03,4.8908e-05,4.6309e-06,1.7572e-08,,,,,,,,,,,
Sam 20,2.68345e-08,1.20233e-02,4.2661e-03,4.9861e-05,4.7699e-06,8.1362e-09,,,,,,            4.8691,           15.1607,           19.5353,           29.9486,         -383.2606,            1.7684,            9.1767,           -0.4671,           -0.5847,         -404.3325,
Ref 21,2.70567e-08,,,,,,1.1965e-02,4.2023e-03,4.8903e-05,4.6316e-06,8.7633e-09,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.69087e-08,,,,,,1.1965e-02,4.2023e-03,4.8904e-05,4.6256e-06,7.3099e-09,
Sam 1,2.63723e-08,1.20232e-02,4.2660e-03,4.9850e-05,4.7632e-06,4.0012e-10,,,,,,            4.8555,           15.1586,           19.3161,           29.6456,         -811.4329,            1.7540,            9.1747,           -0.6661,           -0.8747,         -817.8717,
Ref 2,2.66065e-08,,,,,,1.1965e-02,4.2023e-03,4.8906e-05,4.6266e-06,-3.1251e-09,,,,,,,,,,,
Sam 2,2.60667e-08,1.20230e-02,4.2660e-03,4.9846e-05,4.7645e-06,-7.1684e-09,,,,,,            4.8412,           15.1676,           19.3097,           30.4025,          143.5655,            1.7385,            9.1836,           -0.6664,           -0.1579,          104.5107,
Ref 3,2.63093e-08,,,,,,1.1965e-02,4.2023e-03,4.8897e-05,4.6212e-06,-9.4474e-09,,,,,,,,,,,
Sam 3,2.57669e-08,1.20230e-02,4.2659e-03,4.9844e-05,4.7571e-06,-1.2228e-08,,,,,,            4.8509,           15.1445,           19.4670,           29.5947,           78.7850,            1.7497,            9.1607,           -0.4998,           -0.8964,           41.9784,
Ref 4,2.60193e-08,,,,,,1.1965e-02,4.2023e-03,4.8886e-05,4.6195e-06,-1.3243e-08,,,,,,,,,,,
Sam 4,2.54745e-08,1.20230e-02,4.2660e-03,4.9837e-05,4.7532e-06,-1.8580e-08,,,,,,            4.8491,           15.1567,           19.4408,           29.2115,          210.2042,            1.7473,            9.1728,           -0.5354,           -1.2922,          168.8885,
Ref 5,2.57274e-08,,,,,,1.1965e-02,4.2022e-03,4.8886e-05,4.6170e-06,-1.7487e-08,,,,,,,,,,,
Sam 5,2.51821e-08,1.20229e-02,4.2660e-03,4.9831e-05,4.7485e-06,-2.5201e-08,,,,,,            4.8456,           15.1623,           19.4375,           29.5124,            5.4624,            1.7434,            9.1784,           -0.5406,           -1.0113,          -28.8704,
Ref 6,2.54470e-08,,,,,,1.1965e-02,4.2023e-03,4.8876e-05,4.6077e-06,-3.2724e-08,,,,,,,,,,,
Sam 6,2.48963e-08,1.20229e-02,4.2659e-03,4.9837e-05,4.7521e-06,-3.8763e-08,,,,,,            4.8443,           15.1528,           19.7197,           31.8567,            0.6977,            1.7424,            9.1690,           -0.2533,            1.2823,          -33.4534,
Ref 7,2.51696e-08,,,,,,1.1965e-02,4.2022e-03,4.8871e-05,4.6031e-06,-4.4814e-08,,,,,,,,,,,
Sam 7,2.46161e-08,1.20229e-02,4.2658e-03,4.9824e-05,4.7412e-06,-5.1161e-08,,,,,,            4.8486,           15.1407,           19.4844,           30.3685,           54.2009,            1.7473,            9.1569,           -0.4767,           -0.1379,           18.2433,
Ref 8,2.48925e-08,,,,,,1.1965e-02,4.2022e-03,4.8872e-05,4.5999e-06,-5.2288e-08,,,,,,,,,,,
Sam 8,2.43384e-08,1.20228e-02,4.2659e-03,4.9827e-05,4.7396e-06,-6.2861e-08,,,,,,            4.8490,           15.1545,           19.5643,           31.1194,           51.2156,            1.7473,            9.1706,           -0.4121,            0.5635,           15.3322,
Ref 9,2.46207e-08,,,,,,1.1965e-02,4.2022e-03,4.8870e-05,4.5932e-06,-6.7391e-08,,,,,,,,,,,
Sam 9,2.40619e-08,1.20229e-02,4.2659e-03,4.9819e-05,4.7317e-06,-7.4217e-08,,,,,,            4.8580,           15.1637,           19.5304,           30.7263,           29.1633,            1.7565,            9.1797,           -0.4634,            0.1641,           -5.9943,
Ref 10,2.43511e-08,,,,,,1.1965e-02,4.2022e-03,4.8858e-05,4.5882e-06,-7.6890e-08,,,,,,,,,,,
Sam 10,2.37929e-08,1.20227e-02,4.2659e-03,4.9812e-05,4.7272e-06,-8.7307e-08,,,,,,            4.8554,           15.1671,           19.5305,           30.6104,           73.8791,            1.7536,            9.1832,           -0.4640,            0.0447,           37.1897,
Ref 11,2.40889e-08,,,,,,1.1965e-02,4.2021e-03,4.8858e-05,4.5854e-06,-8.5759e-08,,,,,,,,,,,
Sam 11,2.35248e-08,1.20226e-02,4.2658e-03,4.9808e-05,4.7251e-06,-9.3668e-08,,,,,,            4.8492,           15.1505,           19.5659,           31.3932,            0.4776,            1.7476,            9.1666,           -0.4068,            0.8372,          -33.6664,
Ref 12,2.38273e-08,,,,,,1.1965e-02,4.2021e-03,4.8846e-05,4.5771e-06,-1.0157e-07,,,,,,,,,,,
Sam 12,2.32627e-08,1.20228e-02,4.2658e-03,4.9800e-05,4.7209e-06,-1.0804e-07,,,,,,            4.8648,           15.1560,           19.5131,           31.5153,           52.8647,            1.7640,            9.1720,           -0.4800,            0.9448,           16.9050,
Ref 13,2.35702e-08,,,,,,1.1965e-02,4.2022e-03,4.8848e-05,4.5763e-06,-1.0366e-07,,,,,,,,,,,
Sam 13,2.30029e-08,1.20227e-02,4.2657e-03,4.9783e-05,4.7145e-06,-1.1841e-07,,,,,,            4.8526,           15.1228,           19.2964,           30.3765,           31.6625,            1.7522,            9.1390,           -0.6476,           -0.0948,           -3.4959,
Ref 14,2.33190e-08,,,,,,1.1965e-02,4.2021e-03,4.8834e-05,4.5748e-06,-1.2602e-07,,,,,,,,,,,
Sam 14,2.27522e-08,1.20225e-02,4.2657e-03,4.9791e-05,4.7096e-06,-1.3733e-07,,,,,,            4.8421,           15.1343,           19.5799,           30.7906,           47.3362,            1.7406,            9.1505,           -0.3701,            0.2843,           11.6322,
Ref 15,2.30697e-08,,,,,,1.1964e-02,4.2021e-03,4.8836e-05,4.5631e-06,-1.3629e-07,,,,,,,,,,,
Sam 15,2.24996e-08,1.20225e-02,4.2657e-03,4.9780e-05,4.6977e-06,-1.5180e-07,,,,,,            4.8424,           15.1240,           19.4948,           29.9777,           59.1546,            1.7412,            9.1402,           -0.4438,           -0.4842,           23.0680,
Ref 16,2.28259e-08,,,,,,1.1965e-02,4.2021e-03,4.8819e-05,4.5588e-06,-1.5042e-07,,,,,,,,,,,
Sam 16,2.22524e-08,1.20224e-02,4.2657e-03,4.9776e-05,4.6979e-06,-1.6542e-07,,,,,,            4.8425,           15.1459,           19.5773,           30.6771,           29.8798,            1.7406,            9.1620,           -0.3843,            0.1514,           -5.2517,
Ref 17,2.25823e-08,,,,,,1.1964e-02,4.2020e-03,4.8821e-05,4.5573e-06,-1.7093e-07,,,,,,,,,,,
Sam 17,2.20041e-08,1.20226e-02,4.2657e-03,4.9767e-05,4.6835e-06,-1.8268e-07,,,,,,            4.8623,           15.1492,           19.5396,           28.4335,           38.4562,            1.7615,            9.1653,           -0.4448,           -2.0324,            3.0046,
Ref 18,2.23417e-08,,,,,,1.1964e-02,4.2020e-03,4.8805e-05,4.5506e-06,-1.8095e-07,,,,,,,,,,,
Sam 18,2.17616e-08,1.20224e-02,4.2656e-03,4.9751e-05,4.6808e-06,-1.9502e-07,,,,,,            4.8463,           15.1393,           19.3270,           29.5170,           39.2832,            1.7449,            9.1555,           -0.6273,           -0.9615,            3.8395,
Ref 19,2.21070e-08,,,,,,1.1964e-02,4.2020e-03,4.8810e-05,4.5424e-06,-1.9442e-07,,,,,,,,,,,
Sam 19,2.15215e-08,1.20223e-02,4.2655e-03,4.9755e-05,4.6799e-06,-2.1427e-07,,,,,,            4.8410,           15.1267,           19.4013,           30.8613,           59.7773,            1.7397,            9.1429,           -0.5368,            0.3679,           23.6655,
Ref 20,2.18719e-08,,,,,,1.1964e-02,4.2020e-03,4.8805e-05,4.5372e-06,-2.1004e-07,,,,,,,,,,,
Sam 20,2.12858e-08,1.20225e-02,4.2656e-03,4.9747e-05,4.6717e-06,-2.2017e-07,,,,,,            4.8490,           15.1644,           19.3751,           30.7076,           27.1293,            1.7469,            9.1805,           -0.6072,            0.1444,           -7.9509,
Ref 21,2.16377e-08,,,,,,1.1965e-02,4.2018e-03,4.8799e-05,4.5279e-06,-2.1872e-07,,,,,,,,,,,


