Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 19, 2021 at 17:27 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 19, 2021 at 18:26 with Stable 1.71.5 on PS019

Data File = Data_13684 NO-08.txt,         Sample Weight = 451,                      Vial Location = 38,                       Initial Sam Beam = 1.5299e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9295e-08,                Max Ref Beam = 1.0575e-07,                

Analysis undertaken at mass 46.01089
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.16094e-08,,,,,,1.1970e-02,4.2044e-03,4.8884e-05,4.6365e-06,6.1380e-08,
Sam 1,6.12253e-08,1.20136e-02,4.2351e-03,4.9397e-05,4.7050e-06,6.0912e-08,,,,,,            3.6243,            7.2764,           10.3947,           14.5811,          -11.6524,            0.7156,            1.3334,           -0.5223,           -0.0244,          -29.3892,
Ref 2,6.07548e-08,,,,,,1.1971e-02,4.2047e-03,4.8894e-05,4.6382e-06,6.1884e-08,,,,,,,,,,,
Sam 2,6.03312e-08,1.20136e-02,4.2352e-03,4.9400e-05,4.7040e-06,5.9529e-08,,,,,,            3.6026,            7.2643,           10.3731,           14.1782,          -32.3513,            0.6929,            1.3213,           -0.5095,           -0.3974,          -49.6723,
Ref 3,5.98697e-08,,,,,,1.1970e-02,4.2046e-03,4.8892e-05,4.6382e-06,6.1150e-08,,,,,,,,,,,
Sam 3,5.94451e-08,1.20138e-02,4.2352e-03,4.9397e-05,4.7055e-06,5.9075e-08,,,,,,            3.6094,            7.2754,           10.4106,           14.3095,          -13.8951,            0.6997,            1.3324,           -0.4902,           -0.2900,          -31.5744,
Ref 4,5.90014e-08,,,,,,1.1971e-02,4.2047e-03,4.8884e-05,4.6400e-06,5.8647e-08,,,,,,,,,,,
Sam 4,5.85740e-08,1.20138e-02,4.2353e-03,4.9400e-05,4.7077e-06,5.8159e-08,,,,,,            3.6050,            7.2677,           10.4416,           14.5128,           -3.2617,            0.6953,            1.3247,           -0.4476,           -0.0743,          -21.1125,
Ref 5,5.81507e-08,,,,,,1.1971e-02,4.2047e-03,4.8895e-05,4.6407e-06,5.8047e-08,,,,,,,,,,,
Sam 5,5.77225e-08,1.20137e-02,4.2353e-03,4.9402e-05,4.7076e-06,5.7406e-08,,,,,,            3.6021,            7.2592,           10.4050,           14.5959,           -7.5189,            0.6925,            1.3163,           -0.4724,            0.0244,          -25.2741,
Ref 6,5.73197e-08,,,,,,1.1971e-02,4.2047e-03,4.8891e-05,4.6391e-06,5.7631e-08,,,,,,,,,,,
Sam 6,5.68837e-08,1.20136e-02,4.2353e-03,4.9405e-05,4.7055e-06,5.5697e-08,,,,,,            3.6056,            7.2677,           10.5101,           14.5370,          -47.4587,            0.6960,            1.3247,           -0.3804,           -0.0504,          -64.5185,
Ref 7,5.64918e-08,,,,,,1.1970e-02,4.2047e-03,4.8891e-05,4.6371e-06,5.9324e-08,,,,,,,,,,,
Sam 7,5.60540e-08,1.20137e-02,4.2353e-03,4.9408e-05,4.7029e-06,5.6604e-08,,,,,,            3.6097,            7.2660,           10.5745,           14.0678,          -25.9906,            0.7004,            1.3230,           -0.3192,           -0.5094,          -43.4357,
Ref 8,5.56870e-08,,,,,,1.1971e-02,4.2047e-03,4.8891e-05,4.6382e-06,5.6887e-08,,,,,,,,,,,
Sam 8,5.52529e-08,1.20139e-02,4.2353e-03,4.9409e-05,4.7049e-06,5.3991e-08,,,,,,            3.6162,            7.2684,           10.5302,           14.4669,          -52.0140,            0.7073,            1.3253,           -0.3721,           -0.1208,          -69.0039,
Ref 9,5.49013e-08,,,,,,1.1971e-02,4.2048e-03,4.8897e-05,4.6374e-06,5.7020e-08,,,,,,,,,,,
Sam 9,5.44699e-08,1.20137e-02,4.2353e-03,4.9407e-05,4.7036e-06,5.6763e-08,,,,,,            3.5970,            7.2561,           10.4228,           14.4582,           -3.8957,            0.6872,            1.3132,           -0.4467,           -0.1051,          -21.7046,
Ref 10,5.41318e-08,,,,,,1.1971e-02,4.2048e-03,4.8898e-05,4.6357e-06,5.6949e-08,,,,,,,,,,,
Sam 10,5.36941e-08,1.20137e-02,4.2354e-03,4.9405e-05,4.7083e-06,5.7693e-08,,,,,,            3.5988,            7.2578,           10.3298,           15.2163,          -16.1292,            0.6890,            1.3148,           -0.5420,            0.6389,          -33.7243,
Ref 11,5.33754e-08,,,,,,1.1971e-02,4.2049e-03,4.8902e-05,4.6399e-06,6.0352e-08,,,,,,,,,,,
Sam 11,5.29397e-08,1.20138e-02,4.2354e-03,4.9409e-05,4.7070e-06,5.9251e-08,,,,,,            3.6115,            7.2571,           10.4265,           14.4302,          -10.8984,            0.7026,            1.3142,           -0.4589,           -0.1348,          -28.5989,
Ref 12,5.26336e-08,,,,,,1.1971e-02,4.2049e-03,4.8897e-05,4.6401e-06,5.9450e-08,,,,,,,,,,,
Sam 12,5.21892e-08,1.20139e-02,4.2354e-03,4.9414e-05,4.7059e-06,5.8421e-08,,,,,,            3.6130,            7.2623,           10.5653,           13.9916,          -10.4736,            0.7040,            1.3194,           -0.3281,           -0.5774,          -28.1932,
Ref 13,5.18994e-08,,,,,,1.1971e-02,4.2049e-03,4.8899e-05,4.6418e-06,5.8623e-08,,,,,,,,,,,
Sam 13,5.14609e-08,1.20137e-02,4.2354e-03,4.9408e-05,4.7069e-06,5.7882e-08,,,,,,            3.5965,            7.2624,           10.3229,           14.0219,          -10.7518,            0.6865,            1.3195,           -0.5512,           -0.5477,          -28.4496,
Ref 14,5.11871e-08,,,,,,1.1971e-02,4.2049e-03,4.8907e-05,4.6418e-06,5.8398e-08,,,,,,,,,,,
Sam 14,5.07431e-08,1.20137e-02,4.2354e-03,4.9420e-05,4.7040e-06,5.5079e-08,,,,,,            3.5976,            7.2380,           10.5372,           13.5512,          -52.7150,            0.6885,            1.2952,           -0.3164,           -0.9631,          -69.6188,
Ref 15,5.04847e-08,,,,,,1.1971e-02,4.2050e-03,4.8903e-05,4.6405e-06,5.7886e-08,,,,,,,,,,,
Sam 15,5.00380e-08,1.20137e-02,4.2354e-03,4.9414e-05,4.7080e-06,5.5115e-08,,,,,,            3.5996,            7.2342,           10.4333,           14.5750,          -22.5260,            0.6907,            1.2914,           -0.4174,            0.0535,          -39.9633,
Ref 16,4.97946e-08,,,,,,1.1971e-02,4.2049e-03,4.8905e-05,4.6402e-06,5.4864e-08,,,,,,,,,,,
Sam 16,4.93437e-08,1.20137e-02,4.2355e-03,4.9423e-05,4.7079e-06,5.4630e-08,,,,,,            3.6062,            7.2660,           10.5711,           14.7062,          -16.0735,            0.6967,            1.3230,           -0.3190,            0.1197,          -33.6927,
Ref 17,4.91100e-08,,,,,,1.1971e-02,4.2049e-03,4.8906e-05,4.6392e-06,5.6189e-08,,,,,,,,,,,
Sam 17,4.86648e-08,1.20137e-02,4.2355e-03,4.9418e-05,4.7083e-06,5.3951e-08,,,,,,            3.6147,            7.2668,           10.4742,           14.8839,           -3.4195,            0.7057,            1.3238,           -0.4244,            0.2933,          -21.2757,
Ref 18,4.84484e-08,,,,,,1.1970e-02,4.2049e-03,4.8905e-05,4.6393e-06,5.2055e-08,,,,,,,,,,,
Sam 18,4.80052e-08,1.20136e-02,4.2354e-03,4.9421e-05,4.7081e-06,5.0137e-08,,,,,,            3.6059,            7.2614,           10.5051,           14.6104,          -55.0476,            0.6965,            1.3184,           -0.3794,            0.0345,          -71.9602,
Ref 19,4.77974e-08,,,,,,1.1971e-02,4.2049e-03,4.8909e-05,4.6414e-06,5.4074e-08,,,,,,,,,,,
Sam 19,4.73482e-08,1.20136e-02,4.2354e-03,4.9423e-05,4.7090e-06,5.3850e-08,,,,,,            3.6058,            7.2666,           10.4940,           14.3156,            9.7477,            0.6962,            1.3236,           -0.3954,           -0.2664,           -8.3346,
Ref 20,4.71581e-08,,,,,,1.1970e-02,4.2049e-03,4.8911e-05,4.6437e-06,5.2577e-08,,,,,,,,,,,
Sam 20,4.67028e-08,1.20134e-02,4.2354e-03,4.9419e-05,4.7071e-06,5.1960e-08,,,,,,            3.5922,            7.2629,           10.4462,           13.9150,          -10.8609,            0.6818,            1.3199,           -0.4251,           -0.6539,          -28.5531,
Ref 21,4.65265e-08,,,,,,1.1970e-02,4.2049e-03,4.8905e-05,4.6413e-06,5.2484e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.62164e-08,,,,,,1.1970e-02,4.2049e-03,4.8908e-05,4.6421e-06,5.4422e-08,
Sam 1,4.57428e-08,1.20135e-02,4.2354e-03,4.9428e-05,4.7127e-06,5.4560e-08,,,,,,            3.5990,            7.2621,           10.5996,           14.8025,           21.3709,            0.6891,            1.3191,           -0.2796,            0.2224,            3.0964,
Ref 2,4.56010e-08,,,,,,1.1970e-02,4.2049e-03,4.8912e-05,4.6457e-06,5.2400e-08,,,,,,,,,,,
Sam 2,4.51198e-08,1.20136e-02,4.2355e-03,4.9422e-05,4.7058e-06,5.2769e-08,,,,,,            3.6041,            7.2740,           10.3628,           13.4322,            6.3115,            0.6942,            1.3310,           -0.5308,           -1.1518,          -11.7219,
Ref 3,4.50002e-08,,,,,,1.1970e-02,4.2049e-03,4.8919e-05,4.6410e-06,5.2476e-08,,,,,,,,,,,
Sam 3,4.45107e-08,1.20135e-02,4.2355e-03,4.9431e-05,4.7080e-06,4.8212e-08,,,,,,            3.6021,            7.2678,           10.4724,           14.0743,          -39.8436,            0.6922,            1.3249,           -0.4142,           -0.5067,          -57.0365,
Ref 4,4.44095e-08,,,,,,1.1970e-02,4.2050e-03,4.8918e-05,4.6443e-06,4.7919e-08,,,,,,,,,,,
Sam 4,4.39066e-08,1.20135e-02,4.2354e-03,4.9426e-05,4.7082e-06,4.9527e-08,,,,,,            3.6004,            7.2514,           10.4456,           13.6454,          -13.9630,            0.6910,            1.3085,           -0.4230,           -0.8969,          -31.5865,
Ref 5,4.38258e-08,,,,,,1.1970e-02,4.2049e-03,4.8912e-05,4.6454e-06,5.2568e-08,,,,,,,,,,,
Sam 5,4.33184e-08,1.20135e-02,4.2355e-03,4.9429e-05,4.7086e-06,5.0555e-08,,,,,,            3.6040,            7.2634,           10.5458,           13.5196,           -8.3207,            0.6944,            1.3204,           -0.3393,           -1.0447,          -26.0716,
Ref 6,4.32509e-08,,,,,,1.1970e-02,4.2049e-03,4.8915e-05,4.6462e-06,4.9368e-08,,,,,,,,,,,
Sam 6,4.27336e-08,1.20132e-02,4.2354e-03,4.9423e-05,4.7093e-06,5.0924e-08,,,,,,            3.5939,            7.2621,           10.3605,           13.5378,           18.4925,            0.6838,            1.3191,           -0.5109,           -1.0241,            0.2749,
Ref 7,4.26846e-08,,,,,,1.1970e-02,4.2049e-03,4.8919e-05,4.6466e-06,5.0639e-08,,,,,,,,,,,
Sam 7,4.21711e-08,1.20134e-02,4.2354e-03,4.9431e-05,4.7084e-06,4.7855e-08,,,,,,            3.6122,            7.2638,           10.5077,           13.7598,          -31.0475,            0.7032,            1.3208,           -0.3857,           -0.8087,          -48.4005,
Ref 8,4.21383e-08,,,,,,1.1970e-02,4.2049e-03,4.8916e-05,4.6423e-06,4.8121e-08,,,,,,,,,,,
Sam 8,4.16128e-08,1.20132e-02,4.2354e-03,4.9430e-05,4.7105e-06,4.9305e-08,,,,,,            3.6001,            7.2508,           10.5787,           14.6912,          -31.6235,            0.6907,            1.3079,           -0.2904,            0.1351,          -48.9299,
Ref 9,4.15915e-08,,,,,,1.1970e-02,4.2049e-03,4.8910e-05,4.6423e-06,5.3746e-08,,,,,,,,,,,
Sam 9,4.10617e-08,1.20132e-02,4.2354e-03,4.9428e-05,4.7102e-06,5.5924e-08,,,,,,            3.5968,            7.2553,           10.5432,           14.6762,           56.4266,            0.6870,            1.3124,           -0.3265,            0.1113,           37.5410,
Ref 10,4.10584e-08,,,,,,1.1970e-02,4.2049e-03,4.8914e-05,4.6419e-06,5.2118e-08,,,,,,,,,,,
Sam 10,4.05243e-08,1.20132e-02,4.2354e-03,4.9428e-05,4.7110e-06,4.8617e-08,,,,,,            3.5981,            7.2575,           10.4680,           14.5489,          -49.5357,            0.6884,            1.3145,           -0.4044,           -0.0184,          -66.5322,
Ref 11,4.05305e-08,,,,,,1.1970e-02,4.2048e-03,4.8917e-05,4.6451e-06,5.0171e-08,,,,,,,,,,,
Sam 11,3.99942e-08,1.20131e-02,4.2354e-03,4.9430e-05,4.7061e-06,5.0831e-08,,,,,,            3.6035,            7.2755,           10.4616,           13.1994,           14.1238,            0.6934,            1.3325,           -0.4339,           -1.3843,           -4.0518,
Ref 12,4.00170e-08,,,,,,1.1970e-02,4.2048e-03,4.8919e-05,4.6445e-06,5.0074e-08,,,,,,,,,,,
Sam 12,3.94768e-08,1.20131e-02,4.2353e-03,4.9426e-05,4.7138e-06,4.8276e-08,,,,,,            3.6093,            7.2648,           10.3476,           15.0237,           -8.0285,            0.7000,            1.3218,           -0.5421,            0.4350,          -25.7927,
Ref 13,3.95116e-08,,,,,,1.1970e-02,4.2048e-03,4.8921e-05,4.6436e-06,4.7243e-08,,,,,,,,,,,
Sam 13,3.89693e-08,1.20131e-02,4.2354e-03,4.9435e-05,4.7075e-06,4.8781e-08,,,,,,            3.6116,            7.2795,           10.5403,           13.8358,            2.4257,            0.7019,            1.3364,           -0.3682,           -0.7649,          -15.5563,
Ref 14,3.90166e-08,,,,,,1.1970e-02,4.2047e-03,4.8917e-05,4.6430e-06,5.0102e-08,,,,,,,,,,,
Sam 14,3.84718e-08,1.20131e-02,4.2353e-03,4.9433e-05,4.7125e-06,4.5745e-08,,,,,,            3.6026,            7.2704,           10.5225,           14.3429,          -64.6416,            0.6927,            1.3274,           -0.3678,           -0.2472,          -81.3957,
Ref 15,3.85327e-08,,,,,,1.1970e-02,4.2048e-03,4.8920e-05,4.6488e-06,4.7696e-08,,,,,,,,,,,
Sam 15,3.79789e-08,1.20131e-02,4.2353e-03,4.9427e-05,4.7101e-06,4.8994e-08,,,,,,            3.6060,            7.2634,           10.2950,           13.6293,          -14.0188,            0.6965,            1.3204,           -0.5894,           -0.9366,          -31.6697,
Ref 16,3.80515e-08,,,,,,1.1970e-02,4.2048e-03,4.8927e-05,4.6448e-06,5.1711e-08,,,,,,,,,,,
Sam 16,3.74880e-08,1.20131e-02,4.2353e-03,4.9433e-05,4.7142e-06,5.2178e-08,,,,,,            3.6141,            7.2601,           10.3730,           14.6635,           -2.8318,            0.7053,            1.3171,           -0.5174,            0.0893,          -20.6850,
Ref 17,3.75766e-08,,,,,,1.1970e-02,4.2048e-03,4.8925e-05,4.6474e-06,5.2950e-08,,,,,,,,,,,
Sam 17,3.70022e-08,1.20128e-02,4.2352e-03,4.9431e-05,4.7142e-06,4.9562e-08,,,,,,            3.5995,            7.2430,           10.3656,           14.6427,          -55.4107,            0.6903,            1.3001,           -0.4929,            0.1029,          -72.2772,
Ref 18,3.71121e-08,,,,,,1.1970e-02,4.2048e-03,4.8923e-05,4.6449e-06,5.1984e-08,,,,,,,,,,,
Sam 18,3.65297e-08,1.20128e-02,4.2353e-03,4.9439e-05,4.7101e-06,5.2313e-08,,,,,,            3.6096,            7.2686,           10.5413,           13.9609,           11.2073,            0.7002,            1.3256,           -0.3545,           -0.6200,           -6.9091,
Ref 19,3.66522e-08,,,,,,1.1970e-02,4.2047e-03,4.8924e-05,4.6456e-06,5.1480e-08,,,,,,,,,,,
Sam 19,3.60632e-08,1.20129e-02,4.2352e-03,4.9439e-05,4.7130e-06,5.0992e-08,,,,,,            3.6145,            7.2549,           10.5451,           14.4930,          -28.9976,            0.7058,            1.3119,           -0.3424,           -0.0684,          -46.3730,
Ref 20,3.61988e-08,,,,,,1.1970e-02,4.2048e-03,4.8922e-05,4.6457e-06,5.3562e-08,,,,,,,,,,,
Sam 20,3.56074e-08,1.20127e-02,4.2352e-03,4.9437e-05,4.7122e-06,5.2890e-08,,,,,,            3.6017,            7.2463,           10.4807,           14.0925,          -20.0588,            0.6926,            1.3034,           -0.3847,           -0.4461,          -37.5651,
Ref 21,3.57544e-08,,,,,,1.1970e-02,4.2047e-03,4.8925e-05,4.6478e-06,5.4388e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.55376e-08,,,,,,1.1969e-02,4.2046e-03,4.8928e-05,4.6452e-06,5.0407e-08,
Sam 1,3.49345e-08,1.20126e-02,4.2352e-03,4.9437e-05,4.7140e-06,5.0162e-08,,,,,,            3.6071,            7.2681,           10.4994,           15.1410,          -16.9752,            0.6976,            1.3251,           -0.3929,            0.5441,          -34.5831,
Ref 2,3.51010e-08,,,,,,1.1969e-02,4.2047e-03,4.8920e-05,4.6421e-06,5.1656e-08,,,,,,,,,,,
Sam 2,3.44927e-08,1.20126e-02,4.2351e-03,4.9438e-05,4.7141e-06,5.1286e-08,,,,,,            3.6031,            7.2463,           10.5852,           14.9067,          -20.2347,            0.6940,            1.3034,           -0.2826,            0.3564,          -37.7392,
Ref 3,3.46714e-08,,,,,,1.1969e-02,4.2047e-03,4.8920e-05,4.6478e-06,5.3044e-08,,,,,,,,,,,
Sam 3,3.40677e-08,1.20125e-02,4.2351e-03,4.9439e-05,4.7110e-06,4.5969e-08,,,,,,            3.6025,            7.2422,           10.5317,           13.9344,         -152.3182,            0.6936,            1.2993,           -0.3310,           -0.5937,         -167.4558,
Ref 4,3.42541e-08,,,,,,1.1969e-02,4.2046e-03,4.8927e-05,4.6447e-06,5.5428e-08,,,,,,,,,,,
Sam 4,3.36375e-08,1.20125e-02,4.2352e-03,4.9433e-05,4.7147e-06,5.0735e-08,,,,,,            3.6055,            7.2672,           10.3326,           14.7006,          -54.5354,            0.6958,            1.3243,           -0.5555,            0.1117,          -71.4675,
Ref 5,3.38407e-08,,,,,,1.1969e-02,4.2046e-03,4.8928e-05,4.6481e-06,5.1873e-08,,,,,,,,,,,
Sam 5,3.32254e-08,1.20125e-02,4.2351e-03,4.9434e-05,4.7125e-06,5.1660e-08,,,,,,            3.6009,            7.2476,           10.3314,           14.0279,           -1.7341,            0.6917,            1.3047,           -0.5327,           -0.5124,          -19.5694,
Ref 6,3.34349e-08,,,,,,1.1969e-02,4.2046e-03,4.8929e-05,4.6465e-06,5.1625e-08,,,,,,,,,,,
Sam 6,3.28137e-08,1.20124e-02,4.2350e-03,4.9445e-05,4.7127e-06,4.6489e-08,,,,,,            3.6009,            7.2397,           10.5655,           14.6188,         -103.4948,            0.6920,            1.2969,           -0.2935,            0.0858,         -119.4985,
Ref 7,3.30348e-08,,,,,,1.1969e-02,4.2045e-03,4.8927e-05,4.6432e-06,5.2088e-08,,,,,,,,,,,
Sam 7,3.24136e-08,1.20121e-02,4.2349e-03,4.9447e-05,4.7113e-06,5.1465e-08,,,,,,            3.5892,            7.2375,           10.6700,           14.5125,            3.8001,            0.6795,            1.2947,           -0.1759,           -0.0147,          -14.1024,
Ref 8,3.26421e-08,,,,,,1.1969e-02,4.2045e-03,4.8924e-05,4.6447e-06,5.0442e-08,,,,,,,,,,,
Sam 8,3.20197e-08,1.20122e-02,4.2350e-03,4.9431e-05,4.7125e-06,4.5849e-08,,,,,,            3.6013,            7.2573,           10.3668,           14.7644,         -107.4128,            0.6917,            1.3143,           -0.5075,            0.1944,         -123.3770,
Ref 9,3.22539e-08,,,,,,1.1969e-02,4.2045e-03,4.8924e-05,4.6432e-06,5.2302e-08,,,,,,,,,,,
Sam 9,3.16252e-08,1.20123e-02,4.2350e-03,4.9442e-05,4.7119e-06,4.2338e-08,,,,,,            3.6123,            7.2612,           10.5608,           15.0351,         -119.5968,            0.7034,            1.3183,           -0.3309,            0.4534,         -135.3598,
Ref 10,3.18726e-08,,,,,,1.1969e-02,4.2045e-03,4.8927e-05,4.6411e-06,4.3828e-08,,,,,,,,,,,
Sam 10,3.12397e-08,1.20122e-02,4.2350e-03,4.9441e-05,4.7111e-06,4.7606e-08,,,,,,            3.6055,            7.2732,           10.4691,           14.5238,           69.1433,            0.6957,            1.3301,           -0.4262,           -0.0743,           49.9841,
Ref 11,3.14972e-08,,,,,,1.1969e-02,4.2044e-03,4.8931e-05,4.6463e-06,4.5235e-08,,,,,,,,,,,
Sam 11,3.08629e-08,1.20121e-02,4.2349e-03,4.9435e-05,4.7147e-06,4.6976e-08,,,,,,            3.6015,            7.2429,           10.4024,           14.4310,           45.0714,            0.6924,            1.3001,           -0.4585,           -0.1058,           26.4085,
Ref 12,3.11290e-08,,,,,,1.1969e-02,4.2045e-03,4.8921e-05,4.6490e-06,4.4662e-08,,,,,,,,,,,
Sam 12,3.04925e-08,1.20121e-02,4.2350e-03,4.9437e-05,4.7106e-06,4.3278e-08,,,,,,            3.6014,            7.2597,           10.4585,           13.9299,          -54.8386,            0.6918,            1.3168,           -0.4193,           -0.6330,          -71.7476,
Ref 13,3.07644e-08,,,,,,1.1969e-02,4.2044e-03,4.8930e-05,4.6428e-06,4.6929e-08,,,,,,,,,,,
Sam 13,3.01262e-08,1.20120e-02,4.2349e-03,4.9430e-05,4.7125e-06,4.3662e-08,,,,,,            3.5999,            7.2442,           10.3003,           14.4059,           -6.4687,            0.6907,            1.3013,           -0.5592,           -0.1330,          -24.2119,
Ref 14,3.04081e-08,,,,,,1.1969e-02,4.2044e-03,4.8922e-05,4.6484e-06,4.0928e-08,,,,,,,,,,,
Sam 14,2.97665e-08,1.20120e-02,4.2349e-03,4.9436e-05,4.7124e-06,3.2277e-08,,,,,,            3.6034,            7.2425,           10.5670,           13.8746,         -212.1875,            0.6945,            1.2996,           -0.2973,           -0.6533,         -226.2571,
Ref 15,3.00530e-08,,,,,,1.1969e-02,4.2044e-03,4.8916e-05,4.6474e-06,4.1013e-08,,,,,,,,,,,
Sam 15,2.94098e-08,1.20120e-02,4.2348e-03,4.9439e-05,4.7143e-06,3.9806e-08,,,,,,            3.6009,            7.2363,           10.6350,           14.7912,          -53.4278,            0.6921,            1.2935,           -0.2214,            0.2624,          -70.3190,
Ref 16,2.97061e-08,,,,,,1.1969e-02,4.2044e-03,4.8921e-05,4.6439e-06,4.3105e-08,,,,,,,,,,,
Sam 16,2.90593e-08,1.20120e-02,4.2348e-03,4.9436e-05,4.7132e-06,3.4213e-08,,,,,,            3.6096,            7.2273,           10.5141,           14.7839,         -153.0251,            0.7016,            1.2845,           -0.3411,            0.2732,         -168.1321,
Ref 17,2.93639e-08,,,,,,1.1969e-02,4.2044e-03,4.8922e-05,4.6452e-06,3.7652e-08,,,,,,,,,,,
Sam 17,2.87107e-08,1.20119e-02,4.2348e-03,4.9436e-05,4.7093e-06,3.4261e-08,,,,,,            3.6102,            7.2367,           10.4183,           14.1990,          -71.9999,            0.7020,            1.2938,           -0.4456,           -0.3219,          -88.5693,
Ref 18,2.90233e-08,,,,,,1.1969e-02,4.2043e-03,4.8932e-05,4.6415e-06,3.6178e-08,,,,,,,,,,,
Sam 18,2.83696e-08,1.20118e-02,4.2348e-03,4.9436e-05,4.7086e-06,2.9107e-08,,,,,,            3.5947,            7.2627,           10.3741,           14.3238,         -166.5878,            0.6845,            1.3197,           -0.4988,           -0.2506,         -181.4965,
Ref 19,2.86933e-08,,,,,,1.1969e-02,4.2043e-03,4.8925e-05,4.6428e-06,3.3658e-08,,,,,,,,,,,
Sam 19,2.80327e-08,1.20117e-02,4.2349e-03,4.9437e-05,4.7106e-06,3.3201e-08,,,,,,            3.5963,            7.2710,           10.4422,           14.2737,          -89.0350,            0.6859,            1.3280,           -0.4412,           -0.3165,         -105.3470,
Ref 20,2.83659e-08,,,,,,1.1969e-02,4.2043e-03,4.8926e-05,4.6459e-06,3.9267e-08,,,,,,,,,,,
Sam 20,2.76988e-08,1.20118e-02,4.2347e-03,4.9430e-05,4.7036e-06,3.6455e-08,,,,,,            3.6072,            7.2447,           10.2107,           12.4313,         -108.8057,            0.6985,            1.3018,           -0.6558,           -2.0803,         -124.7290,
Ref 21,2.80378e-08,,,,,,1.1969e-02,4.2043e-03,4.8934e-05,4.6458e-06,4.2564e-08,,,,,,,,,,,


