Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 19, 2021 at 23:01 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 20, 2021 at 00:00 with Stable 1.71.5 on PS019

Data File = Data_13688 26-RJS-5497.txt,   Sample Weight = 462,                      Vial Location = 42,                       Initial Sam Beam = 1.0062e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0612e-08,                Max Ref Beam = 1.0561e-07,                

Analysis undertaken at mass 46.01089
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.93645e-08,,,,,,1.1974e-02,4.2069e-03,4.8933e-05,4.6423e-06,5.8356e-08,
Sam 1,8.76075e-08,1.20378e-02,4.2746e-03,4.9966e-05,4.7923e-06,5.9916e-08,,,,,,            5.2863,           16.0508,           20.9291,           31.7456,           14.1964,            2.1818,           10.0616,           -0.3913,           -0.5944,          -22.5747,
Ref 2,8.67944e-08,,,,,,1.1975e-02,4.2072e-03,4.8949e-05,4.6474e-06,5.9820e-08,,,,,,,,,,,
Sam 2,8.49379e-08,1.20378e-02,4.2746e-03,4.9964e-05,4.7944e-06,6.0088e-08,,,,,,            5.2842,           16.0318,           20.8444,           32.0351,           11.4928,            2.1802,           10.0427,           -0.4536,           -0.2766,          -25.1422,
Ref 3,8.43264e-08,,,,,,1.1974e-02,4.2071e-03,4.8939e-05,4.6437e-06,5.8977e-08,,,,,,,,,,,
Sam 3,8.23255e-08,1.20374e-02,4.2747e-03,4.9966e-05,4.7923e-06,5.9049e-08,,,,,,            5.2698,           16.1144,           21.0395,           31.9939,           -8.8456,            2.1620,           10.1250,           -0.3278,           -0.4791,          -44.8822,
Ref 4,8.19206e-08,,,,,,1.1974e-02,4.2068e-03,4.8934e-05,4.6438e-06,6.0192e-08,,,,,,,,,,,
Sam 4,7.98723e-08,1.20372e-02,4.2743e-03,4.9962e-05,4.7944e-06,5.8826e-08,,,,,,            5.2733,           16.0356,           21.0221,           32.2734,            0.6740,            2.1685,           10.0465,           -0.2722,           -0.0533,          -35.5651,
Ref 5,7.95893e-08,,,,,,1.1974e-02,4.2068e-03,4.8932e-05,4.6452e-06,5.7338e-08,,,,,,,,,,,
Sam 5,7.74809e-08,1.20367e-02,4.2741e-03,4.9960e-05,4.7918e-06,5.8345e-08,,,,,,            5.2656,           16.0423,           21.0429,           31.7494,           12.7390,            2.1601,           10.0532,           -0.2504,           -0.5740,          -23.9418,
Ref 6,7.73903e-08,,,,,,1.1973e-02,4.2064e-03,4.8930e-05,4.6435e-06,5.7891e-08,,,,,,,,,,,
Sam 6,7.52185e-08,1.20361e-02,4.2736e-03,4.9951e-05,4.7913e-06,5.8562e-08,,,,,,            5.2662,           16.0226,           21.0015,           31.8991,           14.5521,            2.1614,           10.0336,           -0.2724,           -0.3902,          -22.1576,
Ref 7,7.52638e-08,,,,,,1.1973e-02,4.2061e-03,4.8918e-05,4.6429e-06,5.7547e-08,,,,,,,,,,,
Sam 7,7.30420e-08,1.20359e-02,4.2734e-03,4.9945e-05,4.7908e-06,5.7313e-08,,,,,,            5.2706,           16.0370,           21.0074,           31.9991,           16.3915,            2.1656,           10.0479,           -0.2852,           -0.3217,          -20.4167,
Ref 8,7.32179e-08,,,,,,1.1973e-02,4.2059e-03,4.8917e-05,4.6416e-06,5.5197e-08,,,,,,,,,,,
Sam 8,7.09309e-08,1.20355e-02,4.2734e-03,4.9938e-05,4.7884e-06,5.5519e-08,,,,,,            5.2781,           16.0678,           20.8984,           31.9655,           -7.3191,            2.1725,           10.0785,           -0.4293,           -0.4147,          -43.3332,
Ref 9,7.12535e-08,,,,,,1.1972e-02,4.2057e-03,4.8914e-05,4.6384e-06,5.6681e-08,,,,,,,,,,,
Sam 9,6.89449e-08,1.20351e-02,4.2731e-03,4.9939e-05,4.7887e-06,5.6737e-08,,,,,,            5.2741,           16.0364,           20.9729,           32.2659,            9.9766,            2.1693,           10.0473,           -0.3219,           -0.0619,          -26.6017,
Ref 10,6.93584e-08,,,,,,1.1972e-02,4.2055e-03,4.8912e-05,4.6396e-06,5.5659e-08,,,,,,,,,,,
Sam 10,6.70227e-08,1.20347e-02,4.2728e-03,4.9931e-05,4.7881e-06,5.7014e-08,,,,,,            5.2671,           16.0220,           20.8839,           32.1629,            7.4347,            2.1624,           10.0330,           -0.3880,           -0.1336,          -29.0173,
Ref 11,6.75414e-08,,,,,,1.1971e-02,4.2054e-03,4.8908e-05,4.6382e-06,5.7554e-08,,,,,,,,,,,
Sam 11,6.51660e-08,1.20346e-02,4.2727e-03,4.9930e-05,4.7859e-06,5.6246e-08,,,,,,            5.2832,           16.0376,           20.9105,           32.1492,          -11.1240,            2.1790,           10.0485,           -0.3935,           -0.1774,          -46.9496,
Ref 12,6.57767e-08,,,,,,1.1971e-02,4.2052e-03,4.8906e-05,4.6353e-06,5.6186e-08,,,,,,,,,,,
Sam 12,6.33796e-08,1.20343e-02,4.2727e-03,4.9926e-05,4.7859e-06,5.4584e-08,,,,,,            5.2718,           16.0601,           20.8446,           32.3033,          -22.0635,            2.1660,           10.0709,           -0.4681,           -0.0725,          -57.5223,
Ref 13,6.40869e-08,,,,,,1.1971e-02,4.2051e-03,4.8907e-05,4.6370e-06,5.5435e-08,,,,,,,,,,,
Sam 13,6.16646e-08,1.20343e-02,4.2726e-03,4.9923e-05,4.7865e-06,5.4087e-08,,,,,,            5.2734,           16.0365,           20.7877,           32.1631,          -19.3611,            2.1686,           10.0474,           -0.5027,           -0.1618,          -54.8764,
Ref 14,6.24469e-08,,,,,,1.1971e-02,4.2052e-03,4.8907e-05,4.6376e-06,5.4867e-08,,,,,,,,,,,
Sam 14,6.00104e-08,1.20342e-02,4.2726e-03,4.9929e-05,4.7852e-06,5.7565e-08,,,,,,            5.2777,           16.0451,           20.9256,           31.8071,           37.7880,            2.1729,           10.0559,           -0.3804,           -0.5236,            0.1817,
Ref 15,6.08715e-08,,,,,,1.1971e-02,4.2051e-03,4.8905e-05,4.6378e-06,5.6087e-08,,,,,,,,,,,
Sam 15,5.84123e-08,1.20342e-02,4.2726e-03,4.9930e-05,4.7868e-06,5.5075e-08,,,,,,            5.2772,           16.0504,           20.9625,           32.3721,           -5.9184,            2.1721,           10.0612,           -0.3488,            0.0133,          -41.9500,
Ref 16,5.93446e-08,,,,,,1.1971e-02,4.2051e-03,4.8904e-05,4.6355e-06,5.4701e-08,,,,,,,,,,,
Sam 16,5.68740e-08,1.20344e-02,4.2726e-03,4.9931e-05,4.7846e-06,5.2458e-08,,,,,,            5.2969,           16.0647,           20.9281,           32.1860,          -26.4375,            2.1926,           10.0754,           -0.4165,           -0.1952,          -61.7709,
Ref 17,5.78706e-08,,,,,,1.1971e-02,4.2051e-03,4.8912e-05,4.6353e-06,5.3044e-08,,,,,,,,,,,
Sam 17,5.53909e-08,1.20341e-02,4.2726e-03,4.9938e-05,4.7853e-06,5.2604e-08,,,,,,            5.2797,           16.0593,           21.0030,           32.0100,          -18.6817,            2.1745,           10.0700,           -0.3204,           -0.3549,          -54.2695,
Ref 18,5.64457e-08,,,,,,1.1971e-02,4.2051e-03,4.8910e-05,4.6384e-06,5.4181e-08,,,,,,,,,,,
Sam 18,5.39666e-08,1.20342e-02,4.2727e-03,4.9937e-05,4.7864e-06,5.5294e-08,,,,,,            5.2908,           16.0610,           20.9468,           32.5514,            4.4149,            2.1862,           10.0718,           -0.3884,            0.1660,          -32.0252,
Ref 19,5.50789e-08,,,,,,1.1971e-02,4.2051e-03,4.8914e-05,4.6325e-06,5.5944e-08,,,,,,,,,,,
Sam 19,5.25858e-08,1.20342e-02,4.2726e-03,4.9940e-05,4.7847e-06,5.4624e-08,,,,,,            5.2934,           16.0558,           20.9281,           32.3994,          -19.5194,            2.1892,           10.0665,           -0.4042,            0.0291,          -55.0841,
Ref 20,5.37466e-08,,,,,,1.1971e-02,4.2052e-03,4.8918e-05,4.6366e-06,5.5474e-08,,,,,,,,,,,
Sam 20,5.12491e-08,1.20341e-02,4.2727e-03,4.9944e-05,4.7835e-06,5.3209e-08,,,,,,            5.2836,           16.0465,           21.0181,           31.7497,          -28.6828,            2.1791,           10.0573,           -0.2971,           -0.5819,          -63.8886,
Ref 21,5.24542e-08,,,,,,1.1971e-02,4.2052e-03,4.8915e-05,4.6361e-06,5.4069e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.18253e-08,,,,,,1.1971e-02,4.2052e-03,4.8916e-05,4.6359e-06,5.3853e-08,
Sam 1,4.93174e-08,1.20341e-02,4.2727e-03,4.9947e-05,4.7870e-06,5.1628e-08,,,,,,            5.2876,           16.0507,           21.0543,           32.1479,          -23.9169,            2.1832,           10.0615,           -0.2699,           -0.2046,          -59.3072,
Ref 2,5.05931e-08,,,,,,1.1971e-02,4.2052e-03,4.8917e-05,4.6400e-06,5.1909e-08,,,,,,,,,,,
Sam 2,4.80770e-08,1.20340e-02,4.2727e-03,4.9949e-05,4.7864e-06,5.3648e-08,,,,,,            5.2822,           16.0446,           21.0202,           31.7114,           49.8787,            2.1776,           10.0554,           -0.2918,           -0.6154,           11.8305,
Ref 3,4.94018e-08,,,,,,1.1971e-02,4.2052e-03,4.8924e-05,4.6386e-06,5.0269e-08,,,,,,,,,,,
Sam 3,4.68805e-08,1.20341e-02,4.2727e-03,4.9952e-05,4.7886e-06,4.8701e-08,,,,,,            5.2910,           16.0465,           21.0587,           32.4565,          -31.7778,            2.1870,           10.0573,           -0.2651,            0.1027,          -66.8788,
Ref 4,4.82480e-08,,,,,,1.1971e-02,4.2052e-03,4.8920e-05,4.6376e-06,5.0330e-08,,,,,,,,,,,
Sam 4,4.57258e-08,1.20340e-02,4.2727e-03,4.9946e-05,4.7850e-06,5.0208e-08,,,,,,            5.2852,           16.0430,           20.8742,           31.9142,           -4.5061,            2.1809,           10.0539,           -0.4364,           -0.4158,          -40.5835,
Ref 5,4.71171e-08,,,,,,1.1971e-02,4.2052e-03,4.8930e-05,4.6365e-06,5.0543e-08,,,,,,,,,,,
Sam 5,4.46037e-08,1.20338e-02,4.2727e-03,4.9951e-05,4.7866e-06,4.7763e-08,,,,,,            5.2779,           16.0424,           20.8890,           32.3230,          -49.6413,            2.1731,           10.0533,           -0.4137,           -0.0186,          -84.0746,
Ref 6,4.60550e-08,,,,,,1.1971e-02,4.2052e-03,4.8928e-05,4.6371e-06,4.9966e-08,,,,,,,,,,,
Sam 6,4.35187e-08,1.20338e-02,4.2726e-03,4.9949e-05,4.7882e-06,4.9940e-08,,,,,,            5.2815,           16.0270,           20.8852,           32.3666,          -19.7342,            2.1776,           10.0380,           -0.4063,            0.0539,          -55.2267,
Ref 7,4.50037e-08,,,,,,1.1970e-02,4.2052e-03,4.8926e-05,4.6392e-06,5.1947e-08,,,,,,,,,,,
Sam 7,4.24670e-08,1.20337e-02,4.2727e-03,4.9958e-05,4.7883e-06,4.8221e-08,,,,,,            5.2698,           16.0169,           20.9778,           32.1124,          -34.1124,            2.1654,           10.0279,           -0.2938,           -0.1724,          -69.0545,
Ref 8,4.39744e-08,,,,,,1.1971e-02,4.2054e-03,4.8936e-05,4.6394e-06,4.7853e-08,,,,,,,,,,,
Sam 8,4.14467e-08,1.20338e-02,4.2728e-03,4.9959e-05,4.7876e-06,4.6879e-08,,,,,,            5.2782,           16.0460,           21.0343,           31.7584,           16.9540,            2.1733,           10.0568,           -0.2753,           -0.5726,          -19.8994,
Ref 9,4.30049e-08,,,,,,1.1970e-02,4.2052e-03,4.8923e-05,4.6411e-06,4.4304e-08,,,,,,,,,,,
Sam 9,4.04717e-08,1.20335e-02,4.2726e-03,4.9953e-05,4.7877e-06,4.5760e-08,,,,,,            5.2668,           16.0283,           21.0270,           31.8681,            1.1968,            2.1619,           10.0393,           -0.2537,           -0.4315,          -35.0410,
Ref 10,4.20455e-08,,,,,,1.1970e-02,4.2051e-03,4.8925e-05,4.6385e-06,4.7139e-08,,,,,,,,,,,
Sam 10,3.95151e-08,1.20335e-02,4.2725e-03,4.9964e-05,4.7908e-06,4.5664e-08,,,,,,            5.2771,           16.0385,           21.1943,           32.7937,          -21.2051,            2.1725,           10.0493,           -0.1102,            0.4452,          -56.6608,
Ref 11,4.11116e-08,,,,,,1.1970e-02,4.2051e-03,4.8929e-05,4.6388e-06,4.6157e-08,,,,,,,,,,,
Sam 11,3.85901e-08,1.20332e-02,4.2725e-03,4.9957e-05,4.7865e-06,4.5086e-08,,,,,,            5.2629,           16.0370,           20.9619,           31.9425,          -50.0253,            2.1574,           10.0480,           -0.3219,           -0.3766,          -84.4208,
Ref 12,4.02066e-08,,,,,,1.1970e-02,4.2051e-03,4.8934e-05,4.6379e-06,4.8792e-08,,,,,,,,,,,
Sam 12,3.76948e-08,1.20334e-02,4.2725e-03,4.9959e-05,4.7902e-06,4.3751e-08,,,,,,            5.2698,           16.0388,           20.8923,           32.1907,          -91.8664,            2.1647,           10.0497,           -0.3988,           -0.1397,         -124.7563,
Ref 13,3.93331e-08,,,,,,1.1970e-02,4.2051e-03,4.8940e-05,4.6438e-06,4.7548e-08,,,,,,,,,,,
Sam 13,3.68307e-08,1.20333e-02,4.2725e-03,4.9970e-05,4.7882e-06,4.4749e-08,,,,,,            5.2760,           16.0345,           21.0908,           31.5920,          -77.2525,            2.1714,           10.0454,           -0.2066,           -0.7111,         -110.6700,
Ref 14,3.84827e-08,,,,,,1.1970e-02,4.2050e-03,4.8935e-05,4.6392e-06,4.9463e-08,,,,,,,,,,,
Sam 14,3.59866e-08,1.20331e-02,4.2723e-03,4.9956e-05,4.7871e-06,4.6474e-08,,,,,,            5.2760,           16.0100,           20.9461,           31.7820,          -28.4544,            2.1722,           10.0210,           -0.3245,           -0.4789,          -63.5947,
Ref 15,3.76589e-08,,,,,,1.1970e-02,4.2050e-03,4.8928e-05,4.6400e-06,4.6172e-08,,,,,,,,,,,
Sam 15,3.51756e-08,1.20330e-02,4.2723e-03,4.9959e-05,4.7920e-06,4.2579e-08,,,,,,            5.2737,           16.0139,           20.9414,           32.6018,          -74.1053,            2.1697,           10.0249,           -0.3305,            0.3077,         -107.5991,
Ref 16,3.68615e-08,,,,,,1.1970e-02,4.2049e-03,4.8941e-05,4.6415e-06,4.5798e-08,,,,,,,,,,,
Sam 16,3.43848e-08,1.20328e-02,4.2723e-03,4.9957e-05,4.7892e-06,4.1130e-08,,,,,,            5.2649,           16.0164,           20.8860,           31.7107,          -65.8370,            2.1602,           10.0274,           -0.3781,           -0.5604,          -99.6257,
Ref 17,3.60840e-08,,,,,,1.1970e-02,4.2049e-03,4.8929e-05,4.6426e-06,4.2221e-08,,,,,,,,,,,
Sam 17,3.36117e-08,1.20329e-02,4.2722e-03,4.9960e-05,4.7874e-06,4.4098e-08,,,,,,            5.2792,           16.0104,           21.0126,           31.7436,            3.4344,            2.1757,           10.0214,           -0.2632,           -0.5168,          -32.8636,
Ref 18,3.53292e-08,,,,,,1.1970e-02,4.2049e-03,4.8935e-05,4.6376e-06,4.5709e-08,,,,,,,,,,,
Sam 18,3.28609e-08,1.20327e-02,4.2722e-03,4.9960e-05,4.7886e-06,4.2270e-08,,,,,,            5.2672,           16.0081,           20.8902,           32.7631,          -35.9093,            2.1629,           10.0192,           -0.3684,            0.4753,          -70.7680,
Ref 19,3.45945e-08,,,,,,1.1970e-02,4.2048e-03,4.8941e-05,4.6357e-06,4.1940e-08,,,,,,,,,,,
Sam 19,3.21282e-08,1.20328e-02,4.2723e-03,4.9960e-05,4.7866e-06,4.1119e-08,,,,,,            5.2751,           16.0271,           20.8888,           32.4735,            1.1970,            2.1707,           10.0380,           -0.3962,            0.1574,          -35.0469,
Ref 20,3.38746e-08,,,,,,1.1970e-02,4.2049e-03,4.8934e-05,4.6364e-06,4.0182e-08,,,,,,,,,,,
Sam 20,3.14179e-08,1.20326e-02,4.2722e-03,4.9960e-05,4.7900e-06,4.3710e-08,,,,,,            5.2646,           16.0046,           20.8752,           32.7289,           62.5673,            2.1603,           10.0157,           -0.3770,            0.4491,           24.1576,
Ref 21,3.31754e-08,,,,,,1.1970e-02,4.2048e-03,4.8944e-05,4.6400e-06,4.2112e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.28394e-08,,,,,,1.1969e-02,4.2047e-03,4.8935e-05,4.6390e-06,4.1318e-08,
Sam 1,3.03921e-08,1.20324e-02,4.2720e-03,4.9958e-05,4.7888e-06,4.1962e-08,,,,,,            5.2638,           16.0112,           20.0447,           32.3394,         -216.9027,            2.1592,           10.0222,           -1.1958,            0.0588,         -245.2188,
Ref 2,3.21632e-08,,,,,,1.1969e-02,4.2047e-03,4.9018e-05,4.6386e-06,6.6109e-08,,,,,,,,,,,
Sam 2,2.97325e-08,1.20323e-02,4.2719e-03,4.9963e-05,4.7875e-06,3.4948e-08,,,,,,            5.2643,           15.9859,           19.9213,           32.3599,         -366.2344,            2.1606,            9.9971,           -1.2927,            0.1284,         -389.1211,
Ref 3,3.15106e-08,,,,,,1.1969e-02,4.2047e-03,4.8956e-05,4.6363e-06,4.3951e-08,,,,,,,,,,,
Sam 3,2.90914e-08,1.20321e-02,4.2719e-03,4.9960e-05,4.7785e-06,3.3634e-08,,,,,,            5.2632,           15.9880,           20.5920,           30.4118,         -231.8261,            2.1594,            9.9992,           -0.6368,           -1.7630,         -259.5689,
Ref 4,3.08796e-08,,,,,,1.1969e-02,4.2046e-03,4.8948e-05,4.6387e-06,4.3616e-08,,,,,,,,,,,
Sam 4,2.84700e-08,1.20320e-02,4.2719e-03,4.9962e-05,4.7887e-06,3.7842e-08,,,,,,            5.2638,           16.0055,           20.7191,           32.7883,          -30.4882,            2.1595,           10.0166,           -0.5300,            0.5048,          -65.5350,
Ref 5,3.02616e-08,,,,,,1.1969e-02,4.2046e-03,4.8946e-05,4.6347e-06,3.4355e-08,,,,,,,,,,,
Sam 5,2.78646e-08,1.20320e-02,4.2717e-03,4.9954e-05,4.7855e-06,3.3794e-08,,,,,,            5.2750,           15.9754,           20.6506,           32.4678,          -49.9145,            2.1723,            9.9866,           -0.5794,            0.2536,          -84.2164,
Ref 6,2.96585e-08,,,,,,1.1969e-02,4.2045e-03,4.8941e-05,4.6354e-06,3.6808e-08,,,,,,,,,,,
Sam 6,2.72745e-08,1.20317e-02,4.2718e-03,4.9951e-05,4.7824e-06,3.5010e-08,,,,,,            5.2516,           15.9882,           20.6626,           31.5147,          -22.8131,            2.1470,            9.9994,           -0.5561,           -0.6950,          -58.0935,
Ref 7,2.90712e-08,,,,,,1.1969e-02,4.2046e-03,4.8938e-05,4.6372e-06,3.4827e-08,,,,,,,,,,,
Sam 7,2.67010e-08,1.20319e-02,4.2718e-03,4.9955e-05,4.7851e-06,3.2875e-08,,,,,,            5.2655,           15.9817,           20.7396,           32.1017,          -74.6648,            2.1620,            9.9928,           -0.4885,           -0.1134,         -108.0750,
Ref 8,2.84971e-08,,,,,,1.1969e-02,4.2045e-03,4.8942e-05,4.6353e-06,3.6244e-08,,,,,,,,,,,
Sam 8,2.61451e-08,1.20318e-02,4.2717e-03,4.9951e-05,4.7837e-06,3.0811e-08,,,,,,            5.2639,           15.9824,           20.6433,           31.9090,         -108.9343,            2.1603,            9.9935,           -0.5819,           -0.3015,         -141.1068,
Ref 9,2.79429e-08,,,,,,1.1969e-02,4.2044e-03,4.8940e-05,4.6363e-06,3.2880e-08,,,,,,,,,,,
Sam 9,2.56035e-08,1.20316e-02,4.2716e-03,4.9956e-05,4.7846e-06,3.0024e-08,,,,,,            5.2570,           15.9875,           20.8474,           32.8345,          -67.2761,            2.1528,            9.9987,           -0.3799,            0.5851,         -100.9550,
Ref 10,2.74018e-08,,,,,,1.1969e-02,4.2043e-03,4.8931e-05,4.6286e-06,3.1486e-08,,,,,,,,,,,
Sam 10,2.50753e-08,1.20315e-02,4.2716e-03,4.9956e-05,4.7885e-06,2.8574e-08,,,,,,            5.2614,           15.9820,           20.8378,           34.0226,           19.0638,            2.1577,            9.9932,           -0.3885,            1.7469,          -17.7270,
Ref 11,2.68745e-08,,,,,,1.1969e-02,4.2044e-03,4.8941e-05,4.6332e-06,2.4526e-08,,,,,,,,,,,
Sam 11,2.45598e-08,1.20314e-02,4.2714e-03,4.9951e-05,4.7819e-06,2.2723e-08,,,,,,            5.2613,           15.9567,           20.6815,           31.9645,         -179.1181,            2.1585,            9.9680,           -0.5171,           -0.1972,         -208.7151,
Ref 12,2.63529e-08,,,,,,1.1968e-02,4.2043e-03,4.8937e-05,4.6343e-06,3.0900e-08,,,,,,,,,,,
Sam 12,2.40584e-08,1.20312e-02,4.2714e-03,4.9963e-05,4.7820e-06,2.9344e-08,,,,,,            5.2581,           15.9612,           20.8900,           31.8808,           42.8713,            2.1548,            9.9724,           -0.3138,           -0.2870,            5.2651,
Ref 13,2.58535e-08,,,,,,1.1968e-02,4.2043e-03,4.8943e-05,4.6343e-06,2.5321e-08,,,,,,,,,,,
Sam 13,2.35700e-08,1.20312e-02,4.2714e-03,4.9949e-05,4.7754e-06,2.5620e-08,,,,,,            5.2602,           15.9730,           20.4869,           30.5907,         -139.4962,            2.1567,            9.9842,           -0.7222,           -1.5602,         -170.5469,
Ref 14,2.53597e-08,,,,,,1.1968e-02,4.2041e-03,4.8949e-05,4.6330e-06,3.4311e-08,,,,,,,,,,,
Sam 14,2.30937e-08,1.20312e-02,4.2713e-03,4.9943e-05,4.7819e-06,1.7724e-08,,,,,,            5.2635,           15.9697,           20.5419,           32.8382,         -450.4037,            2.1603,            9.9809,           -0.6685,            0.6238,         -470.2335,
Ref 15,2.48824e-08,,,,,,1.1968e-02,4.2042e-03,4.8926e-05,4.6267e-06,3.0147e-08,,,,,,,,,,,
Sam 15,2.26308e-08,1.20310e-02,4.2712e-03,4.9943e-05,4.7780e-06,1.7921e-08,,,,,,            5.2584,           15.9615,           20.7134,           32.5812,         -344.4966,            2.1552,            9.9728,           -0.4875,            0.3908,         -368.1346,
Ref 16,2.44154e-08,,,,,,1.1968e-02,4.2041e-03,4.8933e-05,4.6279e-06,2.4476e-08,,,,,,,,,,,
Sam 16,2.21788e-08,1.20310e-02,4.2712e-03,4.9951e-05,4.7822e-06,1.9269e-08,,,,,,            5.2665,           15.9663,           20.8354,           32.6630,         -148.0702,            2.1636,            9.9775,           -0.3808,            0.4608,         -178.8063,
Ref 17,2.39602e-08,,,,,,1.1968e-02,4.2040e-03,4.8930e-05,4.6340e-06,2.0725e-08,,,,,,,,,,,
Sam 17,2.17381e-08,1.20306e-02,4.2711e-03,4.9946e-05,4.7813e-06,1.9232e-08,,,,,,            5.2467,           15.9472,           20.7208,           31.8959,           18.9961,            2.1432,            9.9586,           -0.4543,           -0.2449,          -17.7107,
Ref 18,2.35157e-08,,,,,,1.1968e-02,4.2040e-03,4.8933e-05,4.6329e-06,1.6987e-08,,,,,,,,,,,
Sam 18,2.13096e-08,1.20305e-02,4.2711e-03,4.9956e-05,4.7755e-06,8.4334e-09,,,,,,            5.2512,           15.9662,           21.0378,           31.4306,         -422.7034,            2.1474,            9.9775,           -0.1668,           -0.7331,         -443.5218,
Ref 19,2.30841e-08,,,,,,1.1968e-02,4.2039e-03,4.8920e-05,4.6270e-06,1.2185e-08,,,,,,,,,,,
Sam 19,2.08895e-08,1.20306e-02,4.2710e-03,4.9951e-05,4.7710e-06,3.8264e-09,,,,,,            5.2521,           15.9516,           20.9736,           31.0054,         -722.2357,            2.1488,            9.9629,           -0.2165,           -1.1163,         -732.2446,
Ref 20,2.26593e-08,,,,,,1.1968e-02,4.2039e-03,4.8930e-05,4.6281e-06,1.5396e-08,,,,,,,,,,,
Sam 20,2.04777e-08,1.20304e-02,4.2709e-03,4.9942e-05,4.7778e-06,8.4355e-09,,,,,,            5.2434,           15.9410,           20.7375,           32.4692,         -464.0117,            2.1399,            9.9525,           -0.4285,            0.3226,         -483.3109,
Ref 21,2.22429e-08,,,,,,1.1968e-02,4.2039e-03,4.8925e-05,4.6269e-06,1.6086e-08,,,,,,,,,,,


