Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 20, 2021 at 00:25 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 20, 2021 at 01:24 with Stable 1.71.5 on PS019

Data File = Data_13689 FRAC_1-29RA.txt,   Sample Weight = 435,                      Vial Location = 43,                       Initial Sam Beam = 1.4236e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9981e-08,                Max Ref Beam = 1.0556e-07,                

Analysis undertaken at mass 46.00884
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.74725e-08,,,,,,1.1970e-02,4.2046e-03,4.8889e-05,4.6336e-06,5.9995e-08,
Sam 1,5.70939e-08,1.20297e-02,4.2696e-03,4.9872e-05,4.7770e-06,6.1094e-08,,,,,,            4.9630,           15.4128,           20.0422,           31.0219,           24.4529,            1.8597,            9.4274,           -0.3107,           -0.0399,          -11.1312,
Ref 2,5.66921e-08,,,,,,1.1971e-02,4.2050e-03,4.8895e-05,4.6329e-06,5.9272e-08,,,,,,,,,,,
Sam 2,5.62807e-08,1.20300e-02,4.2697e-03,4.9873e-05,4.7780e-06,6.0204e-08,,,,,,            4.9466,           15.3888,           19.9895,           31.1281,           -2.1745,            1.8431,            9.4036,           -0.3224,            0.1102,          -36.7723,
Ref 3,5.58823e-08,,,,,,1.1971e-02,4.2051e-03,4.8896e-05,4.6346e-06,6.1414e-08,,,,,,,,,,,
Sam 3,5.54617e-08,1.20300e-02,4.2698e-03,4.9876e-05,4.7782e-06,6.0607e-08,,,,,,            4.9438,           15.3931,           19.9853,           30.7157,          -27.2393,            1.8400,            9.4079,           -0.3278,           -0.2983,          -60.9731,
Ref 4,5.50962e-08,,,,,,1.1971e-02,4.2051e-03,4.8902e-05,4.6370e-06,6.3206e-08,,,,,,,,,,,
Sam 4,5.46618e-08,1.20299e-02,4.2698e-03,4.9871e-05,4.7783e-06,6.0237e-08,,,,,,            4.9376,           15.3892,           19.8153,           30.2045,          -28.6237,            1.8335,            9.4039,           -0.4842,           -0.7863,          -62.2961,
Ref 5,5.43131e-08,,,,,,1.1971e-02,4.2051e-03,4.8903e-05,4.6393e-06,6.0802e-08,,,,,,,,,,,
Sam 5,5.38832e-08,1.20300e-02,4.2698e-03,4.9874e-05,4.7789e-06,6.3042e-08,,,,,,            4.9453,           15.3982,           19.8060,           30.2384,           41.7533,            1.8413,            9.4129,           -0.5099,           -0.7712,            5.6155,
Ref 6,5.35502e-08,,,,,,1.1971e-02,4.2051e-03,4.8907e-05,4.6379e-06,6.0226e-08,,,,,,,,,,,
Sam 6,5.31133e-08,1.20300e-02,4.2699e-03,4.9873e-05,4.7790e-06,6.3263e-08,,,,,,            4.9456,           15.3953,           19.7803,           30.5042,           19.1254,            1.8417,            9.4101,           -0.5327,           -0.5077,          -16.2222,
Ref 7,5.27982e-08,,,,,,1.1971e-02,4.2051e-03,4.8905e-05,4.6371e-06,6.3952e-08,,,,,,,,,,,
Sam 7,5.23621e-08,1.20299e-02,4.2698e-03,4.9881e-05,4.7808e-06,6.2500e-08,,,,,,            4.9359,           15.3826,           19.8245,           30.9495,           -3.4315,            1.8319,            9.3974,           -0.4671,           -0.0508,          -37.9633,
Ref 8,5.20628e-08,,,,,,1.1971e-02,4.2052e-03,4.8918e-05,4.6374e-06,6.1462e-08,,,,,,,,,,,
Sam 8,5.16300e-08,1.20300e-02,4.2699e-03,4.9880e-05,4.7791e-06,6.3082e-08,,,,,,            4.9472,           15.3957,           19.7941,           30.2628,            7.0656,            1.8435,            9.4104,           -0.5211,           -0.7426,          -27.8662,
Ref 9,5.13474e-08,,,,,,1.1971e-02,4.2052e-03,4.8906e-05,4.6401e-06,6.3833e-08,,,,,,,,,,,
Sam 9,5.09076e-08,1.20299e-02,4.2699e-03,4.9883e-05,4.7787e-06,6.4866e-08,,,,,,            4.9394,           15.3846,           19.9394,           30.1053,           26.8587,            1.8355,            9.3994,           -0.3600,           -0.8736,           -8.7301,
Ref 10,5.06378e-08,,,,,,1.1971e-02,4.2052e-03,4.8909e-05,4.6380e-06,6.2496e-08,,,,,,,,,,,
Sam 10,5.01966e-08,1.20298e-02,4.2698e-03,4.9881e-05,4.7818e-06,6.3679e-08,,,,,,            4.9337,           15.3536,           19.8298,           30.4838,           47.0226,            1.8305,            9.3686,           -0.4315,           -0.4454,           10.8017,
Ref 11,4.99484e-08,,,,,,1.1971e-02,4.2052e-03,4.8912e-05,4.6428e-06,5.9120e-08,,,,,,,,,,,
Sam 11,4.95039e-08,1.20300e-02,4.2699e-03,4.9890e-05,4.7809e-06,6.0684e-08,,,,,,            4.9477,           15.3959,           20.0153,           29.9367,           23.7994,            1.8440,            9.4106,           -0.3051,           -1.0593,          -11.7137,
Ref 12,4.92650e-08,,,,,,1.1971e-02,4.2052e-03,4.8910e-05,4.6411e-06,5.9428e-08,,,,,,,,,,,
Sam 12,4.88254e-08,1.20299e-02,4.2699e-03,4.9887e-05,4.7841e-06,6.5079e-08,,,,,,            4.9441,           15.3834,           19.8644,           30.8295,           37.7082,            1.8406,            9.3981,           -0.4371,           -0.1686,            1.7409,
Ref 13,4.85983e-08,,,,,,1.1971e-02,4.2052e-03,4.8920e-05,4.6410e-06,6.6046e-08,,,,,,,,,,,
Sam 13,4.81506e-08,1.20299e-02,4.2699e-03,4.9894e-05,4.7832e-06,6.7287e-08,,,,,,            4.9548,           15.3861,           19.9696,           30.3722,            7.0753,            1.8519,            9.4008,           -0.3477,           -0.6176,          -27.8465,
Ref 14,4.79427e-08,,,,,,1.1971e-02,4.2052e-03,4.8915e-05,4.6435e-06,6.7594e-08,,,,,,,,,,,
Sam 14,4.74963e-08,1.20296e-02,4.2699e-03,4.9895e-05,4.7846e-06,6.4404e-08,,,,,,            4.9325,           15.3939,           19.9818,           30.7439,          -15.5602,            1.8279,            9.4087,           -0.3204,           -0.2725,          -49.6891,
Ref 15,4.72938e-08,,,,,,1.1971e-02,4.2052e-03,4.8920e-05,4.6402e-06,6.3221e-08,,,,,,,,,,,
Sam 15,4.68482e-08,1.20299e-02,4.2699e-03,4.9890e-05,4.7869e-06,6.5044e-08,,,,,,            4.9563,           15.3944,           19.8488,           31.1783,           -5.6189,            1.8532,            9.4091,           -0.4756,            0.1479,          -40.1175,
Ref 16,4.66633e-08,,,,,,1.1971e-02,4.2051e-03,4.8919e-05,4.6441e-06,6.7631e-08,,,,,,,,,,,
Sam 16,4.62118e-08,1.20298e-02,4.2699e-03,4.9896e-05,4.7835e-06,6.6705e-08,,,,,,            4.9482,           15.3909,           19.9146,           29.9130,           -8.2166,            1.8447,            9.4056,           -0.3995,           -1.0724,          -42.6103,
Ref 17,4.60402e-08,,,,,,1.1971e-02,4.2052e-03,4.8925e-05,4.6451e-06,6.6880e-08,,,,,,,,,,,
Sam 17,4.55820e-08,1.20298e-02,4.2700e-03,4.9901e-05,4.7843e-06,6.7741e-08,,,,,,            4.9431,           15.4039,           19.9914,           30.1774,          -16.0507,            1.8388,            9.4185,           -0.3315,           -0.8414,          -50.1915,
Ref 18,4.54294e-08,,,,,,1.1971e-02,4.2052e-03,4.8921e-05,4.6433e-06,7.0838e-08,,,,,,,,,,,
Sam 18,4.49779e-08,1.20297e-02,4.2699e-03,4.9898e-05,4.7858e-06,6.9438e-08,,,,,,            4.9413,           15.3842,           19.9339,           30.3696,          -12.6853,            1.8376,            9.3990,           -0.3670,           -0.6164,          -46.9047,
Ref 19,4.48320e-08,,,,,,1.1970e-02,4.2052e-03,4.8925e-05,4.6463e-06,6.9815e-08,,,,,,,,,,,
Sam 19,4.43731e-08,1.20297e-02,4.2699e-03,4.9890e-05,4.7853e-06,7.0159e-08,,,,,,            4.9523,           15.3771,           19.7066,           30.3464,           15.2948,            1.8496,            9.3919,           -0.5941,           -0.6248,          -19.8923,
Ref 20,4.42416e-08,,,,,,1.1970e-02,4.2052e-03,4.8927e-05,4.6423e-06,6.8378e-08,,,,,,,,,,,
Sam 20,4.37802e-08,1.20295e-02,4.2698e-03,4.9900e-05,4.7880e-06,7.0492e-08,,,,,,            4.9356,           15.3753,           19.8718,           30.7451,            0.4516,            1.8318,            9.3902,           -0.4135,           -0.2347,          -34.2008,
Ref 21,4.36680e-08,,,,,,1.1970e-02,4.2052e-03,4.8928e-05,4.6481e-06,7.2569e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.33882e-08,,,,,,1.1970e-02,4.2050e-03,4.8931e-05,4.6472e-06,7.3029e-08,
Sam 1,4.29101e-08,1.20295e-02,4.2698e-03,4.9906e-05,4.7886e-06,7.5613e-08,,,,,,            4.9399,           15.3822,           19.9497,           30.3041,           39.2265,            1.8361,            9.3970,           -0.3480,           -0.6760,            3.2132,
Ref 2,4.28198e-08,,,,,,1.1970e-02,4.2052e-03,4.8929e-05,4.6484e-06,7.2486e-08,,,,,,,,,,,
Sam 2,4.23333e-08,1.20297e-02,4.2698e-03,4.9896e-05,4.7880e-06,7.4304e-08,,,,,,            4.9547,           15.3653,           19.7737,           29.9597,            5.8567,            1.8525,            9.3801,           -0.5194,           -0.9767,          -28.9836,
Ref 3,4.22603e-08,,,,,,1.1970e-02,4.2051e-03,4.8927e-05,4.6490e-06,7.5274e-08,,,,,,,,,,,
Sam 3,4.17690e-08,1.20296e-02,4.2698e-03,4.9901e-05,4.7861e-06,7.6947e-08,,,,,,            4.9488,           15.3866,           19.8395,           29.6523,           15.2616,            1.8455,            9.4014,           -0.4695,           -1.3169,          -19.9389,
Ref 4,4.17151e-08,,,,,,1.1970e-02,4.2051e-03,4.8934e-05,4.6476e-06,7.6313e-08,,,,,,,,,,,
Sam 4,4.12159e-08,1.20296e-02,4.2698e-03,4.9905e-05,4.7896e-06,7.4782e-08,,,,,,            4.9501,           15.3809,           19.8608,           30.3492,          -37.3782,            1.8471,            9.3956,           -0.4444,           -0.6296,          -70.7445,
Ref 5,4.11849e-08,,,,,,1.1970e-02,4.2051e-03,4.8933e-05,4.6494e-06,7.9076e-08,,,,,,,,,,,
Sam 5,4.06704e-08,1.20294e-02,4.2698e-03,4.9903e-05,4.7902e-06,7.5768e-08,,,,,,            4.9428,           15.3864,           19.8772,           30.1961,           -6.4400,            1.8391,            9.4012,           -0.4262,           -0.7890,          -40.8815,
Ref 6,4.06520e-08,,,,,,1.1970e-02,4.2050e-03,4.8929e-05,4.6501e-06,7.3405e-08,,,,,,,,,,,
Sam 6,4.01340e-08,1.20293e-02,4.2698e-03,4.9902e-05,4.7937e-06,7.6642e-08,,,,,,            4.9372,           15.3824,           19.7464,           30.7764,            7.8530,            1.8333,            9.3972,           -0.5448,           -0.2182,          -27.0707,
Ref 7,4.01311e-08,,,,,,1.1970e-02,4.2051e-03,4.8942e-05,4.6510e-06,7.8720e-08,,,,,,,,,,,
Sam 7,3.96114e-08,1.20293e-02,4.2698e-03,4.9914e-05,4.7925e-06,7.8791e-08,,,,,,            4.9424,           15.3707,           19.9770,           30.6330,           24.5321,            1.8392,            9.3855,           -0.3127,           -0.3342,          -10.9525,
Ref 8,3.96216e-08,,,,,,1.1970e-02,4.2051e-03,4.8931e-05,4.6490e-06,7.5065e-08,,,,,,,,,,,
Sam 8,3.90968e-08,1.20292e-02,4.2698e-03,4.9910e-05,4.7941e-06,7.6471e-08,,,,,,            4.9430,           15.3760,           19.9463,           31.2582,            2.9180,            1.8397,            9.3908,           -0.3486,            0.2617,          -31.8286,
Ref 9,3.91216e-08,,,,,,1.1970e-02,4.2051e-03,4.8938e-05,4.6486e-06,7.7446e-08,,,,,,,,,,,
Sam 9,3.85914e-08,1.20292e-02,4.2698e-03,4.9906e-05,4.7948e-06,7.9080e-08,,,,,,            4.9450,           15.3810,           19.7589,           31.0468,            6.0513,            1.8416,            9.3957,           -0.5391,            0.0468,          -28.8152,
Ref 10,3.86283e-08,,,,,,1.1970e-02,4.2051e-03,4.8940e-05,4.6523e-06,7.9778e-08,,,,,,,,,,,
Sam 10,3.80983e-08,1.20291e-02,4.2697e-03,4.9905e-05,4.7933e-06,8.2446e-08,,,,,,            4.9405,           15.3718,           19.7325,           30.2757,           30.2345,            1.8372,            9.3866,           -0.5515,           -0.6830,           -5.4477,
Ref 11,3.81469e-08,,,,,,1.1970e-02,4.2050e-03,4.8938e-05,4.6526e-06,8.0278e-08,,,,,,,,,,,
Sam 11,3.76106e-08,1.20291e-02,4.2697e-03,4.9906e-05,4.7942e-06,8.0168e-08,,,,,,            4.9438,           15.3743,           19.7887,           30.0714,            2.6184,            1.8406,            9.3892,           -0.5024,           -0.8862,          -32.1156,
Ref 12,3.76716e-08,,,,,,1.1970e-02,4.2050e-03,4.8937e-05,4.6560e-06,7.9635e-08,,,,,,,,,,,
Sam 12,3.71132e-08,1.20288e-02,4.2699e-03,4.9917e-05,4.7971e-06,7.9387e-08,,,,,,            4.8847,           15.3541,           19.9138,           30.7010,            2.0077,            1.7784,            9.3692,           -0.2995,           -0.2357,          -32.6067,
Ref 13,3.71599e-08,,,,,,1.1971e-02,4.2056e-03,4.8948e-05,4.6524e-06,7.8816e-08,,,,,,,,,,,
Sam 13,3.66615e-08,1.20289e-02,4.2697e-03,4.9914e-05,4.7958e-06,8.4043e-08,,,,,,            4.8994,           15.3299,           19.7613,           30.7554,           38.9726,            1.7949,            9.3450,           -0.4406,           -0.1352,            3.1127,
Ref 14,3.67505e-08,,,,,,1.1970e-02,4.2049e-03,4.8946e-05,4.6530e-06,8.2988e-08,,,,,,,,,,,
Sam 14,3.62022e-08,1.20288e-02,4.2696e-03,4.9914e-05,4.8013e-06,8.3381e-08,,,,,,            4.9346,           15.3770,           19.8154,           31.7071,            4.7799,            1.8307,            9.3918,           -0.4693,            0.6951,          -30.0244,
Ref 15,3.62994e-08,,,,,,1.1970e-02,4.2049e-03,4.8942e-05,4.6545e-06,8.2980e-08,,,,,,,,,,,
Sam 15,3.57480e-08,1.20290e-02,4.2695e-03,4.9917e-05,4.8016e-06,8.5840e-08,,,,,,            4.9431,           15.3582,           19.8515,           31.2195,            3.6556,            1.8404,            9.3731,           -0.4244,            0.2592,          -31.0833,
Ref 16,3.58615e-08,,,,,,1.1970e-02,4.2049e-03,4.8948e-05,4.6580e-06,8.8107e-08,,,,,,,,,,,
Sam 16,3.52979e-08,1.20288e-02,4.2695e-03,4.9915e-05,4.7975e-06,8.4762e-08,,,,,,            4.9360,           15.3640,           19.7166,           29.7545,          -67.5779,            1.8327,            9.3789,           -0.5550,           -1.1733,          -99.8546,
Ref 17,3.54220e-08,,,,,,1.1970e-02,4.2049e-03,4.8951e-05,4.6598e-06,9.3738e-08,,,,,,,,,,,
Sam 17,3.48504e-08,1.20287e-02,4.2696e-03,4.9923e-05,4.7997e-06,8.8339e-08,,,,,,            4.9414,           15.3885,           19.8226,           30.2769,          -64.9012,            1.8375,            9.4033,           -0.4803,           -0.7147,          -97.3184,
Ref 18,3.49889e-08,,,,,,1.1970e-02,4.2049e-03,4.8954e-05,4.6575e-06,9.5210e-08,,,,,,,,,,,
Sam 18,3.44112e-08,1.20288e-02,4.2695e-03,4.9921e-05,4.7972e-06,9.5556e-08,,,,,,            4.9429,           15.3718,           19.7452,           30.0622,           -2.8779,            1.8397,            9.3866,           -0.5415,           -0.8901,          -37.4158,
Ref 19,3.45647e-08,,,,,,1.1970e-02,4.2048e-03,4.8954e-05,4.6569e-06,9.6462e-08,,,,,,,,,,,
Sam 19,3.39852e-08,1.20287e-02,4.2695e-03,4.9916e-05,4.8014e-06,9.8254e-08,,,,,,            4.9451,           15.3729,           19.7086,           30.7628,           21.7596,            1.8420,            9.3877,           -0.5806,           -0.2126,          -13.6360,
Ref 20,3.41503e-08,,,,,,1.1969e-02,4.2048e-03,4.8947e-05,4.6592e-06,9.5857e-08,,,,,,,,,,,
Sam 20,3.35640e-08,1.20286e-02,4.2694e-03,4.9919e-05,4.8004e-06,9.8693e-08,,,,,,            4.9434,           15.3592,           19.8364,           30.5533,           18.5155,            1.8406,            9.3741,           -0.4405,           -0.3890,          -16.7399,
Ref 21,3.37352e-08,,,,,,1.1969e-02,4.2048e-03,4.8948e-05,4.6568e-06,9.7953e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.35367e-08,,,,,,1.1969e-02,4.2048e-03,4.8949e-05,4.6612e-06,9.9562e-08,
Sam 1,3.29433e-08,1.20285e-02,4.2694e-03,4.9923e-05,4.8062e-06,9.6020e-08,,,,,,            4.9390,           15.3749,           19.8519,           31.2066,          -14.4305,            1.8354,            9.3897,           -0.4359,            0.2139,          -48.5699,
Ref 2,3.31317e-08,,,,,,1.1969e-02,4.2048e-03,4.8954e-05,4.6604e-06,9.5264e-08,,,,,,,,,,,
Sam 2,3.25342e-08,1.20285e-02,4.2694e-03,4.9926e-05,4.8040e-06,9.7568e-08,,,,,,            4.9389,           15.3724,           19.8274,           30.5103,           37.5332,            1.8355,            9.3872,           -0.4574,           -0.4566,            1.5987,
Ref 3,3.27360e-08,,,,,,1.1969e-02,4.2047e-03,4.8958e-05,4.6632e-06,9.2799e-08,,,,,,,,,,,
Sam 3,3.21356e-08,1.20284e-02,4.2694e-03,4.9924e-05,4.8066e-06,1.0352e-07,,,,,,            4.9425,           15.3671,           19.8268,           30.6154,           63.8325,            1.8394,            9.3819,           -0.4565,           -0.3442,           26.9937,
Ref 4,3.23466e-08,,,,,,1.1969e-02,4.2048e-03,4.8949e-05,4.6645e-06,1.0187e-07,,,,,,,,,,,
Sam 4,3.17442e-08,1.20284e-02,4.2693e-03,4.9922e-05,4.8063e-06,1.0019e-07,,,,,,            4.9427,           15.3616,           19.7764,           30.2699,           -1.4856,            1.8399,            9.3765,           -0.5009,           -0.6685,          -36.0524,
Ref 5,3.19651e-08,,,,,,1.1969e-02,4.2047e-03,4.8960e-05,4.6658e-06,9.8796e-08,,,,,,,,,,,
Sam 5,3.13602e-08,1.20284e-02,4.2694e-03,4.9928e-05,4.8056e-06,9.9368e-08,,,,,,            4.9389,           15.3648,           19.8259,           30.3527,            5.6946,            1.8357,            9.3797,           -0.4516,           -0.5945,          -29.1230,
Ref 6,3.15903e-08,,,,,,1.1969e-02,4.2048e-03,4.8954e-05,4.6622e-06,9.8814e-08,,,,,,,,,,,
Sam 6,3.09776e-08,1.20282e-02,4.2693e-03,4.9939e-05,4.8068e-06,1.0692e-07,,,,,,            4.9317,           15.3648,           20.1346,           30.3708,           18.2008,            1.8281,            9.3797,           -0.1416,           -0.5769,          -17.0422,
Ref 7,3.12167e-08,,,,,,1.1969e-02,4.2046e-03,4.8952e-05,4.6681e-06,1.1128e-07,,,,,,,,,,,
Sam 7,3.06008e-08,1.20281e-02,4.2692e-03,4.9929e-05,4.8084e-06,1.1003e-07,,,,,,            4.9362,           15.3668,           19.8901,           30.0442,           -8.1909,            1.8328,            9.3817,           -0.3878,           -0.8977,          -42.5287,
Ref 8,3.08553e-08,,,,,,1.1969e-02,4.2046e-03,4.8960e-05,4.6681e-06,1.1058e-07,,,,,,,,,,,
Sam 8,3.02351e-08,1.20282e-02,4.2692e-03,4.9927e-05,4.8091e-06,1.0857e-07,,,,,,            4.9456,           15.3584,           19.7247,           30.4055,           10.9877,            1.8430,            9.3733,           -0.5513,           -0.5306,          -24.0078,
Ref 9,3.04923e-08,,,,,,1.1969e-02,4.2047e-03,4.8964e-05,4.6663e-06,1.0415e-07,,,,,,,,,,,
Sam 9,2.98691e-08,1.20281e-02,4.2693e-03,4.9927e-05,4.8107e-06,1.0990e-07,,,,,,            4.9411,           15.3775,           19.7276,           30.4914,           25.1006,            1.8376,            9.3923,           -0.5625,           -0.4850,          -10.4155,
Ref 10,3.01365e-08,,,,,,1.1969e-02,4.2046e-03,4.8959e-05,4.6705e-06,1.1030e-07,,,,,,,,,,,
Sam 10,2.95140e-08,1.20281e-02,4.2691e-03,4.9932e-05,4.8131e-06,1.0882e-07,,,,,,            4.9462,           15.3571,           19.8632,           30.7196,          -12.8967,            1.8437,            9.3720,           -0.4150,           -0.2235,          -47.0637,
Ref 11,2.97863e-08,,,,,,1.1969e-02,4.2046e-03,4.8959e-05,4.6689e-06,1.1020e-07,,,,,,,,,,,
Sam 11,2.91629e-08,1.20280e-02,4.2692e-03,4.9932e-05,4.8052e-06,1.1120e-07,,,,,,            4.9387,           15.3737,           19.8482,           28.9234,            1.5997,            1.8352,            9.3885,           -0.4382,           -1.9984,          -33.0925,
Ref 12,2.94445e-08,,,,,,1.1969e-02,4.2046e-03,4.8962e-05,4.6714e-06,1.1185e-07,,,,,,,,,,,
Sam 12,2.88179e-08,1.20280e-02,4.2692e-03,4.9937e-05,4.8082e-06,1.1429e-07,,,,,,            4.9470,           15.3707,           19.9280,           29.1822,           -5.7494,            1.8442,            9.3855,           -0.3656,           -1.7414,          -40.1899,
Ref 13,2.91075e-08,,,,,,1.1969e-02,4.2045e-03,4.8961e-05,4.6723e-06,1.1809e-07,,,,,,,,,,,
Sam 13,2.84783e-08,1.20280e-02,4.2692e-03,4.9940e-05,4.8149e-06,1.1971e-07,,,,,,            4.9426,           15.3683,           19.9830,           30.5365,            5.9450,            1.8395,            9.3832,           -0.3048,           -0.4233,          -28.8917,
Ref 14,2.87768e-08,,,,,,1.1969e-02,4.2046e-03,4.8963e-05,4.6721e-06,1.1994e-07,,,,,,,,,,,
Sam 14,2.81432e-08,1.20280e-02,4.2690e-03,4.9930e-05,4.8109e-06,1.2179e-07,,,,,,            4.9469,           15.3314,           19.6450,           29.5760,            9.1161,            1.8454,            9.3464,           -0.6047,           -1.2821,          -25.7650,
Ref 15,2.84478e-08,,,,,,1.1969e-02,4.2045e-03,4.8972e-05,4.6732e-06,1.2145e-07,,,,,,,,,,,
Sam 15,2.78124e-08,1.20278e-02,4.2691e-03,4.9946e-05,4.8127e-06,1.1604e-07,,,,,,            4.9362,           15.3642,           19.8971,           30.2690,          -44.7792,            1.8328,            9.3791,           -0.3785,           -0.6746,          -77.8456,
Ref 16,2.81259e-08,,,,,,1.1969e-02,4.2045e-03,4.8971e-05,4.6693e-06,1.2152e-07,,,,,,,,,,,
Sam 16,2.74898e-08,1.20277e-02,4.2691e-03,4.9926e-05,4.8188e-06,1.2380e-07,,,,,,            4.9313,           15.3607,           19.5336,           31.4313,           -8.8943,            1.8278,            9.3756,           -0.7263,            0.4598,          -43.1915,
Ref 17,2.78076e-08,,,,,,1.1969e-02,4.2044e-03,4.8967e-05,4.6746e-06,1.2834e-07,,,,,,,,,,,
Sam 17,2.71650e-08,1.20277e-02,4.2690e-03,4.9937e-05,4.8143e-06,1.2970e-07,,,,,,            4.9470,           15.3726,           19.8080,           30.1771,           27.5843,            1.8440,            9.3874,           -0.4850,           -0.7803,           -8.0146,
Ref 18,2.74898e-08,,,,,,1.1968e-02,4.2044e-03,4.8967e-05,4.6720e-06,1.2406e-07,,,,,,,,,,,
Sam 18,2.68514e-08,1.20276e-02,4.2690e-03,4.9934e-05,4.8247e-06,1.2119e-07,,,,,,            4.9481,           15.3706,           19.7080,           32.5166,          -32.6956,            1.8453,            9.3854,           -0.5822,            1.4930,          -66.2036,
Ref 19,2.71844e-08,,,,,,1.1968e-02,4.2044e-03,4.8971e-05,4.6736e-06,1.2653e-07,,,,,,,,,,,
Sam 19,2.65364e-08,1.20276e-02,4.2690e-03,4.9941e-05,4.8162e-06,1.2399e-07,,,,,,            4.9473,           15.3633,           19.7987,           30.6504,          -44.9884,            1.8447,            9.3782,           -0.4854,           -0.3029,          -78.0568,
Ref 20,2.68751e-08,,,,,,1.1968e-02,4.2043e-03,4.8973e-05,4.6724e-06,1.3316e-07,,,,,,,,,,,
Sam 20,2.62269e-08,1.20276e-02,4.2689e-03,4.9941e-05,4.8167e-06,1.3383e-07,,,,,,            4.9457,           15.3572,           19.8061,           30.4130,           27.1758,            1.8432,            9.3721,           -0.4706,           -0.5210,           -8.3779,
Ref 21,2.65773e-08,,,,,,1.1968e-02,4.2044e-03,4.8969e-05,4.6767e-06,1.2738e-07,,,,,,,,,,,


