Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 20, 2021 at 04:32 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 20, 2021 at 05:31 with Stable 1.71.5 on PS019

Data File = Data_13692 FRAC_1-29RB.txt,   Sample Weight = 423,                      Vial Location = 46,                       Initial Sam Beam = 1.2382e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8008e-08,                Max Ref Beam = 1.0562e-07,                

Analysis undertaken at mass 46.00883
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.03700e-08,,,,,,1.1970e-02,4.2044e-03,4.8901e-05,4.6358e-06,6.0521e-08,
Sam 1,5.00222e-08,1.20383e-02,4.2647e-03,4.9862e-05,4.7701e-06,6.2214e-08,,,,,,            5.7082,           14.2731,           19.6017,           28.6448,           -3.3866,            2.6920,            8.2916,           -0.4012,           -0.1021,          -36.6356,
Ref 2,4.97138e-08,,,,,,1.1970e-02,4.2049e-03,4.8905e-05,4.6387e-06,6.4355e-08,,,,,,,,,,,
Sam 2,4.93262e-08,1.20384e-02,4.2648e-03,4.9861e-05,4.7731e-06,6.7326e-08,,,,,,            5.6950,           14.2422,           19.4876,           28.5828,           29.3101,            2.6790,            8.2608,           -0.4696,           -0.1015,           -4.9562,
Ref 3,4.90362e-08,,,,,,1.1970e-02,4.2049e-03,4.8910e-05,4.6424e-06,6.6477e-08,,,,,,,,,,,
Sam 3,4.86430e-08,1.20386e-02,4.2648e-03,4.9867e-05,4.7734e-06,6.9955e-08,,,,,,            5.7010,           14.2391,           19.4863,           28.1457,           67.1394,            2.6855,            8.2577,           -0.4741,           -0.5202,           31.6133,
Ref 4,4.83714e-08,,,,,,1.1970e-02,4.2049e-03,4.8917e-05,4.6430e-06,6.4618e-08,,,,,,,,,,,
Sam 4,4.79744e-08,1.20387e-02,4.2649e-03,4.9875e-05,4.7770e-06,6.5242e-08,,,,,,            5.7057,           14.2486,           19.5850,           28.6795,            4.8767,            2.6902,            8.2672,           -0.3913,           -0.0201,          -28.5992,
Ref 5,4.77232e-08,,,,,,1.1970e-02,4.2050e-03,4.8917e-05,4.6446e-06,6.5237e-08,,,,,,,,,,,
Sam 5,4.73228e-08,1.20386e-02,4.2649e-03,4.9870e-05,4.7767e-06,6.8397e-08,,,,,,            5.6973,           14.2490,           19.5178,           28.2749,          -16.7051,            2.6813,            8.2676,           -0.4491,           -0.4142,          -49.4545,
Ref 6,4.70792e-08,,,,,,1.1970e-02,4.2050e-03,4.8914e-05,4.6461e-06,7.3939e-08,,,,,,,,,,,
Sam 6,4.66759e-08,1.20386e-02,4.2649e-03,4.9871e-05,4.7792e-06,6.8938e-08,,,,,,            5.6956,           14.2517,           19.5283,           28.3225,          -47.7621,            2.6794,            8.2703,           -0.4396,           -0.3733,          -79.4803,
Ref 7,4.64525e-08,,,,,,1.1970e-02,4.2049e-03,4.8919e-05,4.6491e-06,7.0833e-08,,,,,,,,,,,
Sam 7,4.60439e-08,1.20385e-02,4.2649e-03,4.9876e-05,4.7794e-06,7.1228e-08,,,,,,            5.6949,           14.2519,           19.5445,           28.4769,          -16.3596,            2.6786,            8.2705,           -0.4232,           -0.2236,          -49.1234,
Ref 8,4.58351e-08,,,,,,1.1970e-02,4.2049e-03,4.8922e-05,4.6449e-06,7.4015e-08,,,,,,,,,,,
Sam 8,4.54247e-08,1.20387e-02,4.2648e-03,4.9870e-05,4.7778e-06,7.4754e-08,,,,,,            5.7089,           14.2462,           19.3653,           28.1513,           -2.6188,            2.6937,            8.2649,           -0.6078,           -0.5290,          -35.8440,
Ref 9,4.52297e-08,,,,,,1.1970e-02,4.2050e-03,4.8924e-05,4.6491e-06,7.5899e-08,,,,,,,,,,,
Sam 9,4.48168e-08,1.20385e-02,4.2648e-03,4.9888e-05,4.7800e-06,7.6638e-08,,,,,,            5.7047,           14.2475,           19.6427,           28.3138,          -11.3469,            2.6892,            8.2661,           -0.3327,           -0.3735,          -44.2794,
Ref 10,4.46325e-08,,,,,,1.1970e-02,4.2049e-03,4.8930e-05,4.6476e-06,7.9158e-08,,,,,,,,,,,
Sam 10,4.42164e-08,1.20383e-02,4.2648e-03,4.9880e-05,4.7801e-06,7.8269e-08,,,,,,            5.6929,           14.2473,           19.4431,           28.2809,           -9.4020,            2.6766,            8.2659,           -0.5162,           -0.4050,          -42.3870,
Ref 11,4.40486e-08,,,,,,1.1970e-02,4.2049e-03,4.8927e-05,4.6497e-06,7.8863e-08,,,,,,,,,,,
Sam 11,4.36303e-08,1.20383e-02,4.2648e-03,4.9880e-05,4.7795e-06,7.8616e-08,,,,,,            5.6896,           14.2479,           19.5169,           27.9373,          -29.4653,            2.6731,            8.2666,           -0.4410,           -0.7404,          -61.7802,
Ref 12,4.34686e-08,,,,,,1.1970e-02,4.2049e-03,4.8924e-05,4.6495e-06,8.3170e-08,,,,,,,,,,,
Sam 12,4.30480e-08,1.20384e-02,4.2649e-03,4.9879e-05,4.7795e-06,8.0838e-08,,,,,,            5.7024,           14.2551,           19.4211,           27.6634,          -24.0330,            2.6864,            8.2737,           -0.5549,           -1.0207,          -56.5545,
Ref 13,4.29050e-08,,,,,,1.1970e-02,4.2049e-03,4.8933e-05,4.6523e-06,8.2482e-08,,,,,,,,,,,
Sam 13,4.24854e-08,1.20383e-02,4.2648e-03,4.9885e-05,4.7834e-06,8.1971e-08,,,,,,            5.6941,           14.2305,           19.4921,           28.2965,           -6.6019,            2.6785,            8.2492,           -0.4530,           -0.3568,          -39.6501,
Ref 14,4.23543e-08,,,,,,1.1970e-02,4.2050e-03,4.8929e-05,4.6513e-06,8.2550e-08,,,,,,,,,,,
Sam 14,4.19264e-08,1.20384e-02,4.2648e-03,4.9881e-05,4.7851e-06,8.3960e-08,,,,,,            5.6998,           14.2161,           19.4380,           28.5929,            0.7846,            2.6851,            8.2349,           -0.4979,           -0.0402,          -32.4882,
Ref 15,4.18092e-08,,,,,,1.1970e-02,4.2050e-03,4.8931e-05,4.6529e-06,8.5256e-08,,,,,,,,,,,
Sam 15,4.13792e-08,1.20383e-02,4.2647e-03,4.9888e-05,4.7833e-06,8.4889e-08,,,,,,            5.7008,           14.2080,           19.5070,           28.2377,          -20.9553,            2.6864,            8.2268,           -0.4235,           -0.3695,          -53.4913,
Ref 16,4.12607e-08,,,,,,1.1970e-02,4.2050e-03,4.8937e-05,4.6509e-06,8.8175e-08,,,,,,,,,,,
Sam 16,4.08448e-08,1.20380e-02,4.2647e-03,4.9887e-05,4.7873e-06,8.5531e-08,,,,,,            5.6784,           14.2279,           19.3621,           28.6647,          -33.6339,            2.6619,            8.2467,           -0.5618,            0.0063,          -65.7625,
Ref 17,4.07462e-08,,,,,,1.1970e-02,4.2049e-03,4.8942e-05,4.6568e-06,8.8845e-08,,,,,,,,,,,
Sam 17,4.03104e-08,1.20381e-02,4.2647e-03,4.9885e-05,4.7871e-06,8.6270e-08,,,,,,            5.6952,           14.2371,           19.3461,           27.8662,          -19.7538,            2.6794,            8.2558,           -0.6036,           -0.7880,          -52.3776,
Ref 18,4.02265e-08,,,,,,1.1970e-02,4.2048e-03,4.8934e-05,4.6578e-06,8.7161e-08,,,,,,,,,,,
Sam 18,3.97904e-08,1.20381e-02,4.2647e-03,4.9888e-05,4.7867e-06,8.6615e-08,,,,,,            5.7018,           14.2343,           19.4864,           27.7619,          -19.4336,            2.6866,            8.2530,           -0.4702,           -0.8840,          -52.0696,
Ref 19,3.97167e-08,,,,,,1.1970e-02,4.2049e-03,4.8936e-05,4.6571e-06,8.9518e-08,,,,,,,,,,,
Sam 19,3.92780e-08,1.20379e-02,4.2646e-03,4.9898e-05,4.7866e-06,9.2189e-08,,,,,,            5.6950,           14.2220,           19.6826,           27.8527,           39.5827,            2.6797,            8.2408,           -0.2589,           -0.7715,            5.0137,
Ref 20,3.92164e-08,,,,,,1.1970e-02,4.2048e-03,4.8933e-05,4.6567e-06,8.7828e-08,,,,,,,,,,,
Sam 20,3.87699e-08,1.20379e-02,4.2646e-03,4.9894e-05,4.7937e-06,9.0104e-08,,,,,,            5.6979,           14.2180,           19.5552,           29.3977,           -4.1524,            2.6830,            8.2368,           -0.3830,            0.7384,          -37.2627,
Ref 21,3.87266e-08,,,,,,1.1970e-02,4.2048e-03,4.8942e-05,4.6568e-06,9.3164e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.84829e-08,,,,,,1.1970e-02,4.2047e-03,4.8934e-05,4.6601e-06,9.4716e-08,
Sam 1,3.80214e-08,1.20378e-02,4.2645e-03,4.9895e-05,4.7918e-06,9.4916e-08,,,,,,            5.7026,           14.2276,           19.5873,           27.9187,           -1.6823,            2.6877,            8.2463,           -0.3656,           -0.7183,          -34.8974,
Ref 2,3.80019e-08,,,,,,1.1969e-02,4.2047e-03,4.8939e-05,4.6631e-06,9.5440e-08,,,,,,,,,,,
Sam 2,3.75340e-08,1.20377e-02,4.2646e-03,4.9897e-05,4.7957e-06,9.7954e-08,,,,,,            5.6965,           14.2319,           19.5785,           28.5613,           34.9063,            2.6810,            8.2506,           -0.3721,           -0.1021,            0.4720,
Ref 3,3.75292e-08,,,,,,1.1970e-02,4.2047e-03,4.8938e-05,4.6620e-06,9.3850e-08,,,,,,,,,,,
Sam 3,3.70557e-08,1.20377e-02,4.2645e-03,4.9889e-05,4.7958e-06,9.9522e-08,,,,,,            5.6946,           14.2140,           19.3626,           28.6213,           46.1938,            2.6796,            8.2328,           -0.5646,           -0.0086,           11.4209,
Ref 4,3.70620e-08,,,,,,1.1970e-02,4.2047e-03,4.8944e-05,4.6627e-06,9.6422e-08,,,,,,,,,,,
Sam 4,3.65802e-08,1.20379e-02,4.2646e-03,4.9896e-05,4.8007e-06,9.8259e-08,,,,,,            5.7079,           14.2393,           19.4292,           29.6245,           -5.2802,            2.6928,            8.2579,           -0.5373,            0.9169,          -38.4027,
Ref 5,3.66009e-08,,,,,,1.1970e-02,4.2047e-03,4.8947e-05,4.6625e-06,1.0117e-07,,,,,,,,,,,
Sam 5,3.61168e-08,1.20378e-02,4.2645e-03,4.9901e-05,4.7935e-06,9.8733e-08,,,,,,            5.7007,           14.2230,           19.4871,           27.8070,          -36.8097,            2.6857,            8.2417,           -0.4573,           -0.8178,          -68.8457,
Ref 6,3.61503e-08,,,,,,1.1970e-02,4.2047e-03,4.8947e-05,4.6651e-06,1.0386e-07,,,,,,,,,,,
Sam 6,3.56627e-08,1.20376e-02,4.2645e-03,4.9896e-05,4.7959e-06,1.0204e-07,,,,,,            5.6992,           14.2287,           19.2960,           28.4142,            3.0386,            2.6840,            8.2474,           -0.6488,           -0.2388,          -30.3321,
Ref 7,3.57116e-08,,,,,,1.1969e-02,4.2046e-03,4.8956e-05,4.6616e-06,9.9578e-08,,,,,,,,,,,
Sam 7,3.52179e-08,1.20375e-02,4.2644e-03,4.9903e-05,4.7967e-06,1.0047e-07,,,,,,            5.7034,           14.2230,           19.4608,           27.9446,           -0.4788,            2.6887,            8.2417,           -0.4860,           -0.6841,          -33.7261,
Ref 8,3.52756e-08,,,,,,1.1969e-02,4.2047e-03,4.8946e-05,4.6710e-06,1.0147e-07,,,,,,,,,,,
Sam 8,3.47813e-08,1.20376e-02,4.2645e-03,4.9905e-05,4.8011e-06,1.0131e-07,,,,,,            5.7074,           14.2308,           19.4850,           28.0511,          -12.2149,            2.6926,            8.2494,           -0.4738,           -0.5959,          -45.0902,
Ref 9,3.48477e-08,,,,,,1.1969e-02,4.2046e-03,4.8956e-05,4.6692e-06,1.0367e-07,,,,,,,,,,,
Sam 9,3.43449e-08,1.20375e-02,4.2644e-03,4.9909e-05,4.8003e-06,1.0338e-07,,,,,,            5.7077,           14.2068,           19.4727,           28.5354,          -11.8930,            2.6938,            8.2256,           -0.4630,           -0.0779,          -44.7350,
Ref 10,3.44264e-08,,,,,,1.1969e-02,4.2046e-03,4.8954e-05,4.6650e-06,1.0560e-07,,,,,,,,,,,
Sam 10,3.39204e-08,1.20374e-02,4.2644e-03,4.9907e-05,4.8004e-06,1.0805e-07,,,,,,            5.6983,           14.2246,           19.3969,           28.6431,            2.3784,            2.6831,            8.2434,           -0.5450,           -0.0082,          -30.9618,
Ref 11,3.40087e-08,,,,,,1.1969e-02,4.2046e-03,4.8959e-05,4.6686e-06,1.1002e-07,,,,,,,,,,,
Sam 11,3.34987e-08,1.20373e-02,4.2644e-03,4.9906e-05,4.7999e-06,1.0791e-07,,,,,,            5.7010,           14.2309,           19.4049,           28.7351,          -27.7855,            2.6858,            8.2496,           -0.5459,            0.0689,          -60.1363,
Ref 12,3.35984e-08,,,,,,1.1969e-02,4.2046e-03,4.8952e-05,4.6631e-06,1.1199e-07,,,,,,,,,,,
Sam 12,3.30870e-08,1.20371e-02,4.2643e-03,4.9909e-05,4.8005e-06,1.1552e-07,,,,,,            5.6941,           14.2158,           19.4385,           28.5273,           -5.4815,            2.6790,            8.2346,           -0.4913,           -0.1035,          -38.5395,
Ref 13,3.31948e-08,,,,,,1.1969e-02,4.2045e-03,4.8962e-05,4.6716e-06,1.2038e-07,,,,,,,,,,,
Sam 13,3.26855e-08,1.20372e-02,4.2643e-03,4.9908e-05,4.8009e-06,1.1763e-07,,,,,,            5.7002,           14.2293,           19.4588,           27.1721,           -9.5138,            2.6850,            8.2480,           -0.4907,           -1.4475,          -42.4691,
Ref 14,3.28070e-08,,,,,,1.1969e-02,4.2044e-03,4.8948e-05,4.6762e-06,1.1712e-07,,,,,,,,,,,
Sam 14,3.22913e-08,1.20372e-02,4.2642e-03,4.9915e-05,4.8039e-06,1.2060e-07,,,,,,            5.7042,           14.2236,           19.6026,           27.3957,            4.2781,            2.6895,            8.2424,           -0.3484,           -1.2189,          -29.1294,
Ref 15,3.24241e-08,,,,,,1.1969e-02,4.2044e-03,4.8962e-05,4.6754e-06,1.2309e-07,,,,,,,,,,,
Sam 15,3.18945e-08,1.20370e-02,4.2642e-03,4.9909e-05,4.8028e-06,1.2742e-07,,,,,,            5.6960,           14.2250,           19.3834,           27.2419,           22.2814,            2.6806,            8.2437,           -0.5561,           -1.3711,          -11.7190,
Ref 16,3.20386e-08,,,,,,1.1969e-02,4.2044e-03,4.8959e-05,4.6754e-06,1.2622e-07,,,,,,,,,,,
Sam 16,3.15029e-08,1.20369e-02,4.2642e-03,4.9920e-05,4.8067e-06,1.2355e-07,,,,,,            5.6858,           14.2217,           19.5549,           28.5795,          -14.1400,            2.6699,            8.2405,           -0.3744,           -0.0643,          -46.9127,
Ref 17,3.16629e-08,,,,,,1.1969e-02,4.2045e-03,4.8965e-05,4.6709e-06,1.2442e-07,,,,,,,,,,,
Sam 17,3.11180e-08,1.20370e-02,4.2642e-03,4.9914e-05,4.8072e-06,1.2671e-07,,,,,,            5.6982,           14.2347,           19.4209,           28.7412,           13.8592,            2.6827,            8.2534,           -0.5311,            0.0672,          -19.8819,
Ref 18,3.12911e-08,,,,,,1.1969e-02,4.2043e-03,4.8960e-05,4.6749e-06,1.2555e-07,,,,,,,,,,,
Sam 18,3.07431e-08,1.20369e-02,4.2641e-03,4.9913e-05,4.8102e-06,1.2495e-07,,,,,,            5.7029,           14.2195,           19.4880,           28.6661,           -4.9955,            2.6882,            8.2382,           -0.4553,            0.0242,          -38.0854,
Ref 19,3.09232e-08,,,,,,1.1969e-02,4.2043e-03,4.8957e-05,4.6774e-06,1.2561e-07,,,,,,,,,,,
Sam 19,3.03743e-08,1.20368e-02,4.2641e-03,4.9922e-05,4.8101e-06,1.2685e-07,,,,,,            5.7030,           14.2322,           19.6063,           28.3698,           10.1505,            2.6879,            8.2509,           -0.3517,           -0.2888,          -23.4673,
Ref 20,3.05645e-08,,,,,,1.1969e-02,4.2043e-03,4.8966e-05,4.6773e-06,1.2553e-07,,,,,,,,,,,
Sam 20,3.00079e-08,1.20368e-02,4.2641e-03,4.9922e-05,4.8095e-06,1.3425e-07,,,,,,            5.7041,           14.2322,           19.4732,           27.8731,           58.3614,            2.6890,            8.2509,           -0.4833,           -0.7717,           23.1379,
Ref 21,3.02092e-08,,,,,,1.1969e-02,4.2043e-03,4.8971e-05,4.6809e-06,1.2817e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.00339e-08,,,,,,1.1968e-02,4.2042e-03,4.8968e-05,4.6766e-06,1.2784e-07,
Sam 1,2.94688e-08,1.20367e-02,4.2641e-03,4.9916e-05,4.8118e-06,1.2830e-07,,,,,,            5.6973,           14.2375,           19.3746,           28.6456,          -14.0683,            2.6817,            8.2562,           -0.5782,           -0.0312,          -46.8842,
Ref 2,2.96809e-08,,,,,,1.1968e-02,4.2042e-03,4.8966e-05,4.6790e-06,1.3244e-07,,,,,,,,,,,
Sam 2,2.91151e-08,1.20365e-02,4.2640e-03,4.9922e-05,4.8145e-06,1.3855e-07,,,,,,            5.6837,           14.2057,           19.4829,           28.5579,           10.2672,            2.6683,            8.2246,           -0.4274,           -0.0537,          -23.2845,
Ref 3,2.93362e-08,,,,,,1.1968e-02,4.2043e-03,4.8969e-05,4.6827e-06,1.4189e-07,,,,,,,,,,,
Sam 3,2.87721e-08,1.20367e-02,4.2640e-03,4.9927e-05,4.8118e-06,1.4315e-07,,,,,,            5.6984,           14.2225,           19.5053,           27.5627,            6.3541,            2.6834,            8.2412,           -0.4367,           -1.0543,          -27.1144,
Ref 4,2.90035e-08,,,,,,1.1968e-02,4.2042e-03,4.8974e-05,4.6827e-06,1.4261e-07,,,,,,,,,,,
Sam 4,2.84330e-08,1.20367e-02,4.2640e-03,4.9925e-05,4.8139e-06,1.4297e-07,,,,,,            5.7064,           14.2249,           19.4499,           27.5427,            0.8844,            2.6917,            8.2436,           -0.5015,           -1.0785,          -32.4148,
Ref 5,2.86738e-08,,,,,,1.1968e-02,4.2042e-03,4.8970e-05,4.6871e-06,1.4309e-07,,,,,,,,,,,
Sam 5,2.80364e-08,1.20384e-02,4.2651e-03,4.9937e-05,4.8182e-06,1.4811e-07,,,,,,            5.8304,           14.4466,           19.6587,           28.4199,           15.2379,            2.8161,            8.4640,           -0.6387,           -0.6627,          -19.0893,
Ref 6,2.83405e-08,,,,,,1.1969e-02,4.2045e-03,4.8979e-05,4.6831e-06,1.4873e-07,,,,,,,,,,,
Sam 6,2.77729e-08,1.20365e-02,4.2640e-03,4.9924e-05,4.8144e-06,1.4277e-07,,,,,,            5.6693,           14.1928,           19.3648,           27.8190,          -40.3418,            2.6534,            8.2117,           -0.5158,           -0.7466,          -72.1753,
Ref 7,2.80270e-08,,,,,,1.1968e-02,4.2042e-03,4.8973e-05,4.6851e-06,1.4882e-07,,,,,,,,,,,
Sam 7,2.74465e-08,1.20365e-02,4.2640e-03,4.9928e-05,4.8207e-06,1.4913e-07,,,,,,            5.6836,           14.2148,           19.4712,           28.6014,            9.3656,            2.6678,            8.2337,           -0.4475,           -0.0294,          -24.1733,
Ref 8,2.77069e-08,,,,,,1.1968e-02,4.2042e-03,4.8976e-05,4.6883e-06,1.4667e-07,,,,,,,,,,,
Sam 8,2.71234e-08,1.20365e-02,4.2640e-03,4.9933e-05,4.8195e-06,1.5258e-07,,,,,,            5.6748,           13.7286,           19.5156,           27.7116,            6.0150,            2.6753,            7.7498,            0.0769,            0.0643,          -26.4856,
Ref 9,2.73648e-08,,,,,,1.1969e-02,4.2083e-03,4.8979e-05,4.6908e-06,1.5673e-07,,,,,,,,,,,
Sam 9,2.68048e-08,1.20362e-02,4.2639e-03,4.9930e-05,4.8210e-06,1.5471e-07,,,,,,            5.6455,           13.6888,           19.4568,           28.0579,          -17.7501,            2.6454,            7.7102,            0.0879,            0.4798,          -49.3800,
Ref 10,2.70665e-08,,,,,,1.1969e-02,4.2043e-03,4.8975e-05,4.6881e-06,1.5828e-07,,,,,,,,,,,
Sam 10,2.64988e-08,1.20363e-02,4.2639e-03,4.9937e-05,4.8225e-06,1.6002e-07,,,,,,            5.6762,           14.1970,           19.6145,           28.3270,            4.7794,            2.6606,            8.2159,           -0.2822,           -0.2610,          -28.5658,
Ref 11,2.67794e-08,,,,,,1.1968e-02,4.2040e-03,4.8978e-05,4.6912e-06,1.6025e-07,,,,,,,,,,,
Sam 11,2.61937e-08,1.20363e-02,4.2638e-03,4.9934e-05,4.8243e-06,1.6477e-07,,,,,,            5.6956,           14.2166,           19.3660,           27.7970,           23.3816,            2.6806,            8.2353,           -0.5647,           -0.8149,          -10.6389,
Ref 12,2.64863e-08,,,,,,1.1968e-02,4.2041e-03,4.8994e-05,4.6965e-06,1.6178e-07,,,,,,,,,,,
Sam 12,2.58927e-08,1.20361e-02,4.2638e-03,4.9941e-05,4.8194e-06,1.6668e-07,,,,,,            5.6886,           14.2051,           19.4232,           26.3754,           15.2808,            2.6735,            8.2240,           -0.4903,           -2.1744,          -18.4414,
Ref 13,2.61918e-08,,,,,,1.1968e-02,4.2040e-03,4.8986e-05,4.6945e-06,1.6660e-07,,,,,,,,,,,
Sam 13,2.55931e-08,1.20361e-02,4.2637e-03,4.9936e-05,4.8283e-06,1.6989e-07,,,,,,            5.6935,           14.1892,           19.4906,           28.5266,            4.6227,            2.6792,            8.2081,           -0.4137,           -0.0516,          -28.7204,
Ref 14,2.58962e-08,,,,,,1.1968e-02,4.2041e-03,4.8977e-05,4.6943e-06,1.7165e-07,,,,,,,,,,,
Sam 14,2.52983e-08,1.20360e-02,4.2638e-03,4.9948e-05,4.8291e-06,1.6798e-07,,,,,,            5.6900,           14.2000,           19.6583,           28.1562,           -2.9076,            2.6752,            8.2189,           -0.2563,           -0.4330,          -36.0175,
Ref 15,2.56093e-08,,,,,,1.1968e-02,4.2040e-03,4.8993e-05,4.6994e-06,1.6525e-07,,,,,,,,,,,
Sam 15,2.50085e-08,1.20359e-02,4.2637e-03,4.9947e-05,4.8302e-06,1.7198e-07,,,,,,            5.6864,           14.2138,           19.5215,           28.0282,           33.4374,            2.6708,            8.2327,           -0.4001,           -0.5848,           -0.9024,
Ref 16,2.53269e-08,,,,,,1.1968e-02,4.2039e-03,4.8989e-05,4.6975e-06,1.6760e-07,,,,,,,,,,,
Sam 16,2.47241e-08,1.20360e-02,4.2637e-03,4.9946e-05,4.8314e-06,1.6972e-07,,,,,,            5.6963,           14.1860,           19.5016,           28.4601,            7.8959,            2.6823,            8.2049,           -0.4028,           -0.1100,          -25.5528,
Ref 17,2.50447e-08,,,,,,1.1968e-02,4.2041e-03,4.8992e-05,4.6979e-06,1.6918e-07,,,,,,,,,,,
Sam 17,2.44409e-08,1.20357e-02,4.2636e-03,4.9945e-05,4.8325e-06,1.7407e-07,,,,,,            5.6829,           14.1892,           19.5131,           29.0043,            5.1224,            2.6680,            8.2081,           -0.3809,            0.4128,          -28.2265,
Ref 18,2.47711e-08,,,,,,1.1968e-02,4.2038e-03,4.8987e-05,4.6947e-06,1.7723e-07,,,,,,,,,,,
Sam 18,2.41610e-08,1.20357e-02,4.2636e-03,4.9944e-05,4.8245e-06,1.7959e-07,,,,,,            5.6942,           14.2111,           19.4765,           27.0611,            8.7802,            2.6792,            8.2300,           -0.4495,           -1.5197,          -24.7431,
Ref 19,2.44974e-08,,,,,,1.1968e-02,4.2039e-03,4.8992e-05,4.7001e-06,1.7884e-07,,,,,,,,,,,
Sam 19,2.38837e-08,1.20357e-02,4.2636e-03,4.9946e-05,4.8361e-06,1.9083e-07,,,,,,            5.7013,           14.1749,           19.3862,           29.0043,           46.9398,            2.6881,            8.1939,           -0.5104,            0.4410,           12.2118,
Ref 20,2.42252e-08,,,,,,1.1967e-02,4.2041e-03,4.9000e-05,4.6996e-06,1.8575e-07,,,,,,,,,,,
Sam 20,2.36087e-08,1.20356e-02,4.2637e-03,4.9958e-05,4.8364e-06,1.7964e-07,,,,,,            5.7013,           14.2046,           19.4971,           28.5673,          -24.5033,            2.6870,            8.2234,           -0.4303,           -0.0425,          -56.9157,
Ref 21,2.39645e-08,,,,,,1.1967e-02,4.2038e-03,4.9005e-05,4.7046e-06,1.8254e-07,,,,,,,,,,,


