Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 20, 2021 at 05:53 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 20, 2021 at 06:52 with Stable 1.71.5 on PS019

Data File = Data_13693 IAEA-C1.txt,       Sample Weight = 528,                      Vial Location = 47,                       Initial Sam Beam = 2.1014e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7434e-08,                Max Ref Beam = 1.0551e-07,                

Analysis undertaken at mass 46.0109
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.23865e-08,,,,,,1.1973e-02,4.2060e-03,4.8914e-05,4.6377e-06,5.9928e-08,
Sam 1,8.24023e-08,1.20361e-02,4.2546e-03,4.9709e-05,4.7505e-06,6.0600e-08,,,,,,            5.2878,           11.5278,           16.2423,           23.6854,            3.2577,            2.3392,            5.5605,           -0.6032,            0.4857,          -24.5952,
Ref 2,8.11017e-08,,,,,,1.1973e-02,4.2062e-03,4.8915e-05,4.6436e-06,6.0886e-08,,,,,,,,,,,
Sam 2,8.10468e-08,1.20360e-02,4.2545e-03,4.9709e-05,4.7478e-06,6.0658e-08,,,,,,            5.2608,           11.4963,           16.2164,           22.3329,          -14.9071,            2.3116,            5.5292,           -0.5704,           -0.7739,          -42.1697,
Ref 3,7.97691e-08,,,,,,1.1973e-02,4.2061e-03,4.8916e-05,4.6446e-06,6.2277e-08,,,,,,,,,,,
Sam 3,7.97098e-08,1.20359e-02,4.2544e-03,4.9709e-05,4.7480e-06,6.0498e-08,,,,,,            5.2682,           11.4991,           16.2150,           22.2055,           -4.9541,            2.3193,            5.5320,           -0.5821,           -0.9041,          -32.5050,
Ref 4,7.84753e-08,,,,,,1.1973e-02,4.2060e-03,4.8916e-05,4.6450e-06,5.9296e-08,,,,,,,,,,,
Sam 4,7.83963e-08,1.20357e-02,4.2543e-03,4.9708e-05,4.7509e-06,6.0782e-08,,,,,,            5.2708,           11.4739,           16.2280,           23.0739,           15.9454,            2.3230,            5.5069,           -0.5476,           -0.0055,          -12.1385,
Ref 5,7.71529e-08,,,,,,1.1972e-02,4.2061e-03,4.8913e-05,4.6424e-06,6.0368e-08,,,,,,,,,,,
Sam 5,7.71191e-08,1.20354e-02,4.2542e-03,4.9706e-05,4.7480e-06,6.0244e-08,,,,,,            5.2616,           11.4907,           16.2562,           22.5091,          -14.0100,            2.3126,            5.5236,           -0.5266,           -0.5907,          -41.2877,
Ref 6,7.59689e-08,,,,,,1.1972e-02,4.2057e-03,4.8910e-05,4.6446e-06,6.1843e-08,,,,,,,,,,,
Sam 6,7.58789e-08,1.20351e-02,4.2540e-03,4.9700e-05,4.7490e-06,6.0500e-08,,,,,,            5.2511,           11.4904,           16.2596,           22.4311,          -19.9174,            2.3015,            5.5234,           -0.5122,           -0.6663,          -47.0206,
Ref 7,7.47591e-08,,,,,,1.1972e-02,4.2056e-03,4.8900e-05,4.6451e-06,6.1615e-08,,,,,,,,,,,
Sam 7,7.46134e-08,1.20350e-02,4.2542e-03,4.9706e-05,4.7493e-06,6.0980e-08,,,,,,            5.2699,           11.5601,           16.3815,           22.7580,          -31.4101,            2.3191,            5.5927,           -0.4794,           -0.4846,          -58.3418,
Ref 8,7.35609e-08,,,,,,1.1972e-02,4.2055e-03,4.8909e-05,4.6421e-06,6.4322e-08,,,,,,,,,,,
Sam 8,7.34572e-08,1.20348e-02,4.2538e-03,4.9704e-05,4.7497e-06,6.4890e-08,,,,,,            5.2643,           11.5014,           16.2586,           22.9442,           14.4222,            2.3151,            5.5342,           -0.5375,           -0.1865,          -13.6655,
Ref 9,7.24030e-08,,,,,,1.1972e-02,4.2054e-03,4.8908e-05,4.6443e-06,6.3607e-08,,,,,,,,,,,
Sam 9,7.22908e-08,1.20346e-02,4.2537e-03,4.9699e-05,4.7488e-06,6.3605e-08,,,,,,            5.2606,           11.4909,           16.1851,           22.8208,           -0.0369,            2.3116,            5.5239,           -0.5958,           -0.2864,          -27.7007,
Ref 10,7.12765e-08,,,,,,1.1971e-02,4.2053e-03,4.8908e-05,4.6415e-06,6.3607e-08,,,,,,,,,,,
Sam 10,7.11608e-08,1.20344e-02,4.2536e-03,4.9696e-05,4.7493e-06,6.4826e-08,,,,,,            5.2606,           11.4938,           16.1493,           22.8641,           -3.2329,            2.3115,            5.5267,           -0.6338,           -0.2498,          -30.8136,
Ref 11,7.01753e-08,,,,,,1.1971e-02,4.2052e-03,4.8903e-05,4.6448e-06,6.6488e-08,,,,,,,,,,,
Sam 11,7.00480e-08,1.20342e-02,4.2535e-03,4.9697e-05,4.7484e-06,6.5511e-08,,,,,,            5.2633,           11.4882,           16.2595,           22.2883,          -14.6892,            2.3145,            5.5212,           -0.5228,           -0.8016,          -41.9453,
Ref 12,6.90864e-08,,,,,,1.1971e-02,4.2051e-03,4.8900e-05,4.6449e-06,6.6487e-08,,,,,,,,,,,
Sam 12,6.89616e-08,1.20340e-02,4.2534e-03,4.9689e-05,4.7501e-06,6.7705e-08,,,,,,            5.2542,           11.4826,           16.0976,           22.6641,            9.6247,            2.3050,            5.5156,           -0.6672,           -0.4232,          -18.2837,
Ref 13,6.80177e-08,,,,,,1.1971e-02,4.2051e-03,4.8904e-05,4.6448e-06,6.7640e-08,,,,,,,,,,,
Sam 13,6.78946e-08,1.20339e-02,4.2533e-03,4.9693e-05,4.7500e-06,6.9622e-08,,,,,,            5.2609,           11.4878,           16.2029,           22.6465,           19.6245,            2.3120,            5.5208,           -0.5755,           -0.4506,           -8.5775,
Ref 14,6.69848e-08,,,,,,1.1971e-02,4.2050e-03,4.8897e-05,4.6449e-06,6.8934e-08,,,,,,,,,,,
Sam 14,6.68521e-08,1.20338e-02,4.2532e-03,4.9690e-05,4.7491e-06,6.9833e-08,,,,,,            5.2554,           11.4898,           16.1488,           22.3287,           22.3903,            2.3060,            5.5228,           -0.6251,           -0.7653,           -5.8862,
Ref 15,6.59800e-08,,,,,,1.1971e-02,4.2049e-03,4.8904e-05,4.6460e-06,6.7664e-08,,,,,,,,,,,
Sam 15,6.58294e-08,1.20336e-02,4.2532e-03,4.9688e-05,4.7509e-06,7.0277e-08,,,,,,            5.2487,           11.4835,           16.0685,           22.9023,           17.1815,            2.2992,            5.5165,           -0.6910,           -0.1920,          -10.9318,
Ref 16,6.49825e-08,,,,,,1.1971e-02,4.2049e-03,4.8900e-05,4.6431e-06,7.0538e-08,,,,,,,,,,,
Sam 16,6.48321e-08,1.20336e-02,4.2531e-03,4.9693e-05,4.7475e-06,7.1046e-08,,,,,,            5.2584,           11.4861,           16.2445,           22.1646,           22.0999,            2.3094,            5.5190,           -0.5304,           -0.9182,           -6.1646,
Ref 17,6.40126e-08,,,,,,1.1971e-02,4.2047e-03,4.8898e-05,4.6460e-06,6.8467e-08,,,,,,,,,,,
Sam 17,6.38501e-08,1.20335e-02,4.2530e-03,4.9692e-05,4.7484e-06,7.1008e-08,,,,,,            5.2568,           11.4748,           16.1790,           22.0797,            6.3421,            2.3080,            5.5078,           -0.5821,           -0.9789,          -21.4633,
Ref 18,6.30327e-08,,,,,,1.1971e-02,4.2049e-03,4.8904e-05,4.6456e-06,7.2686e-08,,,,,,,,,,,
Sam 18,6.28741e-08,1.20336e-02,4.2532e-03,4.9696e-05,4.7481e-06,7.3171e-08,,,,,,            5.2668,           11.5035,           16.3162,           22.2786,          -14.6362,            2.3177,            5.5364,           -0.4855,           -0.8413,          -41.9258,
Ref 19,6.21177e-08,,,,,,1.1971e-02,4.2047e-03,4.8893e-05,4.6436e-06,7.5852e-08,,,,,,,,,,,
Sam 19,6.19528e-08,1.20333e-02,4.2530e-03,4.9691e-05,4.7477e-06,7.3433e-08,,,,,,            5.2533,           11.4659,           16.2342,           22.2382,          -19.3534,            2.3046,            5.4990,           -0.5156,           -0.8064,          -46.4289,
Ref 20,6.11927e-08,,,,,,1.1970e-02,4.2048e-03,4.8902e-05,4.6453e-06,7.3898e-08,,,,,,,,,,,
Sam 20,6.10286e-08,1.20332e-02,4.2529e-03,4.9689e-05,4.7497e-06,7.3359e-08,,,,,,            5.2565,           11.4636,           16.1154,           22.3079,          -12.9622,            2.3081,            5.4966,           -0.6335,           -0.7337,          -40.2131,
Ref 21,6.03050e-08,,,,,,1.1970e-02,4.2047e-03,4.8900e-05,4.6467e-06,7.4752e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.98672e-08,,,,,,1.1970e-02,4.2046e-03,4.8905e-05,4.6471e-06,7.6057e-08,
Sam 1,5.96708e-08,1.20332e-02,4.2529e-03,4.9691e-05,4.7522e-06,7.8744e-08,,,,,,            5.2545,           11.4583,           16.0620,           22.6725,           25.3946,            2.3062,            5.4914,           -0.6788,           -0.3670,           -2.9031,
Ref 2,5.89796e-08,,,,,,1.1970e-02,4.2049e-03,4.8906e-05,4.6467e-06,7.7541e-08,,,,,,,,,,,
Sam 2,5.87440e-08,1.20332e-02,4.2531e-03,4.9696e-05,4.7522e-06,7.6452e-08,,,,,,            5.2612,           11.4801,           16.0875,           22.6378,          -22.2067,            2.3125,            5.5131,           -0.6817,           -0.4439,          -49.2377,
Ref 3,5.81339e-08,,,,,,1.1970e-02,4.2047e-03,4.8912e-05,4.6473e-06,7.8845e-08,,,,,,,,,,,
Sam 3,5.79141e-08,1.20331e-02,4.2529e-03,4.9691e-05,4.7524e-06,7.8542e-08,,,,,,            5.2557,           11.4610,           15.9868,           22.5449,           -1.2321,            2.3073,            5.4941,           -0.7566,           -0.4970,          -28.8012,
Ref 4,5.73016e-08,,,,,,1.1970e-02,4.2047e-03,4.8906e-05,4.6479e-06,7.8430e-08,,,,,,,,,,,
Sam 4,5.70415e-08,1.20333e-02,4.2530e-03,4.9700e-05,4.7544e-06,8.2574e-08,,,,,,            5.2704,           11.4826,           16.1308,           22.7568,           29.5073,            2.3222,            5.5156,           -0.6511,           -0.3326,            1.0320,
Ref 5,5.64580e-08,,,,,,1.1970e-02,4.2048e-03,4.8916e-05,4.6493e-06,8.2012e-08,,,,,,,,,,,
Sam 5,5.61905e-08,1.20331e-02,4.2532e-03,4.9703e-05,4.7500e-06,8.3484e-08,,,,,,            5.2596,           11.4859,           16.0486,           21.6567,            4.0584,            2.3106,            5.5189,           -0.7241,           -1.4144,          -23.7081,
Ref 6,5.56413e-08,,,,,,1.1970e-02,4.2050e-03,4.8920e-05,4.6493e-06,8.4298e-08,,,,,,,,,,,
Sam 6,5.54021e-08,1.20331e-02,4.2531e-03,4.9706e-05,4.7551e-06,8.3142e-08,,,,,,            5.2648,           11.4758,           16.1304,           22.7864,          -19.9138,            2.3165,            5.5088,           -0.6391,           -0.2901,          -47.0037,
Ref 7,5.48682e-08,,,,,,1.1970e-02,4.2048e-03,4.8914e-05,4.6490e-06,8.5372e-08,,,,,,,,,,,
Sam 7,5.45918e-08,1.20330e-02,4.2530e-03,4.9709e-05,4.7546e-06,8.3403e-08,,,,,,            5.2519,           11.4783,           16.2153,           22.5742,          -37.3167,            2.3028,            5.5113,           -0.5449,           -0.5026,          -63.9176,
Ref 8,5.41070e-08,,,,,,1.1970e-02,4.2047e-03,4.8918e-05,4.6503e-06,8.7918e-08,,,,,,,,,,,
Sam 8,5.38046e-08,1.20331e-02,4.2531e-03,4.9713e-05,4.7548e-06,8.5142e-08,,,,,,            5.2513,           11.4745,           16.2780,           22.3061,          -28.3516,            2.3022,            5.5076,           -0.4789,           -0.7572,          -55.1926,
Ref 9,5.33165e-08,,,,,,1.1970e-02,4.2049e-03,4.8916e-05,4.6520e-06,8.7330e-08,,,,,,,,,,,
Sam 9,5.30510e-08,1.20331e-02,4.2530e-03,4.9712e-05,4.7535e-06,8.7056e-08,,,,,,            5.2509,           11.4595,           16.2423,           21.6093,          -10.6733,            2.3023,            5.4926,           -0.4990,           -1.4084,          -37.9740,
Ref 10,5.25919e-08,,,,,,1.1970e-02,4.2047e-03,4.8920e-05,4.6540e-06,8.8670e-08,,,,,,,,,,,
Sam 10,5.22966e-08,1.20331e-02,4.2530e-03,4.9711e-05,4.7590e-06,9.0846e-08,,,,,,            5.2667,           11.4864,           16.1432,           22.6135,            7.9300,            2.3182,            5.5193,           -0.6388,           -0.4801,          -19.9518,
Ref 11,5.18685e-08,,,,,,1.1970e-02,4.2047e-03,4.8922e-05,4.6536e-06,9.1613e-08,,,,,,,,,,,
Sam 11,5.15568e-08,1.20330e-02,4.2530e-03,4.9713e-05,4.7612e-06,9.2694e-08,,,,,,            5.2507,           11.4709,           16.1561,           22.7227,            5.7885,            2.3017,            5.5040,           -0.5947,           -0.3428,          -21.9881,
Ref 12,5.11473e-08,,,,,,1.1970e-02,4.2049e-03,4.8923e-05,4.6573e-06,9.2716e-08,,,,,,,,,,,
Sam 12,5.08175e-08,1.20332e-02,4.2532e-03,4.9718e-05,4.7602e-06,9.0970e-08,,,,,,            5.2592,           11.4977,           16.1650,           22.5583,          -19.4496,            2.3098,            5.5306,           -0.6206,           -0.5563,          -46.5874,
Ref 13,5.04327e-08,,,,,,1.1970e-02,4.2049e-03,4.8931e-05,4.6530e-06,9.2834e-08,,,,,,,,,,,
Sam 13,5.01115e-08,1.20331e-02,4.2531e-03,4.9722e-05,4.7608e-06,9.5724e-08,,,,,,            5.2527,           11.4740,           16.2690,           22.7105,           12.5359,            2.3037,            5.5070,           -0.4887,           -0.3608,          -15.4350,
Ref 14,4.97586e-08,,,,,,1.1970e-02,4.2048e-03,4.8921e-05,4.6572e-06,9.6266e-08,,,,,,,,,,,
Sam 14,4.94366e-08,1.20330e-02,4.2530e-03,4.9722e-05,4.7631e-06,9.7606e-08,,,,,,            5.2525,           11.4642,           16.2760,           22.7433,            5.6164,            2.3038,            5.4973,           -0.4720,           -0.3094,          -22.1445,
Ref 15,4.90897e-08,,,,,,1.1970e-02,4.2048e-03,4.8931e-05,4.6571e-06,9.7866e-08,,,,,,,,,,,
Sam 15,4.87463e-08,1.20330e-02,4.2532e-03,4.9724e-05,4.7621e-06,9.8167e-08,,,,,,            5.2595,           11.5029,           16.2597,           22.3209,           -9.9726,            2.3100,            5.5358,           -0.5329,           -0.7988,          -37.3828,
Ref 16,4.84278e-08,,,,,,1.1970e-02,4.2048e-03,4.8926e-05,4.6592e-06,1.0046e-07,,,,,,,,,,,
Sam 16,4.80712e-08,1.20329e-02,4.2530e-03,4.9725e-05,4.7656e-06,1.0115e-07,,,,,,            5.2529,           11.4521,           16.1843,           23.1068,           -2.5590,            2.3047,            5.4852,           -0.5509,            0.0699,          -30.0718,
Ref 17,4.77560e-08,,,,,,1.1970e-02,4.2049e-03,4.8939e-05,4.6567e-06,1.0237e-07,,,,,,,,,,,
Sam 17,4.74012e-08,1.20329e-02,4.2532e-03,4.9733e-05,4.7651e-06,1.0159e-07,,,,,,            5.2519,           11.4880,           16.3581,           22.9071,            0.3522,            2.3024,            5.5210,           -0.4138,           -0.1964,          -27.3079,
Ref 18,4.71344e-08,,,,,,1.1970e-02,4.2048e-03,4.8927e-05,4.6601e-06,1.0072e-07,,,,,,,,,,,
Sam 18,4.66870e-08,1.20335e-02,4.2536e-03,4.9735e-05,4.7648e-06,1.0487e-07,,,,,,            5.3100,           11.6208,           16.4103,           22.3482,           25.3575,            2.3596,            5.6530,           -0.5511,           -1.0049,           -3.3125,
Ref 19,4.64988e-08,,,,,,1.1970e-02,4.2047e-03,4.8938e-05,4.6612e-06,1.0385e-07,,,,,,,,,,,
Sam 19,4.61082e-08,1.20328e-02,4.2531e-03,4.9730e-05,4.7687e-06,1.0503e-07,,,,,,            5.2570,           11.5089,           16.2087,           23.0065,           -4.4791,            2.3071,            5.5418,           -0.5864,           -0.1406,          -32.0502,
Ref 20,4.58790e-08,,,,,,1.1970e-02,4.2047e-03,4.8935e-05,4.6618e-06,1.0717e-07,,,,,,,,,,,
Sam 20,4.54789e-08,1.20328e-02,4.2530e-03,4.9732e-05,4.7668e-06,1.0758e-07,,,,,,            5.2552,           11.4708,           16.1788,           22.2166,          -15.2363,            2.3065,            5.5039,           -0.5769,           -0.8372,          -42.4367,
Ref 21,4.52692e-08,,,,,,1.1970e-02,4.2048e-03,4.8945e-05,4.6646e-06,1.1135e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.49728e-08,,,,,,1.1970e-02,4.2047e-03,4.8945e-05,4.6649e-06,1.0983e-07,
Sam 1,4.45614e-08,1.20329e-02,4.2531e-03,4.9738e-05,4.7717e-06,1.0984e-07,,,,,,            5.2728,           11.4879,           16.1832,           23.0401,           -9.2830,            2.3246,            5.5208,           -0.6071,           -0.0661,          -36.6977,
Ref 2,4.43805e-08,,,,,,1.1970e-02,4.2048e-03,4.8946e-05,4.6637e-06,1.1193e-07,,,,,,,,,,,
Sam 2,4.39602e-08,1.20327e-02,4.2530e-03,4.9738e-05,4.7698e-06,1.1404e-07,,,,,,            5.2580,           11.4799,           16.1198,           22.4081,            9.3753,            2.3091,            5.5129,           -0.6466,           -0.6681,          -18.5251,
Ref 3,4.37991e-08,,,,,,1.1970e-02,4.2047e-03,4.8952e-05,4.6669e-06,1.1405e-07,,,,,,,,,,,
Sam 3,4.33650e-08,1.20326e-02,4.2530e-03,4.9733e-05,4.7693e-06,1.1540e-07,,,,,,            5.2505,           11.4826,           15.9960,           22.3227,           -1.4608,            2.3011,            5.5156,           -0.7633,           -0.7569,          -29.0591,
Ref 4,4.32204e-08,,,,,,1.1970e-02,4.2048e-03,4.8947e-05,4.6634e-06,1.1712e-07,,,,,,,,,,,
Sam 4,4.27857e-08,1.20326e-02,4.2530e-03,4.9740e-05,4.7732e-06,1.1556e-07,,,,,,            5.2524,           11.4734,           16.1951,           22.9138,           -4.8921,            2.3034,            5.5064,           -0.5604,           -0.1608,          -32.3802,
Ref 5,4.26577e-08,,,,,,1.1970e-02,4.2047e-03,4.8948e-05,4.6692e-06,1.1513e-07,,,,,,,,,,,
Sam 5,4.22148e-08,1.20327e-02,4.2530e-03,4.9740e-05,4.7739e-06,1.1556e-07,,,,,,            5.2632,           11.4803,           16.1487,           22.1866,          -15.8153,            2.3146,            5.5133,           -0.6238,           -0.8853,          -43.0253,
Ref 6,4.21087e-08,,,,,,1.1970e-02,4.2047e-03,4.8952e-05,4.6714e-06,1.1973e-07,,,,,,,,,,,
Sam 6,4.16518e-08,1.20325e-02,4.2530e-03,4.9744e-05,4.7758e-06,1.1900e-07,,,,,,            5.2570,           11.4862,           16.1345,           22.5035,           -2.1710,            2.3079,            5.5192,           -0.6373,           -0.5872,          -29.7630,
Ref 7,4.15612e-08,,,,,,1.1970e-02,4.2047e-03,4.8956e-05,4.6700e-06,1.1879e-07,,,,,,,,,,,
Sam 7,4.11018e-08,1.20325e-02,4.2530e-03,4.9740e-05,4.7728e-06,1.2234e-07,,,,,,            5.2583,           11.4908,           16.0184,           21.9923,           -0.3195,            2.3091,            5.5238,           -0.7572,           -1.0960,          -27.9728,
Ref 8,4.10296e-08,,,,,,1.1970e-02,4.2046e-03,4.8957e-05,4.6703e-06,1.2602e-07,,,,,,,,,,,
Sam 8,4.05635e-08,1.20325e-02,4.2529e-03,4.9748e-05,4.7768e-06,1.2495e-07,,,,,,            5.2611,           11.4736,           16.1202,           22.5809,          -11.6528,            2.3127,            5.5067,           -0.6433,           -0.4868,          -38.9634,
Ref 9,4.05028e-08,,,,,,1.1969e-02,4.2047e-03,4.8960e-05,4.6725e-06,1.2684e-07,,,,,,,,,,,
Sam 9,4.00316e-08,1.20324e-02,4.2529e-03,4.9742e-05,4.7779e-06,1.2407e-07,,,,,,            5.2612,           11.4705,           15.9673,           22.4212,          -22.7884,            2.3129,            5.5036,           -0.7907,           -0.6368,          -49.7856,
Ref 10,3.99906e-08,,,,,,1.1969e-02,4.2046e-03,4.8961e-05,4.6738e-06,1.2709e-07,,,,,,,,,,,
Sam 10,3.95075e-08,1.20324e-02,4.2529e-03,4.9750e-05,4.7777e-06,1.2606e-07,,,,,,            5.2599,           11.4779,           16.1670,           22.3416,           -1.7079,            2.3113,            5.5109,           -0.6002,           -0.7290,          -29.3001,
Ref 11,3.94771e-08,,,,,,1.1969e-02,4.2046e-03,4.8957e-05,4.6729e-06,1.2544e-07,,,,,,,,,,,
Sam 11,3.89914e-08,1.20322e-02,4.2528e-03,4.9753e-05,4.7816e-06,1.2490e-07,,,,,,            5.2493,           11.4554,           16.2520,           22.9759,          -17.6947,            2.3007,            5.4885,           -0.4838,           -0.0646,          -44.7925,
Ref 12,3.89792e-08,,,,,,1.1969e-02,4.2046e-03,4.8957e-05,4.6756e-06,1.2889e-07,,,,,,,,,,,
Sam 12,3.84891e-08,1.20323e-02,4.2528e-03,4.9767e-05,4.7860e-06,1.3076e-07,,,,,,            5.2615,           11.4686,           16.4669,           23.2737,            5.0451,            2.3133,            5.5016,           -0.2978,            0.2004,          -22.7177,
Ref 13,3.84862e-08,,,,,,1.1969e-02,4.2046e-03,4.8964e-05,4.6787e-06,1.3133e-07,,,,,,,,,,,
Sam 13,3.79918e-08,1.20321e-02,4.2528e-03,4.9755e-05,4.7831e-06,1.3434e-07,,,,,,            5.2421,           11.4632,           16.1479,           22.3372,           17.8117,            2.2928,            5.4963,           -0.5864,           -0.7043,          -10.2730,
Ref 14,3.80053e-08,,,,,,1.1969e-02,4.2046e-03,4.8965e-05,4.6785e-06,1.3265e-07,,,,,,,,,,,
Sam 14,3.75058e-08,1.20321e-02,4.2528e-03,4.9757e-05,4.7863e-06,1.3468e-07,,,,,,            5.2576,           11.4696,           16.1130,           22.6577,          -19.4170,            2.3091,            5.5027,           -0.6429,           -0.4038,          -46.5020,
Ref 15,3.75326e-08,,,,,,1.1969e-02,4.2045e-03,4.8970e-05,4.6821e-06,1.4209e-07,,,,,,,,,,,
Sam 15,3.70279e-08,1.20321e-02,4.2527e-03,4.9754e-05,4.7848e-06,1.4152e-07,,,,,,            5.2585,           11.4582,           15.9577,           21.6711,            3.1540,            2.3105,            5.4913,           -0.7855,           -1.3456,          -24.5338,
Ref 16,3.70659e-08,,,,,,1.1969e-02,4.2045e-03,4.8974e-05,4.6846e-06,1.4005e-07,,,,,,,,,,,
Sam 16,3.65545e-08,1.20318e-02,4.2527e-03,4.9756e-05,4.7862e-06,1.4616e-07,,,,,,            5.2332,           11.4596,           16.0095,           21.7944,           20.0386,            2.2835,            5.4928,           -0.7100,           -1.2278,           -8.0914,
Ref 17,3.66084e-08,,,,,,1.1969e-02,4.2046e-03,4.8970e-05,4.6836e-06,1.4656e-07,,,,,,,,,,,
Sam 17,3.60908e-08,1.20321e-02,4.2527e-03,4.9762e-05,4.7854e-06,1.4342e-07,,,,,,            5.2600,           11.4538,           16.1323,           21.9281,          -19.4574,            2.3122,            5.4869,           -0.6110,           -1.0857,          -46.5145,
Ref 18,3.61566e-08,,,,,,1.1969e-02,4.2045e-03,4.8974e-05,4.6819e-06,1.4596e-07,,,,,,,,,,,
Sam 18,3.56245e-08,1.20319e-02,4.2528e-03,4.9768e-05,4.7862e-06,1.4823e-07,,,,,,            5.2586,           11.4940,           16.1812,           22.1308,           14.3361,            2.3093,            5.5269,           -0.6004,           -0.9669,          -13.7289,
Ref 19,3.57113e-08,,,,,,1.1969e-02,4.2045e-03,4.8976e-05,4.6834e-06,1.4632e-07,,,,,,,,,,,
Sam 19,3.51776e-08,1.20318e-02,4.2526e-03,4.9760e-05,4.7911e-06,1.4792e-07,,,,,,            5.2502,           11.4653,           15.9800,           22.4760,           -0.2509,            2.3013,            5.4983,           -0.7619,           -0.5728,          -27.8495,
Ref 20,3.52717e-08,,,,,,1.1969e-02,4.2044e-03,4.8978e-05,4.6882e-06,1.4961e-07,,,,,,,,,,,
Sam 20,3.47332e-08,1.20318e-02,4.2526e-03,4.9764e-05,4.7917e-06,1.4998e-07,,,,,,            5.2520,           11.4518,           16.0374,           22.3415,           -7.7976,            2.3037,            5.4849,           -0.6941,           -0.6776,          -35.1643,
Ref 21,3.48443e-08,,,,,,1.1969e-02,4.2044e-03,4.8980e-05,4.6857e-06,1.5272e-07,,,,,,,,,,,


