Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 20, 2021 at 10:00 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 20, 2021 at 10:59 with Stable 1.71.5 on PS019

Data File = Data_13696 ETH-01.txt,        Sample Weight = 415,                      Vial Location = 50,                       Initial Sam Beam = 1.4285e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5349e-08,                Max Ref Beam = 1.0611e-07,                

Analysis undertaken at mass 46.00677
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.76070e-08,,,,,,1.1969e-02,4.2039e-03,4.8885e-05,4.6359e-06,5.9678e-08,
Sam 1,5.72006e-08,1.20277e-02,4.2530e-03,4.9660e-05,4.7420e-06,5.8102e-08,,,,,,            4.8847,           11.6077,           15.7295,           22.9229,          -42.9074,            1.9074,            5.6409,           -0.7723,           -0.4174,          -69.2264,
Ref 2,5.68281e-08,,,,,,1.1970e-02,4.2044e-03,4.8897e-05,4.6356e-06,6.1748e-08,,,,,,,,,,,
Sam 2,5.63762e-08,1.20281e-02,4.2531e-03,4.9662e-05,4.7439e-06,5.9452e-08,,,,,,            4.8769,           11.5728,           15.6336,           23.1441,          -14.0479,            1.9004,            5.6062,           -0.8248,           -0.1324,          -41.0877,
Ref 3,5.60275e-08,,,,,,1.1970e-02,4.2045e-03,4.8898e-05,4.6376e-06,5.8830e-08,,,,,,,,,,,
Sam 3,5.55622e-08,1.20282e-02,4.2532e-03,4.9662e-05,4.7446e-06,5.8843e-08,,,,,,            4.8691,           11.5874,           15.6240,           22.7811,           -5.5934,            1.8915,            5.6208,           -0.8404,           -0.5160,          -32.8845,
Ref 4,5.52337e-08,,,,,,1.1970e-02,4.2045e-03,4.8898e-05,4.6402e-06,5.9523e-08,,,,,,,,,,,
Sam 4,5.47654e-08,1.20282e-02,4.2532e-03,4.9668e-05,4.7459e-06,5.8664e-08,,,,,,            4.8732,           11.5763,           15.6807,           22.9428,          -33.2827,            1.8963,            5.6096,           -0.7780,           -0.3359,          -59.7976,
Ref 5,5.44501e-08,,,,,,1.1970e-02,4.2046e-03,4.8904e-05,4.6387e-06,6.1861e-08,,,,,,,,,,,
Sam 5,5.39819e-08,1.20282e-02,4.2532e-03,4.9670e-05,4.7438e-06,6.0642e-08,,,,,,            4.8712,           11.5686,           15.6561,           22.5655,           -5.8815,            1.8944,            5.6020,           -0.7927,           -0.6895,          -33.1314,
Ref 6,5.36995e-08,,,,,,1.1970e-02,4.2045e-03,4.8905e-05,4.6395e-06,6.0128e-08,,,,,,,,,,,
Sam 6,5.32121e-08,1.20282e-02,4.2533e-03,4.9676e-05,4.7446e-06,5.9103e-08,,,,,,            4.8691,           11.6026,           15.7461,           22.6338,          -20.1307,            1.8910,            5.6359,           -0.7350,           -0.6899,          -47.0509,
Ref 7,5.29363e-08,,,,,,1.1970e-02,4.2045e-03,4.8907e-05,4.6396e-06,6.0509e-08,,,,,,,,,,,
Sam 7,5.24610e-08,1.20281e-02,4.2533e-03,4.9668e-05,4.7483e-06,5.8671e-08,,,,,,            4.8648,           11.5831,           15.5709,           23.3383,          -65.9950,            1.8872,            5.6165,           -0.8841,            0.0370,          -91.6166,
Ref 8,5.21924e-08,,,,,,1.1970e-02,4.2046e-03,4.8906e-05,4.6404e-06,6.5157e-08,,,,,,,,,,,
Sam 8,5.17110e-08,1.20280e-02,4.2533e-03,4.9674e-05,4.7469e-06,6.1745e-08,,,,,,            4.8631,           11.5879,           15.6851,           22.6736,          -55.1186,            1.8851,            5.6212,           -0.7745,           -0.6219,          -81.0454,
Ref 9,5.14753e-08,,,,,,1.1970e-02,4.2045e-03,4.8908e-05,4.6429e-06,6.5540e-08,,,,,,,,,,,
Sam 9,5.09879e-08,1.20281e-02,4.2533e-03,4.9682e-05,4.7488e-06,6.4157e-08,,,,,,            4.8731,           11.5945,           15.8425,           22.6685,          -18.8648,            1.8956,            5.6278,           -0.6364,           -0.6400,          -45.8089,
Ref 10,5.07642e-08,,,,,,1.1970e-02,4.2046e-03,4.8906e-05,4.6443e-06,6.5239e-08,,,,,,,,,,,
Sam 10,5.02800e-08,1.20279e-02,4.2532e-03,4.9673e-05,4.7483e-06,6.1582e-08,,,,,,            4.8638,           11.5717,           15.6294,           22.3593,          -63.6998,            1.8865,            5.6051,           -0.8144,           -0.8970,          -89.3631,
Ref 11,5.00618e-08,,,,,,1.1970e-02,4.2045e-03,4.8912e-05,4.6447e-06,6.6312e-08,,,,,,,,,,,
Sam 11,4.95848e-08,1.20280e-02,4.2533e-03,4.9677e-05,4.7513e-06,6.7974e-08,,,,,,            4.8717,           11.5904,           15.6003,           23.0729,            3.1366,            1.8942,            5.6237,           -0.8693,           -0.2366,          -24.4023,
Ref 12,4.93872e-08,,,,,,1.1970e-02,4.2045e-03,4.8916e-05,4.6435e-06,6.9231e-08,,,,,,,,,,,
Sam 12,4.88985e-08,1.20280e-02,4.2532e-03,4.9688e-05,4.7526e-06,6.9418e-08,,,,,,            4.8652,           11.5834,           15.8846,           23.5464,            2.3809,            1.8875,            5.6167,           -0.5760,            0.2399,          -25.1172,
Ref 13,4.87174e-08,,,,,,1.1970e-02,4.2045e-03,4.8907e-05,4.6430e-06,6.9276e-08,,,,,,,,,,,
Sam 13,4.82238e-08,1.20280e-02,4.2534e-03,4.9686e-05,4.7522e-06,6.8502e-08,,,,,,            4.8680,           11.6203,           15.8232,           23.1433,          -18.5923,            1.8892,            5.6535,           -0.6753,           -0.2271,          -45.5865,
Ref 14,4.80531e-08,,,,,,1.1970e-02,4.2045e-03,4.8918e-05,4.6464e-06,7.0330e-08,,,,,,,,,,,
Sam 14,4.75720e-08,1.20278e-02,4.2532e-03,4.9684e-05,4.7544e-06,7.1617e-08,,,,,,            4.8659,           11.5920,           15.7280,           22.9219,            3.9495,            1.8880,            5.6253,           -0.7393,           -0.3874,          -23.6089,
Ref 15,4.74089e-08,,,,,,1.1969e-02,4.2045e-03,4.8912e-05,4.6493e-06,7.2353e-08,,,,,,,,,,,
Sam 15,4.69233e-08,1.20279e-02,4.2532e-03,4.9693e-05,4.7555e-06,7.3758e-08,,,,,,            4.8790,           11.6007,           15.7934,           22.7480,            4.1778,            1.9016,            5.6340,           -0.6969,           -0.5746,          -23.4169,
Ref 16,4.67760e-08,,,,,,1.1969e-02,4.2045e-03,4.8928e-05,4.6503e-06,7.4563e-08,,,,,,,,,,,
Sam 16,4.62920e-08,1.20279e-02,4.2532e-03,4.9692e-05,4.7599e-06,7.8638e-08,,,,,,            4.8794,           11.5797,           15.6531,           23.2395,           -0.7219,            1.9027,            5.6130,           -0.8147,           -0.0526,          -28.1425,
Ref 17,4.61570e-08,,,,,,1.1970e-02,4.2046e-03,4.8924e-05,4.6533e-06,8.2881e-08,,,,,,,,,,,
Sam 17,4.56704e-08,1.20277e-02,4.2532e-03,4.9694e-05,4.7600e-06,8.1235e-08,,,,,,            4.8636,           11.5625,           15.7315,           22.9855,           10.4690,            1.8865,            5.5959,           -0.7047,           -0.2669,          -17.2095,
Ref 18,4.55462e-08,,,,,,1.1969e-02,4.2045e-03,4.8926e-05,4.6529e-06,7.7872e-08,,,,,,,,,,,
Sam 18,4.50548e-08,1.20277e-02,4.2532e-03,4.9696e-05,4.7589e-06,8.1313e-08,,,,,,            4.8756,           11.5892,           15.7513,           22.5090,            9.8128,            1.8984,            5.6225,           -0.7236,           -0.7855,          -17.9113,
Ref 19,4.49414e-08,,,,,,1.1969e-02,4.2045e-03,4.8925e-05,4.6553e-06,8.3209e-08,,,,,,,,,,,
Sam 19,4.44472e-08,1.20278e-02,4.2533e-03,4.9697e-05,4.7608e-06,8.5639e-08,,,,,,            4.8759,           11.6243,           15.7640,           22.2526,          -13.6577,            1.8975,            5.6574,           -0.7455,           -1.1052,          -40.8031,
Ref 20,4.43494e-08,,,,,,1.1969e-02,4.2044e-03,4.8926e-05,4.6591e-06,9.0489e-08,,,,,,,,,,,
Sam 20,4.38539e-08,1.20274e-02,4.2532e-03,4.9699e-05,4.7628e-06,9.1515e-08,,,,,,            4.8481,           11.5967,           15.7575,           22.1156,          -25.9247,            1.8689,            5.6301,           -0.6967,           -1.1848,          -52.6539,
Ref 21,4.37719e-08,,,,,,1.1969e-02,4.2044e-03,4.8930e-05,4.6603e-06,9.7459e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.34901e-08,,,,,,1.1969e-02,4.2044e-03,4.8940e-05,4.6582e-06,1.0141e-07,
Sam 1,4.29859e-08,1.20275e-02,4.2531e-03,4.9707e-05,4.7682e-06,1.0174e-07,,,,,,            4.8596,           11.5886,           15.7237,           23.1050,            3.4769,            1.8814,            5.6220,           -0.7338,           -0.2018,          -24.0555,
Ref 2,4.29165e-08,,,,,,1.1969e-02,4.2044e-03,4.8935e-05,4.6627e-06,1.0136e-07,,,,,,,,,,,
Sam 2,4.24209e-08,1.20275e-02,4.2531e-03,4.9710e-05,4.7695e-06,1.0394e-07,,,,,,            4.8693,           11.5832,           15.8034,           23.0062,           -7.2961,            1.8919,            5.6166,           -0.6600,           -0.2877,          -34.5327,
Ref 3,4.23617e-08,,,,,,1.1969e-02,4.2044e-03,4.8938e-05,4.6618e-06,1.0809e-07,,,,,,,,,,,
Sam 3,4.18621e-08,1.20273e-02,4.2531e-03,4.9707e-05,4.7679e-06,1.0695e-07,,,,,,            4.8677,           11.5730,           15.6243,           22.3501,           -8.3957,            1.8906,            5.6064,           -0.8247,           -0.9087,          -35.5814,
Ref 4,4.18118e-08,,,,,,1.1969e-02,4.2044e-03,4.8946e-05,4.6656e-06,1.0761e-07,,,,,,,,,,,
Sam 4,4.13095e-08,1.20276e-02,4.2531e-03,4.9713e-05,4.7716e-06,1.0904e-07,,,,,,            4.8838,           11.5867,           15.6584,           22.3381,          -15.0232,            1.9072,            5.6200,           -0.8209,           -0.9474,          -42.0690,
Ref 5,4.12732e-08,,,,,,1.1969e-02,4.2044e-03,4.8947e-05,4.6691e-06,1.1384e-07,,,,,,,,,,,
Sam 5,4.07730e-08,1.20273e-02,4.2531e-03,4.9717e-05,4.7755e-06,1.1592e-07,,,,,,            4.8605,           11.5868,           15.7391,           22.5630,          -19.1270,            1.8824,            5.6201,           -0.7178,           -0.7278,          -46.0368,
Ref 6,4.07482e-08,,,,,,1.1969e-02,4.2044e-03,4.8947e-05,4.6712e-06,1.2257e-07,,,,,,,,,,,
Sam 6,4.02422e-08,1.20270e-02,4.2530e-03,4.9717e-05,4.7799e-06,1.2182e-07,,,,,,            4.8446,           11.5749,           15.6654,           23.3773,          -11.9984,            1.8659,            5.6084,           -0.7625,            0.0913,          -39.0655,
Ref 7,4.02252e-08,,,,,,1.1969e-02,4.2044e-03,4.8953e-05,4.6702e-06,1.2404e-07,,,,,,,,,,,
Sam 7,3.97247e-08,1.20272e-02,4.2531e-03,4.9719e-05,4.7805e-06,1.2555e-07,,,,,,            4.8625,           11.5824,           15.6163,           23.2980,           -8.0735,            1.8847,            5.6158,           -0.8363,           -0.0009,          -35.2803,
Ref 8,3.97159e-08,,,,,,1.1969e-02,4.2043e-03,4.8956e-05,4.6732e-06,1.2913e-07,,,,,,,,,,,
Sam 8,3.92125e-08,1.20272e-02,4.2531e-03,4.9724e-05,4.7834e-06,1.3057e-07,,,,,,            4.8628,           11.5939,           15.6657,           23.2506,          -18.9268,            1.8846,            5.6272,           -0.7993,           -0.0700,          -45.8575,
Ref 9,3.92132e-08,,,,,,1.1969e-02,4.2043e-03,4.8958e-05,4.6763e-06,1.3711e-07,,,,,,,,,,,
Sam 9,3.87059e-08,1.20272e-02,4.2530e-03,4.9730e-05,4.7871e-06,1.3684e-07,,,,,,            4.8686,           11.5770,           15.7268,           23.0673,          -12.0865,            1.8914,            5.6103,           -0.7285,           -0.2156,          -39.1793,
Ref 10,3.87152e-08,,,,,,1.1969e-02,4.2043e-03,4.8961e-05,4.6821e-06,1.3994e-07,,,,,,,,,,,
Sam 10,3.82089e-08,1.20272e-02,4.2530e-03,4.9734e-05,4.7887e-06,1.4109e-07,,,,,,            4.8724,           11.5795,           15.8307,           23.1250,          -13.7797,            1.8954,            5.6128,           -0.6327,           -0.1642,          -40.8346,
Ref 11,3.82345e-08,,,,,,1.1969e-02,4.2043e-03,4.8957e-05,4.6789e-06,1.4623e-07,,,,,,,,,,,
Sam 11,3.77230e-08,1.20270e-02,4.2529e-03,4.9732e-05,4.7912e-06,1.5103e-07,,,,,,            4.8620,           11.5660,           15.7042,           23.1683,            0.3662,            1.8848,            5.5994,           -0.7334,           -0.0951,          -27.0405,
Ref 12,3.77497e-08,,,,,,1.1969e-02,4.2043e-03,4.8969e-05,4.6866e-06,1.5578e-07,,,,,,,,,,,
Sam 12,3.72386e-08,1.20269e-02,4.2530e-03,4.9737e-05,4.7908e-06,1.5562e-07,,,,,,            4.8605,           11.5860,           15.6969,           22.2048,          -14.2777,            1.8824,            5.6194,           -0.7584,           -1.0764,          -41.3190,
Ref 13,3.72803e-08,,,,,,1.1969e-02,4.2042e-03,4.8967e-05,4.6867e-06,1.6001e-07,,,,,,,,,,,
Sam 13,3.67646e-08,1.20267e-02,4.2529e-03,4.9744e-05,4.7969e-06,1.6399e-07,,,,,,            4.8568,           11.5822,           15.8056,           23.3202,           -2.9497,            1.8786,            5.6156,           -0.6440,            0.0212,          -30.2908,
Ref 14,3.68169e-08,,,,,,1.1969e-02,4.2042e-03,4.8973e-05,4.6884e-06,1.6900e-07,,,,,,,,,,,
Sam 14,3.63010e-08,1.20269e-02,4.2530e-03,4.9749e-05,4.8003e-06,1.6813e-07,,,,,,            4.8668,           11.6012,           15.7768,           23.1908,          -12.9463,            1.8886,            5.6344,           -0.7011,           -0.1428,          -40.0589,
Ref 15,3.63651e-08,,,,,,1.1969e-02,4.2042e-03,4.8980e-05,4.6946e-06,1.7168e-07,,,,,,,,,,,
Sam 15,3.58462e-08,1.20268e-02,4.2529e-03,4.9748e-05,4.7997e-06,1.7399e-07,,,,,,            4.8681,           11.5803,           15.7180,           21.7954,           -4.1229,            1.8908,            5.6137,           -0.7400,           -1.4652,          -31.4399,
Ref 16,3.59191e-08,,,,,,1.1968e-02,4.2041e-03,4.8977e-05,4.7001e-06,1.7777e-07,,,,,,,,,,,
Sam 16,3.54006e-08,1.20267e-02,4.2528e-03,4.9750e-05,4.8073e-06,1.8471e-07,,,,,,            4.8718,           11.5813,           15.6689,           22.6048,           15.4046,            1.8947,            5.6147,           -0.7931,           -0.6762,          -12.4539,
Ref 17,3.54803e-08,,,,,,1.1968e-02,4.2041e-03,4.8988e-05,4.7019e-06,1.8610e-07,,,,,,,,,,,
Sam 17,3.49600e-08,1.20266e-02,4.2528e-03,4.9755e-05,4.8098e-06,1.8528e-07,,,,,,            4.8645,           11.5772,           15.6346,           22.6508,          -12.2639,            1.8870,            5.6106,           -0.8153,           -0.6231,          -39.3480,
Ref 18,3.50407e-08,,,,,,1.1968e-02,4.2041e-03,4.8989e-05,4.7047e-06,1.8909e-07,,,,,,,,,,,
Sam 18,3.45192e-08,1.20264e-02,4.2527e-03,4.9753e-05,4.8142e-06,1.9275e-07,,,,,,            4.8639,           11.5741,           15.6796,           22.7749,          -10.5612,            1.8865,            5.6075,           -0.7674,           -0.4957,          -37.6856,
Ref 19,3.46153e-08,,,,,,1.1968e-02,4.2040e-03,4.8981e-05,4.7094e-06,2.0059e-07,,,,,,,,,,,
Sam 19,3.40914e-08,1.20265e-02,4.2527e-03,4.9762e-05,4.8151e-06,2.0249e-07,,,,,,            4.8628,           11.5738,           15.7190,           22.3681,           -0.9477,            1.8853,            5.6072,           -0.7273,           -0.8927,          -28.3341,
Ref 20,3.41963e-08,,,,,,1.1968e-02,4.2041e-03,4.9002e-05,4.7102e-06,2.0481e-07,,,,,,,,,,,
Sam 20,3.36682e-08,1.20264e-02,4.2527e-03,4.9769e-05,4.8197e-06,2.0530e-07,,,,,,            4.8579,           11.5657,           15.6713,           23.4758,          -15.3086,            1.8803,            5.5991,           -0.7613,            0.2059,          -42.2812,
Ref 21,3.37835e-08,,,,,,1.1968e-02,4.2040e-03,4.9000e-05,4.7081e-06,2.1222e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.35832e-08,,,,,,1.1968e-02,4.2040e-03,4.9010e-05,4.7166e-06,2.1481e-07,
Sam 1,3.30532e-08,1.20263e-02,4.2526e-03,4.9770e-05,4.8282e-06,2.2058e-07,,,,,,            4.8565,           11.5747,           15.5261,           23.2505,            3.0194,            1.8786,            5.6082,           -0.9114,           -0.0322,          -24.4709,
Ref 2,3.31805e-08,,,,,,1.1968e-02,4.2040e-03,4.9009e-05,4.7205e-06,2.2508e-07,,,,,,,,,,,
Sam 2,3.26481e-08,1.20263e-02,4.2526e-03,4.9779e-05,4.8309e-06,2.2808e-07,,,,,,            4.8495,           11.5808,           15.7204,           23.2825,            4.7746,            1.8710,            5.6142,           -0.7191,           -0.0128,          -22.7681,
Ref 3,3.27819e-08,,,,,,1.1968e-02,4.2040e-03,4.9007e-05,4.7216e-06,2.2895e-07,,,,,,,,,,,
Sam 3,3.22508e-08,1.20264e-02,4.2526e-03,4.9789e-05,4.8381e-06,2.3152e-07,,,,,,            4.8651,           11.5758,           15.8902,           23.7707,          -13.2738,            1.8877,            5.6092,           -0.5632,            0.4740,          -40.3284,
Ref 4,3.23877e-08,,,,,,1.1968e-02,4.2039e-03,4.9014e-05,4.7300e-06,2.4039e-07,,,,,,,,,,,
Sam 4,3.18539e-08,1.20262e-02,4.2525e-03,4.9790e-05,4.8361e-06,2.4540e-07,,,,,,            4.8664,           11.5704,           15.7394,           21.9124,            3.0375,            1.8893,            5.6038,           -0.7076,           -1.3312,          -24.4553,
Ref 5,3.19967e-08,,,,,,1.1968e-02,4.2039e-03,4.9023e-05,4.7348e-06,2.4898e-07,,,,,,,,,,,
Sam 5,3.14580e-08,1.20261e-02,4.2525e-03,4.9798e-05,4.8393e-06,2.5300e-07,,,,,,            4.8608,           11.5708,           15.7887,           22.1022,           -1.0988,            1.8833,            5.6043,           -0.6537,           -1.1467,          -28.4733,
Ref 6,3.16098e-08,,,,,,1.1968e-02,4.2038e-03,4.9025e-05,4.7344e-06,2.5763e-07,,,,,,,,,,,
Sam 6,3.10748e-08,1.20259e-02,4.2525e-03,4.9805e-05,4.8455e-06,2.6526e-07,,,,,,            4.8532,           11.5654,           15.8639,           22.6634,           14.2102,            1.8753,            5.5988,           -0.5666,           -0.5874,          -13.5654,
Ref 7,3.12389e-08,,,,,,1.1968e-02,4.2039e-03,4.9028e-05,4.7418e-06,2.6550e-07,,,,,,,,,,,
Sam 7,3.07044e-08,1.20259e-02,4.2525e-03,4.9805e-05,4.8542e-06,2.7346e-07,,,,,,            4.8497,           11.5576,           15.8193,           23.0007,            7.6100,            1.8719,            5.5911,           -0.5994,           -0.2424,          -19.9664,
Ref 8,3.08758e-08,,,,,,1.1968e-02,4.2038e-03,4.9031e-05,4.7482e-06,2.7737e-07,,,,,,,,,,,
Sam 8,3.03376e-08,1.20261e-02,4.2525e-03,4.9813e-05,4.8572e-06,2.8324e-07,,,,,,            4.8695,           11.5740,           15.8368,           22.9177,            5.9214,            1.8925,            5.6074,           -0.6184,           -0.3559,          -21.6605,
Ref 9,3.05131e-08,,,,,,1.1968e-02,4.2038e-03,4.9042e-05,4.7486e-06,2.8582e-07,,,,,,,,,,,
Sam 9,2.99745e-08,1.20260e-02,4.2524e-03,4.9804e-05,4.8554e-06,2.9337e-07,,,,,,            4.8623,           11.5749,           15.5561,           21.7569,            9.4662,            1.8847,            5.6083,           -0.8880,           -1.4920,          -18.2071,
Ref 10,3.01591e-08,,,,,,1.1968e-02,4.2037e-03,4.9041e-05,4.7554e-06,2.9547e-07,,,,,,,,,,,
Sam 10,2.96178e-08,1.20258e-02,4.2524e-03,4.9819e-05,4.8638e-06,3.0219e-07,,,,,,            4.8624,           11.5880,           15.7661,           22.4824,            7.3564,            1.8843,            5.6213,           -0.6942,           -0.8090,          -20.2841,
Ref 11,2.98110e-08,,,,,,1.1968e-02,4.2037e-03,4.9050e-05,4.7584e-06,3.0455e-07,,,,,,,,,,,
Sam 11,2.92689e-08,1.20257e-02,4.2522e-03,4.9825e-05,4.8669e-06,3.0937e-07,,,,,,            4.8661,           11.5594,           15.7819,           22.5531,           -0.6340,            1.8893,            5.5929,           -0.6547,           -0.6835,          -28.0051,
Ref 12,2.94648e-08,,,,,,1.1967e-02,4.2036e-03,4.9052e-05,4.7607e-06,3.1463e-07,,,,,,,,,,,
Sam 12,2.89194e-08,1.20254e-02,4.2523e-03,4.9821e-05,4.8722e-06,3.1785e-07,,,,,,            4.8494,           11.5698,           15.6232,           22.9611,            0.1948,            1.8712,            5.6033,           -0.8038,           -0.3052,          -27.2014,
Ref 13,2.91239e-08,,,,,,1.1967e-02,4.2037e-03,4.9057e-05,4.7649e-06,3.2099e-07,,,,,,,,,,,
Sam 13,2.85820e-08,1.20254e-02,4.2522e-03,4.9833e-05,4.8729e-06,3.3149e-07,,,,,,            4.8598,           11.5512,           15.7296,           22.2302,           16.9745,            1.8829,            5.5847,           -0.6918,           -0.9828,          -10.8565,
Ref 14,2.87971e-08,,,,,,1.1967e-02,4.2035e-03,4.9066e-05,4.7690e-06,3.3098e-07,,,,,,,,,,,
Sam 14,2.82511e-08,1.20254e-02,4.2522e-03,4.9837e-05,4.8817e-06,3.3642e-07,,,,,,            4.8716,           11.5610,           15.6360,           23.2843,            5.2672,            1.8951,            5.5944,           -0.8055,            0.0281,          -22.2743,
Ref 15,2.84670e-08,,,,,,1.1967e-02,4.2037e-03,4.9073e-05,4.7721e-06,3.3838e-07,,,,,,,,,,,
Sam 15,2.79233e-08,1.20255e-02,4.2522e-03,4.9839e-05,4.8829e-06,3.4756e-07,,,,,,            4.8656,           11.5481,           15.6278,           22.6559,            8.8221,            1.8892,            5.5816,           -0.7948,           -0.5606,          -18.7859,
Ref 16,2.81428e-08,,,,,,1.1967e-02,4.2036e-03,4.9071e-05,4.7773e-06,3.5074e-07,,,,,,,,,,,
Sam 16,2.75960e-08,1.20254e-02,4.2522e-03,4.9844e-05,4.8858e-06,3.5042e-07,,,,,,            4.8552,           11.5584,           15.6764,           22.8190,           -2.8570,            1.8778,            5.5919,           -0.7465,           -0.4216,          -30.1542,
Ref 17,2.78257e-08,,,,,,1.1967e-02,4.2035e-03,4.9079e-05,4.7763e-06,3.5212e-07,,,,,,,,,,,
Sam 17,2.72760e-08,1.20253e-02,4.2521e-03,4.9849e-05,4.8953e-06,3.5978e-07,,,,,,            4.8599,           11.5685,           15.6221,           23.8145,            3.1600,            1.8824,            5.6019,           -0.8145,            0.5313,          -24.3259,
Ref 18,2.75095e-08,,,,,,1.1967e-02,4.2035e-03,4.9085e-05,4.7866e-06,3.6524e-07,,,,,,,,,,,
Sam 18,2.69568e-08,1.20254e-02,4.2521e-03,4.9853e-05,4.8953e-06,3.7006e-07,,,,,,            4.8734,           11.5627,           15.6767,           22.3688,            0.9028,            1.8970,            5.5961,           -0.7690,           -0.8701,          -26.5242,
Ref 19,2.71971e-08,,,,,,1.1967e-02,4.2035e-03,4.9081e-05,4.7898e-06,3.7427e-07,,,,,,,,,,,
Sam 19,2.66451e-08,1.20252e-02,4.2521e-03,4.9859e-05,4.8998e-06,3.8396e-07,,,,,,            4.8669,           11.5717,           15.8156,           22.5699,           11.4913,            1.8898,            5.6051,           -0.6344,           -0.6914,          -16.2364,
Ref 20,2.68901e-08,,,,,,1.1967e-02,4.2035e-03,4.9085e-05,4.7936e-06,3.8499e-07,,,,,,,,,,,
Sam 20,2.63395e-08,1.20251e-02,4.2520e-03,4.9865e-05,4.8965e-06,3.9354e-07,,,,,,            4.8693,           11.5559,           15.7402,           21.5118,           15.1998,            1.8928,            5.5894,           -0.6956,           -1.6941,          -12.6016,
Ref 21,2.65918e-08,,,,,,1.1967e-02,4.2034e-03,4.9099e-05,4.7931e-06,3.9034e-07,,,,,,,,,,,


