Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
ETH-1,5,2.03,37.56,0.2052,,,0.0397,
ETH-2,4,-10.04,20.53,0.2085,,,0.0619,
ETH-3,3,1.71,38.05,0.6132,,,0.0105,
ETH-4,2,-10.18,20.38,0.4505,,,0.0513,
IAEA-C2,1,-7.98,30.50,0.6409,,,,
MERCK,1,-41.99,23.60,0.5135,,,,
23-RJS-5281.9,1,1.90,41.30,0.4682,0.0436,± 0.0942,,
23-RJS-5607,1,0.94,39.75,0.4880,0.0434,± 0.0938,,
26-RJS-5497,1,2.31,42.17,0.5544,0.0448,± 0.0967,,
30-RJS-5159.1A,1,3.31,39.65,0.4993,0.0439,± 0.0948,,
30-RJS-5159.1B,1,3.73,41.44,0.4921,0.0442,± 0.0954,,
30-RJS-5159.1E,1,3.77,42.23,0.4379,0.0439,± 0.0948,,
30-RJS-5159.1F,1,3.71,42.18,0.4392,0.0439,± 0.0947,,
30-RJS-5166.25B,1,2.54,42.10,0.5870,0.0453,± 0.0979,,
30-RJS-5166.25D,1,3.07,42.92,0.4686,0.0441,± 0.0952,,
FRAC_1-29RA,1,1.98,41.51,0.4871,0.0438,± 0.0947,,
FRAC_1-29RB,1,2.83,40.33,0.4700,0.0436,± 0.0943,,
FRAC_1-29RC,1,2.28,39.51,0.5168,0.0439,± 0.0948,,
NO-43,1,1.20,32.64,0.5106,0.0429,± 0.0928,,
